X Y Z
713.316369 -826.238076 1274.880851
713.740046 -826.700959 1276.478759
713.990952 -827.216190 1277.425053
714.176279 -827.751078 1278.124019
714.326204 -828.296466 1278.689462
714.471073 -828.842885 1279.235838
714.615817 -829.388780 1279.781744
714.760429 -829.934156 1280.327152
714.904912 -830.479012 1280.872070
715.049235 -831.023360 1281.416386
715.193425 -831.567191 1281.960203
715.337486 -832.110507 1282.503532
715.481389 -832.653317 1283.046263
715.625192 -833.195604 1283.588619
715.768837 -833.737387 1284.130379
715.912347 -834.278661 1284.671630
716.055730 -834.819423 1285.212403
716.198983 -835.359677 1285.752683
716.342107 -835.899422 1286.292480
716.485069 -836.438671 1286.831660
716.627904 -836.977413 1287.370368
716.770638 -837.515641 1287.908691
716.913211 -838.053376 1288.446408
717.055656 -838.590608 1288.983642
717.197969 -839.127339 1289.520379
717.340126 -839.663579 1290.056525
717.482181 -840.199310 1290.592287
717.624105 -840.734543 1291.127557
717.765871 -841.269290 1291.662231
717.907538 -841.803529 1292.196532
718.049047 -842.337284 1292.730232
718.190451 -842.870536 1293.263543
718.331701 -843.403304 1293.796270
718.472850 -843.935571 1294.328613
718.613837 -844.467358 1294.860351
718.754696 -844.998656 1295.391602
718.895456 -845.529453 1295.922480
719.036058 -846.059774 1296.452765
719.176556 -846.589599 1296.982655
719.316899 -847.118949 1297.511961
719.457109 -847.647816 1298.040766
719.597224 -848.176187 1298.569213
719.737177 -848.704088 1299.097046
719.877030 -849.231497 1299.624506
720.016755 -849.758425 1300.151481
720.156320 -850.284888 1300.677852
720.295787 -850.810859 1301.203855
720.435124 -851.336354 1301.729368
720.574333 -851.861374 1302.254395
720.713409 -852.385920 1302.778922
720.852360 -852.909991 1303.302979
720.991181 -853.433590 1303.826546
721.129899 -853.956706 1304.349725
721.268463 -854.479363 1304.872322
721.406504 -855.001718 1305.392943
721.529658 -855.529892 1305.857422
721.630316 -856.067241 1306.237057
721.712076 -856.612361 1306.545415
721.777034 -857.164465 1306.790404
721.826231 -857.723211 1306.975953
721.861317 -858.287978 1307.108281
721.882773 -858.858647 1307.189204
721.890476 -859.435360 1307.218252
721.883487 -860.018621 1307.191894
721.862091 -860.608398 1307.111198
721.824937 -861.205387 1306.971073
721.770110 -861.810553 1306.764291
721.694660 -862.425339 1306.479730
721.593937 -863.051991 1306.099851
721.460652 -863.693993 1305.597166
721.289306 -864.354074 1304.950929
721.113523 -865.017005 1304.287962
720.937515 -865.680866 1303.624144
720.761246 -866.345677 1302.959343
720.584722 -867.011437 1302.293581
720.407938 -867.678151 1301.626835
720.230923 -868.345806 1300.959219
720.053625 -869.014430 1300.290537
719.876093 -869.684001 1299.620971
719.698304 -870.354533 1298.950437
719.520259 -871.026028 1298.278935
719.341983 -871.698474 1297.606565
719.163417 -872.371904 1296.933101
718.984595 -873.046302 1296.258670
718.805543 -873.721658 1295.583371
718.626203 -874.398004 1294.906986
718.446600 -875.075327 1294.229614
718.266774 -875.753612 1293.551396
718.086656 -876.432894 1292.872078
717.906309 -877.113145 1292.191893
717.725671 -877.794397 1291.510617
717.544779 -878.476634 1290.828376
717.363624 -879.159863 1290.145149
