X Y Z
-417.449863 1277.203124 891.834705
-417.182700 1278.202281 891.091708
-416.992279 1278.914433 890.390535
-416.805545 1279.612795 889.692206
-416.619106 1280.310055 888.994917
-416.432926 1281.006349 888.298647
-416.247040 1281.701540 887.603411
-416.061415 1282.395757 886.909190
-415.876052 1283.088990 886.215983
-415.690951 1283.781248 885.523786
-415.506144 1284.472403 884.832615
-415.321627 1285.162477 884.142465
-415.137340 1285.851687 883.453303
-414.953347 1286.539800 882.765159
-414.769615 1287.226936 882.078015
-414.586144 1287.913095 881.391868
-414.402937 1288.598269 880.706717
-414.219991 1289.282465 880.022559
-414.037335 1289.965578 879.339406
-413.854940 1290.647712 878.657241
-413.672779 1291.328973 877.976049
-413.490906 1292.009157 877.295853
-413.309296 1292.688355 876.616641
-413.127949 1293.366573 875.938409
-412.946862 1294.043819 875.261154
-412.766032 1294.720100 874.584872
-412.585467 1295.395393 873.909565
-412.405134 1296.069818 873.235214
-412.225089 1296.743164 872.561845
-412.045306 1297.415530 871.889444
-411.865754 1298.087033 871.217992
-411.686493 1298.757450 870.547516
-411.507462 1299.427005 869.877986
-411.328693 1300.095578 869.209414
-411.150184 1300.763184 868.541797
-410.971935 1301.429814 867.875133
-410.793916 1302.095581 867.209407
-410.616157 1302.760379 866.544629
-410.438661 1303.424195 865.880799
-410.261424 1304.087041 865.217913
-410.084418 1304.749024 864.555957
-409.908453 1305.407109 863.895289
-409.760497 1305.960450 863.247873
-409.649553 1306.375365 862.617509
-409.566517 1306.685912 861.999955
-409.505088 1306.915648 861.392279
-409.462198 1307.076050 860.793007
-409.436216 1307.173219 860.201313
-409.425153 1307.214597 859.616231
-409.428187 1307.203248 859.037315
-409.444868 1307.140863 858.464282
-409.476429 1307.022830 857.897567
-409.521996 1306.852413 857.336709
-409.582446 1306.626339 856.781984
-409.659216 1306.339228 856.233900
-409.754494 1305.982900 855.693264
-409.871734 1305.544435 855.161389
-410.009182 1305.030397 854.637411
-410.149143 1304.506958 854.113948
-410.289236 1303.983028 853.590012
-410.429458 1303.458613 853.065602
-410.569808 1302.933720 852.540716
-410.710293 1302.408322 852.015355
-410.850875 1301.882564 851.489503
-410.991617 1301.356203 850.963185
-411.132492 1300.829348 850.436388
-411.273466 1300.302121 849.909098
-411.414600 1299.774296 849.381338
-411.555836 1299.246090 848.853084
-411.697200 1298.717407 848.324346
-411.838726 1298.188116 847.795134
-411.980353 1297.658447 847.265426
-412.122111 1297.128290 846.735230
-412.264027 1296.597542 846.204557
-412.406046 1296.066407 845.673384
-412.548195 1295.534784 845.141721
-412.690503 1295.002569 844.609577
-412.832913 1294.469972 844.076930
-412.975485 1293.936771 843.543801
-413.118157 1293.403194 843.010167
-413.260990 1292.869017 842.476047
-413.403921 1292.334471 841.941419
-413.547016 1291.799313 841.406305
-413.690240 1291.263672 840.870691
-413.833595 1290.727540 840.334578
-413.977082 1290.190917 839.797964
-414.120698 1289.653807 839.260847
-414.264444 1289.116215 838.723226
-414.408324 1288.578123 838.185102
-414.552362 1288.039435 837.646482
-414.696503 1287.500365 837.107345
-414.840803 1286.960699 836.567710
-414.985238 1286.420533 836.027568
-415.129801 1285.879883 835.486915
-415.274495 1285.338743 834.945751
-415.419320 1284.797115 834.404075
-415.564306 1284.254886 833.861895
-415.709424 1283.712160 833.319201
-415.854674 1283.168944 832.775992
-416.000052 1282.625244 832.232265
-416.145563 1282.081051 831.688021
-416.291234 1281.536258 831.143268
-416.437040 1280.990964 830.597995
-416.582973 1280.445191 830.052201
-416.729037 1279.898928 829.505884
-416.875266 1279.352049 828.959054
-417.021622 1278.804693 828.411698
-417.170235 1278.248898 827.864468
-417.347993 1277.584104 827.325532
-417.584798 1276.698481 826.803743
-417.953957 1275.317872 826.320729
-416.847045 1277.247805 891.807331
-416.585462 1278.228152 891.067133
-416.395863 1278.938721 890.366297
-416.209583 1279.636849 889.668113
-416.023538 1280.334099 888.970937
-415.837810 1281.030159 888.274810
-415.652317 1281.725339 887.579686
-415.467116 1282.419426 886.885594
-415.282203 1283.112432 886.192529
-415.097525 1283.804559 885.500460
-414.913137 1284.495598 884.809415
-414.729010 1285.185661 884.119376
-414.545173 1285.874635 883.430356
-414.361598 1286.562625 882.742338
-414.178285 1287.249637 882.055320
-413.995234 1287.935664 881.369299
-413.812440 1288.620729 880.684271
-413.629940 1289.304696 880.000252
-413.447670 1289.987796 879.317209
-413.265693 1290.669799 878.635169
-413.083974 1291.350837 877.954114
-412.902487 1292.031001 877.274029
-412.721292 1292.710073 876.594941
-412.540355 1293.388181 875.916830
-412.359679 1294.065309 875.239697
-412.179264 1294.741456 874.563539
-411.999111 1295.416623 873.888354
-411.819216 1296.090824 873.214139
-411.639553 1296.764157 872.540878
-411.460179 1297.436403 871.868597
-411.281068 1298.107668 871.197281
-411.102184 1298.778078 870.526911
-410.923560 1299.447514 869.857501
-410.745199 1300.115967 869.189049
-410.567098 1300.783445 868.521553
-410.389255 1301.449955 867.855009
-410.211642 1302.115602 867.189402
-410.034290 1302.780273 866.524744
-409.857198 1303.443968 865.861032
-409.680365 1304.106694 865.198265
-409.503762 1304.768556 864.536427
-409.328495 1305.425413 863.876009
-409.181890 1305.974851 863.229157
-409.072414 1306.385140 862.599435
-408.990204 1306.693240 861.982262
-408.929490 1306.920780 861.374932
-408.886954 1307.080196 860.775861
-408.861546 1307.175419 860.184477
-408.850992 1307.214971 859.599689
-408.854448 1307.202020 859.021038
-408.871547 1307.137935 858.448278
-408.903270 1307.019049 857.881738
-408.949229 1306.846804 857.321162
-409.010009 1306.619016 856.766705
-409.087138 1306.329956 856.218911
-409.182769 1305.971556 855.678576
-409.300385 1305.530761 855.147027
-409.437675 1305.016233 854.623168
-409.577344 1304.492791 854.099771
-409.717138 1303.968877 853.575899
-409.857037 1303.444572 853.051542
-409.997092 1302.919682 852.526721
-410.137248 1302.394413 852.001412
-410.277535 1301.868652 851.475626
-410.417952 1301.342405 850.949361
-410.558498 1300.815674 850.422617
-410.699176 1300.288450 849.895393
-410.839983 1299.760740 849.367687
-410.980920 1299.232544 848.839498
-411.121990 1298.703850 848.310827
-411.263186 1298.174683 847.781670
-411.404514 1297.645022 847.252027
-411.545973 1297.114869 846.721897
-411.687563 1296.584229 846.191280
-411.829250 1296.053222 845.660161
-411.971099 1295.521608 845.128564
-412.113081 1294.989495 844.596477
-412.255189 1294.456909 844.063896
-412.397430 1293.923828 843.530822
-412.539800 1293.390260 842.997254
-412.682302 1292.856198 842.463190
-412.824935 1292.321649 841.928630
-412.967695 1291.786618 841.393572
-413.110618 1291.250982 840.858025
-413.253640 1290.714969 840.321968
-413.396795 1290.178461 839.785411
-413.540108 1289.641360 839.248361
-413.683553 1289.103765 838.710809
-413.827099 1288.565792 838.172742
-413.970805 1288.027219 837.634180
-414.114641 1287.488157 837.095111
-414.258640 1286.948488 836.555545
-414.402737 1286.408448 836.015460
-414.546964 1285.867920 835.474865
-414.691354 1285.326784 834.933769
-414.835875 1284.785157 834.392162
-414.980526 1284.243041 833.850041
-415.125308 1283.700438 833.307406
-415.270250 1283.157230 832.764266
-415.415294 1282.613644 832.220599
-415.560499 1282.069451 831.676424
-415.705832 1281.524779 831.131730
-415.851329 1280.979493 830.586527
-415.996926 1280.433834 830.040792
-416.142685 1279.887567 829.494546
-416.288571 1279.340821 828.947775
-416.434622 1278.793461 828.400490
-416.583054 1278.237177 827.853370
-416.761479 1277.568483 827.314820
-416.999319 1276.677120 826.793559
-417.371871 1275.280890 826.311853
-416.244477 1277.292358 891.780023
-415.988415 1278.254032 891.042606
-415.799670 1278.962890 890.342124
-415.613815 1279.660896 889.644068
-415.428223 1280.357912 888.947036
-415.242890 1281.053953 888.251022
-415.057848 1281.748907 887.556041
-414.873066 1282.442878 886.862075
-414.688547 1283.135866 886.169122
-414.504318 1283.827766 885.477195
-414.320350 1284.518682 884.786276
-414.136642 1285.208621 884.096364
-413.953197 1285.897576 883.407455
-413.770039 1286.585449 882.719562
-413.587144 1287.272337 882.032669
-413.404509 1287.958248 881.346773
-413.222165 1288.643068 880.661886
-413.040049 1289.327030 879.977976
-412.858225 1290.009894 879.295072
-412.676632 1290.691891 878.613141
-412.495328 1291.372804 877.932209
-412.314286 1292.052731 877.252263
-412.133503 1292.731686 876.573297
-411.952980 1293.409668 875.895309
-411.772717 1294.086670 875.218299
-411.592713 1294.762699 874.542263
-411.412970 1295.437747 873.867200
-411.233457 1296.111935 873.193092
-411.054233 1296.785036 872.519966
-410.875270 1297.457156 871.847807
-410.696535 1298.128421 871.176596
-410.518091 1298.798592 870.506362
-410.339878 1299.467894 869.837074
-410.161923 1300.136227 869.168742
-409.984227 1300.803593 868.501364
-409.806759 1301.470095 867.834925
-409.629584 1302.135502 867.169451
-409.452637 1302.800052 866.504912
-409.275949 1303.463627 865.841319
-409.099490 1304.126344 865.178657
-408.923292 1304.788078 864.516937
-408.748715 1305.443727 863.856767
-408.603491 1305.989135 863.210494
-408.495419 1306.395015 862.581389
-408.414062 1306.700562 861.964606
-408.354061 1306.925904 861.357623
-408.312164 1307.083255 860.758879
-408.287038 1307.177619 860.167679
-408.276965 1307.215449 859.583172
-408.280896 1307.200685 859.004810
-408.298383 1307.135013 858.432310
-408.330269 1307.015259 857.865946
-408.376585 1306.841312 857.305639
-408.437724 1306.611697 856.751461
-408.515178 1306.320807 856.203945
-408.611163 1305.960321 855.663912
-408.729149 1305.517210 855.132687
-408.866343 1305.001959 854.608973
-409.005685 1304.478640 854.085627
-409.145159 1303.954828 853.561809
-409.284759 1303.430540 853.037516
-409.424491 1302.905758 852.512748
-409.564351 1302.380492 851.987504
-409.704341 1301.854742 851.461783
-409.844432 1301.328611 850.935571
-409.984682 1300.801882 850.408893
-410.125031 1300.274781 849.881721
-410.265542 1299.747074 849.354081
-410.406152 1299.218994 848.825946
-410.546923 1298.690310 848.297340
-410.687793 1298.161250 847.768238
-410.828791 1297.631713 847.238648
-410.969951 1297.101568 846.708585
-411.111212 1296.571045 846.178022
-411.252602 1296.040033 845.646970
-411.394150 1295.508429 845.115439
-411.535801 1294.976439 844.583406
-411.677613 1294.443847 844.050893
-411.819522 1293.910888 843.517874
-411.961592 1293.377323 842.984373
-412.103762 1292.843383 842.450365
-412.246094 1292.308836 841.915872
-412.388524 1291.773920 841.380870
-412.531116 1291.238398 840.845380
-412.673835 1290.702395 840.309390
-412.816687 1290.165896 839.772899
-412.959668 1289.628910 839.235907
-413.102781 1289.091429 838.698412
-413.246023 1288.553465 838.160412
-413.389424 1288.014901 837.621917
-413.532928 1287.475954 837.082906
