X Y Z
-418.888062 1277.221437 891.823500
-418.626739 1278.200808 891.093098
-418.438996 1278.904422 890.400536
-418.254903 1279.594354 889.710669
-418.071099 1280.283204 889.021813
-417.887560 1280.971062 888.333953
-417.704278 1281.657956 887.647084
-417.521289 1282.343752 886.961220
-417.338530 1283.028689 886.276329
-417.156063 1283.712528 885.592440
-416.973828 1284.395499 884.909519
-416.791880 1285.077394 884.227593
-416.610193 1285.758309 883.546646
-416.428738 1286.438356 882.866661
-416.247574 1287.117312 882.187667
-416.066640 1287.795406 881.509630
-415.885996 1288.472414 880.832577
-415.705584 1289.148554 880.156478
-415.525461 1289.823608 879.481359
-415.345568 1290.497799 878.807190
-415.165934 1291.171024 878.133981
-414.986563 1291.843260 877.461733
-414.807451 1292.514528 876.790442
-414.628568 1293.184933 876.120091
-414.449974 1293.854257 875.450707
-414.271615 1294.522704 874.782261
-414.093512 1295.190189 874.114762
-413.915639 1295.856811 873.448197
-413.738027 1296.522456 872.782576
-413.560673 1297.187132 872.117897
-413.383580 1297.850831 871.454158
-413.206716 1298.513672 870.791343
-413.030113 1299.175536 870.129464
-412.853769 1299.836430 869.468519
-412.677653 1300.496465 868.808492
-412.501769 1301.155636 868.149382
-412.326141 1301.813841 867.491198
-412.150776 1302.471068 866.833940
-411.975639 1303.127437 866.177593
-411.800759 1303.782840 865.522165
-411.626113 1304.437370 864.867646
-411.451722 1305.090942 864.214041
-411.287332 1305.707034 863.565374
-411.160695 1306.181637 862.932978
-411.065455 1306.538572 862.314017
-410.993992 1306.806397 861.705193
-410.942104 1307.000859 861.104653
-410.907875 1307.129141 860.511502
-410.889145 1307.199339 859.924764
-410.884746 1307.215823 859.343874
-410.894093 1307.180793 858.768510
-410.917841 1307.091794 858.198840
-410.955754 1306.949706 857.634682
-411.008031 1306.753783 857.076022
-411.075847 1306.499625 856.523223
-411.161087 1306.180170 855.976913
-411.266519 1305.785036 855.438042
-411.395700 1305.300898 854.907837
-411.536179 1304.774420 854.381426
-411.676760 1304.247556 853.854521
-411.817500 1303.720099 853.327140
-411.958342 1303.192261 852.799261
-412.099313 1302.663937 852.270895
-412.240446 1302.135008 851.742050
-412.381676 1301.605711 851.212704
-412.523037 1301.075927 850.682866
-412.664560 1300.545537 850.152548
-412.806182 1300.014772 849.621724
-412.947966 1299.483400 849.090418
-413.089850 1298.951655 848.558605
-413.231895 1298.419309 848.026306
-413.374069 1297.886477 847.493509
-413.516344 1297.353268 846.960203
-413.658778 1296.819458 846.426407
-413.801345 1296.285154 845.892110
-413.944042 1295.750362 845.357311
-414.086899 1295.214970 844.822019
-414.229857 1294.679201 844.286212
-414.372945 1294.142944 843.749900
-414.516195 1293.606078 843.213092
-414.659576 1293.068725 842.675776
-414.803055 1292.531002 842.137941
-414.946696 1291.992670 841.599606
-415.090498 1291.453737 841.060770
-415.234401 1290.914427 840.521412
-415.378464 1290.374514 839.981551
-415.522628 1289.834225 839.441165
-415.666953 1289.293333 838.900274
-415.811440 1288.751832 838.358876
-415.956026 1288.209961 837.816950
-416.100774 1287.667480 837.274516
-416.245652 1287.124515 836.731561
-416.390662 1286.581054 836.188085
-416.535802 1286.037109 835.644087
-416.681102 1285.492559 835.099574
-416.826537 1284.947507 834.554538
-416.972099 1284.401976 834.008976
-417.117793 1283.855955 833.462887
-417.263649 1283.309322 832.916279
-417.409634 1282.762206 832.369142
-417.555783 1282.214478 831.821484
-417.702063 1281.666260 831.273295
-417.848472 1281.117554 830.724573
-417.995013 1280.568358 830.175318
-418.141716 1280.018552 829.625537
-418.288547 1279.468264 829.075219
-418.435544 1278.917359 828.524373
-418.583354 1278.363404 827.973177
-418.753703 1277.724979 827.427563
-418.978579 1276.882203 826.896061
-419.316965 1275.614018 826.394197
-417.684958 1277.303587 891.773137
-417.433785 1278.248893 891.047529
-417.247670 1278.949348 890.355608
-417.064417 1279.639033 889.665992
-416.881453 1280.327628 888.977387
-416.698748 1281.015253 888.289774
-416.516332 1281.701786 887.603169
-416.334146 1282.387453 886.917538
-416.152221 1283.072141 886.232895
-415.970585 1283.755738 885.549252
-415.789208 1284.438362 884.866591
-415.608061 1285.120120 884.184897
-415.427207 1285.800777 883.504196
-415.246607 1286.480476 882.824470
-415.066240 1287.159300 882.145705
-414.886159 1287.837045 881.467925
-414.706311 1288.513914 880.791101
-414.526749 1289.189705 880.115259
-414.347419 1289.864626 879.440368
-414.168348 1290.538572 878.766440
-413.989535 1291.211544 878.093473
-413.810980 1291.883548 877.421464
-413.632687 1292.554563 876.750413
-413.454621 1293.224729 876.080301
-413.276843 1293.893806 875.411155
-413.099295 1294.562020 874.742946
-412.921978 1295.229364 874.075673
-412.744946 1295.895632 873.409357
-412.568145 1296.561037 872.743973
-412.391602 1297.225464 872.079530
-412.215318 1297.888922 871.416025
-412.039262 1298.551521 870.753445
-411.863437 1299.213249 870.091788
-411.687898 1299.873900 869.431077
-411.512587 1300.533693 868.771283
-411.337507 1301.192620 868.112405
-411.162682 1301.850582 867.454453
-410.988118 1302.507566 866.797427
-410.813780 1303.163697 866.141310
-410.639701 1303.818857 865.486113
-410.465853 1304.473142 864.831824
-410.292231 1305.126582 864.178436
-410.130121 1305.736692 863.530629
-410.006057 1306.203614 862.899268
-409.912905 1306.554199 862.281184
-409.842876 1306.817755 861.673001
-409.792117 1307.008791 861.073005
-409.758613 1307.134887 860.480259
-409.740839 1307.201780 859.894040
-409.737303 1307.215087 859.313651
-409.747453 1307.176886 858.738781
-409.771521 1307.086305 858.169434
-409.810087 1306.941159 857.605750
-409.862988 1306.742063 857.047570
-409.931458 1306.484373 856.495284
-410.017311 1306.161260 855.949494
-410.123373 1305.762089 855.411175
-410.252950 1305.274419 854.881464
-410.392778 1304.748165 854.355162
-410.532734 1304.221433 853.828376
-410.672851 1303.694094 853.301115
-410.813068 1303.166377 852.773357
-410.953444 1302.638066 852.245122
-411.093918 1302.109381 851.716386
-411.234525 1301.580196 851.187162
-411.375291 1301.050418 850.657457
-411.516155 1300.520266 850.127249
-411.657181 1299.989506 849.596559
-411.798306 1299.458373 849.065364
-411.939591 1298.926639 848.533684
-412.080977 1298.394524 848.001497
-412.222519 1297.861821 847.468823
-412.364196 1297.328611 846.935651
-412.505999 1296.794927 846.401978
-412.647903 1296.260860 845.867795
-412.789998 1295.726079 845.333130
-412.932193 1295.190917 844.797953
-413.074517 1294.655272 844.262271
-413.216971 1294.119139 843.726084
-413.359586 1293.582398 843.189401
-413.502331 1293.045168 842.652210
-413.645176 1292.507561 842.114501
-413.788181 1291.969353 841.576293
-413.931346 1291.430543 841.037583
-414.074611 1290.891356 840.498352
-414.218036 1290.351567 839.958617
-414.361561 1289.811400 839.418359
-414.505248 1289.270627 838.877595
-414.649064 1288.729367 838.336315
-414.793041 1288.187501 837.794528
-414.937117 1287.645260 837.252212
-415.081355 1287.102413 836.709386
-415.225721 1286.559079 836.166039
-415.370250 1286.015138 835.622180
-415.514879 1285.470819 835.077788
-415.659666 1284.925901 834.532881
-415.804585 1284.380492 833.987449
-415.949663 1283.834480 833.441499
-416.094874 1283.287971 832.895022
-416.240215 1282.740969 832.348017
-416.385685 1282.193483 831.800481
-416.531318 1281.645386 831.252423
-416.677079 1281.096804 830.703833
-416.822971 1280.547729 830.154710
-416.969025 1279.998048 829.605061
-417.115208 1279.447878 829.054876
-417.261523 1278.897214 828.504155
-417.408970 1278.342285 827.953173
-417.579740 1277.699584 827.408011
-417.806101 1276.847658 826.877305
-418.149845 1275.553957 826.377392
-417.057630 1275.212770 892.614610
-416.482470 1277.386593 891.722841
-416.241689 1278.296627 891.002187
-416.057138 1278.994138 890.310876
-415.874751 1279.683471 889.621523
-415.692623 1280.371825 888.933166
-415.510751 1281.059208 888.245802
-415.329143 1281.745598 887.559431
-415.147821 1282.430904 886.874062
-414.966727 1283.115350 886.189665
-414.785922 1283.798704 885.506268
-414.605344 1284.481199 884.823837
-414.425056 1285.162600 884.142402
-414.245027 1285.843022 883.461945
-414.065227 1286.522575 882.782450
-413.885713 1287.201050 882.103941
-413.706458 1287.878543 881.426404
-413.527432 1288.555175 880.749822
-413.348663 1289.230833 880.074206
-413.170184 1289.905397 879.399571
-412.991933 1290.579098 878.725883
-412.813938 1291.251831 878.053155
-412.636202 1291.923582 877.381386
-412.458694 1292.594477 876.710559
-412.281473 1293.264283 876.040699
-412.104481 1293.933226 875.371778
-411.927745 1294.601200 874.703806
-411.751270 1295.268191 874.036782
-411.575019 1295.934331 873.370689
-411.399031 1296.599480 872.705541
-411.223295 1297.263673 872.041331
-411.047818 1297.926888 871.378061
-410.872571 1298.589239 870.715716
-410.697552 1299.250724 870.054292
-410.522816 1299.911139 869.393812
-410.348281 1300.570795 868.734238
-410.174031 1301.229373 868.075604
-410.000010 1301.887085 867.417885
-409.826217 1302.543937 866.761076
-409.652678 1303.199831 866.105188
-409.479399 1303.854739 865.450222
-409.306346 1304.508794 864.796160
-409.133520 1305.161988 864.143002
-408.973645 1305.766239 863.496039
-408.852497 1306.224120 862.865861
-408.761027 1306.569829 862.248491
-408.692426 1306.829107 861.640950
-408.642882 1307.016360 861.041534
-408.610002 1307.140629 860.449153
-408.593208 1307.204103 859.863465
-408.590527 1307.214237 859.283575
-408.601414 1307.173089 858.709176
-408.625796 1307.080935 858.140150
-408.665039 1306.932616 857.576950
-408.718588 1306.730228 857.019263
-408.787611 1306.469354 856.467453
-408.874072 1306.142575 855.922182
-408.980782 1305.739263 855.384426
-409.110718 1305.248172 854.855196
-409.249924 1304.722039 854.329013
-409.389288 1304.195313 853.802358
-409.528751 1303.668213 853.275205
-409.668344 1303.140620 852.747567
-409.808094 1302.612435 852.219451
-409.947946 1302.083863 851.690837
-410.087957 1301.554689 851.161744
-410.228066 1301.025149 850.632148
-410.368305 1300.495115 850.102062
-410.508702 1299.964481 849.571493
-410.649199 1299.433473 849.040419
-410.789857 1298.901857 848.508861
-410.930643 1298.369754 847.976808
-411.071528 1297.837276 847.444246
-411.212573 1297.304196 846.911196
-411.353745 1296.770636 846.377646
-411.495050 1296.236573 845.843597
-411.636482 1295.702031 845.309046
-411.778045 1295.166993 844.773992
-411.919737 1294.631467 844.238434
-412.061589 1294.095337 843.702382
-412.203540 1293.558833 843.165814
-412.345648 1293.021732 842.628748
-412.487890 1292.484131 842.091174
-412.630259 1291.946047 841.553091
-412.772756 1291.407479 841.014497
-412.915385 1290.868410 840.475392
-413.058174 1290.328737 839.935784
-413.201062 1289.788693 839.395653
-413.344110 1289.248043 838.855016
-413.487286 1288.706906 838.313863
-413.630623 1288.165162 837.772203
-413.774061 1287.623040 837.230015
-413.917656 1287.080320 836.687317
-414.061381 1286.537112 836.144098
-414.205238 1285.993403 835.600359
-414.349252 1285.449100 835.056105
-414.493398 1284.904300 834.511327
-414.637673 1284.359013 833.966025
-414.782079 1283.813231 833.420196
-414.926643 1283.266848 832.873849
-415.071339 1282.719969 832.326974
-415.216162 1282.172611 831.779569
-415.361148 1281.624636 831.231642
-415.506262 1281.076175 830.683183
-415.651508 1280.527217 830.134192
-415.796912 1279.977664 829.584674
-415.942446 1279.427614 829.034622
-416.088112 1278.877071 828.484033
-416.235161 1278.321297 827.933255
-416.406375 1277.674195 827.388553
-416.634171 1276.813236 826.858633
-416.985185 1275.486577 826.361205
-413.913783 1275.936769 892.419512
-413.488575 1277.561029 891.602329
-413.264976 1278.415161 890.889721
-413.084390 1279.104986 890.199974
-412.904093 1279.793705 889.511240
-412.724051 1280.481453 888.823499
-412.544265 1281.168221 888.136751
-412.364737 1281.854002 887.450994
-412.185464 1282.538811 886.766224
-412.006475 1283.222535 886.082453
-411.827743 1283.905278 885.399666
-411.649236 1284.587161 884.717844
-411.471015 1285.267950 884.037017
-411.293021 1285.947870 883.357152
-411.115311 1286.626712 882.678274
-410.937827 1287.304684 882.000355
-410.760629 1287.981569 881.323420
-410.583658 1288.657584 880.647439
-410.406967 1289.332527 879.972436
-410.230507 1290.006592 879.298384
-410.054300 1290.679688 878.625293
-409.878348 1291.351809 877.953160
-409.702623 1292.023066 877.281971
-409.527183 1292.693234 876.611750
-409.351965 1293.362553 875.942467
-409.177005 1294.030888 875.274135
-409.002300 1294.698245 874.606752
-408.827851 1295.364625 873.940315
-408.653625 1296.030155 873.274808
-408.479655 1296.694706 872.610243
-408.305910 1297.358400 871.946603
-408.132421 1298.021116 871.283902
-407.959186 1298.682859 870.622137
-407.786176 1299.343744 869.961291
-407.613420 1300.003657 869.301377
-407.440919 1300.662597 868.642391
-407.268643 1301.320678 867.984320
-407.096621 1301.977787 867.327173
-406.924825 1302.634036 866.670937
-406.753254 1303.289424 866.015608
-406.581936 1303.943846 865.361198
-406.410874 1304.597287 864.707705
-406.240034 1305.249881 864.055113
-406.086709 1305.835572 863.410688
-405.971700 1306.274899 862.783014
-405.884363 1306.608518 862.167415
-405.819236 1306.857296 861.561451
-405.772676 1307.035154 860.963477
-405.742414 1307.150753 860.372444
-405.726881 1307.210087 859.787607
-405.726306 1307.212283 859.208962
-405.739121 1307.163332 858.635780
-405.765166 1307.063840 858.067911
-405.805047 1306.911499 857.505510
-405.860108 1306.701170 856.949019
-405.930603 1306.431885 856.398441
-406.018515 1306.096069 855.854453
-406.126749 1305.682622 855.318075
-406.257517 1305.183099 854.790034
-406.395214 1304.657108 854.264163
-406.533009 1304.130743 853.737797
-406.670903 1303.603997 853.210936
-406.808953 1303.076659 852.683599
-406.947131 1302.548826 852.155776
-407.085438 1302.020507 851.627465
-407.223873 1301.491695 851.098666
-407.362434 1300.962402 850.569376
-407.501125 1300.432614 850.039595
-407.639943 1299.902339 849.509322
-407.778889 1299.371577 848.978555
-407.917963 1298.840327 848.447294
-408.057164 1298.308588 847.915538
-408.196523 1297.776250 847.383295
-408.335980 1297.243535 846.850544
-408.475568 1296.710320 846.317296
-408.615310 1296.176516 845.783557
-408.755152 1295.642331 845.249307
-408.895150 1295.107549 844.714565
-409.035280 1294.572266 844.179321
-409.175504 1294.036621 843.643561
-409.315887 1293.500367 843.107307
-409.456430 1292.963503 842.570557
-409.597070 1292.426270 842.033288
-409.737839 1291.888543 841.495512
-409.878763 1291.350224 840.957235
-410.019819 1290.811404 840.418447
-410.161001 1290.272100 839.879148
-410.302313 1289.732300 839.339335
-410.443751 1289.192015 838.799009
-410.585348 1288.651128 838.258176
-410.727043 1288.109863 837.716818
-410.868896 1287.567995 837.174951
-411.010879 1287.025631 836.632566
-411.153019 1286.482668 836.089671
-411.295289 1285.939208 835.546255
-411.437686 1285.395264 835.002316
-411.580209 1284.850835 834.457854
-411.722863 1284.305909 833.912868
-411.865677 1283.760372 833.367366
-412.008616 1283.214357 832.821337
-412.151685 1282.667842 832.274781
-412.294913 1282.120724 831.727704
-412.438268 1281.573120 831.180098
-412.581752 1281.025023 830.631960
-412.725395 1280.476315 830.083299
-412.869166 1279.927122 829.534104
-413.013066 1279.377435 828.984375
-413.157125 1278.827144 828.434119
-413.303163 1278.269287 827.883845
-413.476781 1277.606082 827.340662
-413.709295 1276.717896 826.813036
-414.075419 1275.319331 826.321053
-413.300757 1276.025026 892.388241
-412.890422 1277.595829 891.578374
-412.670557 1278.437497 890.867545
-412.490420 1279.127078 890.177937
-412.310541 1279.815673 889.489326
-412.130916 1280.503296 888.801709
-411.951549 1281.189932 888.115084
-411.772463 1281.875491 887.429462
-411.593604 1282.560182 886.744813
-411.415000 1283.243893 886.061150
-411.236683 1283.926511 885.378484
-411.058617 1284.608163 884.696798
-410.880781 1285.288939 884.016077
-410.703228 1285.968629 883.336346
-410.525901 1286.647456 882.657575
-410.348857 1287.325197 881.979790
-410.172041 1288.002068 881.302961
-409.995508 1288.677852 880.627113
-409.819200 1289.352780 879.952216
-409.643145 1290.026733 879.278281
-409.467346 1290.699710 878.605308
-409.291804 1291.371704 877.933295
-409.116515 1292.042728 877.262237
-408.941451 1292.712889 876.592120
-408.766643 1293.382073 875.922956
-408.592088 1294.050287 875.254741
-408.417787 1294.717531 874.587474
-408.243740 1295.383797 873.921153
-408.069920 1296.049198 873.255763
-407.896324 1296.713742 872.591300
-407.723013 1297.377194 871.927791
-407.549924 1298.039795 871.265205
-407.377091 1298.701418 870.603554
-407.204483 1299.362180 869.942824
-407.032128 1300.021971 869.283024
-406.860027 1300.680790 868.624153
-406.688151 1301.338749 867.966196
-406.516500 1301.995848 867.309151
-406.345101 1302.651981 866.653027
-406.173958 1303.307133 865.997825
-406.003038 1303.961433 865.343529
-405.832343 1304.614871 864.690136
-405.661902 1305.267335 864.037657
-405.510082 1305.848517 863.393826
-405.396084 1306.284914 862.766566
-405.309572 1306.616091 862.151323
-405.245126 1306.862797 861.545671
-405.199144 1307.038821 860.947980
-405.169392 1307.152712 860.357212
-405.154309 1307.210451 859.772626
-405.153928 1307.211912 859.194139
-405.167099 1307.161492 858.621190
-405.193531 1307.060306 858.053576
-405.233551 1306.907105 857.491339
-405.288845 1306.695434 856.935061
-405.359638 1306.424432 856.384733
-405.447839 1306.086790 855.841002
-405.556353 1305.671386 855.304893
-405.687317 1305.170044 854.777102
-405.824658 1304.644289 854.251272
-405.962159 1304.117920 853.724971
-406.099756 1303.591184 853.198174
-406.237510 1303.063849 852.670902
-406.375363 1302.536133 852.143133
-406.513344 1302.007929 851.614875
-406.651481 1301.479126 851.086140
-406.789716 1300.949948 850.556904
-406.928108 1300.420171 850.027188
-407.066599 1299.890011 849.496970
-407.205246 1299.359259 848.966268
-407.343992 1298.828125 848.435062
-407.482897 1298.296382 847.903371
-407.621926 1297.764165 847.371184
-407.761086 1297.231447 846.838499
-407.900342 1296.698360 846.305305
-408.039755 1296.164672 845.771622
-408.179298 1295.630488 845.237438
-408.318996 1295.095710 844.702762
-408.458795 1294.560548 844.167574
-408.598720 1294.024900 843.631881
-408.738803 1293.488647 843.095693
-408.878984 1292.952020 842.558989
-409.019321 1292.414796 842.021787
-409.159788 1291.877075 841.484077
-409.300382 1291.338866 840.945858
-409.441103 1290.800173 840.407127
-409.581984 1290.260866 839.867895
-409.722961 1289.721192 839.328140
-409.864098 1289.180904 838.787881
-410.005362 1288.640132 838.247106
-410.146752 1288.098876 837.705815
-410.288302 1287.557009 837.164016
-410.429980 1287.014653 836.621699
-410.571756 1286.471918 836.078853
-410.713720 1285.928467 835.535505
-410.855780 1285.384644 834.991625
-410.997999 1284.840216 834.447231
-411.140348 1284.295290 833.902314
-411.282825 1283.749875 833.356871
-411.425458 1283.203860 832.810911
-411.568190 1282.657467 832.264414
-411.711110 1282.110357 831.717406
-411.854128 1281.562867 831.169860
-411.997304 1281.014778 830.621791
-412.140609 1280.466191 830.073190
-412.284043 1279.917111 829.524056
-412.427635 1279.367427 828.974397
-412.571354 1278.817254 828.424201
-412.717207 1278.258915 827.874033
-412.891349 1277.592282 827.331167
-413.124703 1276.698978 826.803976
-413.493806 1275.286013 826.313082
-412.688024 1276.113158 892.357034
-412.292473 1277.630616 891.554466
-412.076386 1278.459593 890.845444
-411.896667 1279.149050 890.155960
-411.717204 1279.837528 889.467471
-411.537996 1280.525026 888.779976
-411.359043 1281.211545 888.093474
-411.180374 1281.896978 887.407974
-411.001930 1282.581544 886.723447
-410.823742 1283.265130 886.039905
-410.645837 1283.947630 885.357360
-410.468185 1284.629156 884.675795
-410.290760 1285.309814 883.995194
-410.113619 1285.989384 883.315583
-409.936704 1286.668086 882.636933
-409.760072 1287.345701 881.959267
-409.583663 1288.022460 881.282557
-409.407540 1288.698124 880.606828
