X Y Z
709.537970 1274.325315 -826.179067
710.057667 1276.268923 -826.614009
710.327959 1277.279783 -827.124293
710.524160 1278.013551 -827.656661
710.679395 1278.594111 -828.201153
710.825593 1279.140876 -828.747908
710.971658 1279.687141 -829.294141
711.117588 1280.232902 -829.839854
711.263361 1280.778076 -830.385055
711.409001 1281.322752 -830.929738
711.554511 1281.866944 -831.473903
711.699860 1282.410529 -832.017562
711.845106 1282.953734 -832.560696
711.990190 1283.496333 -833.103326
712.135146 1284.038448 -833.645442
712.279970 1284.580075 -834.187045
712.424632 1285.121091 -834.728149
712.569197 1285.661747 -835.268731
712.713597 1286.201787 -835.808817
712.857898 1286.741458 -836.348383
713.002035 1287.280512 -836.887454
713.146015 1287.818981 -837.426029
713.289891 1288.357061 -837.964091
713.433638 1288.894658 -838.501649
713.577255 1289.431768 -839.038704
713.720707 1289.968262 -839.575270
713.864063 1290.504397 -840.111324
714.007255 1291.039917 -840.646891
714.150318 1291.574956 -841.181960
714.293249 1292.109502 -841.716533
714.436048 1292.643551 -842.250611
714.578750 1293.177242 -842.784181
714.721289 1293.710319 -843.317271
714.863701 1294.242923 -843.849867
715.005979 1294.775027 -844.381972
715.148127 1295.306643 -844.913588
715.290145 1295.837774 -845.444714
715.432029 1296.368404 -845.975353
715.573787 1296.898562 -846.505504
715.715411 1297.428219 -847.035170
715.856905 1297.957391 -847.564352
715.998272 1298.486086 -848.093048
716.139506 1299.014286 -848.621263
716.280611 1299.542001 -849.148996
716.421580 1300.069209 -849.676250
716.562455 1300.596066 -850.203011
716.703169 1301.122319 -850.729305
716.843749 1301.648071 -851.255124
716.984233 1302.173467 -851.780452
717.124584 1302.698362 -852.305307
717.264774 1303.222654 -852.829700
717.404865 1303.746580 -853.353607
717.544830 1304.270031 -853.877040
717.684659 1304.792976 -854.400005
717.824390 1305.315555 -854.922486
717.952533 1305.794795 -855.449341
718.057179 1306.186158 -855.985704
718.142008 1306.503407 -856.530151
718.209577 1306.756107 -857.081714
718.261738 1306.951182 -857.639702
718.299565 1307.092652 -858.203750
718.323326 1307.181516 -858.773832
718.332532 1307.215943 -859.350252
718.327929 1307.198731 -859.932774
718.308801 1307.127193 -860.521805
718.273975 1306.996948 -861.117956
718.221391 1306.800291 -861.722247
718.148636 1306.528194 -862.335873
718.050782 1306.162231 -862.961181
717.920811 1305.676155 -863.601507
717.752025 1305.044915 -864.260100
717.574659 1304.381588 -864.923401
717.397062 1303.717398 -865.587635
717.219177 1303.052127 -866.252832
717.041061 1302.385993 -866.918967
716.862710 1301.718982 -867.586043
716.684074 1301.050905 -868.254087
716.505204 1300.381951 -868.923076
716.326045 1299.711918 -869.593038
716.146655 1299.041023 -870.263948
715.967002 1298.369139 -870.935825
715.787092 1297.696297 -871.608666
715.606947 1297.022578 -872.282463
715.426513 1296.347775 -872.957244
715.245816 1295.671990 -873.633000
715.064862 1294.995241 -874.309730
714.883645 1294.317512 -874.987438
714.702196 1293.638916 -875.666111
714.520456 1292.959228 -876.345781
714.338454 1292.278562 -877.026436
714.156192 1291.596924 -877.708077
713.973667 1290.914300 -878.390707
713.790884 1290.230714 -879.074327
713.607803 1289.546014 -879.758958
713.424497 1288.860472 -880.444566
713.240898 1288.173833 -881.131187
713.057034 1287.486202 -881.818811
712.872912 1286.797609 -882.507435
712.688494 1286.107905 -883.197081
712.503818 1285.417240 -883.887731
712.318880 1284.725592 -884.579392
712.133676 1284.032952 -885.272065
711.948184 1283.339233 -885.965765
711.762431 1282.644539 -886.660481
711.576384 1281.948744 -887.356232
711.390071 1281.251958 -888.053005
711.203499 1280.554198 -888.750800
711.016636 1279.855352 -889.449636
710.829510 1279.155526 -890.149498
710.642089 1278.454591 -890.850409
710.414129 1277.602048 -891.574087
709.972605 1275.950801 -892.414537
710.671697 1274.133301 -826.170616
711.227306 1276.219967 -826.593746
711.500138 1277.244624 -827.102768
711.697887 1277.987300 -827.634263
711.853384 1278.571290 -828.178329
711.998935 1279.117925 -828.724955
712.144352 1279.664061 -829.271059
712.289610 1280.209595 -829.816652
712.434768 1280.754759 -830.361715
712.579767 1281.299320 -830.906269
712.724601 1281.843264 -831.450317
712.869336 1282.386838 -831.993839
713.013911 1282.929810 -832.536855
713.158388 1283.472412 -833.079346
713.302700 1284.014397 -833.621336
713.446853 1284.555781 -834.162824
713.590906 1285.096795 -834.703790
713.734800 1285.637207 -835.244257
713.878595 1286.177250 -835.784205
714.022225 1286.716672 -836.323658
714.165726 1287.255610 -836.862603
714.309098 1287.794062 -837.401044
714.452341 1288.332030 -837.938979
714.595422 1288.869393 -838.476423
714.738402 1289.406371 -839.013355
714.881221 1289.942750 -839.549797
715.023941 1290.478753 -840.085728
715.166502 1291.014162 -840.621171
715.308932 1291.549079 -841.156117
715.451260 1292.083611 -841.690556
715.593433 1292.617559 -842.224510
715.735470 1293.151000 -842.757971
715.877379 1293.683959 -843.290938
716.019158 1294.216431 -843.823413
716.160808 1294.748417 -844.355397
716.302325 1295.279902 -844.886892
716.443716 1295.810915 -845.417897
716.584973 1296.341426 -845.948416
716.726101 1296.871452 -846.478447
716.867104 1297.401007 -847.007992
717.007973 1297.930060 -847.537053
717.148713 1298.458628 -848.065631
717.289318 1298.986689 -848.593728
717.429799 1299.514286 -849.121342
717.570181 1300.041509 -849.648463
717.710398 1300.568114 -850.175119
717.850489 1301.094248 -850.701295
717.990478 1301.619995 -851.226983
718.130338 1302.145256 -851.752195
718.270038 1302.669920 -852.276945
718.409641 1303.194221 -852.801206
718.549112 1303.718022 -853.324997
718.688453 1304.241338 -853.848315
718.827662 1304.764154 -854.371164
718.966744 1305.286496 -854.893543
719.095358 1305.769523 -855.419839
719.200800 1306.165526 -855.955539
719.286317 1306.486695 -856.499399
719.354607 1306.743169 -857.050384
719.407488 1306.941771 -857.607817
719.446068 1307.086663 -858.171316
719.470185 1307.177239 -858.741043
719.480265 1307.215095 -859.316904
719.476622 1307.201414 -859.898849
719.458552 1307.133550 -860.487279
719.424713 1307.006462 -861.082886
719.373195 1306.812979 -861.686624
719.301985 1306.545539 -862.299514
719.206781 1306.187988 -862.923625
719.079272 1305.709112 -863.562887
718.912953 1305.084477 -864.220474
718.736424 1304.421497 -864.883525
718.559611 1303.757450 -865.547534
718.382565 1303.092532 -866.212479
718.205260 1302.426638 -866.878375
718.027695 1301.759769 -867.545224
717.849869 1301.091917 -868.213029
717.671817 1300.423217 -868.881776
717.493501 1299.753528 -869.551485
717.314932 1299.082886 -870.222152
717.136099 1298.411256 -870.893784
716.957003 1297.738636 -871.566385
716.777654 1297.065065 -872.239951
716.598039 1296.390498 -872.914489
716.418168 1295.714966 -873.589999
716.238065 1295.038566 -874.266470
716.057676 1294.361088 -874.943931
715.877021 1293.682615 -875.622374
715.696108 1293.003170 -876.301797
715.514938 1292.322761 -876.982203
715.333503 1291.641359 -877.663597
715.151810 1290.958984 -878.345978
714.969856 1290.275632 -879.029350
714.787644 1289.591308 -879.713713
714.605139 1288.905887 -880.399088
714.422373 1288.219481 -881.085460
714.239379 1287.532225 -881.772814
714.056064 1286.843760 -882.461202
713.872515 1286.154415 -883.150580
713.688676 1285.463982 -883.840979
713.504579 1284.772579 -884.532385
713.320220 1284.080194 -885.224803
713.135569 1283.386713 -885.918249
712.950661 1282.692264 -886.612710
712.765491 1281.996832 -887.308188
712.580025 1281.300291 -888.004704
712.394300 1280.602776 -888.702242
712.208288 1279.904181 -889.400818
712.022013 1279.204598 -890.100423
711.835442 1278.503906 -890.801075
711.615460 1277.677734 -891.520718
711.209952 1276.154791 -892.342308
711.234372 1274.021854 -826.167692
711.811645 1276.194458 -826.583739
712.086044 1277.227176 -827.092036
712.284544 1277.974243 -827.623099
712.440168 1278.559943 -828.166953
712.585408 1279.106563 -828.713510
712.730488 1279.652580 -829.259555
712.875441 1280.198119 -829.805078
713.020232 1280.743050 -830.350092
713.164921 1281.287595 -830.894578
713.309451 1281.831544 -831.438556
713.453851 1282.375004 -831.982019
713.598122 1282.917975 -832.524966
713.742260 1283.460448 -833.067400
713.886238 1284.002319 -833.609331
714.030087 1284.543702 -834.150751
714.173837 1285.084714 -834.691649
714.317393 1285.624998 -835.232059
714.460854 1286.164921 -835.771950
714.604182 1286.704346 -836.311334
714.747351 1287.243171 -836.850222
714.890420 1287.781620 -837.388594
715.033327 1288.319460 -837.926475
715.176103 1288.856806 -838.463852
715.318755 1289.393685 -839.000726
715.461273 1289.930061 -839.537101
715.603662 1290.465950 -840.072975
715.745918 1291.001342 -840.608353
715.888048 1291.536257 -841.143231
716.030046 1292.070674 -841.677615
716.171885 1292.604492 -842.211514
716.313622 1293.137931 -842.744908
716.455202 1293.670775 -843.277820
716.596682 1294.203245 -843.810229
716.738003 1294.735116 -844.342158
716.879221 1295.266598 -844.873587
717.020284 1295.797496 -845.404537
717.161243 1296.328005 -845.934989
717.302043 1296.857915 -846.464967
717.442744 1297.387453 -846.994447
717.583316 1297.916504 -847.523442
717.723729 1298.444956 -848.051966
717.864037 1298.973014 -848.579998
718.004222 1299.500608 -849.107546
718.144242 1300.027582 -849.634628
718.284168 1300.554205 -850.161217
718.423960 1301.080321 -850.687330
718.563624 1301.605952 -851.212965
718.703162 1302.131113 -851.738123
718.842565 1302.655767 -852.262808
718.981872 1303.180056 -852.787006
719.121018 1303.703741 -853.310745
719.260065 1304.227054 -853.833999
719.398952 1304.749763 -854.356795
719.537738 1305.272092 -854.879110
719.666569 1305.756955 -855.405134
719.772374 1306.155161 -855.940516
719.858256 1306.478383 -856.484072
719.926890 1306.736690 -857.034775
719.980116 1306.937010 -857.591936
720.019073 1307.083627 -858.155160
720.043366 1307.175054 -858.724710
720.053904 1307.214717 -859.300280
720.050726 1307.202755 -859.881943
720.033211 1307.136835 -860.470061
719.999676 1307.010624 -861.065478
719.948815 1306.819208 -861.668884
719.878369 1306.554078 -862.281408
719.784308 1306.200075 -862.905001
719.658236 1305.725593 -863.543635
719.493142 1305.104251 -864.200722
719.316990 1304.441294 -864.863666
719.140609 1303.777472 -865.527544
718.963964 1303.112660 -866.192372
718.787037 1302.446781 -866.858162
718.609910 1301.780152 -867.524877
718.432491 1301.112427 -868.192562
718.254844 1300.443840 -868.861190
718.076909 1299.774172 -869.530790
717.898744 1299.103635 -870.201339
717.720321 1298.432131 -870.872850
717.541636 1297.759638 -871.545329
717.362698 1297.086194 -872.218773
717.183525 1296.411865 -872.893175
717.004062 1295.736444 -873.568564
716.824342 1295.060057 -874.244927
716.644362 1294.382690 -874.922267
716.464151 1293.704455 -875.600572
716.283654 1293.025143 -876.279871
716.102897 1292.344852 -876.960154
715.921877 1291.663574 -877.641423
715.740600 1290.981325 -878.323680
715.559062 1290.298097 -879.006927
715.377235 1289.613778 -879.691182
715.195178 1288.928594 -880.376416
715.012827 1288.242305 -881.062664
714.830220 1287.555053 -881.749909
714.647351 1286.866816 -882.438157
714.464227 1286.177617 -883.127405
714.280808 1285.487307 -883.817678
714.097127 1284.796013 -884.508960
713.913193 1284.103766 -885.201248
713.728960 1283.410393 -885.894570
713.544474 1282.716066 -886.588903
713.359726 1282.020758 -887.284253
713.174684 1281.324339 -887.980642
712.989384 1280.626953 -888.678050
712.803790 1279.928458 -889.376501
712.617939 1279.228997 -890.075977
712.431830 1278.528562 -890.776480
712.214777 1277.711669 -891.494671
711.824974 1276.244621 -892.308033
714.728611 1276.056646 -826.534950
715.013468 1277.140142 -827.038759
715.215296 1277.907828 -827.567782
715.371880 1278.503419 -828.110465
715.515496 1279.049687 -828.656706
715.658983 1279.595460 -829.202426
715.802309 1280.140626 -829.747636
715.945507 1280.685302 -830.292327
716.088577 1281.229489 -830.836500
716.231518 1281.773188 -831.380157
716.374303 1282.316293 -831.923307
716.516954 1282.858891 -832.465945
716.659508 1283.401117 -833.008059
