X Y Z
709.567124 1276.054570 -826.534188
709.854094 1277.127801 -827.031143
710.058357 1277.891722 -827.555427
710.217672 1278.487543 -828.094482
710.362952 1279.030874 -828.637815
710.508072 1279.573603 -829.180648
710.653092 1280.115963 -829.722962
710.797982 1280.657834 -830.264768
710.942708 1281.199090 -830.806080
711.087304 1281.739864 -831.346885
711.231769 1282.280145 -831.887187
711.376104 1282.819943 -832.426985
711.520311 1283.359260 -832.966280
711.664382 1283.898068 -833.505076
711.808327 1284.436405 -834.043371
711.952109 1284.974132 -834.581179
712.095787 1285.511470 -835.118479
712.239338 1286.048335 -835.655281
712.382729 1286.584602 -836.191599
712.526016 1287.120479 -836.727412
712.669143 1287.655756 -837.262743
712.812140 1288.190548 -837.797582
712.955038 1288.724971 -838.331918
713.097775 1289.258789 -838.865775
713.240382 1289.792121 -839.399144
713.382886 1290.325071 -839.932013
713.525229 1290.857415 -840.464408
713.667445 1291.389289 -840.996315
713.809560 1291.920781 -841.527726
713.951513 1292.451668 -842.058666
714.093362 1292.982167 -842.589113
714.235055 1293.512084 -843.119089
714.376649 1294.041627 -843.648572
714.518077 1294.570551 -844.177590
714.659411 1295.099124 -844.706115
714.800610 1295.627191 -845.234165
714.941681 1296.154779 -845.761737
715.082624 1296.681891 -846.288834
715.223432 1297.208497 -846.815458
715.364113 1297.734625 -847.341608
715.504658 1298.260247 -847.867289
715.645109 1298.785518 -848.392483
715.785397 1299.310180 -848.917222
715.925588 1299.834477 -849.441478
716.065647 1300.358283 -849.965266
716.205574 1300.881590 -850.488590
716.345374 1301.404429 -851.011445
716.485070 1301.926875 -851.533825
716.624611 1302.448740 -852.055753
716.764046 1302.970212 -852.577207
716.903357 1303.491217 -853.098197
717.042534 1304.011723 -853.618729
717.181610 1304.531852 -854.138788
717.320531 1305.051400 -854.658400
717.456770 1305.560918 -855.178715
717.572577 1305.994021 -855.707855
717.666909 1306.346811 -856.246428
717.743055 1306.631592 -856.793057
717.803047 1306.855954 -857.346916
717.848320 1307.025267 -857.907443
717.879587 1307.142205 -858.474395
717.896136 1307.204095 -859.048200
717.898848 1307.214237 -859.628534
717.887390 1307.171388 -860.215645
717.860789 1307.071900 -860.810086
717.817378 1306.909551 -861.412750
717.754808 1306.675545 -862.024872
717.669775 1306.357531 -862.648169
717.555797 1305.931268 -863.285923
717.403566 1305.361943 -863.942846
717.224241 1304.691288 -864.613732
717.044586 1304.019398 -865.285622
716.864677 1303.346558 -865.958483
716.684473 1302.672619 -866.632336
716.504036 1301.997804 -867.307153
716.323341 1301.322025 -867.982948
716.142383 1300.645266 -868.659726
715.961167 1299.967537 -869.337488
715.779654 1299.288701 -870.016253
715.597912 1298.609007 -870.695992
715.415880 1297.928230 -871.376736
715.233613 1297.246572 -872.058460
715.051057 1296.563832 -872.741194
714.868211 1295.880011 -873.424941
714.685130 1295.195309 -874.109674
714.501760 1294.509526 -874.795423
714.318154 1293.822864 -875.482164
714.134230 1293.135009 -876.169942
713.950075 1292.446290 -876.858712
713.765625 1291.756468 -877.548512
713.580916 1291.065679 -878.239323
713.395912 1290.373788 -878.931168
713.210644 1289.680906 -879.624033
713.025119 1288.987066 -880.317916
712.839298 1288.292117 -881.012841
712.653215 1287.596185 -881.708790
712.466843 1286.899177 -882.405782
712.280205 1286.201172 -883.103806
712.093275 1285.502075 -883.802878
711.906082 1284.801997 -884.502985
711.718600 1284.100835 -885.204144
711.530849 1283.398671 -885.906346
711.342809 1282.695423 -886.609604
711.154479 1281.991092 -887.313921
710.965854 1281.285654 -888.019304
710.776965 1280.579231 -888.725735
710.587810 1279.871814 -889.433220
710.398336 1279.163203 -890.141789
710.208600 1278.453614 -890.851414
709.976137 1277.584230 -891.586376
709.498875 1275.799326 -892.462911
710.150619 1276.024420 -826.523516
710.439921 1277.108648 -827.019411
710.644634 1277.875859 -827.543331
710.804494 1278.474977 -828.082014
710.949469 1279.018306 -828.625278
711.094286 1279.561040 -829.168042
711.238967 1280.103271 -829.710299
711.383522 1280.645023 -830.252048
711.527945 1281.186283 -830.793290
711.672236 1281.727051 -831.334028
711.816368 1282.267222 -831.874272
711.960397 1282.807005 -832.414004
712.104269 1283.346202 -832.953242
712.248039 1283.885014 -833.491970
712.391647 1284.423222 -834.030210
712.535127 1284.960947 -834.567950
712.678473 1285.498170 -835.105194
712.821691 1286.034916 -835.641940
712.964779 1286.571171 -836.178192
713.107735 1287.106934 -836.713950
713.250561 1287.642210 -837.249214
713.393257 1288.176999 -837.783986
713.535824 1288.711302 -838.318267
713.678258 1289.245109 -838.852058
713.820535 1289.778326 -839.385372
713.962708 1290.311154 -839.918187
714.104753 1290.843503 -840.450515
714.246666 1291.375360 -840.982357
714.388451 1291.906730 -841.513715
714.530105 1292.437615 -842.044589
714.671630 1292.968014 -842.574981
714.813021 1293.497913 -843.104892
714.954287 1294.027341 -843.634322
715.095419 1294.556269 -844.163274
715.236425 1295.084721 -844.691746
715.377328 1295.612791 -845.219730
715.518070 1296.140257 -845.747250
715.658683 1296.667239 -846.274296
715.799197 1297.193848 -846.800854
715.939580 1297.719967 -847.326940
716.079835 1298.245607 -847.852554
716.219959 1298.770756 -848.377697
716.359948 1299.295400 -848.902373
716.499814 1299.819581 -849.426577
716.639549 1300.343272 -849.950314
716.779180 1300.866576 -850.473573
716.918685 1301.389405 -850.996365
717.058059 1301.911741 -851.518693
717.197300 1302.433581 -852.040560
717.336418 1302.954959 -852.561961
717.475431 1303.475945 -853.082889
717.614287 1303.996343 -853.603369
717.753043 1304.516363 -854.123378
717.891665 1305.035886 -854.642929
718.027783 1305.546020 -855.163105
718.144063 1305.981808 -855.691851
718.238781 1306.336787 -856.230088
718.315325 1306.623655 -856.776389
718.375714 1306.849978 -857.329933
718.421380 1307.021122 -857.890156
718.452976 1307.139534 -858.456848
718.469846 1307.202761 -859.030406
718.473037 1307.214720 -859.610431
718.462125 1307.173822 -860.197212
718.436135 1307.076420 -860.791303
718.393138 1306.915279 -861.393726
718.331318 1306.683592 -862.005462
718.247544 1306.369629 -862.628145
718.134814 1305.947146 -863.265313
717.984072 1305.382201 -863.921566
717.805452 1304.712779 -864.592185
717.626207 1304.041016 -865.263953
717.446705 1303.368287 -865.936693
717.266943 1302.694586 -866.610407
717.086918 1302.019897 -867.285100
716.906633 1301.344236 -867.960773
716.726087 1300.667596 -868.637428
716.545254 1299.989879 -869.315080
716.364186 1299.311281 -869.993706
716.182858 1298.631712 -870.673320
