X Y Z
614.533286 1308.471307 -850.519583
614.838262 1309.609494 -850.739227
615.028692 1310.320189 -850.988459
615.177028 1310.873787 -851.248451
615.299879 1311.332274 -851.514919
615.405073 1311.724860 -851.785854
615.496884 1312.067505 -852.060166
615.578522 1312.372184 -852.337034
615.654210 1312.654653 -852.615348
615.729051 1312.933964 -852.893745
615.803888 1313.213258 -853.171996
615.878690 1313.492423 -853.450112
615.953431 1313.771363 -853.728098
616.028169 1314.050286 -854.005940
616.102845 1314.328981 -854.283653
616.177486 1314.607546 -854.561230
616.252092 1314.885981 -854.838672
616.326669 1315.164305 -855.115977
616.401211 1315.442499 -855.393147
616.475722 1315.720578 -855.670181
616.550168 1315.998414 -855.947088
616.624613 1316.276249 -856.223851
616.698991 1316.553829 -856.500488
616.773341 1316.831309 -856.776988
616.847684 1317.108758 -857.053347
616.921965 1317.385978 -857.329579
616.996216 1317.663088 -857.605675
617.070431 1317.940063 -857.881638
617.144613 1318.216913 -858.157467
617.218734 1318.493535 -858.433169
617.292850 1318.770140 -858.708730
617.366905 1319.046517 -858.984164
617.440956 1319.322882 -859.259457
617.514943 1319.599003 -859.534625
617.588899 1319.875010 -859.809659
617.662850 1320.151000 -860.084551
617.736740 1320.426762 -860.359318
617.810596 1320.702394 -860.633953
617.884417 1320.977901 -860.908455
617.958178 1321.253180 -861.182833
618.031933 1321.528437 -861.457070
618.105659 1321.803585 -861.731174
618.179320 1322.078494 -862.005154
618.252980 1322.353396 -862.278993
618.326575 1322.628056 -862.552710
618.400136 1322.902591 -862.826295
618.473697 1323.177124 -863.099738
618.547193 1323.451414 -863.373060
618.620658 1323.725589 -863.646249
618.694088 1323.999634 -863.919308
618.767484 1324.273550 -864.192236
618.840850 1324.547356 -864.465032
618.914185 1324.821047 -864.737696
618.987454 1325.094490 -865.010241
619.060720 1325.367922 -865.282645
619.133955 1325.641239 -865.554918
619.207125 1325.914313 -865.827071
619.280292 1326.187375 -866.099084
619.353396 1326.460205 -866.370976
619.426466 1326.732905 -866.642740
619.499537 1327.005608 -866.914362
619.572542 1327.278069 -867.185866
619.645517 1327.550415 -867.457239
619.718457 1327.822631 -867.728483
619.791367 1328.094733 -867.999598
619.864242 1328.366705 -868.270584
619.937081 1328.638547 -868.541442
620.009891 1328.910275 -868.812170
620.082667 1329.181879 -869.082769
620.155410 1329.453362 -869.353240
620.228091 1329.724608 -869.623593
620.300770 1329.995853 -869.893807
620.373416 1330.266968 -870.163893
620.445996 1330.537841 -870.433862
620.518575 1330.808712 -870.703693
620.591094 1331.079356 -870.973405
620.663604 1331.349968 -871.242981
620.736058 1331.620367 -871.512438
620.808474 1331.890627 -871.781770
620.880888 1332.160881 -872.050964
620.953241 1332.430907 -872.320040
621.025561 1332.700809 -872.588990
621.097847 1332.970581 -872.857813
621.170130 1333.240347 -873.126499
621.242354 1333.509891 -873.395069
621.314539 1333.779290 -873.663513
621.386698 1334.048590 -873.931830
621.458818 1334.317746 -874.200023
621.530907 1334.586787 -874.468088
621.602966 1334.855713 -874.736028
621.674990 1335.124511 -875.003842
621.746980 1335.393179 -875.271532
621.818908 1335.661620 -875.539106
621.890838 1335.930065 -875.806543
621.962727 1336.198360 -876.073858
622.034590 1336.466555 -876.341046
622.106416 1336.734612 -876.608110
622.178183 1337.002452 -876.875059
622.249943 1337.270265 -877.141874
622.321672 1337.537959 -877.408564
622.393341 1337.805431 -877.675140
622.465004 1338.072881 -877.941582
622.536634 1338.340208 -878.207900
622.608201 1338.607302 -878.474105
622.679766 1338.874385 -878.740175
622.751300 1339.141354 -879.006121
622.822768 1339.408076 -879.271956
622.894237 1339.674801 -879.537655
622.963874 1339.934692 -879.803906
623.028081 1340.174314 -880.072070
623.086042 1340.390630 -880.342471
623.138279 1340.585579 -880.614933
623.185411 1340.761480 -880.889237
623.227764 1340.919544 -881.165276
623.265613 1341.060797 -881.442961
623.299268 1341.186400 -881.722186
623.328935 1341.297117 -882.002887
623.354776 1341.393558 -882.285014
623.376887 1341.476076 -882.568541
623.395398 1341.545160 -882.853430
623.409821 1341.598990 -883.139883
623.420620 1341.639291 -883.427731
623.427977 1341.666748 -883.716914
623.431806 1341.681038 -884.007479
623.432097 1341.682121 -884.299439
623.428763 1341.669681 -884.592840
623.421696 1341.643307 -884.887737
623.410806 1341.602664 -885.184176
623.395759 1341.546507 -885.482303
623.376267 1341.473761 -885.782245
623.352356 1341.384524 -886.084006
623.323769 1341.277839 -886.387702
623.290110 1341.152222 -886.693507
623.250924 1341.005976 -887.001621
623.205624 1340.836913 -887.312296
623.153453 1340.642210 -887.625859
623.092618 1340.415170 -887.943057
623.022391 1340.153078 -888.264213
622.941109 1339.849730 -888.590034
622.851224 1339.514275 -888.919555
622.760398 1339.175307 -889.249667
622.669531 1338.836187 -889.580005
622.578600 1338.496829 -889.910578
622.487604 1338.157227 -890.241387
622.396513 1337.817269 -890.572445
622.305386 1337.477180 -890.903727
622.214191 1337.136838 -891.235247
622.122934 1336.796261 -891.567003
622.031583 1336.455334 -891.899008
621.940191 1336.114254 -892.231241
621.848739 1335.772952 -892.563709
621.757219 1335.431391 -892.896418
621.665636 1335.089602 -893.229363
621.573955 1334.747442 -893.562561
621.482238 1334.405150 -893.895986
621.390456 1334.062615 -894.229649
621.298611 1333.719843 -894.563552
621.206668 1333.376709 -894.897708
621.114690 1333.033443 -895.232091
621.022649 1332.689940 -895.566714
620.930511 1332.346075 -895.901591
620.838335 1332.002071 -896.236697
620.746066 1331.657719 -896.572057
620.653760 1331.313228 -896.907645
620.561359 1330.968381 -897.243489
620.468924 1330.623412 -897.579560
620.376393 1330.278079 -897.915888
620.283796 1329.932502 -898.252458
620.191164 1329.586794 -898.589258
620.098434 1329.240725 -898.926314
620.005642 1328.894419 -899.263614
619.912780 1328.547854 -899.601158
619.819856 1328.201055 -899.938946
619.726864 1327.854005 -900.276979
619.633811 1327.506727 -900.615254
619.540687 1327.159184 -900.953777
619.447500 1326.811404 -901.292544
619.354248 1326.463382 -901.631556
619.260928 1326.115110 -901.970814
619.167516 1325.766490 -902.310331
619.074063 1325.417717 -902.650082
618.980518 1325.068604 -902.990092
618.886906 1324.719240 -903.330350
618.793262 1324.369754 -903.670840
618.699518 1324.019898 -904.011592
618.605710 1323.669800 -904.352592
618.511836 1323.319458 -904.693840
618.417897 1322.968874 -905.035335
618.323859 1322.617920 -905.377094
618.229791 1322.266851 -905.719087
618.135651 1321.915518 -906.061330
618.041422 1321.563851 -906.403834
617.947123 1321.211921 -906.746590
617.852788 1320.859860 -907.089582
617.758359 1320.507444 -907.432838
617.663865 1320.154786 -907.776343
617.569301 1319.801871 -908.120102
617.474647 1319.448616 -908.464123
617.379952 1319.095209 -908.808383
617.285164 1318.741455 -909.152909
617.190339 1318.387564 -909.497672
617.095419 1318.033318 -909.842702
617.000434 1317.678831 -910.187983
616.905385 1317.324101 -910.533517
616.810264 1316.969107 -910.879307
616.715055 1316.613781 -911.225361
616.619805 1316.258303 -911.571657
616.524460 1315.902471 -911.918220
616.429050 1315.546397 -912.265038
616.333570 1315.190059 -912.612112
616.238031 1314.833501 -912.959438
616.142420 1314.476680 -913.307022
616.046716 1314.119504 -913.654874
615.950944 1313.762080 -914.002984
615.855110 1313.404421 -914.351347
615.759208 1313.046513 -914.699967
615.663243 1312.688364 -915.048844
615.565440 1312.323359 -915.398846
615.453446 1311.905393 -915.756056
615.310739 1311.372801 -916.128663
615.108535 1310.618165 -916.530980
616.572631 1309.396363 -850.722792
616.786014 1310.197753 -850.965571
616.944437 1310.792732 -851.222553
617.073832 1311.278690 -851.486976
617.183823 1311.691776 -851.756347
617.279707 1312.051885 -852.029300
617.363532 1312.366699 -852.305325
617.439947 1312.653686 -852.583197
617.514313 1312.932977 -852.861479
617.588647 1313.212150 -853.139623
617.662917 1313.491083 -853.417639
617.737189 1313.770019 -853.695509
617.811394 1314.048707 -853.973252
617.885596 1314.327383 -854.250851
617.959737 1314.605830 -854.528321
618.033847 1314.884162 -854.805654
618.107920 1315.162353 -855.082854
618.181961 1315.440425 -855.359917
618.255973 1315.718386 -855.636844
618.329920 1315.996104 -855.913644
618.403863 1316.273805 -856.190302
618.477744 1316.551278 -856.466832
618.551623 1316.828738 -856.743219
618.625436 1317.105955 -857.019480
618.699219 1317.383058 -857.295606
618.772967 1317.660030 -857.571598
618.846685 1317.936887 -857.847455
618.920369 1318.213618 -858.123178
618.994023 1318.490235 -858.398766
619.067641 1318.766717 -858.674222
619.141197 1319.042965 -858.949552
619.214750 1319.319207 -859.224739
619.288244 1319.595220 -859.499802
619.361699 1319.871093 -859.774732
619.435155 1320.146965 -860.049519
619.508549 1320.422608 -860.324182
619.581909 1320.698122 -860.598712
619.655234 1320.973505 -860.873111
619.728529 1321.248774 -861.147375
619.801760 1321.523804 -861.421517
619.874991 1321.798832 -861.695517
619.948187 1322.073731 -861.969385
620.021319 1322.348386 -862.243130
620.094450 1322.623040 -862.516734
620.167520 1322.897466 -862.790215
620.240588 1323.171880 -863.063555
620.313589 1323.446046 -863.336774
620.386557 1323.720087 -863.609861
620.459494 1323.994013 -863.882817
620.532401 1324.267825 -864.155641
620.605273 1324.541506 -864.428334
620.678111 1324.815058 -864.700898
620.750919 1325.088500 -864.973330
620.823693 1325.361812 -865.245631
620.896405 1325.634892 -865.517812
620.969113 1325.907960 -865.789853
621.041757 1326.180784 -866.061775
621.114401 1326.453607 -866.333556
621.186984 1326.726203 -866.605216
621.259563 1326.998782 -866.876737
621.332078 1327.271123 -867.148139
621.404557 1327.543329 -867.419413
621.477011 1327.815440 -867.690554
621.549457 1328.087520 -867.961559
621.621842 1328.359373 -868.232444
621.694197 1328.631110 -868.503200
621.766513 1328.902703 -868.773828
621.838802 1329.174197 -869.044326
621.911023 1329.445432 -869.314708
621.983248 1329.716681 -869.584950
622.055435 1329.987791 -869.855065
622.127591 1330.258781 -870.125051
622.199717 1330.529661 -870.394909
622.271777 1330.800294 -870.664650
622.343835 1331.070915 -870.934253
622.415831 1331.341309 -871.203739
622.487824 1331.611686 -871.473087
622.559756 1331.881836 -871.742318
622.631683 1332.151969 -872.011413
622.703550 1332.421875 -872.280390
622.775382 1332.691651 -872.549241
