X Y Z
709.221257 1275.355224 -826.329661
709.586938 1276.719963 -826.814005
709.822673 1277.599739 -827.336331
709.999755 1278.260619 -827.875654
710.148579 1278.816036 -828.422986
710.295245 1279.363400 -828.970411
710.441779 1279.910275 -829.517311
710.588185 1280.456670 -830.063687
710.734455 1281.002557 -830.609543
710.880565 1281.547847 -831.154885
711.026546 1282.092653 -831.699707
711.172395 1282.636970 -832.244010
711.318111 1283.180789 -832.787796
711.463696 1283.724119 -833.331065
711.609119 1284.266848 -833.873828
711.754410 1284.809078 -834.416076
711.899573 1285.350835 -834.957810
712.044603 1285.892094 -835.499033
712.189468 1286.432737 -836.039755
712.334236 1286.973020 -836.579956
712.478840 1287.512687 -837.119659
712.623314 1288.051872 -837.658854
712.767657 1288.590569 -838.197541
712.911871 1289.128783 -838.735723
713.055919 1289.666377 -839.273412
713.199872 1290.203616 -839.810585
713.343660 1290.740240 -840.347267
713.487349 1291.276495 -840.883437
713.630872 1291.812130 -841.419118
713.774269 1292.347297 -841.954299
713.917533 1292.881963 -842.488983
714.060664 1293.416137 -843.023171
714.203666 1293.949829 -843.556862
714.346540 1294.483040 -844.090057
714.489277 1295.015744 -844.622761
714.631889 1295.547976 -845.154970
714.774366 1296.079707 -845.686689
714.916714 1296.610957 -846.217917
715.058930 1297.141715 -846.748656
715.200986 1297.671875 -847.278918
715.342943 1298.201666 -847.808681
715.484764 1298.730952 -848.337959
715.626460 1299.259766 -848.866751
715.768021 1299.788080 -849.395060
715.909452 1300.315908 -849.922886
716.050753 1300.843250 -850.450229
716.191924 1301.370107 -850.977092
716.332965 1301.896479 -851.503475
716.473876 1302.422366 -852.029379
716.614655 1302.947761 -852.554806
716.755331 1303.472770 -853.079745
716.895852 1303.997202 -853.604219
717.036266 1304.521234 -854.128209
717.176522 1305.044676 -854.651736
717.314094 1305.558104 -855.175847
717.430932 1305.994149 -855.708059
717.525852 1306.348393 -856.248998
717.602291 1306.633668 -856.797359
717.662375 1306.857905 -857.352365
717.707609 1307.026722 -857.913481
717.738753 1307.142950 -858.480479
717.755268 1307.204588 -859.053677
717.757820 1307.214111 -859.632884
717.746274 1307.171020 -860.218247
717.719716 1307.071903 -860.810252
717.676472 1306.910517 -861.409726
717.614296 1306.678473 -862.017761
717.530332 1306.365112 -862.635737
717.418043 1305.946045 -863.266689
717.268694 1305.388669 -863.914685
717.092036 1304.729369 -864.575601
716.914654 1304.067371 -865.237664
716.736984 1303.404299 -865.900681
716.559081 1302.740356 -866.564631
716.380917 1302.075437 -867.229528
716.202523 1301.409663 -867.895360
716.023840 1300.742807 -868.562156
715.844919 1300.075068 -869.229895
715.665746 1299.406382 -869.898586
715.486335 1298.736813 -870.568224
715.306635 1298.066164 -871.238834
715.126674 1297.394541 -871.910407
714.946479 1296.722042 -872.582932
714.766028 1296.048592 -873.256420
714.585311 1295.374146 -873.930880
714.404331 1294.698720 -874.606311
714.223065 1294.022224 -875.282728
714.041563 1293.344852 -875.960107
713.859800 1292.666501 -876.638464
713.677778 1291.987186 -877.317799
713.495491 1291.306884 -877.998117
713.312943 1290.625603 -878.679420
713.130106 1289.943247 -879.361722
712.947033 1289.260009 -880.045001
712.763668 1288.575681 -880.729285
712.580045 1287.890391 -881.414561
712.396186 1287.204220 -882.100818
