X Y Z
710.859904 1275.116340 -826.279128
711.254991 1276.590824 -826.752385
711.499749 1277.504275 -827.270640
711.683079 1278.188469 -827.807093
711.832591 1278.746457 -828.353454
711.979092 1279.293204 -828.900190
712.125432 1279.839354 -829.446413
712.271672 1280.385129 -829.992105
712.417748 1280.930291 -830.537288
712.563697 1281.474980 -831.081951
712.709508 1282.019155 -831.626097
712.855162 1282.562744 -832.169736
713.000683 1283.105835 -832.712860
713.146071 1283.648432 -833.255470
713.291332 1284.190551 -833.797566
713.436460 1284.732176 -834.339149
713.581424 1285.273191 -834.880233
713.726290 1285.813836 -835.420796
713.870993 1286.353875 -835.960861
714.015566 1286.893431 -836.500417
714.160005 1287.432485 -837.039468
714.304319 1287.971071 -837.578012
714.448466 1288.509036 -838.116064
714.592515 1289.046632 -838.653601
714.736398 1289.583613 -839.190647
714.880187 1290.120240 -839.727180
715.023810 1290.656247 -840.263226
715.167303 1291.191771 -840.798772
715.310666 1291.726809 -841.333819
715.453898 1292.261360 -841.868371
715.596996 1292.795409 -842.402427
715.739968 1293.328987 -842.935988
715.882805 1293.862063 -843.469056
716.025512 1294.394652 -844.001632
716.168090 1294.926760 -844.533716
716.310537 1295.458377 -845.065310
716.452818 1295.989379 -845.596427
716.595005 1296.520030 -846.127043
716.737057 1297.050173 -846.657174
716.878978 1297.579830 -847.186818
717.020769 1298.109001 -847.715978
717.162432 1298.637693 -848.244653
717.303963 1299.165893 -848.772845
717.445363 1299.693608 -849.300556
717.586628 1300.220817 -849.827789
717.727769 1300.747561 -850.354539
717.868776 1301.273805 -850.880812
718.009651 1301.799558 -851.406608
718.150430 1302.324954 -851.931914
718.291047 1302.849743 -852.456758
718.431561 1303.374148 -852.981116
718.571947 1303.898074 -853.505000
718.712167 1304.421383 -854.028427
718.852291 1304.944334 -854.551368
718.990975 1305.461910 -855.074389
719.112258 1305.914545 -855.604233
719.211137 1306.283565 -856.143130
719.291178 1306.582282 -856.689704
719.354664 1306.819216 -857.243098
719.402978 1306.999525 -857.802821
719.436142 1307.123296 -858.368961
719.455538 1307.195683 -858.941014
719.461293 1307.217162 -859.519011
719.452757 1307.185303 -860.103326
719.428616 1307.095206 -860.694629
719.388386 1306.945066 -861.293233
719.330003 1306.727178 -861.900161
719.250387 1306.430048 -862.516904
719.144642 1306.035402 -863.145799
719.002686 1305.505615 -863.791564
718.827530 1304.851925 -864.453065
718.649727 1304.188354 -865.116588
718.471692 1303.523920 -865.781045
718.293398 1302.858517 -866.446451
718.114845 1302.192147 -867.112808
717.936056 1301.524899 -867.780107
717.756980 1300.856579 -868.448375
717.577670 1300.187382 -869.117588
717.398100 1299.517218 -869.787761
717.218265 1298.846065 -870.458898
717.038175 1298.173961 -871.130998
716.857849 1297.500973 -871.804052
716.677233 1296.826908 -872.478089
716.496353 1296.151854 -873.153099
716.315247 1295.475955 -873.829065
716.133843 1294.798950 -874.506024
715.952212 1294.121091 -875.183945
715.770286 1293.442134 -875.862863
715.588101 1292.762213 -876.542761
715.405651 1292.081298 -877.223646
715.222972 1291.399531 -877.905501
715.039999 1290.716667 -878.588361
714.856736 1290.032720 -879.272227
714.673237 1289.347893 -879.957074
714.489482 1288.662110 -880.642913
714.305430 1287.975216 -881.329768
714.121115 1287.287346 -882.017624
713.936541 1286.598506 -882.706481
713.751705 1285.908690 -883.396342
713.566576 1285.217778 -884.087227
713.381182 1284.525876 -884.779123
713.195525 1283.832998 -885.472030
713.009580 1283.139040 -886.165965
712.823370 1282.444093 -886.860917
712.636868 1281.748059 -887.556904
712.450131 1281.051147 -888.253896
712.263069 1280.353022 -888.951945
712.075748 1279.653932 -889.651018
711.888165 1278.953860 -890.351118
711.697505 1278.242309 -891.053758
711.436293 1277.267454 -891.795300
715.486734 1274.712775 -826.215950
715.932871 1276.406123 -826.670868
716.188651 1277.376955 -827.183890
716.375219 1278.085088 -827.717817
716.525537 1278.655633 -828.262572
716.669429 1279.201785 -828.808802
716.813222 1279.747562 -829.354501
716.956852 1280.292721 -829.899691
717.100356 1280.837401 -830.444361
717.243700 1281.381473 -830.988523
717.386946 1281.925175 -831.532159
717.530030 1282.468259 -832.075290
717.672986 1283.010860 -832.617907
717.815813 1283.552972 -833.160010
717.958513 1284.094600 -833.701600
718.101084 1284.635740 -834.242679
718.243493 1285.176263 -834.783260
718.385778 1285.716318 -835.323331
718.527930 1286.255864 -835.862895
718.669954 1286.794927 -836.401952
718.811847 1287.333493 -836.940505
718.953614 1287.871580 -837.478552
719.095220 1288.409056 -838.016107
719.236731 1288.946172 -838.553148
719.378080 1289.482673 -839.089700
719.519328 1290.018789 -839.625742
719.660420 1290.554314 -840.161295
719.801384 1291.089357 -840.696349
719.942217 1291.623898 -841.230908
720.082925 1292.157966 -841.764970
720.223501 1292.691532 -842.298539
720.363949 1293.224611 -842.831614
720.504268 1293.757203 -843.364197
720.644459 1294.289308 -843.896288
720.784517 1294.820912 -844.427891
720.924453 1295.352049 -844.959002
721.064259 1295.882693 -845.489625
721.203903 1296.412724 -846.019775
721.343449 1296.942380 -846.549427
721.482867 1297.471551 -847.078593
721.622161 1298.000250 -847.607275
721.761322 1298.528448 -848.135475
721.900356 1299.056160 -848.663193
722.039257 1299.583371 -849.190433
722.178064 1300.110225 -849.717179
722.316712 1300.636473 -850.243459
722.455232 1301.162236 -850.769261
722.593652 1301.687618 -851.294576
722.731916 1302.212410 -851.819427
722.870076 1302.736809 -852.343793
723.008115 1303.260744 -852.867684
723.145990 1303.784060 -853.391117
723.283771 1304.307018 -853.914065
723.421450 1304.829590 -854.436531
723.558970 1305.351558 -854.958542
723.683310 1305.823499 -855.485679
723.784969 1306.209354 -856.022118
723.867623 1306.523070 -856.566416
723.932976 1306.771124 -857.117953
723.983245 1306.961926 -857.675872
724.019457 1307.099370 -858.239821
724.042098 1307.185305 -858.809675
724.050426 1307.216915 -859.385852
724.044893 1307.195912 -859.968242
724.025054 1307.120614 -860.557135
723.989740 1306.986575 -861.153150
723.936996 1306.786382 -861.757270
723.863990 1306.509282 -862.370896
723.766220 1306.138188 -862.996214
723.636578 1305.646122 -863.636644
723.468921 1305.009768 -864.295224
723.294350 1304.347171 -864.957801
723.119553 1303.683716 -865.621309
722.944467 1303.019164 -866.285779
722.769157 1302.353763 -866.951184
722.593620 1301.687499 -867.617527
722.417794 1301.020138 -868.284839
722.241745 1300.351929 -868.953092
722.065436 1299.682736 -869.622303
721.888841 1299.012456 -870.292490
721.712048 1298.341426 -870.963610
721.534969 1297.669308 -871.635710
721.357631 1296.996209 -872.308777
721.180040 1296.322150 -872.982812
721.002217 1295.647208 -873.657806
720.824109 1294.971186 -874.333787
720.645775 1294.294304 -875.010729
720.467154 1293.616336 -875.688663
720.288273 1292.937380 -876.367578
720.109164 1292.257557 -877.047462
719.929770 1291.576656 -877.728344
719.750119 1290.894776 -878.410212
719.570208 1290.211909 -879.093072
719.390040 1289.528070 -879.776921
719.209615 1288.843253 -880.461765
719.028905 1288.157352 -881.147618
718.847964 1287.470578 -881.834456
718.666736 1286.782714 -882.522309
718.485249 1286.093865 -883.211165
718.303474 1285.403926 -883.901042
718.121474 1284.713130 -884.591909
717.939183 1284.021230 -885.283802
717.756604 1283.328241 -885.976723
717.573801 1282.634395 -886.670640
717.390706 1281.939446 -887.365591
717.207325 1281.243410 -888.061576
717.023683 1280.546383 -888.758583
716.839786 1279.848389 -889.456611
716.655597 1279.149285 -890.155684
716.471153 1278.449214 -890.855782
716.246091 1277.594973 -891.578994
715.809053 1275.936162 -892.419716
714.910198 1274.768680 -826.223309
715.348904 1276.430288 -826.680876
715.603229 1277.393550 -827.194583
715.789258 1278.098140 -827.728871
715.939415 1278.666863 -828.273847
716.083643 1279.213129 -828.820136
716.227741 1279.758906 -829.365904
716.371712 1280.304199 -829.911151
716.515520 1280.848874 -830.455890
716.659202 1281.393075 -831.000110
716.802749 1281.936763 -831.543816
716.946172 1282.479982 -832.087004
717.089465 1283.022706 -832.629677
717.232596 1283.564819 -833.171849
717.375630 1284.106562 -833.713497
717.518504 1284.647703 -834.254644
717.661220 1285.188242 -834.795291
717.803834 1285.728396 -835.335420
717.946318 1286.268057 -835.875042
718.088648 1286.807137 -836.414165
718.230873 1287.345817 -836.952775
718.372942 1287.883905 -837.490889
718.514883 1288.421511 -838.028499
718.656691 1288.958614 -838.565609
718.798371 1289.495229 -839.102217
718.939927 1290.031377 -839.638323
719.081320 1290.566904 -840.173942
719.222611 1291.102047 -840.709054
719.363777 1291.636718 -841.243667
719.504781 1292.170774 -841.777796
719.645690 1292.704470 -842.311419
719.786436 1293.237551 -842.844560
719.927084 1293.770258 -843.377197
720.067574 1294.302365 -843.909355
720.207935 1294.833986 -844.441021
720.348198 1295.365238 -844.972187
720.488298 1295.895870 -845.502877
720.628274 1296.426031 -846.033079
720.768147 1296.955803 -846.562785
720.907865 1297.484991 -847.092015
721.047483 1298.013797 -847.620751
721.186941 1298.541998 -848.149016
721.326299 1299.069820 -848.676788
721.465501 1299.597049 -849.204091
721.604604 1300.123905 -849.730901
721.743577 1300.650269 -850.257234
721.882420 1301.176139 -850.783090
722.021137 1301.701533 -851.308468
722.159725 1302.226441 -851.833371
722.298182 1302.750849 -852.357800
722.436513 1303.274781 -852.881756
