X Z Y
713.316369 1274.880851 -826.238076
713.740046 1276.478759 -826.700959
713.990952 1277.425053 -827.216190
714.176279 1278.124019 -827.751078
714.326204 1278.689462 -828.296466
714.471073 1279.235838 -828.842885
714.615817 1279.781744 -829.388780
714.760429 1280.327152 -829.934156
714.904912 1280.872070 -830.479012
715.049235 1281.416386 -831.023360
715.193425 1281.960203 -831.567191
715.337486 1282.503532 -832.110507
715.481389 1283.046263 -832.653317
715.625192 1283.588619 -833.195604
715.768837 1284.130379 -833.737387
715.912347 1284.671630 -834.278661
716.055730 1285.212403 -834.819423
716.198983 1285.752683 -835.359677
716.342107 1286.292480 -835.899422
716.485069 1286.831660 -836.438671
716.627904 1287.370368 -836.977413
716.770638 1287.908691 -837.515641
716.913211 1288.446408 -838.053376
717.055656 1288.983642 -838.590608
717.197969 1289.520379 -839.127339
717.340126 1290.056525 -839.663579
717.482181 1290.592287 -840.199310
717.624105 1291.127557 -840.734543
717.765871 1291.662231 -841.269290
717.907538 1292.196532 -841.803529
718.049047 1292.730232 -842.337284
718.190451 1293.263543 -842.870536
718.331701 1293.796270 -843.403304
718.472850 1294.328613 -843.935571
718.613837 1294.860351 -844.467358
718.754696 1295.391602 -844.998656
718.895456 1295.922480 -845.529453
719.036058 1296.452765 -846.059774
719.176556 1296.982655 -846.589599
719.316899 1297.511961 -847.118949
719.457109 1298.040766 -847.647816
719.597224 1298.569213 -848.176187
719.737177 1299.097046 -848.704088
719.877030 1299.624506 -849.231497
720.016755 1300.151481 -849.758425
720.156320 1300.677852 -850.284888
720.295787 1301.203855 -850.810859
720.435124 1301.729368 -851.336354
720.574333 1302.254395 -851.861374
720.713409 1302.778922 -852.385920
720.852360 1303.302979 -852.909991
720.991181 1303.826546 -853.433590
721.129899 1304.349725 -853.956706
721.268463 1304.872322 -854.479363
721.406504 1305.392943 -855.001718
721.529658 1305.857422 -855.529892
721.630316 1306.237057 -856.067241
721.712076 1306.545415 -856.612361
721.777034 1306.790404 -857.164465
721.826231 1306.975953 -857.723211
721.861317 1307.108281 -858.287978
721.882773 1307.189204 -858.858647
721.890476 1307.218252 -859.435360
721.883487 1307.191894 -860.018621
721.862091 1307.111198 -860.608398
721.824937 1306.971073 -861.205387
721.770110 1306.764291 -861.810553
721.694660 1306.479730 -862.425339
721.593937 1306.099851 -863.051991
721.460652 1305.597166 -863.693993
721.289306 1304.950929 -864.354074
721.113523 1304.287962 -865.017005
720.937515 1303.624144 -865.680866
720.761246 1302.959343 -866.345677
720.584722 1302.293581 -867.011437
720.407938 1301.626835 -867.678151
720.230923 1300.959219 -868.345806
720.053625 1300.290537 -869.014430
719.876093 1299.620971 -869.684001
719.698304 1298.950437 -870.354533
719.520259 1298.278935 -871.026028
719.341983 1297.606565 -871.698474
719.163417 1296.933101 -872.371904
718.984595 1296.258670 -873.046302
718.805543 1295.583371 -873.721658
718.626203 1294.906986 -874.398004
718.446600 1294.229614 -875.075327
718.266774 1293.551396 -875.753612
718.086656 1292.872078 -876.432894
717.906309 1292.191893 -877.113145
717.725671 1291.510617 -877.794397
717.544779 1290.828376 -878.476634
717.363624 1290.145149 -879.159863
717.182207 1289.460929 -879.844086
717.000504 1288.775633 -880.529317
716.818571 1288.089472 -881.215529
716.636350 1287.402220 -881.902756
716.453867 1286.713984 -882.590984
716.271128 1286.024778 -883.280215
716.088099 1285.334483 -883.970466
715.904838 1284.643308 -884.661712
715.721286 1283.951038 -885.353984
715.537449 1283.257695 -886.047282
715.353348 1282.563353 -886.741597
715.168989 1281.868043 -887.436928
714.984371 1281.171751 -888.133279
714.799460 1280.474357 -888.830668
714.614261 1279.775876 -889.529097
714.428804 1279.076420 -890.228551
714.242372 1278.373288 -890.929422
714.005256 1277.479002 -891.658752
713.484221 1275.513906 -892.544236
712.738786 1274.933957 -826.245743
713.155703 1276.503049 -826.711036
713.404866 1277.440789 -827.227035
713.589878 1278.137092 -827.762211
713.739662 1278.700813 -828.307813
713.884871 1279.247317 -828.854290
714.029917 1279.793209 -829.400256
714.174869 1280.338745 -829.945690
714.319657 1280.883664 -830.490615
714.464285 1281.427981 -831.035032
714.608815 1281.971927 -831.578921
714.753181 1282.515256 -832.122306
714.897452 1283.058230 -832.665164
715.041559 1283.600587 -833.207519
715.185503 1284.142328 -833.749372
715.329352 1284.683713 -834.290702
715.473038 1285.224482 -834.831534
715.616629 1285.764897 -835.371843
715.760055 1286.304689 -835.911656
715.903348 1286.843984 -836.450963
716.046518 1287.382812 -836.989762
716.189522 1287.921018 -837.528069
716.332433 1288.458869 -838.065859
716.475209 1288.996218 -838.603147
716.617822 1289.532952 -839.139946
716.760310 1290.069213 -839.676243
716.902669 1290.604992 -840.212040
717.044925 1291.140381 -840.747328
717.187022 1291.675171 -841.282131
717.328988 1292.209467 -841.816437
717.470826 1292.743283 -842.350248
717.612535 1293.276617 -842.883564
717.754110 1293.809443 -843.416389
717.895530 1294.341685 -843.948732
718.036847 1294.873538 -844.480574
718.178035 1295.404911 -845.011926
718.319093 1295.935791 -845.542790
718.460022 1296.466185 -846.073166
718.600821 1296.996093 -846.603055
718.741489 1297.525505 -847.132460
718.882030 1298.054441 -847.661379
