X Y Z
710.860026 1275.116340 -826.279128
711.255113 1276.590824 -826.752385
711.499871 1277.504275 -827.270640
711.683201 1278.188469 -827.807093
711.832713 1278.746457 -828.353454
711.979214 1279.293204 -828.900190
712.125554 1279.839354 -829.446413
712.271794 1280.385129 -829.992105
712.417870 1280.930291 -830.537288
712.563819 1281.474980 -831.081951
712.709630 1282.019155 -831.626097
712.855284 1282.562744 -832.169736
713.000805 1283.105835 -832.712860
713.146193 1283.648432 -833.255470
713.291454 1284.190551 -833.797566
713.436582 1284.732176 -834.339149
713.581546 1285.273191 -834.880233
713.726412 1285.813836 -835.420796
713.871115 1286.353875 -835.960861
714.015688 1286.893431 -836.500417
714.160127 1287.432485 -837.039468
714.304441 1287.971071 -837.578012
714.448588 1288.509036 -838.116064
714.592637 1289.046632 -838.653601
714.736520 1289.583613 -839.190647
714.880309 1290.120240 -839.727180
715.023932 1290.656247 -840.263226
715.167425 1291.191771 -840.798772
715.310788 1291.726809 -841.333819
715.454021 1292.261360 -841.868371
715.597119 1292.795409 -842.402427
715.740090 1293.328987 -842.935988
715.882927 1293.862063 -843.469056
716.025634 1294.394652 -844.001632
716.168212 1294.926760 -844.533716
716.310659 1295.458377 -845.065310
716.452940 1295.989379 -845.596427
716.595128 1296.520030 -846.127043
716.737179 1297.050173 -846.657174
716.879100 1297.579830 -847.186818
717.020891 1298.109001 -847.715978
717.162554 1298.637693 -848.244653
717.304085 1299.165893 -848.772845
717.445485 1299.693608 -849.300556
717.586750 1300.220817 -849.827789
717.727891 1300.747561 -850.354539
717.868898 1301.273805 -850.880812
718.009773 1301.799558 -851.406608
718.150552 1302.324954 -851.931914
718.291169 1302.849743 -852.456758
718.431683 1303.374148 -852.981116
718.572069 1303.898074 -853.505000
718.712289 1304.421383 -854.028427
718.852413 1304.944334 -854.551368
718.991097 1305.461910 -855.074389
719.112380 1305.914545 -855.604233
719.211259 1306.283565 -856.143130
719.291300 1306.582282 -856.689704
719.354786 1306.819216 -857.243098
719.403100 1306.999525 -857.802821
719.436264 1307.123296 -858.368961
719.455660 1307.195683 -858.941014
719.461416 1307.217162 -859.519011
719.452879 1307.185303 -860.103326
719.428738 1307.095206 -860.694629
719.388508 1306.945066 -861.293233
719.330125 1306.727178 -861.900161
719.250509 1306.430048 -862.516904
719.144764 1306.035402 -863.145799
719.002808 1305.505615 -863.791564
718.827652 1304.851925 -864.453065
718.649849 1304.188354 -865.116588
718.471814 1303.523920 -865.781045
718.293520 1302.858517 -866.446451
718.114967 1302.192147 -867.112808
717.936178 1301.524899 -867.780107
717.757102 1300.856579 -868.448375
717.577792 1300.187382 -869.117588
717.398222 1299.517218 -869.787761
717.218387 1298.846065 -870.458898
717.038297 1298.173961 -871.130998
716.857971 1297.500973 -871.804052
716.677355 1296.826908 -872.478089
716.496475 1296.151854 -873.153099
716.315369 1295.475955 -873.829065
716.133966 1294.798950 -874.506024
715.952334 1294.121091 -875.183945
715.770408 1293.442134 -875.862863
715.588224 1292.762213 -876.542761
715.405773 1292.081298 -877.223646
715.223094 1291.399531 -877.905501
715.040121 1290.716667 -878.588361
714.856858 1290.032720 -879.272227
714.673359 1289.347893 -879.957074
714.489604 1288.662110 -880.642913
714.305552 1287.975216 -881.329768
714.121237 1287.287346 -882.017624
713.936663 1286.598506 -882.706481
713.751828 1285.908690 -883.396342
713.566698 1285.217778 -884.087227
713.381304 1284.525876 -884.779123
713.195648 1283.832998 -885.472030
713.009702 1283.139040 -886.165965
712.823492 1282.444093 -886.860917
712.636990 1281.748059 -887.556904
712.450253 1281.051147 -888.253896
712.263191 1280.353022 -888.951945
712.075870 1279.653932 -889.651018
711.888287 1278.953860 -890.351118
711.697627 1278.242309 -891.053758
711.436415 1277.267454 -891.795300
713.757043 1274.880851 -826.238076
714.180720 1276.478759 -826.700959
714.431626 1277.425053 -827.216190
714.616953 1278.124019 -827.751078
714.766878 1278.689462 -828.296466
714.911747 1279.235838 -828.842885
715.056491 1279.781744 -829.388780
715.201103 1280.327152 -829.934156
715.345586 1280.872070 -830.479012
715.489908 1281.416386 -831.023360
715.634099 1281.960203 -831.567191
715.778160 1282.503532 -832.110507
715.922063 1283.046263 -832.653317
716.065866 1283.588619 -833.195604
716.209511 1284.130379 -833.737387
716.353021 1284.671630 -834.278661
716.496404 1285.212403 -834.819423
716.639657 1285.752683 -835.359677
716.782781 1286.292480 -835.899422
716.925742 1286.831660 -836.438671
717.068578 1287.370368 -836.977413
717.211312 1287.908691 -837.515641
717.353885 1288.446408 -838.053376
717.496330 1288.983642 -838.590608
717.638643 1289.520379 -839.127339
717.780800 1290.056525 -839.663579
717.922855 1290.592287 -840.199310
718.064779 1291.127557 -840.734543
718.206545 1291.662231 -841.269290
718.348212 1292.196532 -841.803529
718.489720 1292.730232 -842.337284
718.631125 1293.263543 -842.870536
718.772375 1293.796270 -843.403304
718.913523 1294.328613 -843.935571
719.054511 1294.860351 -844.467358
719.195370 1295.391602 -844.998656
719.336130 1295.922480 -845.529453
719.476732 1296.452765 -846.059774
719.617230 1296.982655 -846.589599
719.757573 1297.511961 -847.118949
719.897783 1298.040766 -847.647816
720.037898 1298.569213 -848.176187
720.177851 1299.097046 -848.704088
720.317704 1299.624506 -849.231497
720.457429 1300.151481 -849.758425
720.596994 1300.677852 -850.284888
720.736461 1301.203855 -850.810859
720.875798 1301.729368 -851.336354
721.015006 1302.254395 -851.861374
721.154082 1302.778922 -852.385920
721.293034 1303.302979 -852.909991
721.431855 1303.826546 -853.433590
721.570573 1304.349725 -853.956706
721.709137 1304.872322 -854.479363
721.847177 1305.392943 -855.001718
721.970332 1305.857422 -855.529892
722.070990 1306.237057 -856.067241
722.152750 1306.545415 -856.612361
722.217707 1306.790404 -857.164465
722.266905 1306.975953 -857.723211
722.301991 1307.108281 -858.287978
722.323447 1307.189204 -858.858647
722.331149 1307.218252 -859.435360
722.324161 1307.191894 -860.018621
722.302764 1307.111198 -860.608398
722.265611 1306.971073 -861.205387
722.210784 1306.764291 -861.810553
722.135334 1306.479730 -862.425339
722.034611 1306.099851 -863.051991
721.901326 1305.597166 -863.693993
721.729980 1304.950929 -864.354074
721.554197 1304.287962 -865.017005
721.378189 1303.624144 -865.680866
721.201920 1302.959343 -866.345677
721.025396 1302.293581 -867.011437
720.848612 1301.626835 -867.678151
720.671597 1300.959219 -868.345806
720.494299 1300.290537 -869.014430
720.316767 1299.620971 -869.684001
720.138978 1298.950437 -870.354533
719.960932 1298.278935 -871.026028
719.782657 1297.606565 -871.698474
719.604091 1296.933101 -872.371904
719.425269 1296.258670 -873.046302
719.246217 1295.583371 -873.721658
719.066876 1294.906986 -874.398004
718.887274 1294.229614 -875.075327
718.707448 1293.551396 -875.753612
718.527330 1292.872078 -876.432894
718.346982 1292.191893 -877.113145
718.166345 1291.510617 -877.794397
717.985452 1290.828376 -878.476634
717.804298 1290.145149 -879.159863
717.622880 1289.460929 -879.844086
717.441178 1288.775633 -880.529317
717.259245 1288.089472 -881.215529
717.077024 1287.402220 -881.902756
716.894541 1286.713984 -882.590984
716.711801 1286.024778 -883.280215
716.528773 1285.334483 -883.970466
716.345511 1284.643308 -884.661712
716.161959 1283.951038 -885.353984
715.978123 1283.257695 -886.047282
715.794021 1282.563353 -886.741597
715.609663 1281.868043 -887.436928
715.425045 1281.171751 -888.133279
715.240134 1280.474357 -888.830668
715.054935 1279.775876 -889.529097
714.869478 1279.076420 -890.228551
714.683046 1278.373288 -890.929422
714.445930 1277.479002 -891.658752
713.924894 1275.513906 -892.544236
715.486856 1274.712775 -826.215950
715.932993 1276.406123 -826.670868
716.188773 1277.376955 -827.183890
716.375341 1278.085088 -827.717817
716.525660 1278.655633 -828.262572
716.669551 1279.201785 -828.808802
716.813344 1279.747562 -829.354501
716.956974 1280.292721 -829.899691
717.100478 1280.837401 -830.444361
717.243822 1281.381473 -830.988523
717.387068 1281.925175 -831.532159
717.530152 1282.468259 -832.075290
717.673108 1283.010860 -832.617907
717.815935 1283.552972 -833.160010
717.958635 1284.094600 -833.701600
718.101206 1284.635740 -834.242679
718.243615 1285.176263 -834.783260
718.385900 1285.716318 -835.323331
718.528052 1286.255864 -835.862895
718.670076 1286.794927 -836.401952
718.811969 1287.333493 -836.940505
718.953736 1287.871580 -837.478552
719.095342 1288.409056 -838.016107
719.236853 1288.946172 -838.553148
719.378202 1289.482673 -839.089700
719.519450 1290.018789 -839.625742
719.660542 1290.554314 -840.161295
719.801507 1291.089357 -840.696349
719.942339 1291.623898 -841.230908
720.083047 1292.157966 -841.764970
720.223623 1292.691532 -842.298539
720.364071 1293.224611 -842.831614
720.504390 1293.757203 -843.364197
720.644581 1294.289308 -843.896288
720.784639 1294.820912 -844.427891
720.924575 1295.352049 -844.959002
721.064381 1295.882693 -845.489625
721.204025 1296.412724 -846.019775
721.343571 1296.942380 -846.549427
721.482989 1297.471551 -847.078593
721.622283 1298.000250 -847.607275
721.761444 1298.528448 -848.135475
