X Y Z
708.410043 1275.571409 -826.380686
708.754104 1276.855463 -826.881567
708.981922 1277.705689 -827.412689
709.153936 1278.347656 -827.958207
709.302598 1278.902468 -828.509502
709.450245 1279.453495 -829.060501
709.597757 1280.004018 -829.610964
709.745113 1280.553957 -830.160897
709.892303 1281.103278 -830.710305
710.039391 1281.652217 -831.259171
710.186317 1282.200553 -831.807512
710.333082 1282.748286 -832.355331
710.479748 1283.295653 -832.902609
710.626249 1283.842402 -833.449368
710.772588 1284.388549 -833.995608
710.918829 1284.934324 -834.541311
711.064904 1285.479487 -835.086498
711.210853 1286.024176 -835.631159
711.356665 1286.568350 -836.175298
711.502318 1287.111938 -836.718923
711.647839 1287.655026 -837.262027
711.793228 1288.197626 -837.804610
711.938457 1288.739630 -838.346684
712.083582 1289.281242 -838.888231
712.228551 1289.822273 -839.429268
712.373385 1290.362801 -839.969791
712.518084 1290.902825 -840.509801
712.662627 1291.442268 -841.049305
712.807066 1291.981321 -841.588288
712.951345 1292.519778 -842.126769
713.095493 1293.057747 -842.664739
713.239507 1293.595213 -843.202202
713.383391 1294.132196 -843.739156
713.527113 1294.668574 -844.275613
713.670736 1295.204582 -844.811554
713.814199 1295.739994 -845.347000
713.957527 1296.274899 -845.881944
714.100729 1296.809337 -846.416384
714.243827 1297.343386 -846.950313
714.386729 1297.876706 -847.483764
714.529536 1298.409667 -848.016703
714.672213 1298.942147 -848.549144
714.814755 1299.474119 -849.081090
714.957137 1300.005498 -849.612550
715.099420 1300.536502 -850.143503
715.241571 1301.067019 -850.673963
715.383558 1301.596923 -851.203943
715.525450 1302.126467 -851.733418
715.667176 1302.655398 -852.262415
715.808802 1303.183955 -852.790912
715.950268 1303.711913 -853.318931
716.091634 1304.239498 -853.846451
716.232840 1304.766484 -854.373496
716.373945 1305.293097 -854.900045
716.503995 1305.778449 -855.430279
716.610200 1306.174813 -855.969179
716.696093 1306.495368 -856.515531
716.764484 1306.750607 -857.068374
716.817245 1306.947515 -857.627089
716.855514 1307.090335 -858.191330
716.879490 1307.179817 -858.761109
716.889074 1307.215584 -859.336557
716.884885 1307.199949 -859.917518
716.866274 1307.130493 -860.504341
716.832093 1307.002928 -861.097580
716.780087 1306.808839 -861.698246
