X Y Z
-1123.701008 -1396.020934 -197.744300
-1123.657689 -1396.610417 -197.389452
-1123.621479 -1397.198453 -197.092832
-1123.591677 -1397.785240 -196.848708
-1123.567789 -1398.370930 -196.653025
-1123.549414 -1398.955658 -196.502505
-1123.536283 -1399.539533 -196.394940
-1123.528155 -1400.122655 -196.328359
-1123.524926 -1400.705104 -196.301908
-1123.526513 -1401.286956 -196.314908
-1123.532931 -1401.868274 -196.367481
-1123.544226 -1402.449118 -196.460003
-1123.560542 -1403.029539 -196.593659
-1123.582060 -1403.609587 -196.769924
-1123.609188 -1404.189294 -196.992150
-1123.642648 -1404.768670 -197.266242
-1123.682748 -1405.347775 -197.594725
-1123.730211 -1405.926640 -197.983522
-1123.483830 -1392.460239 -200.631126
-1123.361969 -1393.066620 -199.628520
-1123.267982 -1393.667019 -198.855251
-1123.189702 -1394.263884 -198.211211
-1123.124900 -1394.857797 -197.678052
-1123.069651 -1395.449574 -197.223501
-1123.022646 -1396.039549 -196.836769
-1122.982899 -1396.627984 -196.509753
-1122.949760 -1397.215072 -196.237100
-1122.922517 -1397.801006 -196.012966
-1122.900588 -1398.385945 -195.832540
-1122.883634 -1398.970008 -195.693059
-1122.871612 -1399.553268 -195.594144
-1122.864284 -1400.135820 -195.533855
-1122.861495 -1400.717747 -195.510904
-1122.863179 -1401.299119 -195.524763
-1122.869335 -1401.879995 -195.575415
-1122.880034 -1402.460429 -195.663433
-1122.895385 -1403.040471 -195.789733
-1122.915566 -1403.620167 -195.955776
-1122.940832 -1404.199557 -196.163646
-1122.971527 -1404.778680 -196.416187
-1123.008090 -1405.357571 -196.717007
-1123.051114 -1405.936262 -197.070988
-1123.101530 -1406.514770 -197.485783
-1123.161395 -1407.093045 -197.978315
-1123.231366 -1407.671173 -198.553996
-1123.314521 -1408.249095 -199.238150
-1123.416371 -1408.826669 -200.076112
-1123.046906 -1391.267071 -201.726818
-1122.870688 -1391.885517 -200.270635
-1122.745939 -1392.492855 -199.239767
-1122.647619 -1393.094294 -198.427289
-1122.566468 -1393.691817 -197.756692
-1122.497804 -1394.286458 -197.189284
-1122.440138 -1394.878634 -196.712759
-1122.390541 -1395.468970 -196.302912
-1122.348026 -1396.057730 -195.951583
-1122.311833 -1396.645127 -195.652503
-1122.281354 -1397.231337 -195.400637
-1122.256106 -1397.816507 -195.192001
-1122.235740 -1398.400757 -195.023709
-1122.219973 -1398.984192 -194.893418
-1122.208614 -1399.566898 -194.799546
-1122.201498 -1400.148958 -194.740743
-1122.199129 -1400.730366 -194.721172
-1122.200908 -1401.311258 -194.735872
-1122.206813 -1401.891693 -194.784664
-1122.216914 -1402.471719 -194.868135
-1122.231313 -1403.051382 -194.987123
-1122.250171 -1403.630726 -195.142954
-1122.273707 -1404.209789 -195.337445
-1122.302236 -1404.788608 -195.573198
-1122.336155 -1405.367215 -195.853489
-1122.375976 -1405.945644 -196.182556
-1122.422372 -1406.523921 -196.565947
-1122.476167 -1407.102077 -197.010487
-1122.538448 -1407.680139 -197.525147
-1122.610953 -1408.258113 -198.124300
-1122.698411 -1408.835859 -198.847010
-1122.803611 -1409.413430 -199.716336
-1122.939281 -1409.990435 -200.837454
-1123.139036 -1410.565772 -202.488144
-1122.436580 -1390.691596 -201.392341
-1122.258040 -1391.311232 -199.910462
-1122.130026 -1391.919637 -198.847943
-1122.027840 -1392.522078 -197.999800
