X Y Z
-1328.016413 -1186.277228 -313.761590
-1328.018029 -1186.869905 -313.775427
-1328.025230 -1187.461039 -313.837101
-1328.038254 -1188.050643 -313.948633
-1328.057440 -1188.638709 -314.112953
-1328.083332 -1189.225183 -314.334690
-1328.116588 -1189.809988 -314.619507
-1328.158170 -1190.392987 -314.975622
-1328.210936 -1190.973590 -315.427520
-1328.276652 -1191.551524 -315.990321
-1328.359786 -1192.125909 -316.702297
-1328.471612 -1192.694358 -317.659998
-1326.878191 -1180.937781 -313.901519
-1326.825974 -1181.548087 -313.450220
-1326.781226 -1182.155484 -313.063478
-1326.743251 -1182.760298 -312.735266
-1326.711040 -1183.362939 -312.456882
-1326.684123 -1183.963634 -312.224239
-1326.662375 -1184.562494 -312.036283
-1326.645720 -1185.159617 -311.892336
-1326.633721 -1185.755201 -311.788627
-1326.626331 -1186.349326 -311.724762
-1326.623449 -1186.942087 -311.699854
-1326.625078 -1187.533547 -311.713933
-1326.637899 -1188.121944 -311.824742
-1326.658531 -1188.708346 -312.003055
-1326.682969 -1189.293920 -312.214265
-1326.711435 -1189.878660 -312.460295
-1326.744242 -1190.462546 -312.743838
-1326.781748 -1191.045550 -313.067993
-1326.824418 -1191.627625 -313.436771
-1326.872792 -1192.208714 -313.854859
-1326.927604 -1192.788725 -314.328585
-1326.989767 -1193.367539 -314.865842
-1327.060436 -1193.944999 -315.476624
-1327.180759 -1194.512121 -316.516545
-1327.364900 -1195.066537 -318.108029
-1327.432660 -1182.722463 -313.705563
-1327.400373 -1183.325648 -313.427796
-1327.373759 -1183.926779 -313.198825
-1327.352600 -1184.526000 -313.016792
-1327.336624 -1185.123470 -312.879341
-1327.325662 -1185.719311 -312.785035
-1327.319661 -1186.313609 -312.733404
-1327.318799 -1186.906384 -312.725989
-1327.323101 -1187.497702 -312.763003
-1327.332571 -1188.087635 -312.844476
-1327.347449 -1188.676191 -312.972470
-1327.368055 -1189.263364 -313.149750
-1327.394886 -1189.849105 -313.380586
-1327.428598 -1190.433337 -313.670622
-1327.470065 -1191.015940 -314.027376
-1327.520899 -1191.596631 -314.464717
-1327.584172 -1192.174807 -315.009070
-1327.662079 -1192.750129 -315.679325
-1327.762599 -1193.320970 -316.544127
-1327.903551 -1193.883640 -317.756776
-1328.208797 -1194.411423 -320.382899
-1325.398129 -1176.699583 -316.103356
-1325.263592 -1177.343013 -314.924372
-1325.156268 -1177.975386 -313.983856
-1325.064955 -1178.601049 -313.183652
-1324.987422 -1179.221010 -312.504210
-1324.952135 -1179.825683 -312.194978
-1324.923582 -1180.427710 -311.944762
-1324.898859 -1181.028159 -311.728111
-1324.877771 -1181.627151 -311.543307
-1324.860118 -1182.224802 -311.388608
-1324.846303 -1182.821032 -311.267548
-1324.835716 -1183.416091 -311.174770
-1324.828305 -1184.010040 -311.109827
-1324.824019 -1184.602941 -311.072262
-1324.822839 -1185.194844 -311.061925
-1324.824764 -1185.785795 -311.078791
-1324.829811 -1186.375834 -311.123018
-1324.838039 -1186.964989 -311.195127
-1324.849761 -1187.553218 -311.297848
-1324.865014 -1188.140561 -311.431518
-1324.883715 -1188.727091 -311.595394
-1324.906037 -1189.312812 -311.791010
-1324.932179 -1189.897724 -312.020106
-1324.962390 -1190.481817 -312.284853
-1324.996988 -1191.065071 -312.588039
-1325.036361 -1191.647452 -312.933077
-1325.080970 -1192.228915 -313.324002
-1325.131414 -1192.809395 -313.766057
-1325.188442 -1193.388799 -314.265812
-1325.253790 -1193.966825 -314.838471
-1325.329031 -1194.543239 -315.497828
-1325.415562 -1195.117876 -316.256129
-1325.519490 -1195.689587 -317.166875
-1325.647357 -1196.257246 -318.287414
-1325.819839 -1196.816956 -319.798919
-1326.169305 -1197.342817 -322.861391
-1326.386850 -1179.130594 -314.646788
-1326.309788 -1179.750626 -313.977695
-1326.243066 -1180.366430 -313.398373
-1326.185364 -1180.978590 -312.897375
-1326.135704 -1181.587554 -312.466192
-1326.092520 -1182.193941 -312.091248
-1326.055116 -1182.798062 -311.766485
-1326.023022 -1183.400149 -311.487829
-1326.001353 -1183.998703 -311.299683
-1325.998243 -1184.591410 -311.272679
-1325.998274 -1185.183130 -311.272952
-1326.001441 -1185.773908 -311.300448
-1326.007775 -1186.363781 -311.355443
-1326.017338 -1186.952776 -311.438477
-1326.030209 -1187.540918 -311.550226
-1326.046497 -1188.128224 -311.691653
-1326.066346 -1188.714703 -311.863990
-1326.089972 -1189.300351 -312.069123
-1326.117784 -1189.885113 -312.310609
-1326.149780 -1190.469051 -312.588411
-1326.186288 -1191.052142 -312.905395
-1326.227713 -1191.634351 -313.265068
-1326.274654 -1192.215603 -313.672639
-1326.328152 -1192.795731 -314.137142
-1326.388862 -1193.374677 -314.664253
-1326.457912 -1193.952286 -315.263791
-1326.536760 -1194.528354 -315.948394
-1326.630220 -1195.101974 -316.759862
-1326.741122 -1195.672749 -317.722775
-1326.921264 -1196.230149 -319.286866
-1325.026074 -1175.434984 -317.917732
-1324.811817 -1176.110768 -316.031369
-1324.664217 -1176.759847 -314.731867
-1324.546534 -1177.396574 -313.695766
-1324.482353 -1178.012898 -313.130699
-1324.439927 -1178.620856 -312.757174
-1324.402308 -1179.226698 -312.425969
-1324.369105 -1179.830629 -312.133638
-1324.340005 -1180.432818 -311.877435
-1324.314739 -1181.033416 -311.654993
-1324.293343 -1181.632466 -311.466614
-1324.275579 -1182.230102 -311.310218
-1324.261170 -1182.826467 -311.183358
-1324.250021 -1183.421637 -311.085203
-1324.242039 -1184.015691 -311.014924
-1324.237172 -1184.608688 -310.972079
-1324.235397 -1185.200684 -310.956446
-1324.236714 -1185.791720 -310.968045
-1324.241123 -1186.381843 -311.006863
-1324.249104 -1186.970960 -311.077123
-1324.260358 -1187.559206 -311.176211
-1324.274906 -1188.146624 -311.304291
-1324.292864 -1188.733229 -311.462399
-1324.314404 -1189.319025 -311.652046
-1324.339721 -1189.904012 -311.874938
-1324.369049 -1190.488184 -312.133145
-1324.402706 -1191.071518 -312.429474
-1324.441064 -1191.653985 -312.767180
-1324.484579 -1192.235541 -313.150302
-1324.533827 -1192.816122 -313.583890
-1324.589541 -1193.395639 -314.074409
-1324.652658 -1193.973969 -314.630102
-1324.725650 -1194.550663 -315.272742
-1324.810143 -1195.125504 -316.016637
-1324.909558 -1195.697920 -316.891906
-1325.031033 -1196.266619 -317.961393
-1325.193552 -1196.828006 -319.392248
-1325.468089 -1197.368378 -321.809331
-1325.991507 -1177.286006 -316.235712
-1325.868940 -1177.924388 -315.166588
-1325.769527 -1178.553434 -314.299438
-1325.685224 -1179.176265 -313.564082
-1325.612715 -1179.794232 -312.931607
-1325.550255 -1180.408094 -312.386785
-1325.495420 -1181.018801 -311.908471
-1325.462587 -1181.621746 -311.622079
-1325.445503 -1182.219265 -311.473060
-1325.431756 -1182.815535 -311.353150
-1325.421580 -1183.410532 -311.264380
-1325.414743 -1184.004377 -311.204748
-1325.411041 -1184.597182 -311.172452
-1325.410465 -1185.188993 -311.167427
-1325.413007 -1185.779858 -311.189599
-1325.418696 -1186.369813 -311.239226
-1325.427590 -1186.958888 -311.316806
-1325.439757 -1187.547109 -311.422936
-1325.455333 -1188.134485 -311.558805
-1325.474778 -1188.720942 -311.728419
-1325.497895 -1189.306586 -311.930056
-1325.524869 -1189.891423 -312.165346
-1325.555967 -1190.475440 -312.436608
-1325.591518 -1191.058611 -312.746709
-1325.631910 -1191.640907 -313.099036
-1325.677625 -1192.222278 -313.497801
-1325.729272 -1192.802657 -313.948302
-1325.788248 -1193.381804 -314.462733
-1325.855699 -1193.959561 -315.051087
-1325.932735 -1194.535802 -315.723054
-1326.022267 -1195.110028 -316.504024
-1326.129801 -1195.681241 -317.442011
-1326.264100 -1196.247864 -318.613470
-1326.449919 -1196.805224 -320.234319
-1324.484994 -1174.827532 -318.253418
-1324.232056 -1175.519624 -316.016051
-1324.069151 -1176.175404 -314.575066
-1324.004931 -1176.792965 -314.007013
-1323.949979 -1177.406485 -313.520932
-1323.901250 -1178.017200 -313.089904
-1323.858156 -1178.625409 -312.708711
-1323.819970 -1179.231450 -312.370939
-1323.786246 -1179.835549 -312.072632
-1323.756814 -1180.437830 -311.812287
-1323.731297 -1181.038481 -311.586582
-1323.709475 -1181.637633 -311.393557
-1323.691159 -1182.235402 -311.231539
-1323.676199 -1182.831888 -311.099206
-1323.664491 -1183.427171 -310.995644
-1323.655948 -1184.021328 -310.920080
-1323.650507 -1184.614423 -310.871950
-1323.648141 -1185.206511 -310.851018
-1323.648882 -1185.797625 -310.857580
-1323.653167 -1186.387683 -310.895480
-1323.660570 -1186.976860 -310.960964
-1323.671155 -1187.565184 -311.054594
-1323.685005 -1188.152677 -311.177099
-1323.702231 -1188.739356 -311.329472
-1323.722993 -1189.325227 -311.513127
-1323.747487 -1189.910290 -311.729792
-1323.775945 -1190.494539 -311.981514
-1323.808668 -1191.077954 -312.270970
-1323.846016 -1191.660509 -312.601324
-1323.888447 -1192.242156 -312.976651
-1323.936510 -1192.822838 -313.401795
-1323.990922 -1193.402467 -313.883092
-1324.052595 -1193.980925 -314.428621
-1324.122669 -1194.558058 -315.048462
-1324.205060 -1195.133121 -315.777253
-1324.300724 -1195.706085 -316.623451
-1324.418315 -1196.275308 -317.663608
-1324.569842 -1196.838619 -319.003935
-1324.807171 -1197.386016 -321.103237
-1323.165358 -1174.300998 -316.811985
-1323.067761 -1174.933941 -315.940519
-1322.983385 -1175.560826 -315.187106
-1322.910971 -1176.182323 -314.540499
-1322.847378 -1176.799783 -313.972659
-1322.790989 -1177.413934 -313.469149
-1322.740921 -1178.025204 -313.022072
-1322.696473 -1178.633937 -312.625191
-1322.657080 -1179.240417 -312.273438
-1322.622282 -1179.844879 -311.962712
-1322.591719 -1180.447514 -311.689815
-1322.565099 -1181.048485 -311.452115
-1322.542184 -1181.647929 -311.247503
-1322.522782 -1182.245964 -311.074254
-1322.506735 -1182.842693 -310.930968
-1322.493929 -1183.438203 -310.816615
-1322.484277 -1184.032568 -310.730435
-1322.477921 -1184.625791 -310.673676
-1322.474892 -1185.217910 -310.646633
-1322.474909 -1185.809059 -310.646783
-1322.477969 -1186.399285 -310.674109
-1322.484097 -1186.988624 -310.728824
-1322.493356 -1187.577103 -310.811497
-1322.505823 -1188.164748 -310.922824
-1322.521602 -1188.751575 -311.063721
-1322.540834 -1189.337596 -311.235448
-1322.563769 -1189.922795 -311.440239
-1322.590725 -1190.507141 -311.680937
-1322.621737 -1191.090686 -311.957851
-1322.657121 -1191.673409 -312.273800
-1322.697272 -1192.255276 -312.632324
-1322.742683 -1192.836237 -313.037812
-1322.794523 -1193.416091 -313.500704
-1322.853346 -1193.994803 -314.025947
-1322.920250 -1194.572223 -314.623355
-1322.996643 -1195.148155 -315.305487
-1323.086976 -1195.721765 -316.112097
-1323.194060 -1196.292654 -317.068273
-1323.330008 -1196.858534 -318.282191
-1323.524830 -1197.413699 -320.021815
-1323.990528 -1174.201350 -319.005917
-1323.659750 -1174.925671 -316.066228
-1323.560034 -1175.558376 -315.180027
-1323.488930 -1176.179281 -314.548120
-1323.426112 -1176.796380 -313.989841
-1323.370436 -1177.410217 -313.495034
-1323.321031 -1178.021209 -313.055969
-1323.277215 -1178.629695 -312.666568
-1323.238422 -1179.235955 -312.321805
-1323.204201 -1179.840220 -312.017673
-1323.174199 -1180.442678 -311.751039
-1323.148128 -1181.043489 -311.519343
-1323.125756 -1181.642787 -311.320522
-1323.106895 -1182.240689 -311.152896
-1323.091388 -1182.837296 -311.015081
-1323.079128 -1183.432693 -310.906123
-1323.070025 -1184.026954 -310.825230
-1323.064015 -1184.620147 -310.771815
-1323.061189 -1185.212288 -310.746701
-1323.061804 -1185.803348 -310.752163
-1323.065471 -1186.393490 -310.784757
-1323.072237 -1186.982748 -310.844881
-1323.082157 -1187.571149 -310.933043
-1323.095309 -1188.158718 -311.049931
-1323.111809 -1188.745471 -311.196564
-1323.131804 -1189.331417 -311.374271
-1323.155485 -1189.916556 -311.584722
-1323.183076 -1190.500883 -311.829930
-1323.214869 -1191.084381 -312.112486
-1323.251224 -1191.667020 -312.435578
-1323.292575 -1192.248760 -312.803073
-1323.339461 -1192.829543 -313.219758
-1323.392583 -1193.409284 -313.691863
-1323.452824 -1193.987869 -314.227239
-1323.521310 -1194.565145 -314.835881
-1323.600316 -1195.140726 -315.538027
-1323.693673 -1195.713930 -316.367711
-1323.805986 -1196.283987 -317.365851
-1323.949686 -1196.848583 -318.642946
-1324.162834 -1197.400440 -320.537233
-1322.717081 -1173.656772 -317.977963
-1322.594044 -1174.301072 -316.874111
-1322.493149 -1174.935483 -315.968907
-1322.407672 -1175.562925 -315.202034
-1322.333087 -1176.185352 -314.532874
-1322.268732 -1176.803173 -313.955497
-1322.211639 -1177.417639 -313.443273
-1322.160911 -1178.029188 -312.988157
-1322.115841 -1178.638168 -312.583801
-1322.075856 -1179.244867 -312.225061
-1322.040491 -1179.849525 -311.907781
-1322.009374 -1180.452337 -311.628602
-1321.982212 -1181.053468 -311.384914
-1321.958759 -1181.653058 -311.174497
-1321.938826 -1182.251225 -310.995669
-1321.922244 -1182.848077 -310.846895
-1321.908896 -1183.443700 -310.727146
-1321.899018 -1184.038068 -310.638522
-1321.892374 -1184.631305 -310.578913
-1321.888773 -1185.223519 -310.546603
-1321.888198 -1185.814759 -310.541443
-1321.890653 -1186.405068 -310.563475
-1321.896150 -1186.994489 -310.612789
-1321.904760 -1187.583045 -310.690037
-1321.916542 -1188.170766 -310.795741
-1321.931662 -1188.757653 -310.931393
-1321.950508 -1189.343648 -311.100471
-1321.972903 -1189.928855 -311.301392
-1321.999039 -1190.513274 -311.535886
-1322.029177 -1191.096894 -311.806273
-1322.063628 -1191.679695 -312.115353
