X Y Z
918.400285 -1350.369121 -63.082044
918.400285 -1351.083323 -63.082044
918.400285 -1351.797521 -63.082044
918.400285 -1352.511718 -63.082044
918.400285 -1353.225912 -63.082044
918.400285 -1353.940105 -63.082044
918.400285 -1354.654297 -63.082044
918.400285 -1355.368489 -63.082044
918.400285 -1356.082682 -63.082044
919.151075 -1350.372392 -62.331254
919.151075 -1351.086049 -62.331254
919.151075 -1351.799703 -62.331254
919.151075 -1352.513353 -62.331254
919.151075 -1353.227002 -62.331254
919.151075 -1353.940650 -62.331254
919.151075 -1354.654297 -62.331254
919.151075 -1355.367944 -62.331254
919.151075 -1356.081591 -62.331254
919.900720 -1350.375657 -61.581614
919.900720 -1351.088770 -61.581610
919.900720 -1351.801879 -61.581610
919.900720 -1352.514986 -61.581610
919.900720 -1353.228091 -61.581610
919.900720 -1353.941194 -61.581610
919.900720 -1354.654297 -61.581610
919.900720 -1355.367400 -61.581610
919.900720 -1356.080503 -61.581610
922.585794 -1346.732546 -72.224242
922.619741 -1347.455892 -71.757781
922.619741 -1348.175751 -71.757781
922.619461 -1348.895583 -71.761628
922.618794 -1349.615391 -71.770799
923.631880 -1350.391880 -57.850459
923.631881 -1351.102289 -57.850455
923.631881 -1351.812694 -57.850455
923.631881 -1352.523097 -57.850451
923.631881 -1353.233498 -57.850451
923.631881 -1353.943898 -57.850451
923.631881 -1354.654297 -57.850451
923.631881 -1355.364696 -57.850451
923.631881 -1356.075096 -57.850451
921.396588 -1350.382167 -60.085745
921.396588 -1351.094194 -60.085741
921.396588 -1351.806219 -60.085741
921.396588 -1352.518241 -60.085742
921.396588 -1353.230260 -60.085742
921.396588 -1353.942279 -60.085742
921.396588 -1354.654297 -60.085742
921.396588 -1355.366315 -60.085742
921.396588 -1356.078333 -60.085742
924.702372 -1307.548241 -62.160183
924.751599 -1308.293276 -61.471331
924.792336 -1309.032174 -60.901272
924.833027 -1309.770227 -60.331867
924.873671 -1310.507439 -59.763112
924.914269 -1311.243811 -59.195003
924.954821 -1311.979345 -58.627535
924.930566 -1312.677771 -58.966941
924.890350 -1313.367832 -59.529709
924.850093 -1314.058596 -60.093048
924.809795 -1314.750067 -60.656964
924.769455 -1315.442245 -61.221461
924.739076 -1316.140260 -61.646565
924.692386 -1316.830610 -62.299929
924.494518 -1317.447194 -65.068789
924.060055 -1346.021926 -71.148460
924.146127 -1346.750301 -69.944017
924.162730 -1347.470445 -69.711686
924.162730 -1348.188849 -69.711686
924.162730 -1348.907247 -69.711686
924.162469 -1349.625622 -69.715332
925.116441 -1350.398322 -56.365901
925.116441 -1351.107657 -56.365901
925.116441 -1351.816989 -56.365897
925.116441 -1352.526318 -56.365897
925.116441 -1353.235645 -56.365893
925.116441 -1353.944971 -56.365893
925.116441 -1354.654297 -56.365893
925.116441 -1355.363622 -56.365893
925.116441 -1356.072948 -56.365893
920.649223 -1350.378915 -60.833106
920.649223 -1351.091485 -60.833107
920.649223 -1351.804051 -60.833106
920.649223 -1352.516615 -60.833106
920.649223 -1353.229177 -60.833106
920.649223 -1353.941737 -60.833106
920.649223 -1354.654297 -60.833106
920.649223 -1355.366857 -60.833106
920.649223 -1356.079417 -60.833106
922.142816 -1350.385411 -59.339519
922.142816 -1351.096898 -59.339519
922.142817 -1351.808382 -59.339515
922.142817 -1352.519863 -59.339515
922.142817 -1353.231342 -59.339515
922.142817 -1353.942820 -59.339515
922.142817 -1354.654297 -59.339515
922.142817 -1355.365774 -59.339515
922.142817 -1356.077252 -59.339515
922.887913 -1350.388649 -58.594423
922.887913 -1351.099596 -58.594419
922.887913 -1351.810540 -58.594419
922.887913 -1352.521482 -58.594419
922.887913 -1353.232421 -58.594419
922.887913 -1353.943359 -58.594419
922.887913 -1354.654297 -58.594419
922.887913 -1355.365234 -58.594419
922.887913 -1356.076173 -58.594419
923.258893 -1346.009875 -72.579566
923.385870 -1346.743404 -70.818924
923.407363 -1347.464620 -70.520898
923.406872 -1348.183565 -70.527703
923.406369 -1348.902512 -70.534683
923.405866 -1349.621464 -70.541663
924.374722 -1350.395104 -57.107622
924.374722 -1351.104976 -57.107618
924.374722 -1351.814844 -57.107618
924.374722 -1352.524709 -57.107618
924.374722 -1353.234573 -57.107615
924.374722 -1353.944435 -57.107615
924.374722 -1354.654297 -57.107615
924.374722 -1355.364159 -57.107615
924.374722 -1356.074021 -57.107615
925.289438 -1301.041403 -63.641851
925.380421 -1301.821971 -62.356846
925.437535 -1302.577048 -61.550197
925.489707 -1303.327570 -60.813351
925.530034 -1304.068985 -60.243783
925.570316 -1304.809549 -59.674869
925.610551 -1305.549263 -59.106608
925.650740 -1306.288130 -58.538998
925.690882 -1307.026152 -57.972041
925.730979 -1307.763330 -57.405730
925.771031 -1308.499668 -56.840061
925.811036 -1309.235167 -56.275042
925.850997 -1309.969829 -55.710657
925.889407 -1310.702763 -55.168175
925.916787 -1311.428472 -54.781474
925.936204 -1312.149040 -54.507228
925.915685 -1312.846621 -54.797027
925.886800 -1313.539908 -55.204988
925.847243 -1314.227884 -55.763668
925.807646 -1314.916560 -56.322922
925.768009 -1315.605938 -56.882736
925.728331 -1316.296020 -57.443127
925.688613 -1316.986806 -58.004090
925.648854 -1317.678300 -58.565626
925.609054 -1318.370501 -59.127742
925.569213 -1319.063414 -59.690435
925.535627 -1319.759993 -60.164793
925.506347 -1320.459165 -60.578325
925.476353 -1321.158544 -61.001954
925.424150 -1321.848683 -61.739238
925.371878 -1322.539762 -62.477514
925.289356 -1323.219064 -63.643014
924.817217 -1346.029139 -70.311288
924.887786 -1346.755364 -69.314600
924.902112 -1347.474843 -69.112267
924.902032 -1348.192801 -69.113396
924.901943 -1348.910753 -69.114656
924.901854 -1349.628701 -69.115913
925.857040 -1350.401533 -55.625304
925.857040 -1351.110333 -55.625304
925.857040 -1351.819129 -55.625300
925.857040 -1352.527924 -55.625300
925.857041 -1353.236716 -55.625297
925.857041 -1353.945507 -55.625296
925.857041 -1354.654297 -55.625296
925.857041 -1355.363087 -55.625296
925.857041 -1356.071878 -55.625297
924.638685 -1356.815671 -72.832787
924.638685 -1357.536132 -72.832787
924.626255 -1358.257190 -73.008337
924.626255 -1358.977776 -73.008337
924.626255 -1359.698366 -73.008337
924.626255 -1360.418961 -73.008337
924.626255 -1361.139561 -73.008337
924.626255 -1361.860166 -73.008337
924.626255 -1362.580779 -73.008337
924.628473 -1363.301144 -72.977020
924.628473 -1364.021750 -72.977020
924.628473 -1364.742365 -72.977019
924.628473 -1365.462989 -72.977020
924.628473 -1366.183623 -72.977020
924.628473 -1366.904267 -72.977020
924.628473 -1367.624923 -72.977019
924.628473 -1368.345590 -72.977020
924.628473 -1369.066271 -72.977020
924.626255 -1369.787410 -73.008336
924.626255 -1370.508138 -73.008338
924.626255 -1371.228881 -73.008337
925.961848 -1295.297538 -63.933738
926.058414 -1296.090769 -62.557092
926.115049 -1296.850781 -61.749711
926.171592 -1297.609571 -60.943633
926.226693 -1298.366111 -60.158106
926.266614 -1299.110075 -59.589000
926.306488 -1299.853180 -59.020553
926.346317 -1300.595428 -58.452761
926.386099 -1301.336821 -57.885625
926.425836 -1302.077362 -57.319136
926.462040 -1302.814590 -56.803014
926.496176 -1303.549629 -56.316367
926.530278 -1304.283936 -55.830208
926.564346 -1305.017512 -55.344536
926.593420 -1305.747051 -54.930059
926.617830 -1306.472913 -54.582079
926.638523 -1307.195851 -54.287068
926.659205 -1307.918336 -53.992235
926.679873 -1308.640370 -53.697586
926.700528 -1309.361953 -53.403128
926.721171 -1310.083088 -53.108842
926.741801 -1310.803773 -52.814743
926.762418 -1311.524012 -52.520833
926.776211 -1312.239852 -52.324201
926.755758 -1312.935847 -52.615772
926.735296 -1313.632195 -52.907482
926.714823 -1314.328896 -53.199345
926.694340 -1315.025950 -53.491354
926.673846 -1315.723359 -53.783516
926.654506 -1316.421731 -54.059217
926.635401 -1317.120564 -54.331578
926.616287 -1317.819727 -54.604067
926.592858 -1318.517098 -54.938070
926.562941 -1319.211753 -55.364566
926.523757 -1319.902564 -55.923176
926.484533 -1320.594083 -56.482350
926.445268 -1321.286312 -57.042110
926.405963 -1321.979252 -57.602437
926.366618 -1322.672905 -58.163342
926.329896 -1323.368405 -58.686859
926.300977 -1324.067832 -59.099117
926.272037 -1324.767781 -59.511684
926.243076 -1325.468255 -59.924555
926.206821 -1326.166441 -60.441402
926.155176 -1326.859500 -61.177660
926.103460 -1327.553507 -61.914918
926.051673 -1328.248464 -62.653186
925.964421 -1328.932056 -63.897050
925.555319 -1346.034273 -69.729196
925.617183 -1346.759213 -68.847267
925.629678 -1347.478179 -68.669142
925.629678 -1348.195809 -68.669142
925.629451 -1348.913416 -68.672370
925.629063 -1349.631012 -68.677908
926.596523 -1350.404737 -54.885828
926.596523 -1351.113003 -54.885824
926.596523 -1351.821266 -54.885824
926.596523 -1352.529526 -54.885820
926.596523 -1353.237784 -54.885820
926.596524 -1353.946041 -54.885817
926.596524 -1354.654297 -54.885817
926.596524 -1355.362553 -54.885817
926.596524 -1356.070810 -54.885817
925.418036 -1356.813239 -71.686303
925.418036 -1357.532890 -71.686302
925.410183 -1358.252922 -71.798250
925.410183 -1358.972655 -71.798250
925.410183 -1359.692391 -71.798250
925.410183 -1360.412132 -71.798250
925.410183 -1361.131878 -71.798250
925.410183 -1361.851630 -71.798251
925.410183 -1362.571388 -71.798250
925.412408 -1363.290896 -71.766532
925.412408 -1364.010649 -71.766532
925.412408 -1364.730409 -71.766533
925.412408 -1365.450179 -71.766533
925.412408 -1366.169959 -71.766532
925.412408 -1366.889750 -71.766533
925.412408 -1367.609552 -71.766532
925.412408 -1368.329365 -71.766532
925.412408 -1369.049191 -71.766532
925.410183 -1369.769482 -71.798251
925.410183 -1370.489356 -71.798251
925.410183 -1371.209246 -71.798250
925.366102 -1371.939376 -72.426666
926.733328 -1291.783937 -62.804515
926.904532 -1292.645518 -60.340744
926.960418 -1293.406826 -59.536488
927.002536 -1294.155553 -58.930374
927.036139 -1294.896414 -58.446788
927.070087 -1295.636842 -57.958253
927.104000 -1296.376523 -57.470210
927.137880 -1297.115461 -56.982654
927.171725 -1297.853656 -56.495593
927.205536 -1298.591110 -56.009022
927.239313 -1299.327825 -55.522931
927.267770 -1300.059829 -55.113412
927.294113 -1300.789655 -54.734323
927.318477 -1301.517469 -54.383694
927.338978 -1302.241966 -54.088669
927.359466 -1302.966004 -53.793830
927.379941 -1303.689586 -53.499176
927.400403 -1304.412710 -53.204712
927.420852 -1305.135380 -52.910432
927.441288 -1305.857596 -52.616336
927.461712 -1306.579359 -52.322421
927.482122 -1307.300671 -52.028695
927.502520 -1308.021531 -51.735156
927.522905 -1308.741942 -51.441793
927.543278 -1309.461904 -51.148613
927.563637 -1310.181419 -50.855617
927.583985 -1310.900488 -50.562800
927.604319 -1311.619111 -50.270168
927.612637 -1312.330259 -50.150475
927.592462 -1313.024796 -50.440811
927.572276 -1313.719683 -50.731296
927.552081 -1314.414922 -51.021928
927.531875 -1315.110512 -51.312708
927.511659 -1315.806456 -51.603636
927.491433 -1316.502755 -51.894703
927.471196 -1317.199407 -52.185930
927.450949 -1317.896416 -52.477306
927.430692 -1318.593781 -52.768825
927.411126 -1319.291847 -53.050398
927.392241 -1319.990588 -53.322172
927.373347 -1320.689662 -53.594069
927.354444 -1321.389069 -53.866102
927.335532 -1322.088812 -54.138260
927.316611 -1322.788890 -54.410549
927.293094 -1323.487335 -54.748979
927.267895 -1324.185504 -55.111621
927.239341 -1324.882763 -55.522537
927.200527 -1325.576448 -56.081103
927.161673 -1326.270848 -56.640242
927.122779 -1326.965965 -57.199962
927.093328 -1327.665318 -57.623800
927.064746 -1328.365535 -58.035111
927.036143 -1329.066279 -58.446732
927.007519 -1329.767550 -58.858662
926.978873 -1330.469351 -59.270900
926.936536 -1331.167280 -59.880167
926.876384 -1331.860451 -60.745817
926.717375 -1332.524872 -63.034093
926.281321 -1346.038083 -69.309304
926.337237 -1346.762129 -68.504625
926.348629 -1347.480734 -68.340683
926.348620 -1348.198108 -68.340812
926.348433 -1348.915462 -68.343497
926.348140 -1349.632808 -68.347717
927.334893 -1350.407935 -54.147457
927.334893 -1351.115668 -54.147453
927.334893 -1351.823397 -54.147453
927.334893 -1352.531125 -54.147449
927.334893 -1353.238850 -54.147449
927.334894 -1353.946574 -54.147445
927.334894 -1354.654297 -54.147445
927.334894 -1355.362020 -54.147445
927.334894 -1356.069744 -54.147445
926.163177 -1356.811764 -71.009501
926.163177 -1357.530923 -71.009501
926.155917 -1358.250438 -71.113981
926.155917 -1358.969674 -71.113981
926.155917 -1359.688913 -71.113981
926.155917 -1360.408157 -71.113981
926.155917 -1361.127407 -71.113981
926.155917 -1361.846662 -71.113981
926.155917 -1362.565924 -71.113981
926.158622 -1363.284876 -71.075050
926.158622 -1364.004127 -71.075050
926.158622 -1364.723386 -71.075050
926.158622 -1365.442654 -71.075050
926.158622 -1366.161932 -71.075050
926.158622 -1366.881221 -71.075050
926.158622 -1367.600521 -71.075049
926.158622 -1368.319833 -71.075050
926.158622 -1369.039157 -71.075050
926.155917 -1369.759049 -71.113981
926.155917 -1370.478426 -71.113981
926.155917 -1371.197819 -71.113982
926.123775 -1371.924753 -71.576531
926.043418 -1372.664091 -72.732942
928.397380 -1290.607982 -58.701724
928.653074 -1291.547897 -54.951060
928.732477 -1292.328207 -53.786340
928.757213 -1293.059528 -53.423498
928.777140 -1293.786182 -53.131208
928.797053 -1294.512371 -52.839106
928.816954 -1295.238097 -52.547187
928.836843 -1295.963361 -52.255453
928.856718 -1296.688164 -51.963910
928.876581 -1297.412508 -51.672548
928.896432 -1298.136393 -51.381369
928.916270 -1298.859820 -51.090372
928.936095 -1299.582790 -50.799566
928.955908 -1300.305305 -50.508937
928.975708 -1301.027366 -50.218496
928.995497 -1301.748973 -49.928232
929.015272 -1302.470128 -49.638160
929.035035 -1303.190832 -49.348261
929.054786 -1303.911086 -49.058536
929.074525 -1304.630891 -48.769006
929.094251 -1305.350248 -48.479651
929.113965 -1306.069159 -48.190470
929.129743 -1306.784968 -47.959028
929.143850 -1307.499305 -47.752107
929.157950 -1308.213313 -47.545282
929.172043 -1308.926994 -47.338549
929.186130 -1309.640348 -47.131913
929.200211 -1310.353376 -46.925373
929.214285 -1311.066078 -46.718926
929.228353 -1311.778457 -46.512575
929.228453 -1312.482178 -46.511097
929.215361 -1313.178115 -46.703143
929.202265 -1313.874272 -46.895244
929.189164 -1314.570650 -47.087410
929.175770 -1315.267089 -47.283881
929.161291 -1315.963165 -47.496272
929.146807 -1316.659491 -47.708736
929.132317 -1317.356067 -47.921275
929.117056 -1318.052500 -48.145134
929.097837 -1318.747194 -48.427051
929.078120 -1319.441991 -48.716269
929.058393 -1320.137143 -49.005639
929.038655 -1320.832651 -49.295156
929.018908 -1321.528517 -49.584817
928.999150 -1322.224740 -49.874634
928.979383 -1322.921323 -50.164599
928.959605 -1323.618266 -50.454708
928.939817 -1324.315569 -50.744973
928.920018 -1325.013234 -51.035385
928.901373 -1325.711737 -51.308890
928.882916 -1326.410659 -51.579627
928.864449 -1327.109919 -51.850500
928.845975 -1327.809518 -52.121499
928.827491 -1328.509456 -52.392631
928.808998 -1329.209736 -52.663894
928.790496 -1329.910356 -52.935292
928.771985 -1330.611320 -53.206822
928.753465 -1331.312626 -53.478484
928.728238 -1332.012146 -53.848515
928.653853 -1332.696991 -54.939646
928.498774 -1333.359222 -57.214419
928.138330 -1333.965290 -62.501603
927.707795 -1346.042865 -68.816923
927.757308 -1346.765927 -68.090644
927.767959 -1347.484134 -67.934403
927.767959 -1348.201169 -67.934403
927.767959 -1348.918198 -67.934403
927.767663 -1349.635201 -67.938745
928.808306 -1350.414310 -52.674047
928.808306 -1351.120980 -52.674047
928.808306 -1351.827648 -52.674047
928.808306 -1352.534312 -52.674043
928.808306 -1353.240975 -52.674043
928.808306 -1353.947636 -52.674039
928.808306 -1354.654297 -52.674039
928.808306 -1355.360958 -52.674035
928.808306 -1356.067619 -52.674035
927.605975 -1356.810148 -70.310472
927.605975 -1357.528768 -70.310472
927.600385 -1358.247669 -70.392470
927.600385 -1358.966350 -70.392470
927.600385 -1359.685036 -70.392470
927.600385 -1360.403726 -70.392470
927.600385 -1361.122421 -70.392470
927.600385 -1361.841123 -70.392470
927.600385 -1362.559831 -70.392470
927.602227 -1363.278326 -70.365447
927.602227 -1363.997031 -70.365448
927.602227 -1364.715744 -70.365447
927.602227 -1365.434466 -70.365447
927.602227 -1366.153199 -70.365448
927.602227 -1366.871942 -70.365448
927.602227 -1367.590696 -70.365448
927.602227 -1368.309462 -70.365447
927.602227 -1369.028240 -70.365447
927.600385 -1369.747416 -70.392470
927.600385 -1370.466240 -70.392469
927.600385 -1371.185078 -70.392470
927.577323 -1371.909435 -70.730750
927.521741 -1372.642352 -71.546059
929.398502 -1290.892859 -54.084471
929.517767 -1291.709742 -52.317984
929.567312 -1292.462492 -51.584153
929.589146 -1293.189954 -51.260768
929.608798 -1293.915033 -50.969698
929.628437 -1294.639649 -50.678819
929.648063 -1295.363804 -50.388124
929.667677 -1296.087500 -50.097610
929.687279 -1296.810736 -49.807280
929.706868 -1297.533514 -49.517138
929.726445 -1298.255835 -49.227176
929.746010 -1298.977700 -48.937401
929.765562 -1299.699110 -48.647805
929.782577 -1300.418114 -48.395783
929.797011 -1301.134753 -48.182003
929.810994 -1301.850713 -47.974897
929.824970 -1302.566339 -47.767887
929.838940 -1303.281630 -47.560968
929.852904 -1303.996589 -47.354149
929.866861 -1304.711215 -47.147427
929.880812 -1305.425510 -46.940796
929.894756 -1306.139475 -46.734261
929.908694 -1306.853110 -46.527827
929.922625 -1307.566417 -46.321489
929.936550 -1308.279396 -46.115243
929.950468 -1308.992048 -45.909089
929.964380 -1309.704374 -45.703033
929.978286 -1310.416375 -45.497067
929.992185 -1311.128052 -45.291199
930.006078 -1311.839405 -45.085423
930.003898 -1312.540752 -45.117720
929.990967 -1313.235733 -45.309239
929.978033 -1313.930933 -45.500821
929.965094 -1314.626354 -45.692460
929.952151 -1315.321996 -45.884158
929.939204 -1316.017861 -46.075921
929.926254 -1316.713948 -46.267740
929.913298 -1317.410258 -46.459630
929.900339 -1318.106792 -46.651573
929.886318 -1318.803010 -46.859237
929.871995 -1319.499325 -47.071389
929.857666 -1320.195893 -47.283618
929.843332 -1320.892715 -47.495927
929.828992 -1321.589791 -47.708312
929.814648 -1322.287124 -47.920778
929.800298 -1322.984712 -48.133319
929.785943 -1323.682558 -48.345937
929.769743 -1324.379867 -48.585870
929.750739 -1325.076291 -48.867356
929.731203 -1325.772851 -49.156701
929.711658 -1326.469773 -49.446194
929.692103 -1327.167059 -49.735836
929.672537 -1327.864708 -50.025629
929.653673 -1328.562986 -50.305037
929.635432 -1329.261845 -50.575203
929.617183 -1329.961045 -50.845500
929.598925 -1330.660585 -51.115930
929.580657 -1331.360467 -51.386496
929.554864 -1332.058276 -51.768529
929.494297 -1332.745759 -52.665606
929.386419 -1333.420185 -54.263440
929.099147 -1334.044521 -58.518327
928.410982 -1346.044109 -68.710997
928.458908 -1346.766945 -68.001151
928.469144 -1347.485028 -67.849543
928.469144 -1348.201973 -67.849542
928.469144 -1348.918913 -67.849542
928.469042 -1349.635840 -67.851058
929.543355 -1350.417488 -51.938997
929.543355 -1351.123629 -51.938997
929.543355 -1351.829766 -51.938997
929.543355 -1352.535901 -51.938997
929.543355 -1353.242034 -51.938993
929.543355 -1353.948166 -51.938993
929.543355 -1354.654297 -51.938993
929.543355 -1355.360428 -51.938989
929.543355 -1356.066560 -51.938989
928.313171 -1356.809746 -70.159721
928.313171 -1357.528232 -70.159721
928.308260 -1358.246967 -70.232466
928.308260 -1358.965508 -70.232465
928.308260 -1359.684053 -70.232466
928.308260 -1360.402603 -70.232466
928.308260 -1361.121158 -70.232466
928.308260 -1361.839719 -70.232466
928.308260 -1362.558287 -70.232465
928.309658 -1363.276693 -70.211748
928.309658 -1363.995261 -70.211748
928.309658 -1364.713839 -70.211748
928.309658 -1365.432425 -70.211748
928.309658 -1366.151021 -70.211748
928.309658 -1366.869628 -70.211748
928.309658 -1367.588246 -70.211748
928.309658 -1368.306876 -70.211748
928.309658 -1369.025518 -70.211748
928.308259 -1369.744468 -70.232466
928.308260 -1370.463151 -70.232465
928.308259 -1371.181849 -70.232466
928.286543 -1371.905795 -70.554121
928.235248 -1372.637618 -71.313866
930.885081 -1290.294665 -52.361496
931.098885 -1291.200929 -49.131871
931.161736 -1291.965022 -48.182475
931.190946 -1292.697420 -47.741245
931.204322 -1293.415042 -47.539183
931.217692 -1294.132326 -47.337222
931.231056 -1294.849275 -47.135353
