X Y Z
-1120.656241 -1420.727470 -152.500093
-1120.410232 -1421.303945 -150.544500
-1120.264655 -1421.871315 -149.387267
-1120.155859 -1422.435026 -148.522418
-1120.067218 -1422.996566 -147.817785
-1119.993361 -1423.556500 -147.230673
-1119.929693 -1424.115259 -146.724563
-1119.875596 -1424.673005 -146.294527
-1119.421144 -1419.625004 -151.328384
-1119.233790 -1420.198210 -149.826352
-1119.101760 -1420.765419 -148.767859
-1118.997322 -1421.329417 -147.930571
-1118.910965 -1421.891232 -147.238241
-1118.837404 -1422.451447 -146.648499
-1118.773393 -1423.010430 -146.135321
-1118.717430 -1423.568391 -145.686658
-1118.668403 -1424.125495 -145.293601
-1118.625436 -1424.681875 -144.949134
-1118.587861 -1425.237640 -144.647892
-1118.555185 -1425.792881 -144.385924
-1118.527000 -1426.347676 -144.159970
-1118.502973 -1426.902095 -143.967341
-1118.482851 -1427.456199 -143.806022
-1118.466455 -1428.010044 -143.674573
-1118.453625 -1428.563681 -143.571715
-1118.444253 -1429.117160 -143.496577
-1118.438256 -1429.670526 -143.448499
-1118.435600 -1430.223825 -143.427209
-1118.436262 -1430.777100 -143.432513
-1118.440246 -1431.330395 -143.464455
-1118.447602 -1431.883755 -143.523426
-1118.458383 -1432.437225 -143.609862
-1118.472679 -1432.990851 -143.724469
-1118.490632 -1433.544684 -143.868404
-1118.446418 -1419.058443 -152.239577
-1118.187078 -1419.639385 -150.142554
-1118.027007 -1420.209718 -148.848217
-1117.904645 -1420.775642 -147.858798
-1117.803421 -1421.338897 -147.040304
-1117.717230 -1421.900193 -146.343361
-1117.641848 -1422.460010 -145.733826
-1117.575573 -1423.018595 -145.197921
-1117.517355 -1423.576129 -144.727170
-1117.465390 -1424.132815 -144.306984
-1117.418971 -1424.688770 -143.931638
-1117.377541 -1425.244092 -143.596636
-1117.340609 -1425.798867 -143.298000
-1117.310333 -1426.353079 -143.053189
-1117.290827 -1426.906689 -142.895470
-1117.274599 -1427.460039 -142.764244
-1117.261492 -1428.013174 -142.658262
-1117.251429 -1428.566139 -142.576893
-1117.244338 -1429.118974 -142.519552
-1117.240179 -1429.671720 -142.485923
-1117.239207 -1430.224414 -142.478064
-1117.241491 -1430.777100 -142.496532
-1117.246686 -1431.329818 -142.538546
-1117.254850 -1431.882609 -142.604557
-1117.266050 -1432.435513 -142.695122
-1117.280372 -1432.988571 -142.810931
-1117.297943 -1433.541829 -142.953007
-1117.318916 -1434.095333 -143.122596
-1117.343452 -1434.649134 -143.320991
-1117.371789 -1435.203287 -143.550129
-1117.404201 -1435.757855 -143.812207
-1117.440996 -1436.312904 -144.109731
-1117.482582 -1436.868514 -144.445995
-1117.529447 -1437.424773 -144.824948
-1117.582162 -1437.981784 -145.251205
-1117.641467 -1438.539671 -145.730745
-1117.708542 -1439.098600 -146.273112
-1117.786330 -1439.658880 -146.902106
-1117.875690 -1440.220718 -147.624669
-1117.982834 -1440.784762 -148.491038
-1118.116309 -1441.351961 -149.570315
-1118.302384 -1441.924981 -151.074918
-1117.866102 -1419.062569 -151.945356
-1117.630715 -1419.641290 -150.033802
-1117.477485 -1420.211010 -148.789435
-1117.357462 -1420.776721 -147.814738
-1117.259480 -1421.339704 -147.019033
-1117.174780 -1421.900873 -146.331195
-1117.100734 -1422.460579 -145.729871
-1117.036376 -1423.019025 -145.207230
-1116.979125 -1423.576487 -144.742294
-1116.928043 -1424.133110 -144.327461
-1116.882434 -1424.689011 -143.957079
-1116.841752 -1425.244286 -143.626699
-1116.805516 -1425.799020 -143.332431
-1116.773356 -1426.353286 -143.071269
-1116.744976 -1426.907148 -142.840792
-1116.720627 -1427.460649 -142.643061
-1116.699710 -1428.013857 -142.473190
-1116.681993 -1428.566821 -142.329317
-1116.667345 -1429.119586 -142.210359
-1116.655656 -1429.672195 -142.115431
-1116.646846 -1430.224686 -142.043885
-1116.645047 -1430.777100 -142.029278
-1116.650841 -1431.329530 -142.076329
-1116.659401 -1431.882037 -142.145846
-1116.670804 -1432.434659 -142.238446
-1116.685139 -1432.987434 -142.354864
-1116.702522 -1433.540404 -142.496032
-1116.723101 -1434.093616 -142.663152
-1116.747156 -1434.647119 -142.858494
-1116.774974 -1435.200970 -143.084402
-1116.806522 -1435.755219 -143.340606
-1116.842057 -1436.309927 -143.629179
-1116.881959 -1436.865165 -143.953216
-1116.926616 -1437.421013 -144.315875
-1116.976612 -1437.977568 -144.721887
-1117.033182 -1438.534976 -145.181293
-1117.096789 -1439.093358 -145.697832
-1117.168459 -1439.652879 -146.279861
-1117.250644 -1440.213830 -146.947277
-1117.346622 -1440.776615 -147.726707
-1117.462012 -1441.341888 -148.663776
-1117.607618 -1441.910864 -149.846228
-1117.820728 -1442.487412 -151.576883
-1115.595329 -1419.074620 -151.154085
-1115.414360 -1419.648226 -149.658640
-1115.281722 -1420.216060 -148.562578
-1115.175578 -1420.780545 -147.685451
-1115.085277 -1421.342856 -146.939245
-1115.008222 -1421.903392 -146.302500
-1114.940326 -1422.462611 -145.741437
-1114.880194 -1423.020724 -145.244529
-1114.826741 -1423.577899 -144.802816
-1114.779123 -1424.134273 -144.409323
-1114.736711 -1424.689957 -144.058851
-1114.698968 -1425.245045 -143.746965
-1114.665464 -1425.799617 -143.470101
-1114.635862 -1426.353745 -143.225479
-1114.609888 -1426.907489 -143.010846
-1114.587320 -1427.460904 -142.824351
-1114.567968 -1428.014042 -142.664432
-1114.551677 -1428.566949 -142.529811
-1114.538942 -1429.119660 -142.424576
-1114.529152 -1429.672229 -142.343676
-1114.522167 -1430.224696 -142.285956
-1114.517932 -1430.777100 -142.250963
-1114.516419 -1431.329478 -142.238456
-1114.517638 -1431.881867 -142.248528
-1114.522303 -1432.434314 -142.287083
-1114.529716 -1432.986854 -142.348336
-1114.539937 -1433.539526 -142.432798
-1114.553032 -1434.092368 -142.541009
-1114.569101 -1434.645425 -142.673796
-1114.588277 -1435.198740 -142.832258
-1114.611089 -1435.752378 -143.020766
-1114.637474 -1436.306385 -143.238797
-1114.667494 -1436.860813 -143.486876
-1114.701419 -1437.415726 -143.767212
-1114.739590 -1437.971198 -144.082646
-1114.782433 -1438.527312 -144.436681
-1114.830453 -1439.084166 -144.833495
-1114.884305 -1439.641877 -145.278500
-1114.944806 -1440.200589 -145.778460
-1115.013103 -1440.760482 -146.342830
-1115.092293 -1441.321929 -146.997222
-1115.183459 -1441.885174 -147.750581
-1115.292259 -1442.450915 -148.649656
-1115.427795 -1443.020292 -149.769661
-1115.617315 -1443.596489 -151.335768
-1119.031125 -1419.053944 -152.566071
-1118.746197 -1419.637250 -150.272006
-1118.578446 -1420.208275 -148.921377
-1118.451944 -1420.774561 -147.902858
-1118.347454 -1421.338087 -147.061564
-1118.259765 -1421.899511 -146.355545
-1118.195856 -1422.458593 -145.840996
-1118.139454 -1423.016649 -145.386881
-1118.089756 -1423.573822 -144.986736
-1118.045911 -1424.130246 -144.633726
