X Y Z
-1123.494296 -1394.057921 -177.164883
-1123.256047 -1394.819488 -175.544122
-1123.085409 -1395.566546 -174.383307
-1122.958040 -1396.304343 -173.516842
-1122.862912 -1397.035381 -172.869705
-1122.774667 -1397.764357 -172.269392
-1122.708952 -1398.488820 -171.822348
-1122.647324 -1399.212003 -171.403108
-1122.604353 -1399.931727 -171.110781
-1122.561401 -1400.651027 -170.818589
-1122.537129 -1401.367212 -170.653471
-1122.513852 -1402.083013 -170.495124
-1122.501099 -1402.797158 -170.408372
-1122.495952 -1403.510176 -170.373356
-1122.493358 -1404.222806 -170.355706
-1122.505868 -1404.933569 -170.440809
-1122.518390 -1405.644429 -170.525992
-1122.543996 -1406.353930 -170.700189
-1122.574713 -1407.063106 -170.909148
-1122.613018 -1407.771776 -171.169727
-1122.663568 -1408.479593 -171.513611
-1122.718830 -1409.187428 -171.889548
-1122.792360 -1409.894150 -172.389755
-1122.872914 -1410.600955 -172.937746
-1122.974966 -1411.306799 -173.631990
-1123.098258 -1412.012000 -174.470720
-1123.248212 -1412.716477 -175.490824
-1123.456579 -1413.418537 -176.908304
-1122.755088 -1393.351049 -176.903554
-1122.510967 -1394.114832 -175.235262
-1122.334715 -1394.863622 -174.030777
-1122.203694 -1395.602496 -173.135396
-1122.102487 -1396.334826 -172.443763
-1122.009245 -1397.064809 -171.806554
-1121.939235 -1397.789988 -171.328120
-1121.873943 -1398.513718 -170.881922
-1121.823895 -1399.234394 -170.539896
-1121.781194 -1399.953447 -170.248085
-1121.744269 -1400.671216 -169.995741
-1121.721785 -1401.386527 -169.842090
-1121.700496 -1402.101441 -169.696601
-1121.691034 -1402.814533 -169.631943
-1121.685322 -1403.527028 -169.592909
-1121.682055 -1404.239143 -169.570580
-1121.693645 -1404.949405 -169.649788
-1121.706085 -1405.659660 -169.734798
-1121.728843 -1406.368857 -169.890325
-1121.759370 -1407.077417 -170.098943
-1121.791370 -1407.786096 -170.317628
-1121.841603 -1408.493270 -170.660912
-1121.891871 -1409.200898 -171.004436
-1121.959172 -1409.907470 -171.464364
-1122.032297 -1410.614168 -171.964089
-1122.123925 -1411.320069 -172.590267
-1122.225444 -1412.026076 -173.284030
-1122.359221 -1412.730761 -174.198247
-1122.519742 -1413.434936 -175.295232
-1122.739901 -1414.136981 -176.799769
-1123.161961 -1414.829757 -179.684071
-1123.836768 -1396.270040 -174.736241
-1123.718490 -1397.005875 -173.935260
-1123.624087 -1397.736609 -173.295969
-1123.545632 -1398.463861 -172.764667
-1123.479550 -1399.188416 -172.317162
-1123.429035 -1399.909957 -171.975074
-1123.385809 -1400.629929 -171.682352
-1123.354566 -1401.347759 -171.470771
-1123.331147 -1402.064193 -171.312184
-1123.314977 -1402.779417 -171.202677
-1123.309800 -1403.493047 -171.167620
-1123.306891 -1404.206328 -171.147918
-1123.319486 -1404.917697 -171.233211
-1123.332085 -1405.629165 -171.318535
-1123.360577 -1406.338968 -171.511477
-1123.391477 -1407.048763 -171.720735
-1123.436167 -1407.757424 -172.023375
-1123.487036 -1408.465884 -172.367862
-1123.553191 -1409.173386 -172.815862
-1123.627209 -1409.880796 -173.317107
-1121.544091 -1391.883488 -178.215251
-1121.281753 -1392.654505 -176.405942
-1121.096435 -1393.407769 -175.127824
-1120.951268 -1394.151496 -174.126621
-1120.831751 -1394.888989 -173.302326
-1120.733754 -1395.621373 -172.626452
-1120.655322 -1396.349301 -172.085520
-1120.577403 -1397.076375 -171.548124
-1120.520883 -1397.799059 -171.158308
-1120.464640 -1398.521140 -170.770411
-1120.422642 -1399.240385 -170.480754
-1120.385016 -1399.958532 -170.221252
-1120.352685 -1400.675503 -169.998271
-1120.331590 -1401.390507 -169.852777
-1120.310500 -1402.105291 -169.707327
-1120.301756 -1402.818169 -169.647020
-1120.296098 -1403.530538 -169.607993
-1120.293125 -1404.242494 -169.587488
-1120.302530 -1404.952887 -169.652353
-1120.311937 -1405.663352 -169.717233
-1120.330616 -1406.372840 -169.846063
-1120.355437 -1407.081823 -170.017248
-1120.380979 -1407.790950 -170.193406
-1120.422177 -1408.498754 -170.477546
-1120.463517 -1409.206919 -170.762663
-1120.516454 -1409.914422 -171.127765
-1120.576330 -1410.621824 -171.540720
-1120.643807 -1411.329169 -172.006102
-1120.725744 -1412.036049 -172.571208
-1120.816333 -1412.743079 -173.195992
-1120.926160 -1413.449683 -173.953459
-1121.055534 -1414.156117 -174.845735
-1121.205028 -1414.862623 -175.876777
