X Y Z
3.862837 1226.104126 -710.349535
3.936021 1226.628176 -710.971046
4.009153 1227.151854 -711.591949
4.064386 1227.547363 -712.208127
4.111931 1227.887818 -712.822105
4.159459 1228.228150 -713.435688
4.187501 1228.428955 -714.044608
4.214641 1228.623291 -714.653094
4.241780 1228.817627 -715.261348
4.252622 1228.895263 -715.865991
4.261947 1228.962035 -716.470221
4.271255 1229.028687 -717.074357
4.268714 1229.010497 -717.676084
4.261111 1228.956054 -718.276843
4.253508 1228.901610 -718.877643
4.237910 1228.789917 -719.477016
4.212953 1228.611206 -720.074811
4.187962 1228.432252 -720.672778
4.156527 1228.207155 -721.269815
4.112221 1227.889893 -721.864918
4.067881 1227.572388 -722.460347
4.012716 1227.177368 -723.054372
3.944868 1226.691529 -723.646829
3.876969 1226.205323 -724.239795
3.778691 1225.501587 -724.828763
3.678982 1224.787598 -725.418278
3.814895 1221.521850 -707.164164
4.090701 1223.504394 -707.842288
4.258331 1224.709351 -708.490599
4.382809 1225.604125 -709.126719
4.491359 1226.384398 -709.757897
4.572924 1226.970704 -710.381627
4.645726 1227.494017 -711.002594
4.711532 1227.967043 -711.621318
4.758878 1228.307373 -712.235225
4.806190 1228.647461 -712.848732
4.846115 1228.934450 -713.460193
4.873134 1229.128663 -714.068480
4.900152 1229.322875 -714.676536
4.924742 1229.499636 -715.283844
4.934031 1229.566406 -715.887756
4.943303 1229.633057 -716.491572
4.952576 1229.699706 -717.095296
4.949621 1229.678467 -717.696529
4.942047 1229.624024 -718.296879
4.934490 1229.569702 -718.897274
4.921974 1229.479735 -719.496796
4.897129 1229.301147 -720.094172
4.872284 1229.122557 -720.691728
4.847423 1228.943848 -721.289460
4.803898 1228.630982 -721.884220
4.759795 1228.313965 -722.479211
4.715675 1227.996825 -723.074532
4.649972 1227.524538 -723.666794
4.582451 1227.039184 -724.259280
4.506422 1226.492676 -724.851013
4.407281 1225.780028 -725.439971
4.303164 1225.031616 -726.028992
4.154706 1223.964478 -726.612724
3.960244 1222.566651 -727.191467
3.581527 1219.844360 -727.747847
5.573441 1221.399169 -705.348696
5.885841 1223.670897 -706.040968
6.034705 1224.753418 -706.686545
6.159632 1225.661865 -707.324542
6.258857 1226.383422 -707.954783
6.344721 1227.007813 -708.580760
6.426439 1227.602049 -709.204977
6.485797 1228.033693 -709.822925
6.545121 1228.465089 -710.440370
6.600080 1228.864746 -711.056264
6.639227 1229.149413 -711.667930
6.678356 1229.433959 -712.279259
6.717453 1229.718263 -712.890249
6.740921 1229.888917 -713.497369
6.763230 1230.051148 -714.104024
6.785540 1230.213380 -714.710482
6.801739 1230.331177 -715.315433
6.808974 1230.383789 -715.918349
6.816225 1230.436522 -716.521191
6.823460 1230.489135 -717.123955
6.819902 1230.463257 -717.724499
6.812684 1230.410767 -718.324341
6.805465 1230.358276 -718.924224
6.797206 1230.298218 -719.523953
6.775216 1230.138306 -720.121221
6.753225 1229.978393 -720.718649
6.731218 1229.818359 -721.316232
6.701270 1229.600585 -721.912618
6.663114 1229.323121 -722.507858
6.624941 1229.045533 -723.103384
6.584502 1228.751464 -723.698838
6.527310 1228.335571 -724.292005
6.470168 1227.920044 -724.885619
6.411264 1227.491699 -725.479416
6.329966 1226.900514 -726.070465
6.248601 1226.308837 -726.662138
6.152548 1225.610352 -727.252462
6.036904 1224.769409 -727.840969
5.905632 1223.814819 -728.428398
5.733334 1222.561890 -729.011806
5.393203 1220.088502 -729.576574
4.404621 1221.506225 -706.559940
4.709058 1223.703003 -707.246975
4.875978 1224.907472 -707.895794
5.009943 1225.874147 -708.534827
5.118042 1226.654174 -709.166251
5.209342 1227.312987 -709.792627
5.281798 1227.835815 -710.413654
5.354202 1228.358275 -711.034074
5.405224 1228.726442 -711.648843
