X Y Z
-63.218689 1250.636229 -669.924458
-63.180246 1250.916869 -670.544200
-63.144361 1251.178833 -671.162970
-63.109145 1251.435914 -671.781265
-63.092341 1251.558592 -672.394779
-63.075569 1251.681030 -673.008128
-63.058780 1251.803589 -673.621326
-63.058496 1251.805663 -674.230552
-63.059399 1251.799072 -674.839485
-63.060302 1251.792482 -675.448404
-63.074080 1251.691895 -676.054487
-63.092725 1251.555786 -676.659613
-63.111386 1251.419557 -677.264864
-63.141134 1251.202393 -677.867946
-63.179192 1250.924561 -678.469557
-63.217267 1250.646607 -679.071451
-63.269907 1250.262329 -679.670784
-63.331258 1249.814453 -680.268853
-63.393629 1249.359131 -680.867202
-63.486083 1248.684205 -681.460515
-63.578637 1248.008545 -682.054531
-63.714365 1247.017700 -682.641694
-62.181859 1245.111815 -663.607257
-61.905870 1247.150391 -664.302735
-61.730378 1248.446655 -664.966355
-61.600531 1249.405763 -665.615270
-61.494697 1250.187499 -666.256231
-61.408000 1250.827882 -666.890907
-61.324675 1251.443359 -667.523919
-61.267048 1251.869019 -668.149183
-61.222576 1252.197509 -668.770401
-61.180351 1252.509399 -669.390637
-61.154901 1252.697388 -670.006110
-61.129450 1252.885376 -670.621354
-61.104000 1253.073364 -671.236370
-61.087375 1253.196165 -671.848950
-61.077227 1253.271117 -672.459780
-61.067080 1253.346068 -673.070506
-61.056933 1253.421021 -673.681129
-61.060899 1253.391724 -674.288347
-61.065246 1253.359619 -674.895488
-61.069609 1253.327392 -675.502641
-61.078781 1253.259644 -676.108741
-61.097770 1253.119384 -676.712758
-61.116775 1252.979004 -677.316906
-61.135780 1252.838624 -677.921187
-61.166800 1252.609498 -678.523132
-61.201604 1252.352418 -679.124546
-61.236425 1252.095215 -679.726220
-61.278203 1251.786621 -680.326810
-61.331285 1251.394532 -680.925577
-61.384417 1251.002075 -681.524747
-61.444275 1250.559937 -682.123108
-61.520280 1249.998534 -682.719071
-61.596367 1249.436522 -683.315616
-61.691326 1248.735107 -683.909564
-61.799210 1247.938232 -684.502125
-61.949549 1246.827758 -685.088692
-62.220018 1244.829956 -685.657561
-61.591576 1245.056886 -662.995174
-61.292526 1247.274535 -663.699111
-61.103337 1248.677490 -664.367663
-60.991451 1249.507202 -665.011797
-60.900289 1250.183227 -665.648954
-60.836617 1250.655396 -666.277439
-60.773011 1251.127074 -666.905364
-60.713307 1251.569824 -667.531658
-60.670705 1251.885741 -668.152732
-60.628136 1252.201417 -668.773428
-60.585568 1252.517088 -669.393755
-60.560070 1252.706177 -670.009219
-60.534720 1252.894163 -670.624414
-60.509386 1253.082031 -671.239378
-60.492266 1253.208986 -671.852051
-60.482143 1253.284057 -672.462834
-60.472036 1253.359007 -673.073510
-60.461944 1253.433839 -673.684079
-60.465319 1253.408813 -674.291382
-60.469665 1253.376586 -674.898467
-60.474011 1253.344360 -675.505567
-60.482587 1253.280763 -676.111741
-60.501501 1253.140503 -676.715703
-60.520415 1253.000244 -677.319800
-60.539345 1252.859863 -677.924027
-60.569633 1252.635254 -678.526044
-60.604301 1252.378174 -679.127401
-60.638968 1252.121093 -679.729021
-60.679874 1251.817749 -680.329693
-60.732747 1251.425659 -680.928400
-60.785654 1251.033325 -681.527514
-60.844387 1250.597779 -682.125977
-60.920092 1250.036377 -682.721877
-60.995863 1249.474487 -683.318363
-61.089197 1248.782350 -683.912460
-61.196639 1247.985596 -684.504957
-61.320641 1247.066040 -685.095626
-61.478619 1245.894531 -685.681921
-61.701339 1244.242919 -686.259520
-62.985551 1247.984254 -666.164607
-62.860345 1248.901854 -666.811180
-62.772764 1249.543703 -667.446329
-62.685268 1250.184937 -668.080729
-62.625771 1250.620973 -668.706893
-62.567574 1251.047485 -669.332212
-62.516255 1251.423584 -669.955252
-62.480544 1251.685303 -670.573858
-62.444833 1251.947021 -671.192154
-62.414218 1252.171388 -671.808878
-62.397512 1252.293823 -672.421937
-62.380822 1252.416139 -673.034837
-62.364132 1252.538453 -673.647581
-62.364415 1252.536377 -674.256230
-62.365298 1252.529907 -674.864723
-62.366198 1252.523316 -675.473200
-62.376808 1252.445557 -676.079526
-62.395346 1252.309692 -676.684203
-62.413902 1252.173706 -677.289006
-62.436155 1252.010620 -677.893169
-62.474015 1251.733156 -678.494306
-62.511875 1251.455687 -679.095728
-62.551051 1251.168580 -679.697177
-62.612063 1250.721436 -680.294726
-62.673109 1250.274047 -680.892741
-62.743216 1249.760253 -681.489560
-62.835243 1249.085815 -682.082975
-62.928319 1248.403688 -682.676927
-63.068316 1247.377686 -683.263532
-63.238212 1246.132569 -683.846217
-63.539727 1243.922851 -684.408647
-60.657555 1243.104737 -661.692477
-60.341958 1245.463745 -662.405808
-60.146966 1246.921264 -663.079110
-60.013655 1247.917726 -663.731905
-59.894521 1248.808227 -664.379300
-59.803475 1249.488769 -665.017325
-59.712544 1250.168456 -665.654546
-59.647857 1250.651978 -666.283391
-59.584754 1251.123658 -666.911229
-59.523986 1251.577879 -667.537869
-59.481721 1251.893799 -668.158852
-59.439489 1252.209473 -668.779456
-59.397290 1252.524903 -669.399682
-59.370703 1252.723632 -670.015398
-59.345569 1252.911499 -670.630493
-59.320436 1253.099366 -671.245361
-59.302309 1253.234864 -671.858227
-59.292281 1253.309816 -672.468907
-59.282254 1253.384766 -673.079483
-59.272227 1253.459717 -673.689955
-59.274497 1253.442750 -674.297414
-59.278792 1253.410644 -674.904399
-59.283103 1253.378418 -675.511395
-59.290501 1253.323121 -676.117714
-59.309266 1253.182861 -676.721568
-59.328030 1253.042602 -677.325557
-59.346810 1252.902223 -677.929676
-59.375635 1252.686768 -678.531840
-59.410028 1252.429688 -679.133085
-59.444421 1252.172609 -679.734592
-59.483583 1251.879884 -680.335429
-59.536022 1251.487914 -680.934022
-59.588510 1251.095582 -681.533017
-59.644982 1250.673463 -682.131692
-59.720072 1250.112184 -682.727470
-59.795228 1249.550416 -683.323833
-59.885326 1248.876953 -683.918234
-59.991886 1248.080445 -684.510600
-60.110923 1247.190674 -685.101786
-60.267603 1246.019531 -685.687938
-60.480494 1244.428223 -686.266638
-60.896494 1241.318727 -686.816396
-59.486885 1242.906860 -661.690724
-59.158638 1245.380128 -662.408868
-58.959594 1246.879882 -663.083875
-58.827361 1247.876221 -663.736596
-58.706114 1248.789793 -664.384856
-58.615810 1249.470216 -665.022797
-58.525619 1250.149780 -665.659934
-58.459406 1250.648681 -666.289298
-58.396822 1251.120239 -666.917046
-58.335016 1251.585936 -667.544033
-58.293104 1251.901733 -668.164920
-58.251208 1252.217408 -668.785433
-58.209345 1252.532837 -669.405569
-58.181706 1252.741088 -670.021532
-58.156773 1252.928955 -670.636532
-58.131856 1253.116700 -671.251300
-58.112738 1253.260743 -671.864361
-58.102791 1253.335693 -672.474941
-58.092844 1253.410643 -673.085417
-58.082912 1253.485475 -673.695787
-58.084063 1253.476806 -674.303409
-58.088340 1253.444580 -674.910287
-58.092617 1253.412355 -675.517181
-58.098838 1253.365478 -676.123649
-58.117453 1253.225220 -676.727396
-58.136068 1253.084961 -677.331277
-58.154683 1252.944702 -677.935293
-58.182095 1252.738160 -678.537597
-58.216182 1252.481322 -679.138736
-58.250301 1252.224243 -679.740132
-58.287757 1251.942017 -680.341132
-58.339762 1251.550171 -680.939610
-58.391816 1251.157960 -681.538491
-58.446073 1250.749146 -682.137376
-58.520548 1250.187989 -682.733031
