X Y Z
-393.336706 -1287.717780 -841.321048
-392.818961 -1285.785528 -841.770230
-392.542277 -1284.752927 -842.302184
-392.346810 -1284.023436 -842.861807
-392.182121 -1283.408808 -843.431638
-392.030746 -1282.843869 -844.005610
-391.879503 -1282.279421 -844.579054
-391.728421 -1281.715577 -845.151982
-391.577469 -1281.152216 -845.724383
-391.426650 -1280.589352 -846.296262
-391.275963 -1280.026979 -846.867616
-391.125437 -1279.465209 -847.438460
-390.975042 -1278.903930 -848.008783
-390.824747 -1278.343021 -848.578574
-390.674645 -1277.782832 -849.147869
-390.524643 -1277.223016 -849.716635
-390.374775 -1276.663702 -850.284885
-390.225065 -1276.104978 -850.852630
-390.075458 -1275.546635 -851.419850
-389.926012 -1274.988896 -851.986568
-389.776697 -1274.431644 -852.552774
-389.627511 -1273.874876 -853.118468
-389.478458 -1273.318603 -853.683653
-389.329536 -1272.762818 -854.248329
-389.180776 -1272.207635 -854.812510
-389.032115 -1271.652828 -855.376171
-388.883588 -1271.098516 -855.939328
-388.735219 -1270.544797 -856.501992
-388.586954 -1269.991462 -857.064141
-388.438847 -1269.438719 -857.625799
-388.290873 -1268.886471 -858.186957
-388.142999 -1268.334598 -858.747602
-387.995284 -1267.783319 -859.307760
-387.847703 -1267.232541 -859.867422
-387.700221 -1266.682130 -860.426573
-387.552900 -1266.132319 -860.985241
-387.405711 -1265.583003 -861.543416
-387.258622 -1265.034060 -862.101084
-387.111694 -1264.485717 -862.658272
-386.964896 -1263.937860 -863.214969
-386.818200 -1263.390384 -863.771163
-386.671665 -1262.843508 -864.326881
-386.525228 -1262.296998 -864.882097
-386.378923 -1261.750980 -865.436827
-386.232779 -1261.205561 -865.991083
-386.086736 -1260.660523 -866.544842
-385.940824 -1260.115971 -867.098118
-385.795042 -1259.571904 -867.650910
-385.649389 -1259.028322 -868.203220
-385.503869 -1258.485233 -868.755051
-385.358477 -1257.942622 -869.306401
-385.213186 -1257.400391 -869.857259
-385.082876 -1256.914064 -870.414439
-384.965842 -1256.477287 -870.977252
-384.879396 -1256.154669 -871.553783
-384.809072 -1255.892215 -872.137511
-384.754318 -1255.687869 -872.728281
-384.721216 -1255.564332 -873.329042
-384.695570 -1255.468621 -873.933253
-384.696585 -1255.472408 -874.550038
-384.703455 -1255.498047 -875.169689
-384.736100 -1255.619879 -875.801744
-384.782086 -1255.791503 -876.440412
-384.847962 -1256.037353 -877.088928
-384.945170 -1256.400141 -877.752950
-385.068747 -1256.861335 -878.430268
-385.230487 -1257.464957 -879.126802
-385.422687 -1258.182258 -879.839022
-385.615208 -1258.900756 -880.552302
-385.807992 -1259.620235 -881.266614
-386.001040 -1260.340702 -881.981963
-386.194381 -1261.062260 -882.698364
-386.388017 -1261.784917 -883.415821
-386.581945 -1262.508666 -884.134335
-386.776137 -1263.233401 -884.853894
-386.970623 -1263.959235 -885.574516
-387.165402 -1264.686158 -886.296202
-387.360475 -1265.414179 -887.018956
-387.555811 -1266.143186 -887.742764
