X Y Z
38.212933 720.745361 1227.972143
38.453534 722.602967 1227.319053
38.609508 723.807190 1226.668703
38.729631 724.734619 1226.019820
38.833943 725.539977 1225.371948
38.915392 726.168823 1224.724859
38.986976 726.721497 1224.078373
39.052986 727.231140 1223.432419
39.100593 727.598694 1222.786709
39.148168 727.966003 1222.141399
39.188683 728.278808 1221.496309
39.216779 728.495727 1220.851191
39.244859 728.712524 1220.206308
39.269547 728.903137 1219.561529
39.280338 728.986451 1218.916369
39.291137 729.069824 1218.271297
39.301936 729.153198 1217.626312
39.298450 729.126282 1216.980631
39.292639 729.081422 1216.334778
39.286829 729.036560 1215.688872
39.272496 728.925903 1215.042336
39.249452 728.747986 1214.395050
39.226400 728.570008 1213.747562
39.198517 728.354736 1213.099487
39.156089 728.027160 1212.449945
39.113629 727.699341 1211.800034
39.064836 727.322632 1211.149171
38.998542 726.810791 1210.496193
38.932184 726.298462 1209.842641
38.843975 725.617432 1209.186220
38.744825 724.851928 1208.527848
38.616742 723.863038 1207.865340
38.465203 722.693054 1207.198975
38.205857 720.690735 1206.518153
37.801398 722.458801 1226.670263
37.958052 723.663330 1226.020448
38.066675 724.498535 1225.371948
38.169883 725.292114 1224.724337
38.241857 725.845520 1224.077329
38.313766 726.398438 1223.430924
38.368284 726.817627 1222.784829
38.416118 727.185425 1222.139050
38.463507 727.549805 1221.493659
38.491758 727.767029 1220.848101
38.519993 727.984131 1220.202777
38.547538 728.195922 1219.557661
38.558389 728.279358 1218.912073
38.569248 728.362854 1218.266572
38.580099 728.446290 1217.621157
38.575987 728.414672 1216.975013
38.570145 728.369751 1216.328728
38.564303 728.324829 1215.682389
38.545863 728.183045 1215.035149
38.522692 728.004883 1214.387411
38.499513 727.826661 1213.739472
38.463293 727.548157 1213.090292
38.420626 727.220093 1212.440259
38.377944 726.891907 1211.789860
38.314679 726.405457 1211.137195
38.248001 725.892761 1210.483661
38.167733 725.275575 1209.828191
38.068120 724.509644 1209.170009
37.946376 723.573547 1208.508567
37.794126 722.402893 1207.842638
37.532112 720.388243 1207.162527
38.850829 720.773315 1228.621898
39.105431 722.747131 1227.967599
39.260709 723.950927 1227.316715
39.392226 724.970520 1226.667346
39.496062 725.775513 1226.019208
39.588467 726.491883 1225.371948
39.659701 727.044128 1224.725381
39.723787 727.540954 1224.079355
39.768631 727.888611 1223.433626
39.807366 728.188903 1222.788172
39.846069 728.488953 1222.143044
39.875388 728.716248 1221.498003
