X Y Z
3.538453 1223.781861 -719.134059
3.564297 1223.966918 -719.744088
3.573639 1224.033813 -720.350799
3.581464 1224.089845 -720.957140
3.589305 1224.145996 -721.563407
3.582435 1224.096801 -722.167006
3.572906 1224.028564 -722.770184
3.550101 1219.619017 -712.948439
3.698814 1220.687987 -713.590403
3.808824 1221.478759 -714.222360
3.901036 1222.141600 -714.849447
3.973958 1222.665773 -715.471545
4.044654 1223.173950 -716.092570
4.091423 1223.510133 -716.707945
4.138174 1223.846192 -717.322929
4.179254 1224.141478 -717.936369
4.205220 1224.328125 -718.546440
4.231185 1224.514771 -719.156288
4.254230 1224.680421 -719.765353
4.262025 1224.736451 -720.371345
4.269819 1224.792480 -720.977258
4.277614 1224.848510 -721.583093
4.270040 1224.794068 -722.186135
4.260547 1224.725831 -722.788888
4.251071 1224.657715 -723.391704
4.230693 1224.511231 -723.992780
4.203369 1224.314821 -724.592883
4.176044 1224.118408 -725.193187
4.139142 1223.853150 -725.792224
4.091847 1223.513184 -726.389986
4.044518 1223.172974 -726.988101
3.981718 1222.721557 -727.584388
3.909884 1222.205200 -728.179914
3.831919 1221.644775 -728.775173
3.726545 1220.887330 -729.367480
3.964433 1218.330444 -711.692456
4.180479 1219.889404 -712.352622
4.336505 1221.015260 -712.996863
4.446025 1221.805542 -713.629032
4.546849 1222.533079 -714.258328
4.619457 1223.057007 -714.880467
4.691980 1223.580324 -715.501993
4.746571 1223.974242 -716.119039
4.793093 1224.309937 -716.733917
4.839597 1224.645506 -717.348405
4.871486 1224.875612 -717.959512
4.897318 1225.062013 -718.569130
4.923150 1225.248413 -719.178527
4.941674 1225.382081 -719.786290
4.949439 1225.438110 -720.391854
4.957204 1225.494139 -720.997339
4.964952 1225.550048 -721.602744
4.956696 1225.490478 -722.205232
4.947257 1225.422362 -722.807564
4.937817 1225.354247 -723.409955
4.920359 1225.228270 -724.011078
4.893190 1225.032226 -724.610754
4.866005 1224.836059 -725.210627
4.836265 1224.621459 -725.810308
4.789218 1224.281981 -726.407617
4.742139 1223.942260 -727.005278
4.692454 1223.583739 -727.602928
4.620997 1223.068115 -728.197954
4.549489 1222.552124 -728.793523
4.461148 1221.914673 -729.387455
4.356246 1221.157714 -729.979982
4.229606 1220.243897 -730.570670
4.071670 1219.104249 -731.158643
3.820690 1217.293213 -731.737216
5.212971 1218.778441 -710.497270
5.440028 1220.429564 -711.162018
5.580667 1221.452271 -711.803650
5.673631 1222.128296 -712.432589
5.759999 1222.756348 -713.059194
5.837302 1223.318482 -713.682966
5.897029 1223.752809 -714.302053
5.956722 1224.186890 -714.920637
6.008056 1224.560181 -715.536867
6.047437 1224.846559 -716.150057
6.086802 1225.132813 -716.762910
6.123800 1225.401856 -717.374934
6.146260 1225.565185 -717.983641
6.168704 1225.728394 -718.592149
6.191148 1225.891601 -719.200459
6.204107 1225.985839 -719.806728
6.211392 1226.038818 -720.411794
6.218678 1226.091796 -721.016786
6.225963 1226.144774 -721.621703
6.218980 1226.093994 -722.223995
6.211711 1226.041138 -722.826277
6.204443 1225.988282 -723.428601
6.192457 1225.901121 -724.030181
6.170316 1225.740113 -724.630187
6.148174 1225.579102 -725.230355
6.126032 1225.418091 -725.830684
6.091636 1225.167969 -726.429326
6.053245 1224.888794 -727.027641
6.014821 1224.609375 -727.626243
5.968791 1224.274658 -728.224080
5.911314 1223.856689 -728.820725
5.853786 1223.438354 -729.417808
5.787529 1222.956544 -730.014226
5.705711 1222.361571 -730.609244
5.614442 1221.697877 -731.203775
5.467860 1220.631957 -731.792649
5.301018 1219.418701 -732.380424
5.031155 1217.456300 -732.958467
8.398953 1216.013795 -709.198833
8.701100 1218.263305 -709.887901
8.891164 1219.678343 -710.545320
9.020693 1220.642700 -711.185663
9.143319 1221.555664 -711.823190
9.231055 1222.208862 -712.451043
9.315364 1222.836548 -713.077325
9.388802 1223.383302 -713.700291
9.447123 1223.817504 -714.319075
9.505378 1224.251221 -714.937348
9.553976 1224.613037 -715.552928
9.592425 1224.899292 -716.165824
9.630857 1225.185424 -716.778383
9.665732 1225.445068 -717.389845
9.687653 1225.608277 -717.998265
9.709559 1225.771364 -718.606486
9.731480 1225.934570 -719.214513
9.743039 1226.020628 -719.820281
9.750139 1226.073487 -720.425067
9.757255 1226.126465 -721.029781
9.763616 1226.173828 -721.634280
9.756533 1226.121093 -722.236251
9.749434 1226.068238 -722.838261
9.742351 1226.015502 -723.440316
9.729611 1225.920654 -724.041448
9.708001 1225.759766 -724.641190
9.686391 1225.598877 -725.241093
9.664765 1225.437868 -725.841156
9.630103 1225.179810 -726.439367
9.592621 1224.900756 -727.037422
9.555107 1224.621460 -727.635765
9.508919 1224.277587 -728.233165
9.452796 1223.859741 -728.829556
9.396639 1223.441650 -729.426386
9.330399 1222.948486 -730.022350
9.250501 1222.353638 -730.617120
9.170521 1221.758179 -731.212519
9.063979 1220.964966 -731.805427
8.950288 1220.118530 -732.398377
8.800772 1219.005372 -732.988309
8.625203 1217.698244 -733.576695
8.307496 1215.332886 -734.152055
8.998474 1216.054566 -709.203123
9.297201 1218.287475 -709.891531
9.486478 1219.702271 -710.548881
9.614595 1220.659913 -711.188936
9.736735 1221.572876 -711.826408
9.823600 1222.222169 -712.454078
9.907574 1222.849854 -713.080308
9.980394 1223.394163 -713.703145
10.038451 1223.828127 -714.321871
10.096491 1224.261963 -714.940099
10.144635 1224.621825 -715.555571
10.182931 1224.908080 -716.168418
10.221195 1225.194093 -716.780927
10.255735 1225.452269 -717.392298
10.277569 1225.615478 -718.000672
10.299388 1225.778564 -718.608846
10.321206 1225.941650 -719.216823
10.332540 1226.026367 -719.822509
10.339627 1226.079345 -720.427252
10.346699 1226.132203 -721.031918
10.352872 1226.178345 -721.636340
10.345817 1226.125610 -722.238267
10.338746 1226.072754 -722.840232
10.331691 1226.020020 -723.442242
10.318838 1225.923949 -724.043301
10.297314 1225.763062 -724.643000
10.275789 1225.602173 -725.242859
10.254249 1225.441163 -725.842878
10.219545 1225.181763 -726.441017
10.182213 1224.902709 -727.039029
10.144863 1224.623534 -727.637331
10.098647 1224.278076 -728.234658
10.042746 1223.860230 -728.831007
9.986812 1223.442140 -729.427795
9.920589 1222.947143 -730.023685
9.841009 1222.352296 -730.618414
9.761362 1221.756957 -731.213774
9.654884 1220.961060 -731.806598
9.541645 1220.114625 -732.399508
9.392166 1218.997314 -732.989341
9.216069 1217.681030 -733.577559
8.894331 1215.276123 -734.152349
9.597853 1216.095216 -709.207396
9.893178 1218.311524 -709.895144
10.081684 1219.726197 -710.552432
10.208396 1220.677125 -711.192197
10.330033 1221.589966 -711.829611
10.416063 1222.235595 -712.457106
10.499687 1222.863158 -713.083281
10.571875 1223.404907 -713.705985
10.629701 1223.838867 -714.324662
10.687494 1224.272583 -714.942837
10.735202 1224.630616 -715.558203
10.773346 1224.916870 -716.171004
10.811457 1225.202880 -716.783464
10.845648 1225.459471 -717.394742
10.867379 1225.622559 -718.003066
10.889127 1225.785766 -718.611197
10.910858 1225.948851 -719.219128
10.921968 1226.032225 -719.824731
10.929011 1226.085084 -720.429426
10.936070 1226.138061 -721.034049
10.942040 1226.182861 -721.638392
10.935013 1226.130127 -722.240275
10.927970 1226.077272 -722.842195
10.920943 1226.024536 -723.444161
10.907963 1225.927125 -724.045145
10.886540 1225.766357 -724.644802
10.865102 1225.605469 -725.244618
10.843663 1225.444579 -725.844595
10.808903 1225.183717 -726.442661
10.771719 1224.904664 -727.040630
10.734519 1224.625489 -727.638889
10.688291 1224.278564 -728.236145
10.632629 1223.860839 -728.832454
10.576918 1223.442749 -729.429200
10.510699 1222.945801 -730.025014
10.431451 1222.351074 -730.619705
10.352122 1221.755737 -731.215023
10.245726 1220.957274 -731.807766
10.132938 1220.110840 -732.400637
9.983486 1218.989257 -732.990367
9.806854 1217.663696 -733.578417
9.481144 1215.219361 -734.152638
4.588882 1218.554565 -711.094718
4.810449 1220.159547 -711.757147
4.973726 1221.342287 -712.403727
5.082758 1222.132081 -713.036109
5.191620 1222.920654 -713.667567
5.264386 1223.447753 -714.289856
5.336579 1223.970705 -714.911419
5.401054 1224.437745 -715.530680
5.447363 1224.773193 -716.145455
5.493638 1225.108399 -716.759837
5.533156 1225.394654 -717.372417
5.555703 1225.557984 -717.981172
5.578234 1225.721192 -718.589727
5.600765 1225.884399 -719.198086
5.613960 1225.979981 -719.804438
5.621274 1226.032960 -720.409551
5.628587 1226.085938 -721.014589
5.635901 1226.138917 -721.619553
5.629076 1226.089477 -722.221925
5.621779 1226.036622 -722.824253
5.614482 1225.983766 -723.426623
5.602619 1225.897826 -724.028277
5.580391 1225.736818 -724.628328
5.554962 1225.552611 -725.228034
5.527915 1225.356689 -725.827678
5.485515 1225.049560 -726.425213
5.438684 1224.710326 -727.022422
5.391836 1224.370971 -727.619986
5.330917 1223.929687 -728.215959
5.259786 1223.414430 -728.811028
5.188604 1222.898804 -729.406642
5.089987 1222.184447 -729.999334
4.985539 1221.427857 -730.592080
4.848888 1220.437987 -731.181818
4.691627 1219.298828 -731.770263
4.429733 1217.401733 -732.348350
5.718917 1218.142211 -709.869576
5.912854 1219.557984 -710.527320
6.049569 1220.556032 -711.169116
6.174713 1221.469604 -711.806937
6.266782 1222.141723 -712.435691
6.352814 1222.769775 -713.062244
6.429466 1223.329345 -713.685881
6.488961 1223.763672 -714.304918
6.548406 1224.197632 -714.923448
6.599273 1224.568970 -715.539567
6.638502 1224.855347 -716.152708
6.677714 1225.141601 -716.765513
6.714351 1225.409058 -717.377442
6.736724 1225.572387 -717.986102
6.759081 1225.735595 -718.594561
6.781438 1225.898803 -719.202824
6.794147 1225.991578 -719.809006
6.801404 1226.044556 -720.414026
6.808661 1226.097535 -721.018971
6.815918 1226.150513 -721.623841
6.808794 1226.098510 -722.226057
6.801554 1226.045655 -722.828293
6.794314 1225.992800 -723.430572
6.782191 1225.904298 -724.032075
6.760151 1225.743408 -724.632039
6.738096 1225.582398 -725.232162
