X Y Z
-63.337534 1245.433350 -672.622708
-63.269942 1245.928712 -673.252170
-63.212011 1246.353273 -673.878709
-63.156845 1246.757569 -674.504098
-63.121967 1247.013184 -675.124232
-63.087088 1247.268799 -675.744065
-63.055857 1247.497681 -676.362766
-63.040500 1247.610230 -676.977638
-63.025159 1247.722656 -677.592362
-63.010002 1247.833739 -678.206905
-63.012717 1247.813843 -678.817515
-63.015399 1247.794189 -679.428135
-63.018097 1247.774414 -680.038754
-63.034454 1247.654542 -680.646643
-63.055358 1247.501341 -681.253753
-63.076278 1247.348023 -681.861009
-63.108608 1247.111083 -682.466270
-63.149566 1246.810913 -683.070184
-63.190541 1246.510619 -683.674407
-63.246840 1246.098022 -684.276242
-63.312067 1245.619995 -684.876977
-63.379825 1245.123412 -685.477792
-63.477865 1244.404908 -686.074166
-63.576288 1243.683595 -686.671249
-63.216581 1241.925780 -669.431610
-63.018613 1243.382325 -670.099595
-62.885601 1244.360962 -670.748733
-62.776645 1245.162598 -671.390493
-62.688877 1245.808349 -672.025904
-62.610068 1246.388183 -672.658316
-62.552414 1246.812376 -673.284802
-62.494808 1247.236205 -673.910789
-62.450194 1247.564452 -674.533159
-62.415502 1247.819700 -675.152795
-62.380826 1248.074829 -675.772128
-62.354777 1248.266480 -676.389185
-62.339496 1248.378908 -677.003589
-62.324216 1248.491333 -677.617849
-62.310080 1248.595336 -678.231719
-62.312768 1248.575561 -678.841873
-62.315456 1248.555786 -679.452029
-62.318143 1248.536012 -680.062189
-62.331500 1248.437744 -680.670208
-62.352289 1248.284789 -681.276854
-62.373094 1248.131714 -681.883645
-62.397948 1247.948852 -682.489823
-62.438696 1247.649049 -683.093245
-62.479445 1247.349242 -683.696979
-62.522018 1247.036011 -684.300701
-62.586874 1246.558837 -684.900900
-62.651779 1246.081298 -685.501597
-62.728199 1245.519042 -686.100903
-62.825772 1244.801147 -686.697410
-62.930961 1244.027223 -687.293492
-63.079985 1242.930788 -687.883714
-63.283146 1241.436036 -688.467072
-63.719115 1247.011596 -680.015273
-63.738278 1246.871704 -680.623075
-62.589195 1242.131958 -668.827690
-62.380105 1243.676391 -669.499601
-62.247713 1244.654296 -670.149064
-62.128145 1245.537476 -670.794020
-62.040754 1246.182983 -671.429548
-61.953496 1246.827515 -672.064312
-61.893456 1247.270994 -672.691431
-61.836126 1247.694458 -673.317365
-61.779194 1248.114989 -673.942716
-61.744670 1248.369993 -674.562160
-61.710180 1248.624756 -675.181297
-61.678697 1248.857300 -675.799431
-61.663609 1248.968750 -676.413519
-61.653330 1249.044677 -677.026379
-61.643067 1249.120484 -677.639133
-61.634242 1249.185670 -678.251470
-61.638572 1249.153686 -678.860905
-61.642918 1249.121583 -679.470352
-61.647248 1249.089600 -680.079819
-61.658519 1249.006349 -680.687902
-61.677607 1248.865357 -681.294514
-61.696678 1248.724486 -681.901266
-61.715782 1248.583376 -682.508148
-61.749446 1248.334716 -683.112465
-61.784465 1248.076051 -683.716792
-61.819484 1247.817384 -684.321386
-61.864634 1247.483888 -684.924489
-61.927550 1247.019165 -685.524932
-61.992151 1246.541993 -686.125588
-62.077129 1245.914307 -686.723464
-62.174237 1245.197023 -687.320103
-62.286120 1244.370605 -687.915247
-62.434459 1243.274904 -688.505839
-62.641004 1241.749268 -689.089163
-61.335433 1242.543580 -667.620645
-61.167784 1243.791748 -668.282647
-61.052650 1244.648926 -668.928525
-60.960504 1245.334961 -669.567085
-60.870834 1246.002565 -670.204196
-60.806889 1246.478636 -670.833649
-60.743010 1246.954222 -671.462541
-60.684722 1247.388183 -672.089434
-60.641928 1247.706787 -672.711862
-60.599167 1248.025147 -673.333910
-60.557882 1248.332519 -673.955222
-60.532386 1248.522338 -674.572325
-60.506906 1248.712036 -675.189194
-60.481443 1248.901613 -675.805832
-60.465850 1249.017701 -676.419954
-60.455668 1249.093506 -677.032697
-60.445486 1249.169311 -677.645337
-60.436141 1249.238892 -678.257691
-60.440436 1249.206909 -678.867010
-60.444732 1249.174925 -679.476346
-60.449044 1249.142823 -680.085694
-60.459620 1249.064088 -680.693786
-60.478541 1248.923218 -681.300284
-60.497462 1248.782348 -681.906918
-60.516400 1248.641356 -682.513686
-60.549143 1248.397582 -683.118009
-60.583869 1248.139039 -683.722220
-60.618596 1247.880493 -684.326697
-60.662604 1247.552856 -684.929818
-60.715579 1247.158446 -685.531750
-60.768604 1246.763672 -686.134091
-60.831500 1246.295409 -686.735242
-60.907397 1245.730348 -687.334830
-60.983344 1245.164917 -687.935013
-61.082819 1244.424317 -688.532262
-61.190508 1243.622559 -689.129104
-61.324612 1242.624144 -689.723051
-61.482933 1241.445435 -690.314730
-61.768340 1239.320557 -690.890636
-60.891818 1241.382934 -666.963799
-60.702999 1242.794311 -667.633426
-60.568611 1243.798829 -668.285930
-60.453134 1244.661987 -668.931984
-60.361354 1245.348021 -669.570491
-60.271517 1246.019531 -670.207693
-60.207842 1246.495483 -670.837089
-60.144233 1246.970949 -671.465923
-60.085767 1247.407961 -672.092870
-60.043144 1247.726563 -672.715243
-60.000553 1248.044921 -673.337237
-59.959104 1248.354736 -673.958576
-59.933710 1248.544555 -674.575623
-59.908331 1248.734252 -675.192437
-59.882969 1248.923828 -675.809019
-59.867144 1249.042115 -676.423154
-59.857003 1249.117920 -677.035841
-59.846861 1249.193726 -677.648425
-59.837258 1249.265504 -678.260787
-59.841537 1249.233521 -678.870049
-59.845816 1249.201537 -679.479327
-59.850111 1249.169434 -680.088619
-59.860334 1249.093018 -680.696717
-59.879180 1248.952148 -681.303156
-59.898042 1248.811158 -681.909729
-59.916889 1248.670287 -682.516441
-59.949175 1248.428956 -683.120768
-59.983748 1248.170532 -683.724922
-60.018337 1247.911987 -684.329339
-60.061777 1247.587281 -684.932469
-60.114543 1247.192872 -685.534341
-60.167341 1246.798217 -686.136623
-60.229497 1246.333618 -686.737793
-60.305061 1245.768799 -687.337323
-60.380706 1245.203368 -687.937444
-60.479084 1244.468017 -688.534735
-60.586330 1243.666383 -689.131514
-60.718791 1242.676269 -689.725554
-60.876451 1241.497802 -690.317167
-61.116745 1239.701661 -690.898927
-61.962145 1242.337891 -668.224036
-61.748249 1243.924074 -668.898229
-61.610239 1244.947510 -669.549761
-61.480163 1245.912109 -670.197997
-61.406054 1246.461671 -670.830193
-61.341905 1246.937378 -671.459143
-61.283781 1247.368408 -672.085987
-61.240817 1247.687013 -672.708469
-61.197886 1248.005372 -673.330572
-61.156767 1248.310301 -673.951858
-61.131169 1248.500122 -674.569016
-61.105589 1248.689819 -675.185941
-61.080008 1248.879515 -675.802638
-61.064666 1248.993286 -676.416743
-61.054444 1249.069091 -677.029543
-61.044222 1249.144896 -677.642240
-61.035135 1249.212281 -678.254585
-61.039448 1249.180298 -678.863962
-61.043761 1249.148314 -679.473355
-61.048090 1249.116211 -680.082761
-61.059004 1249.035278 -680.690850
-61.078016 1248.894288 -681.297403
-61.097013 1248.753418 -681.904096
-61.116025 1248.612426 -682.510922
-61.149244 1248.366089 -683.115240
-61.184109 1248.107544 -683.719510
-61.218990 1247.848878 -684.324044
-61.263550 1247.518432 -684.927159
-61.316753 1247.123902 -685.529150
-61.369988 1246.729126 -686.131551
-61.433643 1246.257080 -686.732682
-61.509842 1245.692017 -687.332333
-61.586107 1245.126464 -687.932577
-61.686684 1244.380616 -688.529782
-61.794801 1243.578857 -689.126691
-61.999315 1242.062256 -689.710801
-62.418581 1238.953125 -690.266990
-58.806022 1239.017580 -666.267058
-58.496546 1241.368286 -666.975516
-58.305029 1242.822998 -667.646644
-58.172830 1243.827150 -668.298937
-58.056076 1244.713989 -668.945688
-57.965790 1245.399780 -669.583981
-57.875632 1246.084594 -670.221464
-57.812682 1246.562744 -670.850728
-57.750087 1247.038208 -671.479351
-57.690978 1247.487182 -672.106505
-57.649065 1247.805542 -672.728653
-57.607168 1248.123779 -673.350427
-57.565304 1248.441773 -673.971822
-57.540089 1248.633300 -674.588706
-57.515130 1248.822877 -675.205297
-57.490172 1249.012451 -675.821659
-57.473410 1249.139771 -676.435856
-57.463430 1249.215578 -677.048319
-57.453450 1249.291382 -677.660680
-57.443471 1249.367187 -678.272937
-57.447054 1249.339966 -678.882112
-57.451265 1249.307983 -679.491163
-57.455476 1249.276000 -680.100230
-57.464347 1249.208618 -680.708347
-57.482892 1249.067749 -681.314555
-57.501438 1248.926879 -681.920899
-57.519984 1248.786011 -682.527380
-57.550422 1248.554808 -683.131730
-57.584444 1248.296387 -683.735647
-57.618466 1248.037964 -684.339830
-57.659656 1247.725096 -684.943002
-57.711565 1247.330811 -685.544634
-57.763490 1246.936401 -686.146679
-57.822695 1246.486695 -686.747932
-57.897006 1245.922240 -687.347220
-57.971414 1245.357056 -687.947094
-58.065461 1244.642700 -688.544560
-58.170934 1243.841553 -689.141087
-58.296849 1242.885132 -689.735510
-58.451901 1241.707397 -690.326858
-58.679352 1239.979735 -690.909575
-57.614071 1238.951171 -666.270580
-57.299399 1241.360838 -666.981294
-57.106611 1242.837159 -667.653172
-56.975482 1243.841308 -668.305367
-56.858141 1244.739869 -668.952463
-56.768601 1245.425537 -669.590650
-56.679173 1246.110351 -670.228031
-56.615697 1246.596435 -670.857481
-56.553639 1247.071654 -671.485990
-56.494228 1247.526611 -672.113249
-56.452638 1247.845092 -672.735294
-56.411096 1248.163207 -673.356957
-56.369571 1248.481201 -673.978246
-56.343921 1248.677614 -674.595183
-56.319165 1248.867188 -675.211665
-56.294409 1249.056763 -675.827918
-56.277193 1249.188599 -676.442148
-56.267294 1249.264405 -677.054500
-56.257395 1249.340209 -677.666749
-56.247512 1249.415893 -678.278893
-56.250477 1249.393187 -678.888088
-56.254653 1249.361204 -679.497026
-56.258845 1249.329102 -680.105977
-56.267039 1249.266356 -680.714108
-56.285435 1249.125488 -681.320201
-56.303830 1248.984620 -681.926431
-56.322226 1248.843750 -682.532797
-56.351764 1248.617554 -683.137158
-56.385480 1248.359374 -683.740964
-56.419226 1248.100952 -684.345030
-56.459317 1247.793945 -684.948222
-56.510790 1247.399781 -685.549736
-56.562279 1247.005493 -686.151663
-56.620033 1246.563234 -686.752959
-56.693727 1245.998901 -687.352125
-56.767501 1245.433960 -687.951881
-56.859416 1244.730102 -688.549435
-56.964004 1243.929198 -689.145837
-57.086716 1242.989503 -689.740450
-57.240450 1241.812255 -690.331669
-57.461613 1240.118653 -690.914862
-57.018182 1238.917848 -666.272317
-56.700951 1241.357054 -666.984162
-56.507536 1242.844239 -667.656417
-56.376957 1243.848266 -668.308560
-56.259317 1244.752807 -668.955833
-56.170158 1245.438357 -669.593964
-56.081095 1246.123169 -670.231295
-56.017369 1246.613160 -670.860836
-55.955565 1247.088380 -671.489293
-55.895999 1247.546386 -672.116606
-55.854595 1247.864746 -672.738594
-55.813222 1248.182862 -673.360204
-55.771866 1248.500854 -673.981439
-55.745988 1248.699829 -674.598408
-55.721333 1248.889404 -675.214835
-55.696693 1249.078858 -675.831031
-55.679246 1249.213012 -676.445278
-55.669387 1249.288818 -677.057575
-55.659544 1249.364502 -677.669766
-55.649685 1249.440307 -678.281858
-55.652368 1249.419679 -678.891059
-55.656528 1249.387696 -679.499940
-55.660687 1249.355713 -680.108839
-55.668561 1249.295166 -680.716974
-55.686867 1249.154418 -681.323013
-55.705187 1249.013550 -681.929186
-55.723508 1248.872682 -682.535494
-55.752592 1248.649047 -683.139863
-55.786185 1248.390748 -683.743607
-55.819779 1248.132445 -684.347618
-55.859326 1247.828368 -684.950820
-55.910573 1247.434326 -685.552278
-55.961852 1247.040040 -686.154145
-56.018878 1246.601563 -686.755463
-56.092272 1246.037231 -687.354568
-56.165745 1245.472292 -687.954261
