X Y Z
-392.176991 -1286.254275 -841.533453
-391.859599 -1285.067266 -842.052856
-391.640191 -1284.246708 -842.605140
-391.466643 -1283.597659 -843.172644
-391.315422 -1283.032109 -843.747354
-391.164328 -1282.467035 -844.321533
-391.013369 -1281.902467 -844.895184
-390.862540 -1281.338383 -845.468307
-390.711870 -1280.774896 -846.040913
-390.561303 -1280.211793 -846.612983
-390.410899 -1279.649300 -847.184540
-390.260623 -1279.087286 -847.755572
-390.110510 -1278.525879 -848.326093
-389.960496 -1277.964845 -848.896082
-389.810645 -1277.404419 -849.465562
-389.660925 -1276.844483 -850.034523
-389.511334 -1276.285031 -850.602966
-389.361876 -1275.726075 -851.170892
-389.212577 -1275.167715 -851.738314
-389.063382 -1274.609745 -852.305211
-388.914345 -1274.052364 -852.871605
-388.765410 -1273.495364 -853.437475
-388.616636 -1272.938968 -854.002846
-388.467991 -1272.383054 -854.567706
-388.319481 -1271.827641 -855.132059
-388.171099 -1271.272711 -855.695903
-388.022878 -1270.718381 -856.259252
-387.874757 -1270.164428 -856.822083
-387.726767 -1269.610963 -857.384410
-387.578938 -1269.058098 -857.946245
-387.431211 -1268.505616 -858.507567
-387.283644 -1267.953734 -859.068399
-387.136176 -1267.402220 -859.628718
-386.988870 -1266.851314 -860.188551
-386.841665 -1266.300783 -860.747873
-386.694620 -1265.750851 -861.306711
-386.547676 -1265.201301 -861.865042
-386.400892 -1264.652343 -862.422889
-386.254207 -1264.103760 -862.980229
-386.107685 -1263.555783 -863.537091
-385.961262 -1263.008181 -864.093448
-385.815002 -1262.461185 -864.649328
-385.668840 -1261.914555 -865.204706
-385.522808 -1261.368412 -865.759594
-385.376937 -1260.822874 -866.314009
-385.231167 -1260.277710 -866.867925
-385.085527 -1259.733032 -867.421356
-384.940016 -1259.188839 -867.974302
-384.794639 -1258.645147 -868.526767
-384.649388 -1258.101926 -869.078749
-384.504239 -1257.559084 -869.630237
-384.367738 -1257.048586 -870.185098
-384.244521 -1256.587771 -870.745495
-384.153816 -1256.248544 -871.320293
-384.074432 -1255.951658 -871.899978
-384.019793 -1255.747315 -872.490808
-383.978307 -1255.592163 -873.087576
-383.952719 -1255.496464 -873.691641
-383.945438 -1255.469233 -874.304231
-383.948310 -1255.479978 -874.921637
-383.976186 -1255.584229 -875.550924
-384.012317 -1255.719356 -876.184322
-384.077956 -1255.964837 -876.831992
-384.163117 -1256.283329 -877.489353
-384.270795 -1256.686031 -878.157966
-384.428057 -1257.274172 -878.851026
-384.612963 -1257.965702 -879.558225
-384.804558 -1258.682243 -880.269547
-384.996417 -1259.399772 -880.981897
-385.188540 -1260.118290 -881.695279
-385.380955 -1260.837901 -882.409707
-385.573661 -1261.558596 -883.125183
-385.766662 -1262.280399 -883.841712
-385.959923 -1263.003174 -884.559280
-386.153479 -1263.727048 -885.277904
-386.347296 -1264.451901 -885.997572
-386.541409 -1265.177860 -886.718303
-386.735815 -1265.904918 -887.440098
-386.930511 -1266.633058 -888.162957
-387.125503 -1267.362303 -888.886886
-387.320757 -1268.092534 -889.611871
-387.516306 -1268.823861 -890.337930
-387.712145 -1269.556278 -891.065064
-387.908280 -1270.289798 -891.793277
-388.104708 -1271.024415 -892.522571
-388.301428 -1271.760128 -893.252948
-388.498446 -1272.496951 -893.984413
-388.695725 -1273.234750 -894.716949
-388.893326 -1273.973755 -895.450591
-389.091222 -1274.713862 -896.185327
-389.289412 -1275.455072 -896.921160
-389.487868 -1276.197271 -897.658075
-389.686645 -1276.940676 -898.396106
-389.885719 -1277.685189 -899.135242
-390.085115 -1278.430906 -899.875499
-390.284775 -1279.177612 -900.616848
-390.484760 -1279.925531 -901.359325
-390.685040 -1280.674556 -902.102916
-390.885613 -1281.424673 -902.847622
-391.086483 -1282.175904 -903.593448
-391.287645 -1282.928226 -904.340394
-391.489133 -1283.681767 -905.088481
-391.690946 -1284.436524 -905.837712
-391.917437 -1285.283573 -906.601803
-392.255818 -1286.549078 -907.430216
-391.527865 -1286.165406 -841.510911
-391.218891 -1285.007451 -842.032883
-391.004537 -1284.204105 -842.586660
-390.833110 -1283.561641 -843.154678
-390.682238 -1282.996212 -843.729300
-390.531466 -1282.431154 -844.303379
-390.380854 -1281.866702 -844.876941
-390.230403 -1281.302846 -845.449985
-390.080055 -1280.739381 -846.022493
-389.929867 -1280.176514 -846.594486
-389.779807 -1279.614130 -847.165954
-389.629881 -1279.052245 -847.736899
-389.480083 -1278.490841 -848.307321
-389.330450 -1277.930055 -848.877234
-389.180913 -1277.369626 -849.446615
-389.031541 -1276.809819 -850.015490
-388.882297 -1276.250489 -850.583846
-388.733183 -1275.691650 -851.151685
-388.584202 -1275.133306 -851.719010
-388.435379 -1274.575557 -852.285831
-388.286659 -1274.018193 -852.852128
-388.138098 -1273.461423 -853.417924
-387.989669 -1272.905148 -853.983209
-387.841371 -1272.349364 -854.547985
-387.693201 -1271.794060 -855.112251
-387.545165 -1271.239260 -855.676011
-387.397256 -1270.684934 -856.239263
-387.249479 -1270.131103 -856.802010
-387.101832 -1269.577761 -857.364252
-386.954347 -1269.025026 -857.926004
-386.806959 -1268.472653 -858.487240
-386.659703 -1267.920775 -859.047976
-386.512609 -1267.369504 -859.608225
-386.365615 -1266.818609 -860.167962
-386.218781 -1266.268313 -860.727214
-386.072046 -1265.718385 -861.285956
-385.925442 -1265.168950 -861.844202
-385.778998 -1264.620117 -862.401967
-385.632654 -1264.071657 -862.959226
-385.486470 -1263.523797 -863.516004
-385.340388 -1262.976318 -864.072280
-385.194435 -1262.429326 -864.628065
-385.048643 -1261.882932 -865.183374
-384.902950 -1261.336913 -865.738181
-384.757387 -1260.791379 -866.292501
-384.611955 -1260.246339 -866.846336
-384.466651 -1259.701777 -867.399686
-384.321481 -1259.157715 -867.952552
-384.176438 -1258.614132 -868.504936
-384.031495 -1258.070923 -869.056824
-383.886714 -1257.528318 -869.608245
-383.751737 -1257.022462 -870.163573
-383.628811 -1256.561767 -870.723892
-383.540412 -1256.230467 -871.299562
-383.462956 -1255.940182 -871.879965
-383.408433 -1255.735843 -872.470707
-383.368662 -1255.586794 -873.068140
-383.343157 -1255.491205 -873.672131
-383.337456 -1255.469839 -874.285365
-383.340326 -1255.480595 -874.902687
-383.369770 -1255.590945 -875.532655
-383.407648 -1255.732901 -876.166832
-383.473150 -1255.978388 -876.814421
-383.560280 -1256.304929 -877.472725
-383.670537 -1256.718143 -878.142606
-383.827467 -1257.306277 -878.835586
-384.013810 -1258.004641 -879.543590
-384.205003 -1258.721185 -880.254835
-384.396428 -1259.438599 -880.967093
-384.588147 -1260.157112 -881.680396
-384.780156 -1260.876712 -882.394745
-384.972456 -1261.597404 -883.110142
-385.165022 -1262.319091 -883.826578
-385.357847 -1263.041751 -884.544052
-385.550995 -1263.765622 -885.262598
-385.744407 -1264.490479 -885.982187
-385.938110 -1265.216428 -886.702838
-386.132076 -1265.943364 -887.424537
-386.326365 -1266.671509 -888.147318
-386.520915 -1267.400633 -888.871151
