X Y Z
38.068495 724.513001 1223.771362
38.337400 726.580627 1223.124454
38.495214 727.794067 1222.478870
38.625872 728.798706 1221.834267
38.724691 729.558533 1221.190225
38.814540 730.249390 1220.546822
38.882282 730.770264 1219.903615
38.949961 731.290649 1219.260973
38.999597 731.672302 1218.618290
39.044287 732.015930 1217.975833
39.088954 732.359375 1217.333748
39.116363 732.570130 1216.691237
39.142169 732.768554 1216.048871
39.167960 732.966858 1215.406716
39.180605 733.064087 1214.764001
39.189535 733.132751 1214.121152
39.198465 733.201416 1213.478373
39.199188 733.206970 1212.835078
39.191845 733.150512 1212.191173
39.184495 733.093995 1211.547199
39.173358 733.008361 1210.902838
39.149068 732.821594 1210.257218
39.124769 732.634765 1209.611385
39.099019 732.436768 1208.965200
39.055670 732.103455 1208.317018
39.012480 731.771362 1207.668480
38.964487 731.402344 1207.019046
38.897729 730.889038 1206.367074
38.830908 730.375244 1205.714524
38.742615 729.696350 1205.058791
38.643851 728.936951 1204.400987
38.514074 727.939086 1203.738309
38.356967 726.731078 1203.070861
38.076957 724.578063 1202.385066
37.695029 726.496277 1222.477365
37.842697 727.627076 1221.832217
37.963513 728.552246 1221.187852
38.062792 729.312500 1220.544046
38.142616 729.923767 1219.900580
38.210675 730.444946 1219.257435
38.272518 730.918519 1218.614648
38.317455 731.262634 1217.971739
38.362360 731.606507 1217.329200
38.396585 731.868591 1216.686543
38.422529 732.067260 1216.043752
38.448457 732.265808 1215.401172
38.464047 732.385193 1214.758200
38.473030 732.453979 1214.114938
38.482004 732.522705 1213.471745
38.482403 732.525757 1212.828012
38.475014 732.469177 1212.183691
38.467626 732.412598 1211.539300
38.452840 732.299377 1210.894223
38.428419 732.112366 1210.248169
38.403998 731.925354 1209.601903
38.370586 731.669495 1208.954560
38.326996 731.335694 1208.305909
38.283389 731.001769 1207.656883
38.222169 730.532960 1207.005569
38.155034 730.018859 1206.353066
38.075673 729.411134 1205.698561
37.976465 728.651428 1205.040978
37.854820 727.719910 1204.379741
37.705024 726.572816 1203.713829
37.433464 724.493286 1203.030371
39.314507 724.368469 1225.067417
39.619748 726.734863 1224.418099
39.776506 727.950134 1223.771362
39.894868 728.867737 1223.125790
39.991075 729.613586 1222.481030
40.073803 730.254944 1221.836913
40.151777 730.859436 1221.193414
40.209643 731.308044 1220.550147
40.267462 731.756286 1219.907368
40.318187 732.149536 1219.264864
40.356685 732.447998 1218.622374
40.395168 732.746337 1217.980206
40.429699 733.014037 1217.338192
40.451806 733.185425 1216.695889
40.473913 733.356811 1216.053769
40.496021 733.528198 1215.411831
40.504579 733.594544 1214.769274
40.511790 733.650452 1214.126698
40.519009 733.706420 1213.484177
40.519324 733.708862 1212.841216
40.512073 733.652649 1212.197674
40.504823 733.596436 1211.554065
40.496816 733.534362 1210.910323
40.474567 733.361878 1210.265241
40.452310 733.189332 1209.619962
40.430053 733.016784 1208.974486
40.395554 732.749328 1208.327571
40.356686 732.447999 1207.679893
40.317801 732.146545 1207.031875
40.266226 731.746704 1206.382069
40.207541 731.291748 1205.730974
40.148809 730.836425 1205.079366
40.068033 730.210205 1204.424454
39.983564 729.555357 1203.768362
39.881318 728.762696 1203.109138
39.759398 727.817505 1202.446291
39.601302 726.591858 1201.777197
39.363295 724.746705 1201.094922
38.691545 724.441040 1224.419394
38.978654 726.657715 1223.771362
39.147458 727.960998 1223.125251
39.287866 729.045044 1222.480323
39.386234 729.804505 1221.836045
39.484474 730.562989 1221.192592
39.553433 731.095398 1220.549349
39.620787 731.615418 1219.906645
39.681169 732.081604 1219.264300
39.725645 732.424988 1218.621925
39.769733 732.765381 1217.979907
39.804256 733.031922 1217.337854
39.826463 733.203370 1216.695518
39.848661 733.374756 1216.053364
39.870859 733.546142 1215.411393
39.879318 733.611450 1214.768793
39.886560 733.667359 1214.126183
39.893809 733.723327 1213.483629
39.893991 733.724730 1212.840623
39.886710 733.668518 1212.197047
39.879421 733.612244 1211.553402
39.871239 733.549073 1210.909613
39.848898 733.376587 1210.264495
39.826550 733.204041 1209.619181
39.804201 733.031493 1208.973669
39.769393 732.762756 1208.326702
39.730364 732.461426 1207.678987
39.691312 732.159912 1207.030932
39.639341 731.758667 1206.381068
39.572786 731.244812 1205.729036
39.506285 730.731384 1205.076439
39.409136 729.981324 1204.419398
39.310832 729.222351 1203.761376
39.172993 728.158142 1203.097184
39.008204 726.885864 1202.428073
38.720226 724.662474 1201.739915
39.721558 722.615173 1225.718184
40.083426 725.432190 1225.066169
40.261020 726.814697 1224.418011
40.403755 727.925843 1223.771362
40.521636 728.843506 1223.125820
40.617736 729.591614 1222.481093
40.700124 730.232971 1221.837007
40.777987 730.839112 1221.193543
40.835607 731.287659 1220.550309
40.893187 731.735901 1219.907561
40.943875 732.130494 1219.265095
40.982215 732.428955 1218.622638
41.020531 732.727234 1217.980502
41.055068 732.996093 1217.338528
41.077084 733.167481 1216.696258
41.099100 733.338868 1216.054172
41.121116 733.510253 1215.412268
41.129772 733.577637 1214.769751
41.136962 733.633606 1214.127210
41.144143 733.689514 1213.484723
41.144590 733.692993 1212.841805
41.137369 733.636779 1212.198299
41.130148 733.580566 1211.554724
41.122316 733.519592 1210.911029
41.100166 733.347168 1210.265983
41.078002 733.174622 1209.620739
41.055837 733.002076 1208.975299
41.021645 732.735902 1208.328436
40.982936 732.434570 1207.680794
40.944212 732.133118 1207.032813
40.893046 731.734802 1206.383065
40.834611 731.279907 1205.732009
40.776121 730.824585 1205.080439
40.695945 730.200438 1204.425598
40.611817 729.545532 1203.769544
40.510385 728.755919 1203.110413
40.388968 727.810730 1202.447606
40.232191 726.590271 1201.778650
40.021643 724.951232 1201.100356
37.728001 731.563843 1215.395619
37.746568 731.705445 1214.752389
37.755595 731.774293 1214.108713
37.764622 731.843139 1213.465106
37.764686 731.843628 1212.820934
37.757260 731.786987 1212.176196
37.749833 731.730346 1211.531388
37.731362 731.589478 1210.885593
37.706809 731.402223 1210.239104
37.682256 731.214966 1209.592403
37.641097 730.901061 1208.943900
40.344641 722.536682 1225.718182
40.711459 725.404114 1225.066113
40.888317 726.786621 1224.417983
41.030953 727.901611 1223.771362
41.148338 728.819214 1223.125850
41.244345 729.569702 1222.481156
41.326383 730.210999 1221.837101
41.404134 730.818787 1221.193672
41.461515 731.267334 1220.550470
41.518857 731.715576 1219.907754
41.569507 732.111511 1219.265325
41.607680 732.409912 1218.622900
41.645838 732.708191 1217.980797
41.680372 732.978150 1217.338862
41.702305 733.149597 1216.696626
41.724222 733.320923 1216.054572
41.746139 733.492249 1215.412701
41.754907 733.560791 1214.770227
41.762059 733.616699 1214.127719
41.769211 733.672607 1213.485266
41.769797 733.677185 1212.842392
41.762606 733.620972 1212.198920
41.755414 733.564759 1211.555380
41.747755 733.504883 1210.911731
41.725697 733.332458 1210.266721
41.703624 733.159912 1209.621512
41.681551 732.987365 1208.976108
41.647665 732.722474 1208.329297
41.609117 732.421142 1207.681691
41.570553 732.119689 1207.033746
41.519801 731.722961 1206.384058
41.461601 731.268005 1205.733038
41.403361 730.812745 1205.081506
41.323775 730.190613 1204.426736
41.240003 729.535767 1203.770722
41.139367 728.749085 1203.111680
41.018460 727.803956 1202.448916
40.862989 726.588624 1201.780095
40.654859 724.961670 1201.102077
40.967716 722.458130 1225.718180
41.339438 725.376038 1225.066057
41.515552 726.758484 1224.417955
41.658092 727.877380 1223.771362
41.774989 728.794983 1223.125880
41.870884 729.547729 1222.481218
41.952581 730.189026 1221.837195
42.030227 730.798523 1221.193800
42.087361 731.247010 1220.550630
42.144464 731.695251 1219.907946
42.195067 732.092468 1219.265554
42.233081 732.390869 1218.623161
42.271080 732.689148 1217.981091
42.305611 732.960206 1217.339194
