X Y Z
3.148037 1224.980225 -714.134872
3.195343 1225.318970 -714.749789
3.242615 1225.657471 -715.364309
3.281482 1225.935791 -715.976663
3.308127 1226.126587 -716.586159
3.334755 1226.317262 -717.195424
3.353797 1226.453612 -717.802948
3.362388 1226.515136 -718.408260
3.370980 1226.576659 -719.013488
3.374867 1226.604491 -719.617748
3.366309 1226.543214 -720.219671
3.357769 1226.482056 -720.821648
3.347268 1226.406862 -721.423331
3.321083 1226.219361 -722.022379
3.294882 1226.031739 -722.621615
3.267214 1225.833620 -723.220799
3.221340 1225.505126 -723.817264
3.175431 1225.176391 -724.414069
3.122329 1224.796144 -725.010121
3.641386 1220.024170 -709.127395
3.891216 1221.826905 -709.797785
4.060216 1223.046386 -710.446102
4.173745 1223.865602 -711.079503
4.282470 1224.650146 -711.710830
4.359781 1225.208009 -712.333845
4.432287 1225.731203 -712.955112
4.497552 1226.202149 -713.574130
4.544379 1226.540039 -714.188468
4.591188 1226.877807 -714.802413
4.632938 1227.179076 -715.414872
4.659312 1227.369384 -716.023708
4.685686 1227.559692 -716.632318
4.712042 1227.749879 -717.240697
4.722615 1227.826172 -717.845676
4.731108 1227.887452 -718.450143
4.739617 1227.948852 -719.054529
4.742324 1227.968384 -719.657733
4.733865 1227.907350 -720.258830
4.725407 1227.846314 -720.859977
4.716948 1227.785279 -721.461174
4.694889 1227.626099 -722.060063
4.668972 1227.439086 -722.658456
4.643021 1227.251832 -723.257033
4.610084 1227.014160 -723.854671
4.564645 1226.686280 -724.450583
4.519375 1226.359619 -725.046865
4.468151 1225.989990 -725.642598
4.398893 1225.490234 -726.236091
4.329567 1224.989989 -726.830108
4.243172 1224.366577 -727.422304
4.141434 1223.632446 -728.013113
4.022778 1222.776245 -728.602511
3.870018 1221.673950 -729.188531
3.646038 1220.057740 -729.767041
4.257246 1220.192628 -708.529003
4.515096 1222.060425 -709.202572
4.683361 1223.279297 -709.851383
4.805402 1224.163329 -710.487312
4.913641 1224.947386 -711.118865
5.000141 1225.573974 -711.744290
5.072317 1226.096802 -712.365607
5.133725 1226.541627 -712.983816
5.177051 1226.855469 -713.597367
5.216468 1227.140991 -714.209673
5.255867 1227.426392 -714.821643
5.286285 1227.646729 -715.431326
5.308765 1227.809571 -716.039052
5.331245 1227.972412 -716.646581
5.353540 1228.133910 -717.253876
5.360837 1228.186767 -717.857948
5.368117 1228.239502 -718.461941
5.375414 1228.292358 -719.065863
5.377470 1228.307251 -719.668713
5.370207 1228.254639 -720.269797
5.362960 1228.202148 -720.870925
5.355697 1228.149537 -721.472092
5.338155 1228.022461 -722.071510
5.316011 1227.862060 -722.670268
5.293851 1227.701537 -723.269184
5.269736 1227.526854 -723.867944
5.231331 1227.248656 -724.464618
5.192892 1226.970215 -725.061577
5.154453 1226.691772 -725.658826
5.101538 1226.308471 -726.254247
5.036423 1225.836793 -726.848335
4.967415 1225.336915 -727.442387
4.871275 1224.640502 -728.033323
4.769979 1223.906738 -728.624335
4.642074 1222.980225 -729.212768
4.489986 1221.878540 -729.799235
4.256690 1220.188599 -730.377255
4.872824 1220.360962 -707.930843
5.124389 1222.190309 -708.603930
5.249786 1223.102174 -709.242409
5.365446 1223.943237 -709.877392
5.451629 1224.569945 -710.504055
5.537711 1225.195923 -711.129985
5.604001 1225.677980 -711.750413
5.663543 1226.110961 -712.368683
5.723019 1226.543458 -712.986442
5.766093 1226.856689 -713.599929
5.805358 1227.142213 -714.212190
5.844588 1227.427491 -714.824111
5.874821 1227.647339 -715.433735
5.897214 1227.810182 -716.041417
5.919608 1227.973023 -716.648902
5.941749 1228.134035 -717.256139
5.949018 1228.186890 -717.860167
5.956286 1228.239746 -718.464120
5.963555 1228.292601 -719.067998
5.965552 1228.307127 -719.670795
5.958318 1228.254517 -720.271836
5.951083 1228.201905 -720.872918
5.943864 1228.149414 -721.474044
5.926339 1228.021972 -722.073410
5.904265 1227.861451 -722.672123
5.882207 1227.701049 -723.270999
5.858135 1227.526001 -723.869707
5.819878 1227.247802 -724.466338
5.781604 1226.969481 -725.063257
5.743314 1226.691039 -725.660464
5.690553 1226.307373 -726.255835
5.633244 1225.890624 -726.850961
5.575900 1225.473632 -727.446526
5.501233 1224.930665 -728.040194
5.419633 1224.337281 -728.633535
5.335297 1223.723999 -729.227164
5.219351 1222.880859 -729.817561
5.103221 1222.036378 -730.408845
4.867117 1220.319457 -730.987223
7.072583 1219.114502 -707.289188
7.317485 1220.923460 -707.963042
7.491325 1222.207520 -708.615971
7.614743 1223.119141 -709.254250
7.727865 1223.954712 -709.888850
7.812678 1224.581177 -710.515319
7.897407 1225.207030 -711.141060
7.962191 1225.685547 -711.761186
8.020792 1226.118407 -712.379272
8.079329 1226.550781 -712.996847
8.121388 1226.861449 -713.610073
8.160026 1227.146851 -714.222153
8.198648 1227.432129 -714.833897
8.228131 1227.649903 -715.443281
8.250177 1227.812743 -716.050788
8.272206 1227.975463 -716.658095
8.293790 1228.134888 -717.265111
8.300945 1228.187743 -717.868967
8.308085 1228.240478 -718.472743
8.315241 1228.293335 -719.076448
8.317009 1228.306395 -719.679034
8.309886 1228.253785 -720.279904
8.302780 1228.201293 -720.880817
8.295657 1228.148681 -721.481769
8.278222 1228.019898 -722.080932
8.256507 1227.859498 -722.679478
8.234791 1227.699097 -723.278184
8.210911 1227.522706 -723.876692
8.173264 1227.244628 -724.473157
8.135584 1226.966309 -725.069907
8.097904 1226.687987 -725.666947
8.045764 1226.302858 -726.262120
7.989376 1225.886351 -726.857084
7.932923 1225.469361 -727.452481
7.859215 1224.924927 -728.045954
7.778898 1224.331666 -728.639131
7.695589 1223.716308 -729.232558
7.581475 1222.873412 -729.822794
7.467180 1222.029175 -730.413918
7.300661 1220.799194 -730.999845
7.089605 1219.240236 -731.582075
6.622523 1215.790162 -732.138118
3.266983 1221.593262 -710.393302
3.432304 1222.781615 -711.040050
3.541651 1223.567628 -711.672065
3.646006 1224.317748 -712.302021
3.718910 1224.841796 -712.923847
3.791747 1225.365356 -713.545064
3.846752 1225.760742 -714.161696
3.893809 1226.098998 -714.776126
3.940832 1226.437010 -715.390160
3.970891 1226.653076 -716.000206
3.997400 1226.843628 -716.609258
4.023892 1227.034059 -717.218080
4.038683 1227.140380 -717.824331
4.047225 1227.201781 -718.429221
4.055767 1227.263183 -719.034026
4.059062 1227.286866 -719.637757
4.050570 1227.225829 -720.239270
4.042063 1227.164673 -720.840830
4.033555 1227.103517 -721.442440
4.008472 1226.923219 -722.041238
3.982421 1226.735961 -722.640053
3.956337 1226.548463 -723.239052
3.916225 1226.260133 -723.835983
3.870561 1225.931886 -724.432342
3.824862 1225.603395 -725.029041
3.760856 1225.143311 -725.623353
3.691213 1224.642701 -726.217335
3.614674 1224.092530 -726.810876
3.512493 1223.358032 -727.401482
3.403146 1222.572022 -727.991920
3.249729 1221.469239 -728.577495
5.289084 1219.076173 -707.278931
5.539355 1220.903198 -707.953612
5.716269 1222.194701 -708.606960
5.841163 1223.106445 -709.245387
5.956190 1223.946166 -709.880275
6.042022 1224.572755 -710.506887
6.127770 1225.198729 -711.132771
6.193686 1225.679931 -711.753124
6.252981 1226.112793 -712.371344
6.312226 1226.545290 -712.989059
6.355049 1226.857910 -713.602481
6.394161 1227.143432 -714.214697
6.433239 1227.428711 -714.826574
6.463288 1227.648071 -715.436138
6.485578 1227.810792 -716.043773
6.507884 1227.973632 -716.651214
6.529890 1228.134278 -717.258396
6.537130 1228.187133 -717.862381
6.544354 1228.239870 -718.466287
6.551595 1228.292725 -719.070121
6.553534 1228.306885 -719.672866
6.546344 1228.254393 -720.273867
6.539137 1228.201781 -720.874905
6.531930 1228.149171 -721.475985
6.514439 1228.021484 -722.075302
6.492451 1227.860962 -722.673973
6.470478 1227.700562 -723.272806
6.446450 1227.525147 -723.871463
6.408341 1227.246950 -724.468052
6.370216 1226.968629 -725.064928
6.332074 1226.690187 -725.662093
6.279468 1226.306153 -726.257414
6.222397 1225.889526 -726.852500
6.165276 1225.472534 -727.448023
6.090849 1224.929199 -728.041642
6.009582 1224.335937 -728.634943
5.925490 1223.722046 -729.228520
5.809994 1222.878907 -729.818875
5.694331 1222.034546 -730.410121
5.526179 1220.807007 -730.996209
5.313330 1219.253172 -731.578638
8.261055 1219.139770 -707.295956
8.502421 1220.936766 -707.969263
8.674253 1222.216065 -708.621921
8.796666 1223.127441 -709.260096
8.908537 1223.960329 -709.894509
8.992681 1224.586791 -710.520886
9.076711 1225.212404 -711.146528
9.140770 1225.689329 -711.766510
9.198895 1226.122070 -712.384502
9.256970 1226.554443 -713.001988
9.298518 1226.863771 -713.615084
9.336851 1227.149169 -714.227076
9.375153 1227.434327 -714.838728
9.404288 1227.651244 -715.448000
9.426145 1227.813965 -716.055417
9.448001 1227.976685 -716.662637
9.469299 1228.135254 -717.269542
9.476398 1228.188109 -717.873313
9.483482 1228.240845 -718.477004
9.490581 1228.293700 -719.080623
9.492237 1228.306030 -719.683105
9.485171 1228.253418 -720.283890
9.478120 1228.200927 -720.884718
9.471054 1228.148317 -721.485585
9.453674 1228.018921 -722.084649
9.432129 1227.858521 -722.683111
9.410585 1227.698121 -723.281733
9.386810 1227.521118 -723.880144
9.349460 1227.243042 -724.476526
9.312093 1226.964843 -725.073195
9.274710 1226.686523 -725.670151
9.222898 1226.300780 -726.265229
9.166939 1225.884156 -726.860107
9.110962 1225.467407 -727.455425
9.037721 1224.922119 -728.048801
8.958052 1224.328979 -728.641897
8.875252 1223.712524 -729.235223
8.762037 1222.869630 -729.825377
8.648658 1222.025514 -730.416422
8.483254 1220.794068 -731.002245
8.273417 1219.231812 -731.584346
7.808096 1215.767457 -732.140104
6.478192 1219.101806 -707.285784
6.724872 1220.916747 -707.959911
6.899728 1222.203247 -708.612979
7.023632 1223.114868 -709.251305
7.137399 1223.951903 -709.886004
7.222546 1224.578370 -710.512520
7.307610 1225.204223 -711.138307
7.372781 1225.683715 -711.758511
7.431597 1226.116456 -712.376637
7.490380 1226.548951 -712.994261
7.532688 1226.860230 -713.607551
7.571495 1227.145751 -714.219679
7.610269 1227.431030 -714.831467
7.639934 1227.649292 -715.440910
7.662067 1227.812133 -716.048460
7.684184 1227.974854 -716.655810
7.705902 1228.134644 -717.262881
7.713086 1228.187499 -717.866779
7.720270 1228.240355 -718.470602
7.727437 1228.293091 -719.074346
7.729262 1228.306519 -719.676985
7.722128 1228.254027 -720.277901
7.714977 1228.201416 -720.878854
7.707843 1228.148925 -721.479851
7.690372 1228.020386 -722.079062
7.668571 1227.859987 -722.677650
7.646770 1227.699585 -723.276398
7.622845 1227.523559 -723.874957
7.585034 1227.245362 -724.471462
7.547222 1226.967162 -725.068256
7.509377 1226.688721 -725.665336
7.457081 1226.303956 -726.260558
7.400455 1225.887331 -726.855561
7.343796 1225.470459 -727.451001
7.269848 1224.926390 -728.044523
7.189214 1224.333130 -728.637741
7.105643 1223.718261 -729.231218
6.991064 1222.875243 -729.821493
6.876302 1222.030885 -730.412656
6.709243 1220.801759 -730.998637
