X Y Z
-64.005979 1248.950928 -673.727196
-63.979926 1249.141113 -674.344056
-63.963807 1249.258789 -674.958389
-63.947687 1249.376464 -675.572573
-63.939594 1249.435547 -676.184815
-63.941367 1249.422607 -676.794809
-63.943139 1249.409667 -677.404797
-63.950597 1249.355223 -678.013579
-63.970412 1249.210570 -678.619839
-63.990227 1249.065919 -679.226238
-64.014924 1248.885621 -679.831804
-64.054504 1248.596680 -680.434641
-64.094101 1248.307617 -681.037773
-64.143146 1247.949584 -681.639433
-64.206554 1247.486694 -682.238833
-64.270012 1247.023437 -682.838714
-63.696848 1246.849367 -669.377471
-63.608952 1247.493531 -670.012690
-63.531033 1248.064576 -670.644584
-63.472936 1248.490356 -671.270752
-63.414905 1248.915650 -671.896415
-63.373264 1249.220824 -672.517521
-63.337952 1249.479614 -673.136727
-63.302657 1249.738282 -673.755623
-63.281470 1249.893556 -674.370883
-63.265430 1250.011107 -674.984757
-63.249406 1250.128539 -675.598478
-63.242094 1250.182129 -676.210098
-63.243860 1250.169191 -676.819640
-63.245625 1250.156251 -677.429177
-63.250023 1250.124023 -678.038150
-63.269727 1249.979614 -678.643953
-63.289448 1249.835083 -679.249892
-63.309153 1249.690673 -679.855974
-63.346031 1249.420409 -680.458828
-63.385423 1249.131714 -681.061476
-63.424815 1248.843017 -681.664423
-63.483929 1248.409791 -682.264037
-63.547024 1247.947387 -682.863392
-63.615582 1247.444946 -683.462273
-63.710540 1246.749022 -684.057143
-63.805632 1246.052124 -684.652736
-63.950226 1244.992432 -685.240952
-64.132831 1243.654174 -685.824226
-63.524846 1243.723022 -666.811090
-63.312759 1245.283446 -667.484518
-63.175134 1246.296021 -668.135564
-63.052573 1247.197755 -668.781360
-62.965071 1247.841551 -669.416706
-62.877684 1248.484495 -670.051293
-62.817790 1248.925170 -670.677972
-62.760035 1249.350098 -671.303594
-62.705798 1249.749145 -671.927839
-62.670657 1250.007691 -672.546867
-62.635534 1250.266114 -673.165586
-62.600426 1250.524415 -673.783996
-62.584051 1250.644898 -674.397661
-62.568106 1250.762207 -675.011073
-62.552162 1250.879517 -675.624336
-62.545625 1250.927614 -676.235334
-62.547367 1250.914794 -676.844429
-62.549126 1250.901854 -677.453514
-62.550884 1250.888917 -678.062595
-62.570114 1250.747437 -678.668020
-62.589725 1250.603150 -679.273503
-62.609336 1250.458863 -679.879126
-62.638719 1250.242677 -680.482964
-62.677891 1249.954469 -681.085133
-62.717080 1249.666139 -681.687597
-62.762590 1249.331298 -682.289190
-62.825339 1248.869628 -682.888016
-62.888137 1248.407592 -683.487322
-62.964839 1247.843262 -684.084714
-63.059359 1247.147827 -684.679701
-63.160351 1246.404785 -685.274366
-63.304430 1245.344728 -685.862903
-63.489191 1243.985351 -686.446210
-63.839351 1241.409058 -687.005734
-62.909087 1243.850463 -666.205455
-62.692924 1245.447143 -666.881051
-62.542585 1246.557616 -667.536283
-62.411581 1247.525267 -668.184893
-62.321695 1248.189209 -668.821139
-62.234717 1248.831666 -669.455849
-62.163258 1249.359497 -670.085699
-62.105763 1249.784180 -670.711287
-62.048318 1250.208496 -671.336375
-62.012208 1250.475220 -671.955552
-61.986625 1250.664185 -672.571783
-61.961042 1250.853150 -673.187785
-61.937493 1251.027099 -673.803066
-61.927279 1251.102539 -674.414962
-61.917083 1251.177856 -675.026750
-61.906886 1251.253174 -675.638435
-61.904457 1251.271119 -676.248262
-61.908786 1251.239137 -676.856551
-61.913116 1251.207154 -677.464854
-61.917446 1251.175171 -678.073174
-61.934997 1251.045531 -678.678736
-61.954036 1250.904907 -679.284115
-61.973090 1250.764162 -679.889626
-61.997500 1250.583861 -680.494215
-62.032403 1250.326050 -681.096952
-62.067306 1250.068238 -681.699953
-62.102226 1249.810303 -682.303216
-62.154830 1249.421752 -682.903534
-62.208094 1249.028320 -683.504144
-62.261391 1248.634643 -684.105162
-62.334999 1248.090942 -684.703154
-62.411284 1247.527465 -685.301282
-62.515713 1246.756103 -685.895471
-62.659128 1245.696779 -686.484355
-62.846023 1244.316283 -687.067718
-63.183605 1241.822753 -687.630087
-62.309698 1243.858153 -665.595233
-62.073365 1245.610718 -666.277806
-61.910432 1246.818970 -666.937327
-61.786595 1247.737304 -667.584417
-61.710298 1248.303099 -668.217191
-61.646395 1248.776977 -668.845907
-61.582542 1249.250488 -669.474068
-61.534130 1249.609496 -670.097559
-61.491347 1249.926758 -670.719153
-61.448598 1250.243775 -671.340367
-61.415297 1250.490722 -671.958802
-61.389815 1250.679686 -672.574980
-61.364349 1250.868531 -673.190926
-61.340448 1251.045777 -673.806263
-61.330275 1251.121215 -674.418105
-61.320118 1251.196533 -675.029840
-61.309962 1251.271851 -675.641472
-61.307114 1251.292968 -676.251343
-61.311427 1251.260985 -676.859576
-61.315740 1251.229004 -677.467825
-61.320053 1251.197022 -678.076089
-61.337106 1251.070557 -678.681687
-61.356070 1250.929931 -679.287009
-61.375033 1250.789306 -679.892467
-61.398885 1250.612425 -680.497091
-61.433635 1250.354736 -681.099773
-61.468401 1250.096923 -681.702716
-61.503183 1249.838989 -682.305920
-61.555036 1249.454469 -682.906280
-61.608074 1249.061157 -683.506832
-61.661161 1248.667481 -684.107790
-61.733771 1248.129030 -684.705842
-61.809756 1247.565552 -685.303907
-61.890877 1246.963988 -685.901741
-61.998582 1246.165283 -686.496020
-62.106452 1245.365357 -687.091132
-62.261582 1244.214966 -687.680024
-62.528418 1242.236205 -688.253876
-61.710450 1243.865478 -664.985052
-61.511631 1245.345703 -665.657698
-61.377347 1246.345459 -666.309805
-61.281889 1247.056152 -666.949583
