X Y Z
-392.499300 -1286.931274 -841.380314
-392.090932 -1285.407224 -841.868139
-391.845029 -1284.489504 -842.411177
-391.666505 -1283.823244 -842.976968
-391.509830 -1283.238524 -843.549809
-391.358420 -1282.673454 -844.123929
-391.207145 -1282.108888 -844.697521
-391.056030 -1281.544919 -845.270596
-390.905016 -1280.981327 -845.843134
-390.754164 -1280.418340 -846.415157
-390.603442 -1279.855836 -846.986656
-390.452883 -1279.293942 -847.557643
-390.302425 -1278.732425 -848.128098
-390.152128 -1278.171511 -848.698043
-390.001961 -1277.611081 -849.267468
-389.851927 -1277.051147 -849.836375
-389.702025 -1276.491702 -850.404765
-389.552283 -1275.932860 -850.972650
-389.402643 -1275.374394 -851.540008
-389.253164 -1274.816532 -852.106864
-389.103816 -1274.259158 -852.673207
-388.954598 -1273.702266 -853.239038
-388.805513 -1273.145876 -853.804359
-388.656557 -1272.589962 -854.369169
-388.507735 -1272.034550 -854.933473
-388.359039 -1271.479613 -855.497267
-388.210509 -1270.925291 -856.060569
-388.062078 -1270.371337 -856.623352
-387.913809 -1269.817990 -857.185645
-387.765641 -1269.265020 -857.747422
-387.617632 -1268.712643 -858.308709
-387.469725 -1268.160647 -858.869483
-387.321980 -1267.609254 -859.429770
-387.174364 -1267.058345 -859.989558
-387.026850 -1266.507813 -860.548837
-386.879496 -1265.957880 -861.107631
-386.732276 -1265.408448 -861.665932
-386.585154 -1264.859384 -862.223724
-386.438192 -1264.310912 -862.781036
-386.291362 -1263.762934 -863.337856
-386.144631 -1263.215329 -863.894172
-385.998063 -1262.668331 -864.450012
-385.851596 -1262.121706 -865.005350
-385.705257 -1261.575561 -865.560199
-385.559082 -1261.030028 -866.114576
-385.413005 -1260.484861 -866.668453
-385.267060 -1259.940187 -867.221847
-385.121245 -1259.395999 -867.774757
-384.975560 -1258.852297 -868.327184
-384.830008 -1258.309087 -868.879131
-384.684583 -1257.766355 -869.430596
-384.539487 -1257.224848 -869.981672
-384.416013 -1256.764037 -870.542065
-384.310985 -1256.372069 -871.110459
-384.224537 -1256.049439 -871.687033
-384.164546 -1255.825551 -872.275545
-384.111822 -1255.628782 -872.867256
-384.086179 -1255.533080 -873.471452
-384.067961 -1255.465089 -874.079097
-384.070840 -1255.475834 -874.696675
-384.087452 -1255.537832 -875.320837
-384.120067 -1255.659552 -875.952749
-384.176845 -1255.871449 -876.596406
-384.247139 -1256.133790 -877.246861
-384.352754 -1256.527951 -877.914694
-384.493107 -1257.051758 -878.599847
-384.665711 -1257.695922 -879.301335
-384.857809 -1258.412842 -880.013144
-385.050201 -1259.130861 -880.725999
-385.242887 -1259.849974 -881.439899
-385.435835 -1260.570066 -882.154833
-385.629076 -1261.291251 -882.870818
-385.822582 -1262.013423 -883.587843
-386.016381 -1262.736694 -884.305923
-386.210476 -1263.461064 -885.025063
-386.404830 -1264.186405 -885.745247
-386.599509 -1264.912956 -886.466509
-386.794454 -1265.640500 -887.188823
-386.989659 -1266.369015 -887.912188
-387.185192 -1267.098754 -888.636641
-387.380987 -1267.829471 -889.362151
-387.577076 -1268.561284 -890.088736
-387.773488 -1269.294305 -890.816414
-387.970166 -1270.028318 -891.545159
-388.167136 -1270.763419 -892.274984
-388.364371 -1271.499511 -893.005880
-388.561934 -1272.236826 -893.737881
-388.759786 -1272.975219 -894.470970
-388.957935 -1273.714723 -895.205153
-389.156378 -1274.455321 -895.940430
-389.355118 -1275.197027 -896.676807
-389.554148 -1275.939820 -897.414283
-389.753476 -1276.683721 -898.152862
-389.953129 -1277.428834 -898.892563
-390.153044 -1278.174928 -899.633354
-390.353284 -1278.922234 -900.375272
-390.553820 -1279.670647 -901.118304
-390.754652 -1280.420159 -901.862451
-390.955779 -1281.170778 -902.607717
-391.157231 -1281.922607 -903.354120
-391.358978 -1282.675534 -904.101645
-391.561020 -1283.429567 -904.850296
-391.763389 -1284.184817 -905.600093
-391.975144 -1284.975100 -906.356151
-392.265203 -1286.057612 -907.157559
-391.832595 -1286.778924 -841.351710
-391.449859 -1285.347535 -841.848018
-391.209105 -1284.447144 -842.392572
-391.030987 -1283.781001 -842.958271
-390.876339 -1283.202638 -843.531611
-390.725280 -1282.637696 -844.105642
-390.574383 -1282.073359 -844.679156
-390.423587 -1281.509399 -845.252131
-390.272953 -1280.946043 -845.824592
-390.122449 -1280.383177 -846.396527
-389.972077 -1279.820803 -846.967938
-389.821834 -1279.258912 -847.538826
-389.671754 -1278.697630 -848.109205
-389.521774 -1278.136725 -848.679051
-389.371955 -1277.576417 -849.248389
-389.222266 -1277.016599 -849.817208
-389.072710 -1276.457278 -850.385511
-388.923315 -1275.898558 -850.953310
-388.774019 -1275.340208 -851.520581
-388.624886 -1274.782468 -852.087351
-388.475853 -1274.225103 -852.653596
-388.326982 -1273.668341 -853.219342
-388.178241 -1273.112067 -853.784577
-388.029629 -1272.556276 -854.349302
-387.881149 -1272.000980 -854.913520
-387.732830 -1271.446285 -855.477242
-387.584612 -1270.891965 -856.040446
-387.436524 -1270.338135 -856.603145
-387.288597 -1269.784905 -857.165353
-387.140772 -1269.232058 -857.727046
-386.993078 -1268.679698 -858.288237
-386.845542 -1268.127932 -858.848939
-386.698137 -1267.576653 -859.409142
-386.550834 -1267.025756 -859.968835
-386.403691 -1266.475460 -860.528043
-386.256648 -1265.925537 -861.086742
-386.109768 -1265.376222 -861.644959
-385.962986 -1264.827273 -862.202668
-385.816364 -1264.278925 -862.759897
-385.669846 -1263.730964 -863.316623
-385.523484 -1263.183589 -863.872870
-385.377224 -1262.636595 -864.428614
-385.231096 -1262.090093 -864.983871
-385.085127 -1261.544184 -865.538652
-384.939261 -1260.998662 -866.092935
-384.793521 -1260.453612 -866.646731
-384.647915 -1259.909062 -867.200043
-384.502437 -1259.364991 -867.752872
-384.357090 -1258.821412 -868.305219
-384.211871 -1258.278312 -868.857084
-384.066756 -1257.735599 -869.408457
-383.923206 -1257.198736 -869.960003
-383.800052 -1256.738157 -870.520331
-383.697304 -1256.353891 -871.089575
-383.611068 -1256.031377 -871.666072
-383.552968 -1255.814090 -872.255309
-383.501986 -1255.623424 -872.847689
-383.476424 -1255.527825 -873.451810
-383.459812 -1255.465699 -874.060104
-383.462684 -1255.476441 -874.677594
-383.480897 -1255.544554 -875.302444
-383.513441 -1255.666264 -875.934270
-383.571898 -1255.884885 -876.578700
-383.644196 -1256.155273 -877.230104
-383.749593 -1256.549445 -877.897857
-383.892489 -1257.083860 -878.584300
-384.066559 -1257.734859 -879.286597
-384.258223 -1258.451662 -879.998313
-384.450212 -1259.169678 -880.711089
-384.642463 -1259.888674 -881.424896
-384.835006 -1260.608763 -882.139752
-385.027812 -1261.329832 -882.855643
-385.220911 -1262.052001 -883.572589
-385.414304 -1262.775269 -884.290590
-385.607959 -1263.499516 -885.009635
-385.801906 -1264.224854 -885.729739
-385.996148 -1264.951298 -886.450908
-386.190653 -1265.678721 -887.173126
-386.385478 -1266.407345 -887.896426
-386.580569 -1267.136963 -888.620783
-386.775951 -1267.867670 -889.346211
-386.971629 -1268.599481 -890.072716
-387.167570 -1269.332277 -890.800283
-387.363834 -1270.066281 -891.528945
-387.560361 -1270.801269 -892.258674
-387.757213 -1271.537472 -892.989505
-387.954330 -1272.274666 -893.721408
-388.151767 -1273.013059 -894.454416
-388.349470 -1273.752443 -895.188500
-388.547497 -1274.493040 -895.923696
-388.745786 -1275.234620 -896.659973
-388.944400 -1275.977412 -897.397367
-389.143310 -1276.721314 -898.135864
-389.342513 -1277.466308 -898.875465
-389.542008 -1278.212395 -899.616173
-389.741799 -1278.959590 -900.357992
-389.941886 -1279.707892 -901.100925
-390.142294 -1280.457397 -901.844988
-390.342999 -1281.208010 -902.590170
-390.543998 -1281.959721 -903.336472
-390.745322 -1282.712650 -904.083914
-390.946938 -1283.466669 -904.832480
-391.148851 -1284.221802 -905.582175
-391.362416 -1285.020510 -906.339421
-391.658821 -1286.129030 -907.144689
-391.166239 -1286.626582 -841.323143
-390.809029 -1285.287849 -841.827932
-390.573370 -1284.404659 -842.373989
-390.395660 -1283.738646 -842.939597
-390.243092 -1283.166862 -843.513458
-390.092385 -1282.602049 -844.087401
-389.941807 -1282.037720 -844.660815
