X Y Z
37.406453 723.719360 1225.229895
37.595487 725.172851 1224.581421
37.739758 726.282166 1223.934345
37.841594 727.065185 1223.288123
37.937532 727.802856 1222.642680
38.007361 728.339782 1221.997603
38.077128 728.876221 1221.353109
38.128883 729.274170 1220.708745
38.175129 729.629760 1220.064652
38.221344 729.985107 1219.420942
38.248801 730.196227 1218.776910
38.275798 730.403809 1218.133085
38.302795 730.611389 1217.489482
38.314130 730.698548 1216.845314
38.324013 730.774536 1216.201157
38.333888 730.850464 1215.557077
38.332197 730.837464 1214.912348
38.325592 730.786682 1214.267268
38.318988 730.735900 1213.622127
38.304295 730.622925 1212.976314
38.280561 730.440428 1212.329649
38.256810 730.257812 1211.682777
38.226019 730.021057 1211.035078
38.183012 729.690368 1210.385985
38.139972 729.359437 1209.736520
38.084796 728.935180 1209.085463
38.018086 728.422241 1208.432723
37.950367 727.901550 1207.779305
37.851262 727.139526 1207.121753
37.752380 726.379211 1206.463385
37.601409 725.218384 1205.797839
37.399674 723.667236 1205.124626
37.178984 726.823913 1222.640945
37.264403 727.478027 1221.995546
37.334559 728.015259 1221.350540
37.398681 728.506287 1220.705967
37.445180 728.862366 1220.061412
37.491656 729.218261 1219.417243
37.525929 729.480713 1218.773000
37.553084 729.688660 1218.128742
37.580223 729.896485 1217.484707
37.594426 730.005249 1216.840246
37.604358 730.081299 1216.195667
37.614289 730.157348 1215.551167
37.612113 730.140686 1214.905985
37.605473 730.089844 1214.260481
37.598834 730.039001 1213.614915
37.580247 729.896668 1212.968389
37.556384 729.713929 1212.321281
37.532520 729.531188 1211.673967
37.493688 729.233826 1211.025133
37.450441 728.902649 1210.375560
37.405018 728.554810 1209.725408
37.337986 728.041505 1209.072701
37.270891 727.527710 1208.419418
37.179271 726.826111 1207.762900
37.079570 726.062623 1207.104695
36.936150 724.964356 1206.440531
39.270029 723.450318 1227.175383
39.448164 724.837036 1226.524622
39.583161 725.887939 1225.875741
39.701387 726.808288 1225.228079
39.792751 727.519531 1224.581421
39.875374 728.162720 1223.935502
39.949843 728.742432 1223.290215
40.007642 729.192383 1222.645347
40.065395 729.641967 1222.000969
40.113308 730.014953 1221.356870
40.151757 730.314270 1220.712936
40.190191 730.613464 1220.069325
40.222251 730.863037 1219.425821
40.244345 731.035034 1218.782206
40.266432 731.206970 1218.138775
40.287554 731.371399 1217.495482
40.294775 731.427612 1216.851657
40.301996 731.483825 1216.207888
40.309209 731.539979 1215.564175
40.307218 731.524475 1214.919932
40.299989 731.468201 1214.275310
40.292760 731.411926 1213.630621
40.282293 731.330444 1212.985617
40.260089 731.157594 1212.339570
40.237885 730.984742 1211.693327
40.215673 730.811829 1211.046887
40.178407 730.521728 1210.398845
40.139613 730.219727 1209.750328
40.100794 729.917541 1209.101470
40.045864 729.489929 1208.450563
39.987296 729.033997 1207.798779
39.927685 728.569947 1207.146367
39.843463 727.914306 1206.490512
39.759139 727.257873 1205.833919
39.650299 726.410583 1205.173475
39.528599 725.463195 1204.510401
39.358979 724.142761 1203.839770
39.118638 722.271788 1203.157774
40.859643 721.020996 1227.829851
41.154783 723.347473 1227.175087
41.330696 724.734131 1226.524401
41.466965 725.808289 1225.875568
41.583714 726.728577 1225.227993
41.675717 727.453796 1224.581421
41.757305 728.096924 1223.935596
41.832094 728.686462 1223.290413
41.889160 729.136292 1222.645644
41.946187 729.585816 1222.001364
41.994488 729.966552 1221.357385
42.032452 730.265808 1220.713553
42.070408 730.565002 1220.070045
42.102906 730.821167 1219.426672
42.124726 730.993164 1218.783163
42.146530 731.165039 1218.139838
42.168171 731.335632 1217.496689
42.175295 731.391785 1216.852972
42.182426 731.447998 1216.209313
42.189550 731.504150 1215.565710
42.188350 731.494690 1214.921626
42.181211 731.438415 1214.277117
42.174072 731.382141 1213.632541
42.164532 731.306945 1212.987711
42.142612 731.134155 1212.341782
42.120684 730.961304 1211.695656
42.098755 730.788452 1211.049333
42.062851 730.505432 1210.401493
42.024546 730.203490 1209.753098
41.986219 729.901367 1209.104362
41.933048 729.482239 1208.453693
41.875215 729.026367 1207.802035
41.817336 728.570130 1207.149866
41.734602 727.917968 1206.494196
41.651342 727.261659 1205.837738
41.545936 726.430787 1205.177697
41.425772 725.483581 1204.514770
41.261861 724.191527 1203.844780
41.032892 722.386658 1203.164137
38.046169 723.772766 1225.878224
38.247701 725.328735 1225.228973
38.398632 726.494019 1224.581421
38.503845 727.306336 1223.934947
38.605082 728.087951 1223.289326
38.679701 728.664062 1222.644221
38.749134 729.200135 1221.999656
38.812014 729.685608 1221.355536
38.858031 730.040894 1220.711518
38.904025 730.395996 1220.067885
38.943829 730.703308 1219.424428
38.970691 730.910705 1218.780812
38.997554 731.118103 1218.137420
39.023065 731.315064 1217.494187
39.032899 731.390991 1216.850373
39.042726 731.466858 1216.206637
39.052552 731.542725 1215.562978
39.051342 731.533386 1214.918700
39.044765 731.482606 1214.274044
39.038188 731.431823 1213.629327
39.027081 731.346070 1212.984204
39.003736 731.165833 1212.338002
38.980123 730.983520 1211.691573
38.956501 730.801147 1211.044937
38.914508 730.476928 1210.396391
38.871708 730.146485 1209.747405
38.828884 729.815857 1209.098048
38.764036 729.315186 1208.446001
38.697646 728.802612 1207.793229
38.621446 728.214295 1207.138772
38.522802 727.452697 1206.481016
38.416087 726.628784 1205.821432
38.266295 725.472290 1205.155494
38.058936 723.871337 1204.480765
38.685741 723.826172 1226.526407
38.899656 725.484558 1225.876268
39.049919 726.649476 1225.228209
39.164974 727.541443 1224.581421
39.247947 728.184692 1223.935470
39.322299 728.761109 1223.290148
39.380338 729.211059 1222.645247
39.438330 729.660645 1222.000836
39.486111 730.031067 1221.356697
39.524720 730.330384 1220.712728
39.563320 730.629638 1220.069083
39.595229 730.877014 1219.425535
39.617415 731.049011 1218.781884
39.639593 731.220947 1218.138417
39.660543 731.383362 1217.495077
39.667794 731.439574 1216.851214
39.675037 731.495728 1216.207408
39.682288 731.551941 1215.563659
39.680029 731.534424 1214.919362
39.672770 731.478149 1214.274703
39.665511 731.421875 1213.629976
39.654725 731.338256 1212.984912
39.632437 731.165466 1212.338826
39.610133 730.992553 1211.692544
39.587829 730.819641 1211.046065
39.550102 730.527161 1210.397954
39.511147 730.225159 1209.749396
39.472168 729.922973 1209.100498
39.416640 729.492492 1208.449511
39.357821 729.036500 1207.797683
39.297491 728.568786 1207.145175
39.212904 727.913025 1206.489273
39.128231 727.256592 1205.832635
39.018238 726.403869 1205.172057
38.896019 725.456359 1204.508933
38.717886 724.075378 1203.837196
39.608026 721.146729 1227.829942
39.898326 723.416016 1227.175284
40.075723 724.802735 1226.524548
40.211152 725.861389 1225.875683
40.328888 726.781738 1225.228050
40.420468 727.497620 1224.581421
40.502748 728.140808 1223.935533
40.577322 728.723755 1223.290281
40.634882 729.173706 1222.645447
40.692387 729.623230 1222.001101
40.740430 729.998780 1221.357043
40.778720 730.298096 1220.713142
40.816995 730.597290 1220.069566
40.849210 730.849121 1219.426107
40.871205 731.021057 1218.782527
40.893200 731.192993 1218.139131
40.914500 731.359496 1217.495887
40.921684 731.415650 1216.852097
40.928875 731.471863 1216.208365
40.936066 731.528076 1215.564690
40.934340 731.514587 1214.920500
40.927134 731.458252 1214.275915
40.919935 731.401977 1213.631264
40.909777 731.322571 1212.986318
40.887672 731.149781 1212.340311
40.865560 730.976929 1211.694107
40.843440 730.804017 1211.047706
40.806633 730.516297 1210.399731
40.768000 730.214294 1209.751255
40.729350 729.912170 1209.102439
40.675007 729.487366 1208.451611
40.616682 729.031434 1207.799869
40.557802 728.571167 1207.147555
40.473928 727.915526 1206.491745
40.389962 727.259155 1205.835197
40.282275 726.417359 1205.174888
40.161079 725.469970 1204.511863
39.993380 724.159057 1203.841447
39.756854 722.310119 1203.159902
40.235282 721.095155 1227.829865
40.526582 723.381774 1227.175185
40.703233 724.768433 1226.524474
40.839086 725.834839 1225.875626
40.956325 726.755127 1225.228021
41.048122 727.475708 1224.581421
41.130060 728.118896 1223.935565
41.204744 728.705139 1223.290347
41.262049 729.154969 1222.645546
41.319323 729.604553 1222.001233
41.367492 729.982666 1221.357214
41.405623 730.281983 1220.713348
41.443731 730.581116 1220.069806
41.476092 730.835144 1219.426390
41.497996 731.007081 1218.782846
41.519900 731.179017 1218.139485
41.541368 731.347534 1217.496288
41.548529 731.403747 1216.852536
41.555682 731.459901 1216.208840
41.562843 731.516113 1215.565201
41.561382 731.504638 1214.921064
41.554213 731.448364 1214.276518
41.547036 731.392030 1213.631904
41.537192 731.314759 1212.987016
41.515180 731.141968 1212.341048
41.493160 730.969116 1211.694883
41.471139 730.796263 1211.048522
41.434781 730.510864 1210.400614
41.396308 730.208863 1209.752178
41.357820 729.906739 1209.103402
41.304068 729.484802 1208.452654
41.245993 729.028930 1207.800955
41.187964 728.573426 1207.148754
41.104308 727.916747 1206.492973
41.020698 727.260436 1205.836471
40.914151 726.424072 1205.176295
40.793475 725.476806 1204.513320
40.627671 724.175293 1203.843116
40.394936 722.348388 1203.162023
41.476180 720.884949 1227.830007
41.782936 723.313171 1227.174990
41.958111 724.699829 1226.524328
42.094788 725.781739 1225.875512
42.211048 726.702026 1225.227964
42.303250 727.431885 1224.581421
42.384496 728.075012 1223.935626
42.459381 728.667786 1223.290478
42.516207 729.117615 1222.645742
42.572995 729.567138 1222.001494
42.621410 729.950379 1221.357554
42.659222 730.249695 1220.713756
42.697012 730.548829 1220.070282
42.729658 730.807251 1219.426953
42.751379 730.979187 1218.783479
42.773092 731.151062 1218.140189
42.794804 731.322937 1217.497082
42.801998 731.379882 1216.853407
42.809092 731.436036 1216.209783
42.816193 731.492248 1215.566216
42.815245 731.484742 1214.922185
42.808136 731.428467 1214.277713
42.801027 731.372192 1213.633174
42.791790 731.299073 1212.988403
42.769969 731.126343 1212.342512
42.748133 730.953491 1211.696425
42.726296 730.780640 1211.050141
42.690843 730.500000 1210.402368
42.652699 730.198059 1209.754013
42.614532 729.895935 1209.105317
42.561946 729.479675 1208.454727
42.504356 729.023804 1207.803111
42.446728 728.567627 1207.150984
42.364811 727.919189 1206.495413
42.281907 727.262940 1205.839000
42.177630 726.437499 1205.179093
42.057978 725.490356 1204.516215
41.895941 724.207703 1203.846437
41.670717 722.424866 1203.166245
43.326151 720.476746 1227.830479
43.667121 723.210327 1227.174703
43.840076 724.596924 1226.524113
43.977935 725.702149 1225.875343
44.092718 726.622376 1225.227880
44.185492 727.366150 1224.581421
44.265704 728.009216 1223.935718
44.340869 728.611816 1223.290672
44.396970 729.061585 1222.646032
44.453034 729.511048 1222.001880
44.501803 729.902039 1221.358058
44.539131 730.201294 1220.714361
44.576443 730.500427 1220.070987
44.609499 730.765441 1219.427787
44.630938 730.937317 1218.784417
44.652376 731.109192 1218.141230
44.673815 731.281066 1217.498228
44.681672 731.344056 1216.854696
44.688683 731.400268 1216.211180
44.695687 731.456421 1215.567720
44.695505 731.454956 1214.923845
44.688485 731.398682 1214.279485
44.681466 731.342407 1213.635057
44.673137 731.275635 1212.990458
44.651585 731.102845 1212.344682
44.630032 730.930054 1211.698709
44.608471 730.757202 1211.052540
44.574349 730.483642 1210.404967
44.536694 730.181762 1209.756732
44.499017 729.879700 1209.108156
44.448153 729.471923 1208.457801
44.391306 729.016174 1207.806311
44.334413 728.560059 1207.154309
44.254924 727.922790 1206.499034
44.173090 727.266724 1205.842756
44.072163 726.457580 1205.183247
43.954045 725.510620 1204.520514
43.797587 724.256285 1203.851373
43.583429 722.539367 1203.172527
43.942918 720.340576 1227.830639
44.295087 723.176025 1227.174609
44.467305 724.562622 1226.524043
44.605547 725.675659 1225.875288
44.719833 726.595825 1225.227852
44.812788 727.344239 1224.581421
44.892658 727.987305 1223.935748
44.967904 728.593140 1223.290735
45.023766 729.042908 1222.646127
45.079590 729.492371 1222.002008
45.128471 729.885926 1221.358224
45.165639 730.185181 1220.714560
45.202784 730.484253 1220.071219
45.235973 730.751465 1219.428062
45.257327 730.923401 1218.784726
45.278675 731.095276 1218.141574
45.300014 731.267090 1217.498606
45.308095 731.332153 1216.855122
45.315070 731.388306 1216.211641
45.322044 731.444459 1215.568217
45.322112 731.445008 1214.924393
45.315123 731.388733 1214.280069
45.308133 731.332458 1213.635678
45.300098 731.267761 1212.991136
45.278644 731.095033 1212.345398
45.257183 730.922242 1211.699464
45.235722 730.749450 1211.053333
45.202034 730.478211 1210.405826
45.164540 730.176331 1209.757630
45.127023 729.874268 1209.109093
45.076733 729.469361 1208.458817
45.020128 729.013611 1207.807368
44.963484 728.557556 1207.155408
