X Y Z
687.861414 1275.841301 -826.479783
688.172088 1277.003185 -826.986237
688.388849 1277.813846 -827.518031
688.560272 1278.454949 -828.061897
688.707385 1279.005132 -828.612078
688.854332 1279.554697 -829.161734
689.001176 1280.103876 -829.710850
689.147859 1280.652456 -830.259442
689.294414 1281.200551 -830.807503
689.440807 1281.748044 -831.355043
689.587070 1282.295052 -831.902055
689.733199 1282.841557 -832.448540
689.879164 1283.387448 -832.994510
690.025033 1283.932983 -833.539943
690.170738 1284.477901 -834.084863
690.316281 1285.022217 -834.629270
690.461726 1285.566162 -835.173145
690.607007 1286.109495 -835.716510
690.752157 1286.652340 -836.259356
690.897176 1287.194695 -836.801683
691.042036 1287.736454 -837.343502
691.186792 1288.277823 -837.884797
691.331388 1288.818595 -838.425587
691.475853 1289.358879 -838.965862
691.620189 1289.898679 -839.505624
691.764361 1290.437864 -840.044887
691.908436 1290.976688 -840.583627
692.052347 1291.514897 -841.121869
692.196124 1292.052607 -841.659604
692.339775 1292.589845 -842.196831
692.483291 1293.126580 -842.733552
692.626649 1293.662720 -843.269779
692.769906 1294.198485 -843.805492
692.913033 1294.733763 -844.340701
693.055995 1295.268425 -844.875421
693.198833 1295.802621 -845.409639
693.341535 1296.336309 -845.943359
693.484138 1296.869628 -846.476569
693.626581 1297.402347 -847.009293
693.768889 1297.934564 -847.541522
693.911072 1298.466310 -848.073254
694.053120 1298.997554 -848.604494
694.195008 1299.528198 -849.135252
694.336796 1300.058469 -849.665507
694.478455 1300.588259 -850.195271
694.619983 1301.117557 -850.724545
694.761377 1301.646353 -851.253332
694.902647 1302.174685 -851.781630
695.043781 1302.702509 -852.309443
695.184755 1303.229735 -852.836782
695.325629 1303.756588 -853.363626
695.466375 1304.282961 -853.889985
695.606989 1304.808843 -854.415863
695.747472 1305.334233 -854.941260
695.868074 1305.785270 -855.473940
695.974873 1306.184684 -856.011628
696.059186 1306.500005 -856.557860
696.125278 1306.747182 -857.111076
696.179562 1306.950196 -857.668818
696.213442 1307.076905 -858.234630
696.240240 1307.177124 -858.803238
696.244909 1307.194589 -859.380823
696.244908 1307.194585 -859.960369
696.219416 1307.099246 -860.550486
696.189321 1306.986695 -861.142684
696.130533 1306.766836 -861.747022
696.058727 1306.498289 -862.357124
695.962931 1306.140023 -862.977687
695.828320 1305.636595 -863.615130
695.669170 1305.041390 -864.263637
695.493695 1304.385136 -864.919857
695.317993 1303.728030 -865.576987
695.142029 1303.069946 -866.235046
694.965836 1302.411004 -866.894020
694.789383 1301.751091 -867.553925
