X Y Z
614.923114 1323.822750 -804.791760
615.705051 1326.740976 -805.205770
615.993638 1327.817998 -805.734260
616.194042 1328.565917 -806.282805
616.365504 1329.205820 -806.837577
616.525251 1329.802007 -807.394539
616.684804 1330.397463 -807.950919
616.844191 1330.992306 -808.506712
617.003387 1331.586432 -809.061925
617.162450 1332.180063 -809.616545
617.321346 1332.773072 -810.170582
617.480047 1333.365354 -810.724045
617.638619 1333.957151 -811.276917
617.796995 1334.548218 -811.829218
617.955206 1335.138672 -812.380941
618.113257 1335.728523 -812.932086
618.271142 1336.317758 -813.482655
618.428863 1336.906380 -814.032650
618.586448 1337.494499 -814.582064
618.743844 1338.081906 -815.130913
618.901074 1338.668697 -815.679192
619.058139 1339.254872 -816.226902
619.215044 1339.840449 -816.774043
619.371784 1340.425410 -817.320617
619.528362 1341.009770 -817.866625
619.684773 1341.593502 -818.412071
619.841026 1342.176645 -818.956952
619.997141 1342.759273 -819.501264
620.153064 1343.341188 -820.045023
620.308854 1343.922605 -820.588215
620.464452 1344.503303 -821.130858
620.619916 1345.083503 -821.672935
620.775214 1345.663083 -822.214457
620.930352 1346.242067 -822.755425
621.085326 1346.820435 -823.295841
621.240134 1347.398188 -823.835705
621.394782 1347.975342 -824.375019
621.549299 1348.552008 -824.913774
621.703647 1349.128044 -825.451982
621.857839 1349.703495 -825.989643
622.011862 1350.278317 -826.526760
622.165723 1350.852534 -827.063333
622.319455 1351.426269 -827.599352
622.473022 1351.999390 -828.134831
622.626424 1352.571892 -828.669770
622.779666 1353.143799 -829.204170
622.932772 1353.715200 -829.738023
623.085718 1354.286002 -830.271338
623.238500 1354.856190 -830.804120
623.391121 1355.425779 -831.336366
623.543607 1355.994868 -831.868070
623.695933 1356.563353 -832.399243
623.842924 1357.111933 -832.931663
623.972679 1357.596185 -833.469480
624.076692 1357.984368 -834.015764
624.169030 1358.328975 -834.565754
624.231014 1358.560304 -835.126101
624.288319 1358.774170 -835.687902
624.321029 1358.896243 -836.258284
624.347587 1358.995362 -836.830792
624.353049 1359.015744 -837.410854
624.349680 1359.003173 -837.994154
624.327210 1358.919314 -838.584496
624.290611 1358.782725 -839.180177
624.237524 1358.584600 -839.782157
624.158630 1358.290163 -840.393999
624.063153 1357.933840 -841.012424
623.928099 1357.429809 -841.646170
623.770279 1356.840818 -842.289140
623.605626 1356.226326 -842.935431
623.440774 1355.611087 -843.582556
623.275692 1354.994996 -844.230527
623.110415 1354.378173 -844.879334
622.944878 1353.760379 -845.529003
622.779175 1353.141967 -846.179499
622.613242 1352.522697 -846.830849
622.447085 1351.902590 -847.483053
622.280696 1351.281618 -848.136116
622.114112 1350.659917 -848.790025
621.947297 1350.037358 -849.444796
621.780285 1349.414061 -850.100417
621.613016 1348.789802 -850.756914
