X Y Z
-1059.503397 -1224.251713 -782.073203
-1059.348831 -1223.212531 -782.674496
-1059.234718 -1222.445316 -783.268237
-1059.137436 -1221.791262 -783.858525
-1059.057983 -1221.257081 -784.445393
-1058.995471 -1220.836794 -785.029170
-1058.932994 -1220.416746 -785.612469
-1058.890653 -1220.132075 -786.192481
-1058.853178 -1219.880123 -786.771506
-1058.815741 -1219.628426 -787.350238
-1058.792718 -1219.473634 -787.926827
-1058.775541 -1219.358150 -788.502503
-1058.758364 -1219.242666 -789.078042
-1058.748253 -1219.174689 -789.652611
-1058.749178 -1219.180904 -790.225838
-1058.750105 -1219.187136 -790.799060
-1058.751212 -1219.194581 -791.372260
-1058.769750 -1219.319218 -791.943663
-1058.788306 -1219.443973 -792.515191
-1058.806862 -1219.568729 -793.086847
-1058.461807 -1224.828855 -780.333419
-1058.244940 -1223.360237 -780.947727
-1058.091774 -1222.323001 -781.549557
-1057.978266 -1221.554322 -782.143626
-1057.881845 -1220.901365 -782.734053
-1057.793591 -1220.303709 -783.322449
-1057.731638 -1219.884163 -783.906085
-1057.669738 -1219.464975 -784.489240
-1057.612684 -1219.078611 -785.071204
-1057.575570 -1218.827270 -785.649851
-1057.538472 -1218.576047 -786.228208
-1057.501393 -1218.324944 -786.806274
-1057.478753 -1218.171632 -787.382128
-1057.461756 -1218.056524 -787.957071
-1057.444738 -1217.941279 -788.531878
-1057.427723 -1217.826051 -789.106548
-1057.428462 -1217.831056 -789.678976
-1057.429379 -1217.837271 -790.251378
-1057.430300 -1217.843505 -790.823776
-1057.434572 -1217.872436 -791.395811
-1057.452939 -1217.996817 -791.966406
-1057.471309 -1218.121217 -792.537128
-1057.489676 -1218.245598 -793.107977
-1057.517508 -1218.434074 -793.678077
-1057.554282 -1218.683112 -794.247579
-1057.591072 -1218.932250 -794.817345
-1057.630333 -1219.198126 -795.387175
-1057.688266 -1219.590449 -795.955835
-1057.746237 -1219.983029 -796.524915
