X Y Z
722.488458 849.847784 1294.364185
722.765088 850.880183 1293.691014
722.962208 851.615845 1293.042203
723.132181 852.250190 1292.402115
723.301938 852.883731 1291.762851
723.471483 853.516484 1291.124408
723.640798 854.148377 1290.486790
723.809900 854.779474 1289.849991
723.978776 855.409726 1289.214011
724.147440 856.039189 1288.578846
724.315891 856.667857 1287.944493
724.484126 857.295719 1287.310952
724.652150 857.922793 1286.678220
724.819961 858.549071 1286.046295
724.987544 859.174502 1285.415180
725.154928 859.799185 1284.784865
725.322087 860.423031 1284.155355
725.489047 861.046136 1283.526642
725.655781 861.668394 1282.898731
725.822318 862.289920 1282.271612
725.988626 862.910591 1281.645292
726.154734 863.530514 1281.019763
726.320633 864.149655 1280.395024
726.486319 864.768005 1279.771075
726.651807 865.385614 1279.147910
726.817070 866.002384 1278.525535
726.982132 866.618405 1277.903941
727.146985 867.233642 1277.283129
727.311640 867.848146 1276.663094
727.476082 868.461852 1276.043839
727.640312 869.074767 1275.425361
727.804345 869.686947 1274.807656
727.968167 870.298336 1274.190724
728.131791 870.908991 1273.574562
728.295206 871.518862 1272.959169
728.458423 872.127997 1272.344542
728.621423 872.736320 1271.730683
728.784233 873.343937 1271.117585
728.946828 873.950748 1270.505251
729.109242 874.556887 1269.893672
729.271443 875.162227 1269.282855
729.433431 875.766776 1268.672795
729.595241 876.370660 1268.063486
729.756839 876.973753 1267.454932
729.918238 877.576102 1266.847130
730.079427 878.177666 1266.240078
730.217966 878.694702 1265.638237
730.333985 879.127688 1265.041438
730.424830 879.466728 1264.450054
730.488617 879.704783 1263.864291
730.545036 879.915344 1263.280229
730.572202 880.016726 1262.701943
730.596112 880.105963 1262.124406
730.596112 880.105962 1261.551401
730.591088 880.087211 1260.979341
730.564365 879.987481 1260.411192
730.530038 879.859370 1259.844312
730.475255 879.654916 1259.280912
730.407070 879.400446 1258.719637
730.320867 879.078731 1258.161195
730.207596 878.655999 1257.607006
730.079182 878.176751 1257.054903
729.931996 877.627445 1256.505392
729.784644 877.077521 1255.955318
729.637143 876.527040 1255.404676
729.489496 875.976013 1254.853467
729.341685 875.424377 1254.301690
729.193742 874.872247 1253.749340
729.045625 874.319466 1253.196421
728.897369 873.766166 1252.642929
728.748956 873.212282 1252.088863
728.600379 872.657784 1251.534223
728.451651 872.102725 1250.979007
728.302778 871.547123 1250.423212
728.153741 870.990908 1249.866840
728.004557 870.434147 1249.309887
727.855210 869.876775 1248.752354
727.705697 869.318785 1248.194240
727.556039 868.760253 1247.635540
727.406234 868.201175 1247.076255
727.256266 867.641486 1246.516385
727.106132 867.081179 1245.955928
726.955853 866.520329 1245.394882
726.805409 865.958865 1244.833246
726.654800 865.396786 1244.271020
726.504046 864.834161 1243.708200
726.353116 864.270883 1243.144789
726.202047 863.707086 1242.580781
726.050802 863.142632 1242.016178
725.899397 862.577582 1241.450978
725.747842 862.011970 1240.885178
725.596122 861.445744 1240.318778
725.444240 860.878914 1239.751778
725.292206 860.311514 1239.184174
725.140000 859.743473 1238.615967
724.987625 859.174802 1238.047155
724.835103 858.605584 1237.477736
724.682422 858.035770 1236.907709
724.529557 857.465268 1236.337075
724.376545 856.894220 1235.765828
724.223358 856.322518 1235.193972
724.070017 855.750243 1234.621501
723.916499 855.177307 1234.048417
723.762833 854.603816 1233.474716
723.608990 854.029668 1232.900399
723.454979 853.454889 1232.325464
723.300811 852.879526 1231.749909
723.146473 852.303531 1231.173732
722.991971 851.726921 1230.596934
722.821659 851.091308 1230.020558
722.612518 850.310782 1229.445998
722.294149 849.122614 1228.877424
724.249677 849.820443 1294.331463
724.524195 850.851432 1293.658670
724.719930 851.586544 1293.010158
724.888771 852.220647 1292.370340
725.057395 852.853939 1291.731347
725.225813 853.486457 1291.093173
725.393998 854.118100 1290.455825
725.561977 854.748968 1289.819293
725.729741 855.379026 1289.183577
725.897294 856.008294 1288.548676
726.064623 856.636725 1287.914589
726.231737 857.264343 1287.281314
726.398640 857.891172 1286.648847
726.565336 858.517219 1286.017187
726.731815 859.142454 1285.386332
726.898085 859.766907 1284.756280
727.064144 860.390562 1284.127029
727.229992 861.013428 1283.498578
727.395613 861.635439 1282.870929
727.561038 862.256717 1282.244072
727.726251 862.877197 1281.618009
727.891269 863.496943 1280.992735
728.056063 864.115850 1280.368255
728.220657 864.734008 1279.744562
728.385024 865.351312 1279.121659
728.549200 865.967896 1278.499538
728.713180 866.583746 1277.878196
728.876931 867.198733 1277.257641
729.040485 867.812986 1276.637863
729.203849 868.426520 1276.018858
729.366997 869.039247 1275.400632
729.529933 869.651176 1274.783181
729.692665 870.262335 1274.166502
729.855213 870.872809 1273.550589
730.017532 871.482419 1272.935449
730.179676 872.091374 1272.321070
730.341590 872.699466 1271.707462
730.503324 873.306878 1271.094612
730.664850 873.913514 1270.482525
730.826179 874.519406 1269.871196
730.987299 875.124514 1269.260626
731.148225 875.728893 1268.650812
731.308951 876.332522 1268.041751
731.469483 876.935423 1267.433441
731.629821 877.537595 1266.825882
731.789950 878.138982 1266.219073
731.927959 878.657291 1265.617395
732.043865 879.092593 1265.020703
732.134093 879.431457 1264.429557
732.198010 879.671508 1263.843917
732.254244 879.882700 1263.260049
732.281530 879.985177 1262.681931
732.305742 880.076108 1262.104535
732.305742 880.076107 1261.531754
732.301243 880.059211 1260.959826
732.274685 879.959468 1260.391900
732.241127 879.833439 1259.825144
732.186700 879.629030 1259.261963
732.119564 879.376893 1258.700801
732.033950 879.055355 1258.142572
731.922187 878.635617 1257.588466
731.795116 878.158383 1257.036493
731.648903 877.609259 1256.487194
731.502536 877.059559 1255.937330
731.356016 876.509281 1255.386901
731.209344 875.958435 1254.835905
731.062526 875.407038 1254.284340
730.915566 874.855110 1253.732203
730.768438 874.302552 1253.179498
730.621165 873.749448 1252.626220
730.473733 873.195745 1252.072370
730.326152 872.641485 1251.517945
730.178423 872.086667 1250.962943
730.030533 871.531247 1250.407365
729.882499 870.975283 1249.851208
729.734301 870.418706 1249.294473
729.585954 869.861567 1248.737157
729.437448 869.303833 1248.179259
729.288796 868.745552 1247.620777
729.139976 868.186638 1247.061712
728.991002 867.627143 1246.502062
728.841874 867.067075 1245.941825
728.692587 866.506404 1245.380999
