X Y Z
687.141649 1275.364263 -826.345055
687.511778 1276.745607 -826.837542
687.749210 1277.631715 -827.365198
687.923055 1278.280513 -827.909612
688.076231 1278.852172 -828.459142
688.223747 1279.402710 -829.009675
688.371099 1279.952635 -829.559682
688.518355 1280.502203 -830.109143
688.665442 1281.051138 -830.658082
688.812372 1281.599490 -831.206496
688.959168 1282.147338 -831.754380
689.105833 1282.694701 -832.301734
689.252369 1283.241579 -832.848558
689.398740 1283.787845 -833.394864
689.544981 1284.333621 -833.940644
689.691090 1284.878909 -834.485898
689.837035 1285.423584 -835.030638
689.982881 1285.967888 -835.574844
690.128566 1286.511590 -836.118538
690.274089 1287.054691 -836.661721
690.419509 1287.597406 -837.204375
690.564769 1288.139523 -837.746519
690.709898 1288.681153 -838.288146
690.854893 1289.222279 -838.829257
690.999731 1289.762823 -839.369861
691.144465 1290.302977 -839.909943
691.289039 1290.842535 -840.449520
691.433478 1291.381590 -840.988587
691.577787 1291.920157 -841.527143
691.721966 1292.458241 -842.065188
691.865984 1292.995724 -842.602735
692.009872 1293.532719 -843.139774
692.153656 1294.069330 -843.676297
692.297282 1294.605351 -844.212325
692.440775 1295.140873 -844.747849
692.584133 1295.675894 -845.282871
692.727367 1296.210447 -845.817389
692.870433 1296.744380 -846.351418
693.013406 1297.277959 -846.884935
693.156213 1297.810923 -847.417965
693.298916 1298.343498 -847.950488
693.441462 1298.875488 -848.482524
693.583910 1299.407110 -849.014053
693.726191 1299.938111 -849.545100
693.868344 1300.468632 -850.075654
694.010365 1300.998660 -850.605715
694.152287 1301.528321 -851.135274
694.294047 1302.057377 -851.664354
694.435674 1302.585937 -852.192945
694.577174 1303.114021 -852.721048
694.718571 1303.641722 -853.248654
694.859806 1304.168819 -853.775785
695.000912 1304.695436 -854.302431
695.141887 1305.221561 -854.828594
695.267355 1305.689812 -855.360209
695.382001 1306.117679 -855.895556
695.466553 1306.433230 -856.442222
695.539197 1306.704340 -856.993266
695.593591 1306.907342 -857.551264
695.633367 1307.055787 -858.114892
695.660219 1307.156002 -858.683567
695.670555 1307.194576 -859.258812
695.670554 1307.194573 -859.838242
695.650896 1307.121209 -860.425697
695.622997 1307.017086 -861.016655
695.568438 1306.813471 -861.618706
695.504462 1306.574707 -862.224927
695.408561 1306.216801 -862.844682
695.284234 1305.752807 -863.476721
695.131810 1305.183950 -864.121088
694.956363 1304.529175 -864.775830
694.780687 1303.873541 -865.431480
694.604744 1303.216915 -866.088055
694.428577 1302.559451 -866.745539
694.252146 1301.901001 -867.403951
694.075487 1301.241701 -868.063278
693.898566 1300.581422 -868.723537
693.721417 1299.920294 -869.384713
693.544004 1299.258181 -870.046827
693.366330 1298.595091 -870.709878
693.188428 1297.931151 -871.373854
693.010264 1297.266234 -872.038771
692.831839 1296.600342 -872.704633
692.653186 1295.933600 -873.371425
692.474266 1295.265861 -874.039168
692.295090 1294.597169 -874.707858
692.115651 1293.927493 -875.377502
691.935981 1293.256955 -876.048086
691.756020 1292.585330 -876.719640
691.575825 1291.912835 -877.392140
691.395374 1291.239381 -878.065599
691.214659 1290.564946 -878.740022
691.033712 1289.889642 -879.415397
690.852476 1289.213259 -880.091751
690.670975 1288.535889 -880.769077
690.489246 1287.857666 -881.447359
690.307223 1287.178350 -882.126630
690.124967 1286.498159 -882.806864
689.942424 1285.816899 -883.488088
689.759646 1285.134764 -884.170279
689.576578 1284.451545 -884.853467
689.393244 1283.767333 -885.537642
689.209652 1283.082158 -886.222803
689.025798 1282.396004 -886.908953
688.841679 1281.708865 -887.596096
688.657299 1281.020748 -888.284233
688.472659 1280.331661 -888.973364
688.287725 1279.641478 -889.663510
688.102529 1278.950318 -890.354657
687.907291 1278.221682 -891.051719
687.647354 1277.251582 -891.782341
687.722181 1275.321043 -826.337421
688.098652 1276.729001 -826.827907
688.336826 1277.619741 -827.355156
688.510276 1278.268425 -827.899509
688.663587 1278.841792 -828.448841
688.810795 1279.392331 -828.999302
688.957838 1279.942256 -829.549237
689.104752 1280.491695 -830.098637
689.251504 1281.040532 -830.647513
689.398123 1281.588869 -831.195857
689.544612 1282.136721 -831.743670
689.690936 1282.683956 -832.290963
689.837135 1283.230721 -832.837726
689.983198 1283.776981 -833.383962
690.129098 1284.322629 -833.929682
690.274902 1284.867921 -834.474865
690.420542 1285.412595 -835.019535
690.566022 1285.956673 -835.563690
690.711397 1286.500359 -836.107316
690.856615 1287.043459 -836.650429
691.001700 1287.586059 -837.193022
691.146625 1288.128063 -837.735107
691.291446 1288.669676 -838.276665
691.436108 1289.210693 -838.817717
691.580637 1289.751216 -839.358253
691.725039 1290.291261 -839.898275
691.869309 1290.830813 -840.437784
692.013415 1291.369753 -840.976792
692.157422 1291.908324 -841.515279
692.301267 1292.446288 -842.053266
692.444984 1292.983770 -842.590744
692.588565 1293.520748 -843.127717
692.732018 1294.057245 -843.664182
692.875310 1294.593140 -844.200152
693.018502 1295.128661 -844.735608
693.161533 1295.663582 -845.270572
693.304430 1296.198000 -845.805034
693.447229 1296.732049 -846.338985
693.589867 1297.265498 -846.872446
693.732374 1297.798460 -847.405409
693.874752 1298.330934 -847.937874
694.016995 1298.862907 -848.469844
694.159082 1299.394296 -849.001328
694.301066 1299.925300 -849.532308
694.442919 1300.455813 -850.062795
694.584643 1300.985845 -850.592789
694.726201 1301.515256 -851.122305
694.867666 1302.044315 -851.651318
695.008994 1302.572867 -852.179844
695.150198 1303.100954 -852.707880
695.291238 1303.628427 -853.235442
695.432177 1304.155521 -853.762508
695.572987 1304.682134 -854.289088
695.713662 1305.208242 -854.815186
695.839361 1305.678342 -855.346543
695.954647 1306.109499 -855.881479
696.039025 1306.425062 -856.428072
696.112264 1306.698968 -856.978750
696.166578 1306.902094 -857.536659
696.206957 1307.053107 -858.099938
696.233754 1307.153325 -858.668535
696.244787 1307.194587 -859.243412
696.244787 1307.194587 -859.822760
696.225916 1307.124014 -860.409830
696.198075 1307.019890 -861.000705
696.144482 1306.819458 -861.602320
696.081615 1306.584345 -862.208050
695.985980 1306.226679 -862.827687
695.863221 1305.767576 -863.459087
695.711999 1305.202022 -864.102986
695.536949 1304.547356 -864.757614
695.361675 1303.891851 -865.413147
695.186137 1303.235360 -866.069604
695.010367 1302.578003 -866.726974
694.834340 1301.919682 -867.385268
694.658082 1301.260496 -868.044479
694.481565 1300.600346 -868.704619
694.304818 1299.939331 -869.365680
694.127811 1299.277346 -870.027674
693.950543 1298.614384 -870.690607
693.773041 1297.950550 -871.354466
693.595285 1297.285761 -872.019264
693.417265 1296.619989 -872.685007
693.238989 1295.953255 -873.351694
693.060479 1295.285650 -874.019316
692.881708 1294.617069 -874.687887
692.702707 1293.947626 -875.357397
692.523417 1293.277103 -876.027875
692.343895 1292.605709 -876.699295
692.164113 1291.933348 -877.371673
691.984070 1291.260006 -878.045012
691.803767 1290.585696 -878.719313
691.623203 1289.910406 -879.394579
691.442376 1289.234134 -880.070813
691.261319 1288.557002 -880.748002
691.079971 1287.878784 -881.426177
690.898394 1287.199705 -882.105310
690.716526 1286.519542 -882.785433
690.534423 1285.838497 -883.466522
690.352032 1285.156375 -884.148604
690.169406 1284.473378 -884.831655
689.986495 1283.789313 -885.515703
689.803319 1283.104254 -886.200739
689.619879 1282.418210 -886.886766
689.436179 1281.731194 -887.573784
689.252220 1281.043209 -888.261794
689.067969 1280.354134 -888.950815
688.883486 1279.664186 -889.640820
688.698711 1278.973149 -890.331840
688.505316 1278.249876 -891.028070
688.250460 1277.296743 -891.756280
688.302599 1275.277834 -826.329809
688.685350 1276.712285 -826.818305
688.924295 1277.607792 -827.345136
689.097378 1278.256464 -827.889421
689.250827 1278.831551 -828.438553
689.397692 1279.381962 -828.988953
689.544427 1279.931886 -829.538817
689.690998 1280.481198 -830.088156
689.837438 1281.030020 -830.636962
689.983719 1281.578243 -831.185244
690.129871 1282.125982 -831.732995
690.275888 1282.673216 -832.280218
690.421775 1283.219965 -832.826911
690.567502 1283.766112 -833.373086
690.713096 1284.311760 -833.918736
690.858530 1284.856809 -834.463869
691.003863 1285.401483 -835.008469
691.149038 1285.945560 -835.552555
691.294078 1286.489132 -836.096120
691.438988 1287.032221 -836.639164
691.583739 1287.574707 -837.181698
691.728356 1288.116695 -837.723714
691.872846 1288.658209 -838.265212
692.017203 1289.199220 -838.806194
692.161400 1289.739634 -839.346671
692.305493 1290.279657 -839.886626
692.449426 1290.819084 -840.426077
692.593230 1291.358023 -840.965016
692.736905 1291.896479 -841.503444
692.880418 1292.434329 -842.041373
693.023828 1292.971794 -842.578785
693.167082 1293.508673 -843.115698
693.310233 1294.045168 -843.652095
693.453220 1294.581047 -844.187999
693.596081 1295.116453 -844.723397
693.738777 1295.651243 -845.258305
693.881378 1296.185675 -845.792698
694.023846 1296.719609 -846.326592
694.166184 1297.253056 -846.859986
694.308358 1297.785887 -847.392894
694.450437 1298.318360 -847.925292
694.592351 1298.850218 -848.457205
694.734135 1299.381588 -848.988624
694.875821 1299.912591 -849.519537
695.017345 1300.442988 -850.049968
695.158741 1300.972905 -850.579907
695.300002 1301.502314 -851.109356
695.441168 1302.031370 -851.638303
695.582171 1302.559812 -852.166773
695.723042 1303.087763 -852.694756
695.863786 1303.615232 -853.222252
696.004398 1304.142211 -853.749263
696.144912 1304.668822 -854.275778
696.285265 1305.194828 -854.801821
696.411217 1305.666866 -855.332910
696.527172 1306.101436 -855.867423
696.611373 1306.416997 -856.413945
696.685214 1306.693735 -856.964252
696.739378 1306.896730 -857.522100
696.780386 1307.050417 -858.085020
696.807128 1307.150639 -858.653538
696.818853 1307.194581 -859.228048
696.818853 1307.194579 -859.807316
696.800776 1307.126834 -860.393997
696.772989 1307.022693 -860.984789
696.720354 1306.825432 -861.585971
696.658634 1306.594119 -862.191195
696.563196 1306.236445 -862.810740
696.442031 1305.782347 -863.441490
696.292006 1305.220092 -864.084921
696.117357 1304.565554 -864.739433
695.942482 1303.910164 -865.394851
695.767341 1303.253781 -866.051194
695.591976 1302.596560 -866.708445
695.416351 1301.938361 -867.366623
695.240494 1301.279295 -868.025717
695.064381 1300.619267 -868.685740
694.888004 1299.958253 -869.346697
694.711403 1299.296396 -870.008574
694.534567 1298.633660 -870.671376
694.357442 1297.969841 -871.335130
694.180093 1297.305181 -871.999809
694.002481 1296.639535 -872.665432
693.824638 1295.973027 -873.331988
693.646535 1295.305542 -873.999491
693.468170 1294.637074 -874.667944
693.289550 1293.967652 -875.337347
693.110666 1293.297241 -876.007705
692.931556 1292.625981 -876.679003
692.752183 1291.953740 -877.351261
692.572551 1291.280523 -878.024479
692.392655 1290.606318 -878.698661
692.212504 1289.931161 -879.373804
692.032118 1289.255120 -880.049903
691.851445 1288.578001 -880.726984
691.670541 1287.900021 -881.405021
691.489344 1287.220941 -882.084048
691.307892 1286.540903 -882.764047
691.126205 1285.859990 -883.445012
690.944226 1285.177978 -884.126972
690.762021 1284.495121 -884.809897
690.579521 1283.811158 -885.493824
690.396764 1283.126231 -886.178735
690.213742 1282.440310 -886.864638
690.030461 1281.753419 -887.551530
689.846919 1281.065550 -888.239416
689.663116 1280.376703 -888.928298
689.479022 1279.686766 -889.618192
689.294697 1278.995965 -890.309071
689.103112 1278.277951 -891.004483
688.853321 1277.341799 -891.730280
688.117753 1274.585076 -892.704326
691.783236 1275.020742 -826.284470
692.202814 1276.613282 -826.761096
692.442545 1277.523197 -827.286478
692.616859 1278.184820 -827.829392
692.771134 1278.770382 -828.377321
692.916021 1279.320313 -828.927333
693.060779 1279.869754 -829.476811
693.205410 1280.418710 -830.025755
693.349908 1280.967165 -830.574167
693.494248 1281.515017 -831.122057
693.638460 1282.062384 -831.669417
693.782540 1282.609251 -832.216249
693.926461 1283.155514 -832.762562
694.070254 1283.701293 -833.308348
694.213920 1284.246587 -833.853608
694.357452 1284.791371 -834.398345
694.500831 1285.335578 -834.942567
694.644077 1285.879280 -835.486268
694.787190 1286.422477 -836.029449
694.930150 1286.965092 -836.572118
695.073009 1287.507322 -837.114259
695.215708 1288.048948 -837.655893
695.358249 1288.589973 -838.197019
695.500688 1289.130612 -838.737622
695.643003 1289.670777 -839.277709
695.785155 1290.210325 -839.817294
695.927179 1290.749390 -840.356367
696.069075 1291.287966 -840.894929
696.210839 1291.826043 -841.432981
696.352449 1292.363534 -841.970534
696.493956 1292.900635 -842.507571
696.635305 1293.437135 -843.044111
696.776526 1293.973151 -843.580146
696.917615 1294.508665 -844.115677
697.058579 1295.043706 -844.650704
697.199411 1295.578244 -845.185231
697.340116 1296.112299 -845.719256
697.480661 1296.645748 -846.252792
697.621109 1297.178828 -846.785818
697.761398 1297.711308 -847.318357
697.901589 1298.243413 -847.850389
698.041618 1298.774902 -848.381937
698.181550 1299.306024 -848.912980
698.321326 1299.836554 -849.443539
698.460969 1300.366582 -849.973608
698.600516 1300.896242 -850.503173
698.739899 1301.425282 -851.032262
698.879160 1301.953856 -851.560860
699.018291 1302.481937 -852.088970
699.157321 1303.009635 -852.616583
699.296195 1303.536744 -853.143720
699.434939 1304.063356 -853.670374
699.573583 1304.589590 -854.196533
699.712073 1305.115240 -854.722219
699.839463 1305.598760 -855.251725
