X Y Z
616.768987 1326.275268 -805.078927
617.103464 1327.528805 -805.598244
617.329155 1328.374636 -806.141793
617.509505 1329.050542 -806.695195
617.668778 1329.647456 -807.252927
617.827891 1330.243772 -807.810065
617.986809 1330.839356 -808.366621
618.145594 1331.434440 -808.922581
618.304188 1332.028811 -809.477959
618.462618 1332.622565 -810.032752
618.620884 1333.215704 -810.586959
618.778986 1333.808230 -811.140583
618.936927 1334.400154 -811.693623
619.094699 1334.991445 -812.246084
619.252286 1335.582040 -812.797971
619.409734 1336.172116 -813.349273
619.566993 1336.761480 -813.900005
619.724118 1337.350344 -814.450153
619.881047 1337.938474 -814.999735
620.037847 1338.526124 -815.548734
620.194452 1339.113039 -816.097170
620.350924 1339.699455 -816.645028
620.507205 1340.285156 -817.192323
620.663321 1340.870240 -817.739051
620.819304 1341.454825 -818.285204
620.975097 1342.038696 -818.830799
621.130756 1342.622067 -819.375822
621.286254 1343.204834 -819.920281
621.441559 1343.786875 -820.464187
621.596729 1344.368413 -821.007525
621.751734 1344.949335 -821.550304
621.906580 1345.529656 -822.092525
622.061265 1346.109377 -822.634188
622.215783 1346.688471 -823.175297
622.370145 1347.266979 -823.715851
622.524367 1347.844966 -824.255845
622.678401 1348.422243 -824.795295
622.832300 1348.999018 -825.334186
622.986039 1349.575194 -825.872528
623.139617 1350.150764 -826.410322
623.293058 1350.725822 -826.947561
623.446309 1351.300167 -827.484264
623.599430 1351.874025 -828.020413
623.752385 1352.447263 -828.556020
623.905178 1353.019892 -829.091086
624.057810 1353.591917 -829.625611
624.210312 1354.163455 -830.159587
624.362649 1354.734378 -830.693026
624.514823 1355.304688 -831.225929
624.666868 1355.874511 -831.758286
624.818748 1356.443720 -832.290110
624.970468 1357.012326 -832.821401
625.100855 1357.500986 -833.359376
625.214918 1357.928462 -833.902454
625.306935 1358.273320 -834.452713
625.377356 1358.537238 -835.010137
625.438101 1358.764897 -835.570699
625.474907 1358.902835 -836.139474
625.507445 1359.024781 -836.709659
625.514350 1359.050658 -837.288880
625.518781 1359.067265 -837.869015
625.496438 1358.983529 -838.458826
625.468650 1358.879387 -839.050761
625.415852 1358.681513 -839.651979
625.347550 1358.425533 -840.259158
625.258987 1358.093624 -840.874149
625.131536 1357.615967 -841.503983
624.983170 1357.059932 -842.142210
624.819660 1356.447138 -842.786801
624.655925 1355.833499 -843.432230
624.491992 1355.219119 -844.078490
624.327829 1354.603880 -844.725593
624.163471 1353.987909 -845.373529
623.998888 1353.371094 -846.022311
623.834078 1352.753426 -846.671942
623.669068 1352.135012 -847.322412
623.503863 1351.515867 -847.973722
623.338432 1350.895873 -848.625886
623.172773 1350.275026 -849.278906
623.006886 1349.653322 -849.932785
622.840803 1349.030887 -850.587511
622.674492 1348.407594 -851.243099
622.507986 1347.783572 -851.899537
622.341251 1347.158692 -852.556841
622.174286 1346.532949 -853.215014
622.007096 1345.906365 -853.874055
621.839683 1345.278944 -854.533965
621.672065 1344.650753 -855.194740
621.504223 1344.021726 -855.856388
621.336156 1343.391852 -856.518912
621.167886 1342.761219 -857.182304
620.999366 1342.129648 -857.846586
620.830641 1341.497313 -858.511741
620.661661 1340.864019 -859.177793
620.492483 1340.229982 -859.844719
620.323077 1339.595090 -860.512534
620.153445 1338.959353 -861.181238
619.983583 1338.322754 -861.850835
619.813493 1337.685301 -862.521327
619.643178 1337.047003 -863.192714
619.472633 1336.407844 -863.865000
619.301889 1335.767938 -864.538174
619.130887 1335.127066 -865.212263
618.959659 1334.485349 -865.887255
618.788202 1333.842773 -866.563154
618.616486 1333.199225 -867.239975
618.444573 1332.554937 -867.917693
618.272429 1331.909784 -868.596324
618.100029 1331.263674 -869.275881
617.897759 1330.505618 -869.970043
617.600575 1329.391849 -870.709173
616.188488 1326.334103 -805.084467
616.516389 1327.560416 -805.605517
616.738475 1328.390988 -806.150082
616.917704 1329.061284 -806.703909
617.077344 1329.658321 -807.261704
617.236794 1330.254645 -807.818914
617.396079 1330.850351 -808.375534
617.555199 1331.445444 -808.931565
617.714156 1332.039922 -809.487008
617.872947 1332.633783 -810.041864
618.031578 1333.227045 -810.596135
618.190014 1333.819576 -811.149829
618.348320 1334.411622 -811.702932
618.506427 1335.002923 -812.255463
618.664374 1335.593625 -812.807413
618.822156 1336.183714 -813.358785
618.979778 1336.773201 -813.909578
619.137235 1337.362071 -814.459796
619.294527 1337.950324 -815.009439
619.451655 1338.537964 -815.558510
619.608623 1339.125006 -816.107007
619.765426 1339.711432 -816.654933
619.922065 1340.297241 -817.202291
620.078542 1340.882449 -817.749079
620.234856 1341.467044 -818.295301
620.391005 1342.051023 -818.840957
620.547023 1342.634514 -819.386040
620.702848 1343.217280 -819.930568
620.858511 1343.799440 -820.474534
621.014010 1344.380989 -821.017940
621.169375 1344.962035 -821.560778
621.324545 1345.542351 -822.103068
621.479585 1346.122185 -822.644791
621.634434 1346.701301 -823.185967
621.789149 1347.279918 -823.726580
621.943699 1347.857916 -824.266641
622.098085 1348.435302 -824.806151
622.252341 1349.012202 -825.345100
622.406407 1349.588388 -825.883509
622.560336 1350.164068 -826.421361
622.714103 1350.739137 -826.958667
622.867705 1351.313591 -827.495428
623.021151 1351.887461 -828.031644
623.174458 1352.460809 -828.567309
623.327575 1353.033450 -829.102441
623.480561 1353.605599 -829.637022
623.633413 1354.177247 -830.171056
623.786070 1354.748167 -830.704562
623.938597 1355.318601 -831.237520
624.090960 1355.888422 -831.769944
624.243163 1356.457643 -832.301833
624.394942 1357.025275 -832.833278
624.524588 1357.510137 -833.371667
624.636637 1357.929188 -833.915587
624.728816 1358.273926 -834.465933
624.797520 1358.530872 -835.024081
624.858397 1358.758546 -835.584724
624.893521 1358.889904 -836.154199
624.925962 1359.011229 -836.724530
624.931412 1359.031610 -837.304362
624.934124 1359.041754 -837.885206
624.911732 1358.958012 -838.475114
624.881962 1358.846676 -839.067840
624.829022 1358.648685 -839.669172
624.758355 1358.384400 -840.277267
624.669572 1358.052362 -840.892380
624.538948 1357.563843 -841.523399
624.388413 1357.000860 -842.162436
624.224522 1356.387927 -842.807164
624.060411 1355.774171 -843.452729
623.896067 1355.159545 -844.099137
623.731527 1354.544182 -844.746377
623.566792 1353.928093 -845.394450
623.401797 1353.311033 -846.043382
623.236639 1352.693360 -846.693138
623.071219 1352.074710 -847.343758
622.905635 1351.455442 -847.995206
622.739792 1350.835209 -848.647520
622.573749 1350.214231 -849.300680
622.407480 1349.592403 -849.954698
622.241017 1348.969852 -850.609562
622.074289 1348.346309 -851.265303
621.907402 1347.722171 -851.921880
621.740250 1347.097041 -852.579338
621.572903 1346.471182 -853.237651
621.405331 1345.844481 -853.896832
621.237529 1345.216924 -854.556884
621.069497 1344.588504 -855.217812
620.901268 1343.959347 -855.879602
620.732811 1343.329336 -856.542269
620.564130 1342.698491 -857.205813
620.395215 1342.066769 -857.870241
620.226076 1341.434207 -858.535551
620.056706 1340.800783 -859.201746
619.887140 1340.166625 -859.868815
619.717315 1339.531500 -860.536786
619.547291 1338.895634 -861.205635
619.377038 1338.258906 -861.875377
619.206559 1337.621333 -862.546013
619.035821 1336.982793 -863.217558
618.864881 1336.343500 -863.889991
618.693718 1335.703367 -864.563322
618.522292 1335.062255 -865.237571
618.350668 1334.420403 -865.912710
618.178821 1333.777714 -866.588754
618.006708 1333.134032 -867.265723
617.834371 1332.489512 -867.943601
617.661831 1331.844232 -868.622379
617.489035 1331.197995 -869.302085
617.283565 1330.429564 -869.997659
616.971330 1329.261839 -870.743616
615.607921 1326.393063 -805.090018
615.929188 1327.592045 -805.612810
616.147647 1328.407348 -806.158392
616.325781 1329.072150 -806.712635
616.485758 1329.669195 -807.270502
616.645571 1330.265626 -807.827778
616.805223 1330.861454 -808.384461
616.964710 1331.456668 -808.940556
617.124002 1332.051152 -809.496070
617.283130 1332.645025 -810.050997
617.442091 1333.238277 -810.605339
617.600923 1333.831044 -811.159089
617.759559 1334.423084 -811.712263
617.918005 1335.014413 -812.264863
618.076311 1335.605219 -812.816877
618.234458 1336.195430 -813.368311
618.392442 1336.785036 -813.919167
618.550228 1337.373900 -814.469455
618.707884 1337.962280 -815.019160
618.865344 1338.549930 -815.568300
619.022670 1339.137076 -816.116859
619.179804 1339.723512 -816.664855
619.336805 1340.309444 -817.212273
619.493644 1340.894775 -817.759122
619.650284 1341.479366 -818.305414
619.806794 1342.063468 -818.851131
619.963112 1342.646856 -819.396291
620.119297 1343.229745 -819.940879
620.275315 1343.812014 -820.484906
620.431170 1344.393671 -821.028372
620.586864 1344.974728 -821.571279
620.742392 1345.555168 -822.113627
620.897761 1346.135013 -822.655418
621.052964 1346.714237 -823.196654
621.208033 1347.292964 -823.737327
621.362910 1347.870972 -824.277455
621.517653 1348.448483 -824.817023
621.672236 1349.025394 -825.356039
621.826653 1349.601685 -825.894507
621.980906 1350.177365 -826.432428
622.134998 1350.752446 -826.969801
622.288956 1351.327024 -827.506619
622.442752 1351.900999 -828.042893
622.596385 1352.474363 -828.578624
622.749855 1353.047124 -829.113813
622.903193 1353.619387 -829.648452
623.056334 1354.190919 -830.182562
623.209346 1354.761964 -830.716124
623.362222 1355.332508 -831.249140
623.514909 1355.902341 -831.781630
623.667463 1356.471682 -832.313575
623.818218 1357.034309 -832.845539
623.948135 1357.519163 -833.383999
624.058167 1357.929808 -833.928760
624.150569 1358.274658 -834.479172
624.217489 1358.524407 -835.038065
624.278493 1358.752076 -835.598790
624.311988 1358.877081 -836.168945
624.342801 1358.992077 -836.739960
624.348261 1359.012453 -837.319884
624.349242 1359.016115 -837.901440
624.326802 1358.932367 -838.491445
624.295074 1358.813956 -839.084953
624.242021 1358.615961 -839.686388
624.168921 1358.343147 -840.295420
624.079951 1358.011109 -840.910643
623.946142 1357.511726 -841.542848
623.793422 1356.941767 -842.182697
623.629129 1356.328618 -842.827571
623.464638 1355.714728 -843.473273
623.299916 1355.099979 -844.119819
623.134999 1354.484498 -844.767195
622.969853 1353.868164 -845.415417
622.804480 1353.250986 -846.064486
622.638907 1352.633057 -846.714394
622.473140 1352.014408 -847.365139
622.307142 1351.394895 -848.016738
622.140918 1350.774539 -848.669191
621.974465 1350.153326 -849.322501
621.807811 1349.531366 -849.976659
621.640964 1348.908684 -850.631664
621.473859 1348.285040 -851.287542
621.306554 1347.660651 -851.944273
621.139020 1347.035405 -852.601871
620.971257 1346.409303 -853.260337
620.803296 1345.782465 -853.919660
620.635112 1345.154793 -854.579854
620.466692 1344.526242 -855.240923
620.298046 1343.896845 -855.902868
620.129206 1343.266725 -856.565676
619.960100 1342.635616 -857.229378
619.790804 1342.003795 -857.893946
619.621273 1341.371096 -858.559400
619.451517 1340.737558 -859.225738
619.281530 1340.103158 -859.892964
619.111313 1339.467898 -860.561080
618.940901 1338.831910 -861.230072
618.770225 1338.194941 -861.899973
618.599323 1337.557127 -862.570767
618.428225 1336.918580 -863.242444
618.256862 1336.279045 -863.915036
618.085275 1335.638672 -864.588526
617.913486 1334.997546 -865.262908
617.741442 1334.355469 -865.938206
617.569165 1333.712525 -866.614412
617.396661 1333.068730 -867.291527
617.223927 1332.424076 -867.969553
617.050962 1331.778564 -868.648492
616.877768 1331.132194 -869.328346
616.669122 1330.353516 -870.025318
616.328690 1329.083007 -870.784149
617.349383 1326.216425 -805.073408
617.690410 1327.497197 -805.590991
617.919720 1328.358402 -806.133516
618.101150 1329.039790 -806.686503
618.260061 1329.636601 -807.244169
618.418806 1330.232791 -807.801245
618.577389 1330.828370 -808.357729
618.735807 1331.423332 -808.913626
618.894066 1332.017694 -809.468933
619.052130 1332.611325 -810.023663
619.210065 1333.204471 -810.577799
619.367802 1333.796875 -811.131360
619.525378 1334.388676 -811.684338
619.682791 1334.979860 -812.236736
619.840074 1335.570558 -812.788545
619.997160 1336.160515 -813.339784
620.154085 1336.749870 -813.890446
620.310820 1337.338509 -814.440540
620.467417 1337.926633 -814.990052
620.623855 1338.514156 -815.538991
620.780133 1339.101080 -816.087357
620.936243 1339.687373 -816.635154
621.092193 1340.273064 -817.182380
621.247982 1340.858153 -817.729038
621.403605 1341.442615 -818.275131
621.559041 1342.026377 -818.820665
621.714340 1342.609625 -819.365628
621.869509 1343.192381 -819.910019
622.024484 1343.774412 -820.453857
622.179299 1344.355841 -820.997135
622.333946 1344.936639 -821.539855
622.488467 1345.516965 -822.082007
622.642795 1346.096566 -822.623611
622.796989 1346.675660 -823.164652
622.950989 1347.254029 -823.705149
623.104859 1347.831911 -824.245083
623.258569 1348.409188 -824.784465
623.412142 1348.985952 -825.323290
623.565528 1349.562018 -825.861573
623.718778 1350.137567 -826.399301
623.871837 1350.712402 -826.936492
624.024765 1351.286746 -827.473127
624.177561 1351.860592 -828.009210
624.330164 1352.433711 -828.544760
624.482635 1353.006338 -829.079759
624.634948 1353.578371 -829.614217
624.787096 1354.149784 -830.148137
624.939081 1354.720583 -830.681520
625.090936 1355.290895 -831.214356
625.242627 1355.860594 -831.746658
625.394158 1356.429688 -832.278425
625.545556 1356.998286 -832.809650
625.677096 1357.492303 -833.347071
625.793071 1357.927861 -833.889339
625.884861 1358.272592 -834.439533
625.957047 1358.543697 -834.996214
626.017665 1358.771355 -835.556694
626.056085 1358.915649 -836.124790
626.088557 1359.037599 -836.694888
626.097135 1359.069815 -837.273420
626.102534 1359.090092 -837.853113
626.080984 1359.009157 -838.442559
626.055112 1358.911991 -839.033723
626.002454 1358.714230 -839.634828
625.936538 1358.466670 -840.241081
625.848161 1358.134762 -840.855963
625.723870 1357.667970 -841.484612
625.577673 1357.118905 -842.122028
625.414538 1356.506229 -842.766483
625.251210 1355.892827 -843.411765
625.087653 1355.278566 -844.057889
624.923871 1354.663459 -844.704855
624.759890 1354.047606 -845.352655
624.595715 1353.431028 -846.001289
624.431317 1352.813605 -846.650770
624.266685 1352.195308 -847.301103
624.101863 1351.576296 -847.952274
623.936812 1350.956424 -848.604300
623.771533 1350.335695 -849.257182
623.606060 1349.714241 -849.910909
623.440358 1349.091922 -850.565496
623.274461 1348.468874 -851.220932
623.108336 1347.844968 -851.877231
622.941982 1347.220205 -852.534396
622.775405 1346.594599 -853.192428
622.608633 1345.968264 -853.851315
622.441597 1345.340938 -854.511087
622.274403 1344.713017 -855.171705
622.106945 1344.084106 -855.833212
621.939261 1343.454347 -856.495595
621.771380 1342.823845 -857.158845
621.603274 1342.192501 -857.822973
621.434941 1341.560302 -858.487984
621.266378 1340.927242 -859.153881
621.097590 1340.293334 -859.820663
620.928574 1339.658572 -860.488333
620.759361 1339.023068 -861.156881
620.589890 1338.386598 -861.826334
620.420193 1337.749274 -862.496681
620.250297 1337.111209 -863.167911
620.080143 1336.472170 -863.840052
619.909793 1335.832399 -864.513080
619.739185 1335.191655 -865.187023
619.568377 1334.550164 -865.861857
619.397317 1333.907722 -866.537609
619.226021 1333.264399 -867.214272
619.054503 1332.620239 -867.891842
618.882756 1331.975220 -868.570325
618.710785 1331.329357 -869.249720
618.511666 1330.581538 -869.942486
618.223460 1329.499140 -870.677588
618.509910 1326.098870 -805.062420
618.863937 1327.434086 -805.576538
619.100374 1328.325815 -806.117032
619.283952 1329.018184 -806.669188
619.442193 1329.614990 -807.226712
619.600237 1330.211056 -807.783652
619.758090 1330.806403 -808.340009
619.915811 1331.401252 -808.895771
620.073369 1331.995483 -809.450945
620.230733 1332.588983 -810.005541
620.387938 1333.181884 -810.559552
620.545010 1333.774285 -811.112972
620.701892 1334.365969 -811.665817
620.858608 1334.957025 -812.218082
621.015163 1335.547478 -812.769768
621.171560 1336.137332 -813.320874
621.327760 1336.726441 -813.871414
621.483830 1337.315061 -814.421369
621.639737 1337.903068 -814.970750
