X Y Z
-1059.286676 -1219.975700 -786.668477
-1059.142615 -1219.010614 -787.262980
-1059.034051 -1218.283327 -787.851470
-1058.942760 -1217.671751 -788.436808
-1058.865772 -1217.155998 -789.019578
-1058.807227 -1216.763797 -789.599405
-1058.748736 -1216.371955 -790.178784
-1058.707390 -1216.094971 -790.755649
-1058.672768 -1215.863031 -791.331412
-1058.638148 -1215.631109 -791.906909
-1058.616336 -1215.484985 -792.480734
-1058.601285 -1215.384161 -793.053671
-1058.586232 -1215.283318 -793.626488
-1058.578216 -1215.229619 -794.198489
-1057.875269 -1221.818233 -783.759383
-1057.579214 -1219.813356 -784.382493
-1057.430124 -1218.803719 -784.979985
-1057.308016 -1217.976802 -785.572159
-1057.202908 -1217.265011 -786.160833
-1057.118782 -1216.695311 -786.745604
-1057.034764 -1216.126347 -787.329723
-1056.970160 -1215.688851 -787.910474
-1056.912172 -1215.296152 -788.489827
-1056.854236 -1214.903810 -789.068730
-1056.808181 -1214.591926 -789.645652
-1056.770254 -1214.335085 -790.221197
-1056.732344 -1214.078363 -790.796448
-1056.695880 -1213.831428 -791.371235
-1056.674754 -1213.688362 -791.943981
-1056.653663 -1213.545536 -792.516555
-1056.632555 -1213.402590 -793.088965
-1056.616440 -1213.293459 -793.660691
-1056.617648 -1213.301640 -794.230556
-1056.620134 -1213.318479 -794.800298
-1056.622624 -1213.335335 -795.370049
-1056.632555 -1213.402590 -795.939149
-1056.651968 -1213.534059 -796.507507
-1056.671382 -1213.665528 -797.076001
-1056.690813 -1213.797116 -797.644629
-1056.722592 -1214.012321 -798.212481
-1056.759962 -1214.265388 -798.780167
-1056.797346 -1214.518557 -799.348123
-1056.839581 -1214.804568 -799.916044
-1056.897514 -1215.196892 -800.483343
-1056.955485 -1215.589471 -801.051063
-1057.018684 -1216.017455 -801.618936
-1057.102414 -1216.584473 -802.186285
-1057.186235 -1217.152106 -802.754245
-1057.293883 -1217.881095 -803.321851
-1057.413666 -1218.692265 -803.889802
-1057.572239 -1219.766117 -804.457344
-1056.889306 -1222.758908 -783.164918
-1056.607349 -1220.835564 -783.787553
-1056.421204 -1219.565787 -784.392339
-1056.287296 -1218.652352 -784.987341
-1056.166127 -1217.825807 -785.579332
-1056.069099 -1217.163940 -786.166713
-1055.985618 -1216.594479 -786.751334
-1055.902227 -1216.025634 -787.335305
-1055.843102 -1215.622320 -787.915201
-1055.785550 -1215.229732 -788.494426
-1055.728053 -1214.837521 -789.073201
-1055.686178 -1214.551877 -789.649496
-1055.648528 -1214.295049 -790.224930
-1055.610892 -1214.038323 -790.800070
-1055.577912 -1213.813349 -791.374363
-1055.556958 -1213.670417 -791.947008
-1055.536020 -1213.527587 -792.519484
-1055.515064 -1213.384636 -793.091796
-1055.501983 -1213.295405 -793.663120
-1055.496096 -1213.255248 -794.233612
-1055.490209 -1213.215091 -794.804051
-1055.484319 -1213.174917 -795.374438
-1055.487667 -1213.197754 -795.943945
-1055.496294 -1213.256598 -796.513017
-1055.504935 -1213.315544 -797.082143
-1055.513561 -1213.374388 -797.651329
-1055.533318 -1213.509156 -798.219741
-1055.556903 -1213.670041 -798.788023
-1055.580506 -1213.831046 -799.356473
-1055.604111 -1213.992067 -799.925093
-1055.643587 -1214.261348 -800.492936
-1055.683636 -1214.534540 -801.061036
-1055.723685 -1214.807731 -801.629430
-1055.772003 -1215.137325 -802.197717
-1055.845536 -1215.638922 -802.765232
-1055.928586 -1216.205445 -803.332901
-1056.030678 -1216.901850 -803.900475
-1056.149360 -1217.711434 -804.468251
-1056.287134 -1218.651242 -805.036339
-1056.463439 -1219.853891 -805.604447
-1056.727858 -1221.657600 -806.171895
-1056.294836 -1222.538691 -783.172485
-1056.028707 -1220.716671 -783.792458
-1055.843276 -1219.447141 -784.397127
-1055.716150 -1218.576787 -784.991005
-1055.595442 -1217.750369 -785.582907
-1055.502406 -1217.113409 -786.169643
-1055.419245 -1216.544059 -786.754189
-1055.337140 -1215.981936 -787.337945
-1055.279764 -1215.589115 -787.917554
-1055.222422 -1215.196532 -788.496716
-1055.165135 -1214.804325 -789.075429
-1055.125322 -1214.531744 -789.651411
-1055.087823 -1214.275016 -790.226788
-1055.050345 -1214.018425 -790.801871
-1055.019072 -1213.804317 -791.375919
-1054.998210 -1213.661493 -791.948513
-1054.977332 -1213.518549 -792.520943
-1054.956470 -1213.375725 -793.093204
-1054.944863 -1213.296259 -793.664329
-1054.938997 -1213.256098 -794.234778
-1054.933132 -1213.215939 -794.805174
-1054.927266 -1213.175779 -795.375517
-1054.931991 -1213.208132 -795.944857
-1054.940602 -1213.267082 -796.513889
-1054.949197 -1213.325931 -797.082979
-1054.957808 -1213.384882 -797.652125
-1054.978901 -1213.529294 -798.220394
-1055.002402 -1213.690191 -798.788643
-1055.025918 -1213.851191 -799.357060
-1055.050470 -1214.019279 -799.925582
-1055.090338 -1214.292236 -800.493365
-1055.130224 -1214.565311 -801.061439
-1055.170145 -1214.838626 -801.629806
-1055.220122 -1215.180782 -802.197977
-1055.279389 -1215.586552 -802.766101
-1055.338710 -1215.992681 -803.334662
-1055.406069 -1216.453848 -803.903363
-1055.490280 -1217.030389 -804.471997
-1055.577380 -1217.626711 -805.041172
-1055.733426 -1218.695064 -805.609190
-1055.909104 -1219.897820 -806.177933
-1056.202566 -1221.906975 -806.745784
-1054.513476 -1221.878899 -783.195113
-1054.294074 -1220.360106 -783.807123
-1054.123199 -1219.177242 -784.409374
-1054.003710 -1218.350091 -785.001953
-1053.885492 -1217.531740 -785.593411
-1053.803194 -1216.962040 -786.178386
-1053.720983 -1216.392940 -786.762710
-1053.647185 -1215.882085 -787.345157
-1053.590456 -1215.489380 -787.924577
-1053.533780 -1215.097051 -788.503547
-1053.480543 -1214.728523 -789.081608
-1053.443441 -1214.471686 -789.657115
-1053.406373 -1214.215088 -790.232326
-1053.369306 -1213.958490 -790.807245
-1053.343138 -1213.777344 -791.380552
-1053.322506 -1213.634522 -791.953001
-1053.301874 -1213.491700 -792.525284
-1053.281242 -1213.348878 -793.097400
-1053.274047 -1213.299073 -793.667926
-1053.268247 -1213.258921 -794.238246
-1053.262444 -1213.218751 -794.808513
-1053.256925 -1213.180546 -795.378701
-1053.265440 -1213.239493 -795.947565
-1053.273941 -1213.298338 -796.516485
-1053.282442 -1213.357182 -797.085463
-1053.292828 -1213.429080 -797.654348
-1053.316051 -1213.589842 -798.222332
-1053.339295 -1213.750741 -798.790485
-1053.362535 -1213.911623 -799.358807
-1053.391438 -1214.111700 -799.926935
-1053.430868 -1214.384649 -800.494638
-1053.470332 -1214.657838 -801.062633
-1053.509797 -1214.931026 -801.630921
-1053.564675 -1215.310916 -802.198745
-1053.623290 -1215.716675 -802.766810
-1053.681960 -1216.122809 -803.335313
-1053.755565 -1216.632332 -803.903691
-1053.838867 -1217.208984 -804.472292
-1053.922259 -1217.786252 -805.041518
-1054.035698 -1218.571525 -805.610577
-1054.154501 -1219.393927 -806.180370
-1054.310403 -1220.473148 -806.750359
-1054.488913 -1221.708859 -807.321183
-1054.798815 -1223.854128 -807.891865
-1054.456176 -1225.382080 -782.532475
-1053.920379 -1221.659306 -783.202631
-1053.716299 -1220.241334 -783.811994
-1053.552258 -1219.101561 -784.413098
-1053.433229 -1218.274535 -785.005588
-1053.319050 -1217.481207 -785.596385
-1053.237056 -1216.911500 -786.181288
-1053.155167 -1216.342527 -786.765538
-1053.084101 -1215.848756 -787.347549
-1053.027599 -1215.456176 -787.926905
-1052.971134 -1215.063851 -788.505813
