X Y Z
722.362728 849.378782 1294.577845
722.704304 850.653560 1293.883063
722.910811 851.424257 1293.229942
723.082777 852.066040 1292.587939
723.252912 852.700992 1291.947246
723.422834 853.335149 1291.307378
723.592525 853.968446 1290.668340
723.762005 854.600955 1290.030123
723.931257 855.232612 1289.392731
724.100294 855.863465 1288.756158
724.269119 856.493529 1288.120402
724.437733 857.122805 1287.485461
724.606118 857.751228 1286.851337
724.774288 858.378847 1286.218025
724.942247 859.005676 1285.585523
725.109992 859.631710 1284.953828
725.277526 860.256954 1284.322940
725.444846 860.881402 1283.692856
725.611954 861.505060 1283.063574
725.778839 862.127880 1282.435096
725.945518 862.749936 1281.807415
726.111990 863.371218 1281.180530
726.278248 863.991702 1280.554440
726.444291 864.611381 1279.929145
726.610124 865.230278 1279.304642
726.775747 865.848393 1278.680928
726.941170 866.465758 1278.057999
727.106381 867.082334 1277.435857
727.271380 867.698119 1276.814500
727.436165 868.313105 1276.193926
727.600757 868.927373 1275.574129
727.765134 869.540835 1274.955113
727.929299 870.153507 1274.336874
728.093267 870.765444 1273.719408
728.257023 871.376589 1273.102717
728.420582 871.987001 1272.486795
728.583927 872.596614 1271.871644
728.747080 873.205506 1271.257259
728.910018 873.813601 1270.643642
729.072759 874.420959 1270.030787
729.235304 875.027584 1269.418693
729.397638 875.633424 1268.807362
729.559773 876.238521 1268.196788
729.721718 876.842905 1267.586969
729.883442 877.446467 1266.977910
730.044975 878.049317 1266.369601
730.189529 878.588801 1265.765485
730.314806 879.056341 1265.165921
730.405751 879.395753 1264.573811
730.476760 879.660762 1263.986077
730.533411 879.872186 1263.401496
730.566515 879.995731 1262.821766
730.593695 880.097169 1262.243346
730.596051 880.105962 1261.669797
730.596052 880.105964 1261.096732
730.569818 880.008059 1260.528582
730.541312 879.901673 1259.960771
730.486543 879.697271 1259.397649
730.424903 879.467230 1258.835563
730.338778 879.145805 1258.277602
730.233524 878.752991 1257.722670
730.109509 878.290160 1257.170583
729.963122 877.743839 1256.621841
729.816016 877.194831 1256.072635
729.668745 876.645209 1255.522868
729.521324 876.095026 1254.972536
729.373762 875.544316 1254.421636
729.226047 874.993035 1253.870169
729.078174 874.441166 1253.318135
728.930148 873.888725 1252.765530
728.781964 873.335696 1252.212356
728.633628 872.782100 1251.658609
728.485150 872.227973 1251.104287
728.336518 871.673269 1250.549391
728.187715 871.117929 1249.993921
728.038773 870.562069 1249.437872
727.889670 870.005610 1248.881246
727.740406 869.448548 1248.324041
727.590993 868.890934 1247.766254
727.441430 868.332757 1247.207885
727.291707 867.773982 1246.648933
727.141823 867.214607 1246.089397
726.991785 866.654656 1245.529276
726.841590 866.094121 1244.968567
726.691242 865.533016 1244.407270
726.540718 864.971252 1243.845385
726.390062 864.408998 1243.282907
726.239228 863.846077 1242.719839
726.088244 863.282598 1242.156176
725.937095 862.718500 1241.591920
725.785785 862.153803 1241.027069
725.634329 861.588563 1240.461619
725.482709 861.022708 1239.895571
725.330924 860.456239 1239.328924
725.178974 859.889154 1238.761676
725.026863 859.321470 1238.193826
724.874588 858.753170 1237.625374
724.722167 858.184328 1237.056314
724.569565 857.614810 1236.486651
724.416815 857.044737 1235.916379
724.263888 856.474008 1235.345500
724.110807 855.902701 1234.774009
723.957555 855.330756 1234.201909
723.804149 854.758238 1233.629194
723.650566 854.185060 1233.055867
723.496835 853.611326 1232.481923
723.342927 853.036934 1231.907364
723.188851 852.461913 1231.332187
723.034613 851.886291 1230.756391
722.872704 851.282037 1230.180523
722.686788 850.588190 1229.605696
722.411907 849.562322 1229.036242
724.713488 849.348816 1294.532791
725.050290 850.616392 1293.838959
725.254955 851.386660 1293.186216
725.425250 852.027578 1292.544619
725.593880 852.662228 1291.904286
725.762297 853.296074 1291.264778
725.930489 853.929075 1290.626097
726.098467 854.561271 1289.988239
726.266223 855.192631 1289.351203
726.433765 855.823186 1288.714987
726.601093 856.452937 1288.079587
726.768214 857.081906 1287.445000
726.935108 857.710021 1286.811230
727.101792 858.337349 1286.178270
727.268261 858.963863 1285.546121
727.434521 859.589595 1284.914778
727.600574 860.214546 1284.284239
727.766411 860.838683 1283.654505
727.932042 861.462047 1283.025572
728.097457 862.084597 1282.397439
728.262661 862.706350 1281.770106
728.427660 863.327336 1281.143567
728.592446 863.947516 1280.517823
728.757019 864.566898 1279.892873
728.921382 865.185490 1279.268714
729.085550 865.803347 1278.645340
729.249509 866.420414 1278.022754
729.413255 867.036683 1277.400954
729.576791 867.652160 1276.779939
729.740131 868.266904 1276.159701
729.903262 868.880856 1275.540245
730.066182 869.494017 1274.921567
730.228906 870.106436 1274.303664
730.391422 870.718078 1273.686535
730.553740 871.328971 1273.070177
730.715849 871.939079 1272.454591
730.877750 872.548403 1271.839775
731.039456 873.156992 1271.225723
731.200964 873.764839 1270.612436
731.362275 874.371942 1269.999912
731.523379 874.978269 1269.388150
731.684273 875.583802 1268.777150
731.844986 876.188657 1268.166903
732.005491 876.792727 1267.557415
732.165797 877.396048 1266.948681
732.325899 877.998604 1266.340701
732.469664 878.539673 1265.736807
732.594652 879.010071 1265.137394
732.684789 879.349308 1264.545598
732.755838 879.616706 1263.958039
732.811983 879.828010 1263.373766
732.845405 879.953796 1262.794219
732.872341 880.055171 1262.216102
732.875261 880.066160 1261.642738
732.875276 880.066216 1261.069968
732.849865 879.970580 1260.502000
732.822264 879.866701 1259.934361
732.767999 879.662474 1259.371526
732.707654 879.435362 1258.809594
732.622303 879.114137 1258.251917
732.518932 878.725093 1257.697100
732.396024 878.262522 1257.145293
732.251540 877.718748 1256.596725
732.105728 877.169977 1256.047802
731.959774 876.620668 1255.498314
731.813671 876.070799 1254.948262
731.667407 875.520325 1254.397646
731.520996 874.969300 1253.846462
731.374441 874.417729 1253.294710
731.227736 873.865595 1252.742388
731.080873 873.312868 1252.189497
730.933861 872.759578 1251.636035
730.786688 872.205686 1251.082000
730.639369 871.651240 1250.527391
730.491904 871.096248 1249.972206
730.344279 870.540652 1249.416445
730.196504 869.984489 1248.860107
730.048571 869.427737 1248.303190
729.900491 868.870427 1247.745692
729.752247 868.312503 1247.187614
729.603840 867.753964 1246.628954
729.455307 867.194950 1246.069707
729.306592 866.635250 1245.509879
729.157732 866.075008 1244.949462
729.008713 865.514165 1244.388459
728.859545 864.952761 1243.826866
728.710214 864.390746 1243.264683
728.560723 863.828127 1242.701910
728.411118 863.265079 1242.138539
728.261285 862.701173 1241.574583
728.111323 862.136782 1241.010028
727.961213 861.571832 1240.444875
727.810927 861.006221 1239.879127
727.660498 860.440071 1239.312778
727.509900 859.873287 1238.745830
727.359144 859.305906 1238.178281
727.208227 858.737922 1237.610128
727.057158 858.169365 1237.041371
726.905918 857.600165 1236.472009
726.754526 857.030391 1235.902040
726.602960 856.459964 1235.331464
726.451245 855.888974 1234.760278
726.299355 855.317328 1234.188482
726.147317 854.745123 1233.616073
725.995100 854.172245 1233.043052
725.842736 853.598811 1232.469415
725.690196 853.024717 1231.895163
725.537507 852.450064 1231.320293
725.384645 851.874757 1230.744805
725.225634 851.276309 1230.169139
725.043562 850.591069 1229.594467
724.780937 849.602663 1229.024640
724.228344 847.522946 1228.473269
722.950682 849.371400 1294.566533
723.291056 850.644357 1293.871991
723.497077 851.414852 1293.218972
723.668636 852.056462 1292.577068
723.838394 852.691337 1291.936465
724.007930 853.325384 1291.296690
724.177250 853.958619 1290.657740
724.346358 854.591066 1290.019612
724.515239 855.222660 1289.382309
724.683905 855.853451 1288.745824
724.852347 856.483405 1288.110160
725.020587 857.112602 1287.475308
725.188603 857.740963 1286.841271
725.356407 858.368527 1286.208047
725.523997 858.995294 1285.575632
725.691361 859.621216 1284.944028
725.858527 860.246397 1284.313226
726.025464 860.870725 1283.683233
726.192206 861.494319 1283.054038
