X Y Z
687.508128 1274.494261 -826.191664
687.994436 1276.312993 -826.651450
688.263976 1277.321044 -827.169724
688.456458 1278.040901 -827.708575
688.618840 1278.648192 -828.255189
688.765982 1279.198487 -828.805515
688.912996 1279.748300 -829.355305
689.059875 1280.297609 -829.904563
689.206592 1280.846316 -830.453297
689.353176 1281.394522 -831.001500
689.499604 1281.942146 -831.549180
689.645929 1282.489382 -832.096323
689.792088 1283.036002 -832.642949
689.938092 1283.582039 -833.189054
690.083991 1284.127684 -833.734626
690.229730 1284.672733 -834.279683
690.375335 1285.217277 -834.824217
690.520784 1285.761239 -835.368236
690.666098 1286.304697 -835.911735
690.811279 1286.847657 -836.454715
690.956333 1287.390142 -836.997175
691.101254 1287.932129 -837.539118
691.246014 1288.473515 -838.080554
691.390675 1289.014530 -838.621463
691.535171 1289.554928 -839.161870
691.679507 1290.094725 -839.701773
691.823743 1290.634152 -840.241153
691.967819 1291.172978 -840.780032
692.111790 1291.711414 -841.318392
692.255606 1292.249269 -841.856252
692.399288 1292.786621 -842.393605
692.542839 1293.323486 -842.930451
692.686227 1293.859740 -843.466802
692.829518 1294.395634 -844.002638
692.972676 1294.931026 -844.537971
693.115673 1295.465817 -845.072813
693.258539 1296.000121 -845.607153
693.401277 1296.533944 -846.140992
693.543910 1297.067377 -846.674324
693.686388 1297.600225 -847.207166
693.828731 1298.132571 -847.739513
693.970943 1298.664430 -848.271364
694.112996 1299.195689 -848.802731
694.254944 1299.726560 -849.333595
694.396768 1300.256965 -849.863965
694.538457 1300.786863 -850.393845
694.680016 1301.316279 -850.923234
694.821414 1301.845092 -851.452146
694.962714 1302.373536 -851.980557
695.103883 1302.901489 -852.508482
695.244921 1303.428956 -853.035920
695.385827 1303.955927 -853.562875
695.526575 1304.482310 -854.089356
695.667220 1305.008304 -854.615344
695.800816 1305.507940 -855.143540
695.920473 1305.955442 -855.676683
696.013891 1306.304813 -856.219695
696.098230 1306.620230 -856.765964
696.152873 1306.824591 -857.323735
696.203755 1307.014884 -857.882843
696.230553 1307.115105 -858.451468
696.251806 1307.194587 -859.022284
696.251806 1307.194588 -859.601698
696.243544 1307.163690 -860.184547
696.215704 1307.059570 -860.775523
696.173862 1306.903085 -861.372454
696.115073 1306.683224 -861.976648
696.029326 1306.362538 -862.592381
695.924685 1305.971193 -863.216451
695.780838 1305.433221 -863.857521
695.610000 1304.794307 -864.510678
695.434625 1304.138428 -865.166554
695.259021 1303.481690 -865.823340
695.083154 1302.823965 -866.481054
694.907030 1302.165285 -867.139694
694.730674 1301.505731 -867.799252
694.554061 1300.845222 -868.459740
694.377214 1300.183833 -869.121151
694.200111 1299.521489 -869.783497
694.022775 1298.858273 -870.446768
693.845149 1298.193975 -871.110993
693.667293 1297.528813 -871.776148
693.489206 1296.862787 -872.442234
693.310831 1296.195687 -873.109279
693.132220 1295.527703 -873.777262
692.953356 1294.858771 -874.446193
692.774255 1294.188956 -875.116066
692.594865 1293.518060 -875.786908
692.415247 1292.846308 -876.458692
692.235367 1292.173576 -877.131437
692.055227 1291.499876 -877.805143
691.874826 1290.825195 -878.479814
691.694162 1290.149533 -879.155452
691.513239 1289.472905 -879.832057
691.332085 1288.795409 -880.509619
691.150638 1288.116820 -881.188169
690.968932 1287.437259 -881.867694
690.786995 1286.756837 -882.548181
690.604767 1286.075324 -883.229662
690.422276 1285.392831 -883.912125
690.239554 1284.709472 -884.595558
690.056540 1284.025022 -885.279992
689.873265 1283.339593 -885.965414
689.689728 1282.653186 -886.651827
689.505903 1281.965704 -887.339246
689.321843 1281.277342 -888.027647
689.137494 1280.587898 -888.717059
688.952910 1279.897574 -889.407458
688.768006 1279.206056 -890.098887
688.582871 1278.513674 -890.791305
688.360887 1277.683477 -891.503305
687.959836 1276.183595 -892.307622
686.927230 1274.537846 -826.199339
687.409550 1276.337891 -826.660548
687.677498 1277.337887 -827.179482
687.869109 1278.052988 -827.718757
688.031374 1278.658569 -828.265570
688.178855 1279.208977 -828.815959
688.326176 1279.758786 -829.365821
688.473367 1280.308110 -829.915148
688.620424 1280.856934 -830.463944
688.767350 1281.405269 -831.012208
688.914116 1281.953006 -831.559950
689.060716 1282.500125 -832.107173
689.207217 1283.046873 -832.653858
689.353557 1283.593024 -833.200025
689.499763 1284.138670 -833.745668
689.645839 1284.683832 -834.290785
689.791753 1285.228392 -834.835387
689.937538 1285.772468 -835.379467
690.083187 1286.316040 -835.923027
690.228707 1286.859129 -836.466066
690.374066 1287.401615 -837.008595
690.519292 1287.943603 -837.550607
690.664386 1288.485103 -838.092103
690.809351 1289.026119 -838.633082
690.954153 1289.566528 -839.173556
691.098854 1290.106558 -839.713508
691.243397 1290.646001 -840.252956
691.387806 1291.184942 -840.791893
691.532079 1291.723379 -841.330322
691.676198 1292.261236 -841.868250
691.820211 1292.798702 -842.405661
691.964064 1293.335568 -842.942576
692.107786 1293.871947 -843.478984
692.251379 1294.407843 -844.014888
692.394838 1294.943237 -844.550289
692.538169 1295.478158 -845.085187
692.681368 1296.012582 -845.619584
692.824431 1296.546499 -846.153482
692.967338 1297.079836 -846.686890
693.110145 1297.612799 -847.219789
693.252817 1298.145261 -847.752192
693.395329 1298.677122 -848.284111
693.537711 1299.208497 -848.815534
693.679993 1299.739503 -849.346452
693.822110 1300.269890 -849.876890
693.964100 1300.799805 -850.406836
694.105988 1301.329337 -850.936280
694.247714 1301.858265 -851.465247
694.389315 1302.386727 -851.993723
694.530776 1302.914668 -852.521716
694.672143 1303.442256 -853.049208
694.813348 1303.969240 -853.576228
694.954419 1304.495722 -854.102765
695.095395 1305.021854 -854.628805
695.228748 1305.519533 -855.157271
695.348625 1305.966921 -855.690494
695.441352 1306.312984 -856.233923
695.525447 1306.626829 -856.780430
695.579871 1306.829943 -857.338408
695.630116 1307.017459 -857.897888
695.656969 1307.117677 -858.466592
695.677573 1307.194573 -859.037765
695.677574 1307.194575 -859.617260
695.668550 1307.160896 -860.200494
695.640646 1307.056756 -860.791557
695.597863 1306.897089 -861.388924
695.538954 1306.677240 -861.993204
695.451983 1306.352659 -862.609461
695.345778 1305.956295 -863.234186
695.201599 1305.418213 -863.875367
695.029521 1304.776007 -864.528995
694.853744 1304.119998 -865.184988
694.677737 1303.463131 -865.841892
694.501471 1302.805299 -866.499721
694.324944 1302.146490 -867.158478
694.148185 1301.486816 -867.818154
693.971197 1300.826291 -868.478747
693.793920 1300.164683 -869.140287
693.616407 1299.502196 -869.802753
693.438669 1298.838867 -870.466142
693.260669 1298.174561 -871.130472
693.082405 1297.509272 -871.795746
692.903881 1296.843013 -872.461964
692.725128 1296.175898 -873.129116
692.546112 1295.507801 -873.797217
692.366839 1294.838743 -874.466269
692.187302 1294.168703 -875.136275
692.007532 1293.497793 -875.807224
691.827477 1292.825818 -876.479141
691.647187 1292.152966 -877.152007
691.466632 1291.479125 -877.825837
691.285820 1290.804326 -878.500629
691.104773 1290.128650 -879.176375
690.923441 1289.451911 -879.853101
690.741839 1288.774162 -880.530802
690.560012 1288.095575 -881.209459
690.377891 1287.415889 -881.889107
690.195509 1286.735230 -882.569732
690.012895 1286.053704 -883.251322
689.829992 1285.371102 -883.933908
689.646823 1284.687506 -884.617479
689.463390 1284.002924 -885.302039
689.279700 1283.317386 -885.987584
689.095747 1282.630862 -886.674122
688.911530 1281.943354 -887.361653
688.727024 1281.254771 -888.050192
688.542283 1280.565307 -888.739717
688.357250 1279.874755 -889.430255
688.171954 1279.183219 -890.121797
687.986369 1278.490609 -890.814356
687.762474 1277.655020 -891.527200
687.344492 1276.095089 -892.339834
688.622448 1274.230099 -826.189389
689.163788 1276.263177 -826.633326
689.436490 1277.287347 -827.150281
689.630697 1278.016717 -827.688286
689.793314 1278.627447 -828.234500
689.939836 1279.177731 -828.784685
690.086167 1279.727299 -829.334352
690.232400 1280.276495 -829.883477
690.378469 1280.825077 -830.432079
690.524407 1281.373170 -830.980150
690.670187 1281.920664 -831.527699
690.815863 1282.467772 -832.074712
690.961349 1283.014164 -832.621215
691.106736 1283.560185 -833.167182
691.251958 1284.105588 -833.712633
691.397056 1284.650522 -834.257559
691.542021 1285.194957 -834.801962
691.686851 1285.738887 -835.345845
691.831525 1286.282231 -835.889215
691.976066 1286.825075 -836.432065
692.120477 1287.367431 -836.974397
692.264725 1287.909174 -837.516222
692.408879 1288.450562 -838.057519
692.552867 1288.991329 -838.598313
692.696726 1289.531612 -839.138591
692.840456 1290.071412 -839.678356
692.984023 1290.610595 -840.217620
693.127493 1291.149418 -840.756362
693.270799 1291.687625 -841.294606
693.413977 1292.225349 -841.832340
693.557021 1292.762570 -842.369568
693.699939 1293.299318 -842.906289
693.842724 1293.835568 -843.442504
693.985350 1294.371218 -843.978226
694.127876 1294.906493 -844.513435
694.270241 1295.441168 -845.048152
694.412475 1295.975345 -845.582368
694.554577 1296.509030 -846.116086
694.696585 1297.042361 -846.649291
694.838430 1297.575076 -847.182012
694.980140 1298.107290 -847.714237
695.121695 1298.638919 -848.245976
695.263150 1299.170174 -848.777210
695.404473 1299.700932 -849.307951
695.545665 1300.231199 -849.838200
695.686728 1300.760978 -850.367958
695.827662 1301.290277 -850.897226
695.968436 1301.818971 -851.426016
696.109111 1302.347297 -851.954307
696.249652 1302.875117 -852.482112
696.390067 1303.402465 -853.009430
696.530350 1303.929318 -853.536265
696.670472 1304.455567 -854.062627
696.810495 1304.981442 -854.588496
696.944573 1305.484988 -855.116153
697.063664 1305.932251 -855.649185
697.158508 1306.288452 -856.191342
697.242461 1306.603751 -856.737479
697.298432 1306.813955 -857.294484
697.350507 1307.009530 -857.852877
697.377191 1307.109745 -858.421348
697.399779 1307.194578 -858.991430
697.399780 1307.194581 -859.570681
697.393052 1307.169313 -860.152753
697.365323 1307.065175 -860.743564
697.325350 1306.915049 -861.339624
697.266811 1306.695197 -861.943641
697.183470 1306.382201 -862.558340
697.081929 1306.000851 -863.181107
696.938721 1305.463013 -863.821966
696.770387 1304.830808 -864.474164
696.595813 1304.175173 -865.129809
696.421010 1303.518678 -865.786364
696.245915 1302.861084 -866.443858
696.070625 1302.202759 -867.102251
695.895075 1301.543456 -867.761575
695.719264 1300.883174 -868.421831
695.543197 1300.221929 -869.083019
695.366898 1299.559812 -869.745131
695.190374 1298.896852 -870.408165
695.013556 1298.232788 -871.072155
694.836514 1297.567881 -871.737071
694.659239 1296.902103 -872.402919
694.481675 1296.235236 -873.069728
694.303881 1295.567506 -873.737471
694.125829 1294.898807 -874.406164
693.947545 1294.229238 -875.075797
693.768976 1293.558595 -875.746398
693.590173 1292.887075 -876.417943
693.411112 1292.214588 -877.090447
693.231762 1291.541014 -877.763925
693.052212 1290.866690 -878.438340
692.872375 1290.191287 -879.113733
692.692273 1289.514889 -879.790096
692.511914 1288.837524 -880.467429
692.331323 1288.159291 -881.145720
692.150445 1287.479980 -881.824998
691.969335 1286.799794 -882.505241
691.787935 1286.118523 -883.186476
691.606275 1285.436273 -883.868692
691.424358 1284.753058 -884.551891
691.242206 1284.068962 -885.236063
691.059766 1283.383782 -885.921236
690.877067 1282.697631 -886.607398
690.694076 1282.010382 -887.294569
690.510854 1281.322267 -887.982719
690.327370 1280.633168 -888.671867
690.143599 1279.942993 -889.362027
689.959563 1279.251819 -890.053191
689.775243 1278.559578 -890.745371
689.557078 1277.740230 -891.455673
689.189535 1276.359871 -892.243445
688.069371 1274.377448 -826.189394
688.579149 1276.287967 -826.642385
688.850306 1277.304194 -827.159990
689.043652 1278.028805 -827.698419
689.206155 1278.637825 -828.244832
689.352984 1279.188104 -828.795088
689.499655 1279.737789 -829.344817
689.646196 1280.286985 -829.894012
689.792605 1280.835692 -830.442676
689.938852 1281.383785 -830.990817
690.084968 1281.931393 -831.538428
690.230956 1282.478516 -832.085510
690.376778 1283.025022 -832.632074
690.522502 1283.571156 -833.178101
690.668034 1284.116575 -833.723622
690.813468 1284.661623 -834.268608
690.958738 1285.206058 -834.813081
691.103876 1285.750000 -835.357032
691.248887 1286.293462 -835.900462
691.393763 1286.836420 -836.443372
691.538478 1287.378777 -836.985773
691.683064 1287.920650 -837.527656
691.827520 1288.462034 -838.069023
691.971847 1289.002935 -838.609874
692.116010 1289.543219 -839.150221
692.260042 1290.083015 -839.690055
692.403971 1290.622425 -840.229368
692.547714 1291.161137 -840.768188
692.691354 1291.699463 -841.306489
692.834863 1292.237297 -841.844282
692.978213 1292.774534 -842.381577
693.121463 1293.311402 -842.918355
693.264549 1293.847649 -843.454639
693.407509 1294.383429 -843.990417
693.550336 1294.918706 -844.525693
693.693032 1295.453495 -845.060467
693.835596 1295.987788 -845.594740
693.978002 1296.521490 -846.128524
694.120306 1297.054808 -846.661798
694.262449 1297.587525 -847.194586
694.404493 1298.119869 -847.726865
694.546377 1298.651613 -848.258660
694.688161 1299.182984 -848.789950
694.829782 1299.713744 -849.320758
694.971276 1300.244028 -849.851072
695.112668 1300.773929 -850.380885
695.253899 1301.303225 -850.910220
695.394999 1301.832034 -851.439065
695.536002 1302.360476 -851.967410
695.676839 1302.888298 -852.495281
695.817552 1303.415655 -853.022665
695.958130 1303.942505 -853.549566
696.098613 1304.468998 -854.075969
696.238931 1304.994876 -854.601903
696.372766 1305.496454 -855.129831
696.492142 1305.943845 -855.662918
696.586272 1306.296623 -856.205503
696.670407 1306.611939 -856.751710
696.725714 1306.819214 -857.309099
696.777210 1307.012208 -857.867842
696.803951 1307.112427 -858.436391
696.825872 1307.194579 -859.006840
696.825871 1307.194578 -859.586173
696.818379 1307.166498 -860.168633
696.790596 1307.062376 -860.759525
696.749687 1306.909060 -861.356022
696.691026 1306.689211 -861.960126
696.606468 1306.372312 -862.575349
696.503413 1305.986088 -863.198754
696.359869 1305.448119 -863.839725
696.190302 1304.812626 -864.492395
696.015326 1304.156861 -865.148156
695.840091 1303.500125 -865.804840
695.664625 1302.842523 -866.462437
695.488936 1302.184084 -867.120947
695.312983 1301.524659 -867.780387
695.136772 1300.864263 -868.440759
694.960299 1300.202890 -869.102065
694.783598 1299.540659 -869.764293
694.606668 1298.877571 -870.427446
694.429474 1298.213492 -871.091542
694.252025 1297.548457 -871.756577
694.074317 1296.882454 -872.422556
693.896375 1296.215572 -873.089470
693.718144 1295.547609 -873.757346
693.539683 1294.878783 -874.426159
693.360994 1294.209101 -875.095911
693.182014 1293.538332 -875.766632
693.002805 1292.866700 -876.438296
692.823333 1292.194086 -877.110921
692.643606 1291.520513 -877.784505
692.463614 1290.845951 -878.459055
692.283363 1290.170415 -879.134571
692.102850 1289.493898 -879.811056
691.922109 1288.816527 -880.488495
691.741076 1288.138064 -881.166922
691.559784 1287.458628 -881.846324
691.378259 1286.778316 -882.526689
691.196446 1286.096928 -883.208047
691.014402 1285.414672 -883.890372
690.832064 1284.731318 -884.573696
690.649470 1284.047000 -885.258004
690.466612 1283.361695 -885.943302
690.283495 1282.675420 -886.629589
690.100113 1281.988152 -887.316871
689.916444 1281.299809 -888.005160
689.732543 1280.610593 -888.694433
689.548351 1279.920287 -889.384720
689.363898 1279.229005 -890.076008
689.179180 1278.536731 -890.768301
688.959098 1277.711920 -891.479457
688.574847 1276.271843 -892.275495
690.835450 1273.643310 -826.189391
691.501024 1276.164190 -826.597317
691.779906 1277.220460 -827.111648
691.977443 1277.968639 -827.647979
692.140555 1278.586430 -828.193383
692.285750 1279.136359 -828.743312
692.430782 1279.685670 -829.292717
692.575716 1280.234613 -829.841580
692.720492 1280.782953 -830.389920
692.865108 1281.330689 -830.937739
693.009625 1281.878054 -831.485018
693.153981 1282.424806 -832.031779
693.298209 1282.971072 -832.578013
693.442274 1283.516721 -833.123731
693.586213 1284.061896 -833.668923
693.730022 1284.606575 -834.213592
693.873701 1285.150760 -834.757738
694.017217 1285.694333 -835.301373
694.160610 1286.237436 -835.844486
694.303870 1286.780035 -836.387082
694.447001 1287.322151 -836.929158
694.590000 1287.863762 -837.470719
694.732844 1288.404786 -838.011773
694.875556 1288.945311 -838.552312
695.018139 1289.485348 -839.092338
695.160594 1290.024901 -839.631851
695.302891 1290.563852 -840.170862
695.445084 1291.102413 -840.709355
695.587119 1291.640373 -841.247348
695.729026 1292.177849 -841.784833
695.870804 1292.714837 -842.321811
696.012454 1293.251342 -842.858282
696.153941 1293.787226 -843.394261
696.295334 1294.322756 -843.929724
696.436564 1294.857669 -844.464696
696.577697 1295.392213 -844.999155
696.718670 1295.926151 -845.533126
696.859511 1296.459592 -846.066597
697.000228 1296.992560 -846.599570
697.140812 1297.525026 -847.132046
697.281268 1298.057005 -847.664026
697.421595 1298.588496 -848.195512
697.561793 1299.119500 -848.726503
697.701863 1299.650018 -849.257002
697.841805 1300.180054 -849.787009
697.981618 1300.709597 -850.316525
698.121268 1301.238526 -850.845564
698.260821 1301.767087 -851.374104
698.400248 1302.295171 -851.902154
698.539543 1302.822753 -852.429720
698.678711 1303.349855 -852.956800
698.817749 1303.876465 -853.483397
698.956629 1304.402475 -854.009522
699.095406 1304.928098 -854.535155
699.230385 1305.439335 -855.061750
699.348441 1305.886475 -855.594525
699.445969 1306.255864 -856.135021
699.529183 1306.571040 -856.680887
699.587713 1306.792722 -857.236383
699.641280 1306.995609 -857.793698
699.668641 1307.099241 -858.361494
699.693812 1307.194575 -858.930133
699.693812 1307.194577 -859.509063
699.690074 1307.180417 -860.089602
699.662614 1307.076413 -860.680063
699.626291 1306.938839 -861.274404
699.568281 1306.719122 -861.878058
699.489608 1306.421148 -862.490731
699.394208 1306.059818 -863.110892
699.252301 1305.522341 -863.751321
699.088865 1304.903324 -864.401635
698.915888 1304.248170 -865.056820
698.742655 1303.592044 -865.712927
698.569196 1302.935064 -866.369944
698.395479 1302.277107 -867.027888
698.221531 1301.618275 -867.686749
698.047331 1300.958486 -868.346538
697.872874 1300.297726 -869.007260
697.698190 1299.636108 -869.668903
697.523248 1298.973512 -870.331483
697.348051 1298.309946 -870.995001
697.172622 1297.645507 -871.659449
696.996940 1296.980106 -872.324838
696.821031 1296.313847 -872.991159
696.644861 1295.646598 -873.658429
696.468438 1294.978394 -874.326646
696.291754 1294.309198 -874.995817
696.114815 1293.639034 -875.665941
695.937647 1292.968007 -876.337007
695.760194 1292.295900 -877.009044
695.582513 1291.622929 -877.682028
695.404575 1290.948984 -878.355974
695.226405 1290.274162 -879.030873
695.047954 1289.598275 -879.706749
694.869240 1288.921392 -880.383597
694.690271 1288.243542 -881.061415
694.511071 1287.564816 -881.740194
694.331586 1286.885012 -882.419962
694.151872 1286.204340 -883.100693
693.971871 1285.522582 -883.782419
693.791611 1284.839845 -884.465127
693.611093 1284.156128 -885.148820
693.430350 1283.471558 -885.833483
693.249316 1282.785890 -886.519151
693.067993 1282.099123 -887.205826
692.886445 1281.411505 -887.893478
692.704636 1280.722901 -888.582127
692.522538 1280.033199 -889.271789
692.340185 1279.342534 -889.962450
692.157573 1278.650884 -890.654113
691.946917 1277.853019 -891.361055
691.632582 1276.662469 -892.122474
692.668937 1276.115116 -826.579426
692.950778 1277.187141 -827.092467
693.149976 1277.944823 -827.627956
693.313267 1278.565925 -828.172972
693.457812 1279.115725 -828.722771
693.602230 1279.665040 -829.272036
693.746489 1280.213752 -829.820777
693.890617 1280.761967 -830.368987
694.034616 1281.309689 -830.916667
694.178458 1281.856815 -831.463826
694.322168 1282.403438 -832.010459
694.465752 1282.949585 -832.556564
694.609176 1283.495120 -833.102152
694.752472 1284.040169 -833.647216
694.895636 1284.584714 -834.191758
695.038676 1285.128789 -834.735776
695.181553 1285.672247 -835.279283
695.324303 1286.215220 -835.822269
695.466921 1286.757689 -836.364738
695.609415 1287.299689 -836.906688
695.751777 1287.841185 -837.448122
695.893981 1288.382078 -837.989050
696.036057 1288.922488 -838.529463
696.178002 1289.462399 -839.069364
696.319792 1290.001717 -839.608761
696.461480 1290.540651 -840.147639
696.603010 1291.078982 -840.686016
696.744443 1291.616944 -841.223874
696.885713 1292.154289 -841.761235
697.026829 1292.691047 -842.298099
697.167843 1293.227416 -842.834448
697.308730 1293.763301 -843.370293
697.449459 1294.298585 -843.905644
697.590089 1294.833495 -844.440482
697.730561 1295.367803 -844.974830
697.870933 1295.901728 -845.508668
698.011150 1296.435066 -846.042016
698.151234 1296.967896 -846.574868
698.291191 1297.500245 -847.107223
698.431019 1298.032106 -847.639082
698.570720 1298.563479 -848.170446
698.710290 1299.094356 -848.701317
698.849735 1299.624756 -849.231696
698.989017 1300.154540 -849.761595
699.128206 1300.683965 -850.290991
699.267264 1301.212894 -850.819899
699.406193 1301.741331 -851.348319
699.544993 1302.269281 -851.876252
699.683667 1302.796751 -852.403699
699.822212 1303.323728 -852.930661
699.960600 1303.850106 -853.457151
700.098885 1304.376096 -853.983147
700.237046 1304.901614 -854.508661
700.372445 1305.416624 -855.034734
700.489971 1305.863653 -855.567386
700.588848 1306.239750 -856.107042
700.671680 1306.554813 -856.652778
700.731471 1306.782236 -857.207521
700.784775 1306.984989 -857.764702
700.813432 1307.093988 -858.331773
700.839748 1307.194087 -858.899744
700.839880 1307.194587 -859.478461
700.837632 1307.186039 -860.058228
700.810255 1307.081903 -860.648538
700.775723 1306.950557 -861.242027
700.717990 1306.730961 -861.845493
700.641642 1306.440557 -862.457149
700.547608 1306.082885 -863.076719
700.407971 1305.551754 -863.716246
700.246962 1304.939330 -864.365620
700.074783 1304.284421 -865.020575
699.902348 1303.628539 -865.676453
699.729688 1302.971797 -866.333241
699.556772 1302.314083 -866.990954
699.383600 1301.655397 -867.649596
699.210202 1300.995852 -868.309154
699.036548 1300.335328 -868.969644
698.862669 1299.673952 -869.631055
698.688533 1299.011599 -870.293402
698.514142 1298.348274 -870.956688
698.339523 1297.684085 -871.620900
698.164649 1297.018925 -872.286056
697.989521 1296.352795 -872.952155
697.814161 1295.685786 -873.619190
697.638550 1295.017822 -874.287171
697.462682 1294.348882 -874.956103
697.286556 1293.678958 -875.625991
697.110207 1293.008185 -876.296818
696.933597 1292.336422 -876.968604
696.756732 1291.663690 -877.641350
696.579582 1290.989871 -878.315071
696.402235 1290.315302 -878.989729
696.224603 1289.639653 -879.665365
696.046710 1288.963007 -880.341973
695.868566 1288.285409 -881.019549
695.690192 1287.606935 -881.698085
695.511530 1286.927368 -882.377610
695.332644 1286.246946 -883.058097
695.153469 1285.565425 -883.739580
694.974040 1284.882938 -884.422043
694.794353 1284.199471 -885.105490
694.614409 1283.515024 -885.789924
694.434235 1282.829703 -886.475332
694.253750 1282.143200 -887.161758
694.073033 1281.455815 -887.849165
693.892057 1280.767445 -888.537567
693.710800 1280.078005 -889.226978
693.529284 1279.387581 -889.917391
693.347509 1278.696171 -890.608806
693.140572 1277.909053 -891.314069
692.836428 1276.752194 -892.070659
695.586555 1275.993164 -826.535058
695.875683 1277.104734 -827.044872
696.078797 1277.885619 -827.578299
696.242604 1278.515384 -828.122320
696.385515 1279.064814 -828.671800
696.528303 1279.613772 -829.220745
696.670932 1280.162117 -829.769167
696.813463 1280.710085 -830.317051
696.955834 1281.257438 -830.864414
697.098052 1281.804207 -831.411257
697.240170 1282.350586 -831.957564
697.382131 1282.896365 -832.503354
697.523965 1283.441654 -833.048619
697.665639 1283.986330 -833.593370
697.807217 1284.530634 -834.137589
697.948638 1285.074335 -834.681296
698.089902 1285.617433 -835.224492
698.231069 1286.160159 -835.767158
698.372076 1286.702268 -836.309317
698.512990 1287.244021 -836.850948
698.653714 1287.785042 -837.392083
698.794342 1288.325693 -837.932693
698.934838 1288.865840 -838.472791
699.075181 1289.405399 -839.012385
699.215395 1289.944459 -839.551468
699.355482 1290.483030 -840.090041
699.495441 1291.021112 -840.628104
699.635275 1291.558711 -841.165659
699.774952 1292.095708 -841.702716
699.914527 1292.632315 -842.239259
700.053950 1293.168334 -842.775306
700.193243 1293.703856 -843.310850
700.332410 1294.238889 -843.845892
700.471449 1294.773434 -844.380431
700.610361 1295.307491 -844.914471
700.749148 1295.841065 -845.448010
700.887773 1296.374018 -845.981064
701.026306 1296.906616 -846.513607
701.164709 1297.438712 -847.045656
701.302958 1297.970221 -847.577220
701.441107 1298.501342 -848.108280
701.579099 1299.031861 -848.638858
701.716965 1299.561893 -849.168944
701.854733 1300.091552 -849.698528
701.992345 1300.620609 -850.227634
702.129857 1301.149284 -850.756241
702.267216 1301.677368 -851.284371
702.404448 1302.204965 -851.812014
702.541579 1302.732173 -852.339162
702.678558 1303.258796 -852.865836
702.815436 1303.785031 -853.392016
702.952157 1304.310667 -853.917726
703.088786 1304.835944 -854.442942
703.225220 1305.360473 -854.967705
703.341401 1305.807137 -855.500062
703.443510 1306.199699 -856.037653
703.525398 1306.514524 -856.583064
703.588266 1306.756224 -857.135936
703.640975 1306.958868 -857.692762
703.672726 1307.080934 -858.258059
703.698760 1307.181025 -858.825650
703.702284 1307.194574 -859.402565
703.702284 1307.194575 -859.981005
703.676568 1307.095707 -860.570329
703.646435 1306.979857 -861.161699
703.589347 1306.760380 -861.764724
703.518669 1306.488653 -862.373869
703.425700 1306.131229 -862.992960
703.293961 1305.624750 -863.629254
703.138919 1305.028685 -864.276297
702.968701 1304.374268 -864.930698
702.798260 1303.719000 -865.586006
702.627563 1303.062743 -866.242237
702.456647 1302.405647 -866.899378
702.285473 1301.747557 -867.557448
702.114049 1301.088509 -868.216445
701.942398 1300.428587 -868.876361
701.770528 1299.767820 -869.537194
701.598403 1299.106074 -870.198964
701.426025 1298.443357 -870.861669
701.253394 1297.779668 -871.525314
701.080536 1297.115105 -872.189889
700.907428 1296.449580 -872.855405
700.734067 1295.783084 -873.521866
700.560481 1295.115723 -874.189262
700.386643 1294.447392 -874.857607
700.212547 1293.778069 -875.526906
700.038202 1293.107791 -876.197157
699.863633 1292.436650 -876.868351
699.688806 1291.764517 -877.540505
699.513702 1291.091318 -878.213631
699.338369 1290.417240 -878.887707
699.162812 1289.742300 -879.562734
698.986972 1289.066272 -880.238743
698.810880 1288.389276 -880.915720
698.634533 1287.711298 -881.593669
698.457934 1287.032353 -882.272591
698.281111 1286.352546 -882.952473
698.103999 1285.671631 -883.633351
697.926637 1284.989749 -884.315208
697.749048 1284.306999 -884.998034
697.571177 1283.623163 -885.681858
697.393053 1282.938354 -886.366668
697.214672 1282.252558 -887.052470
697.036009 1281.565677 -887.739276
696.857120 1280.877929 -888.427062
696.677949 1280.189096 -889.115858
696.498550 1279.499383 -889.805639
696.318868 1278.808585 -890.496434
696.120994 1278.047847 -891.197577
695.841867 1276.974726 -891.942176
689.728771 1273.936033 -826.189397
690.332661 1276.213617 -826.615279
690.608457 1277.253785 -827.130925
690.804371 1277.992678 -827.668083
690.967237 1278.606932 -828.213892
691.113081 1279.156985 -828.763953
691.258794 1279.706542 -829.313480
691.404346 1280.255496 -829.862483
691.549766 1280.803950 -830.410954
691.695060 1281.351929 -830.958893
691.840192 1281.899299 -831.506312
691.985194 1282.446175 -832.053203
692.130064 1282.992556 -832.599567
692.274805 1283.538447 -833.145404
692.419386 1284.083736 -833.690726
692.563838 1284.628540 -834.235523
692.708158 1285.172845 -834.779798
692.852318 1285.716548 -835.323561
692.996348 1286.259761 -835.866802
693.140250 1286.802491 -836.409525
693.284020 1287.344721 -836.951729
693.427664 1287.886478 -837.493415
693.571145 1288.427617 -838.034596
693.714493 1288.968258 -838.575262
693.857716 1289.508425 -839.115413
