X Y Z
615.435101 1325.714605 -804.902715
615.835323 1327.208253 -805.406745
616.083745 1328.135377 -805.945038
616.272147 1328.838504 -806.496649
616.432711 1329.437736 -807.054210
616.592463 1330.033937 -807.611335
616.752081 1330.629638 -808.167863
616.911502 1331.224608 -808.723810
617.070759 1331.818964 -809.279170
617.229856 1332.412722 -809.833943
617.388788 1333.005862 -810.388132
617.547555 1333.598388 -810.941737
617.706126 1334.190184 -811.494769
617.864566 1334.781491 -812.047212
618.022813 1335.372076 -812.599083
618.180923 1335.962153 -813.150368
618.338843 1336.551518 -813.701084
618.496630 1337.140384 -814.251217
618.654220 1337.728520 -814.800784
618.811645 1338.316039 -815.349779
618.968941 1338.903074 -815.898193
619.126041 1339.489379 -816.446046
619.282976 1340.075067 -816.993330
619.439781 1340.660272 -817.540037
619.596390 1341.244747 -818.086186
619.752839 1341.828621 -818.631770
619.909150 1342.411981 -819.176783
620.065268 1342.994622 -819.721242
620.221257 1343.576781 -820.265130
620.377050 1344.158209 -820.808467
620.532709 1344.739136 -821.351237
620.688208 1345.319466 -821.893449
620.843541 1345.899176 -822.435106
620.998710 1346.478275 -822.976207
621.153718 1347.056773 -823.516755
621.308590 1347.634765 -824.056742
621.463269 1348.212033 -824.596188
621.617817 1348.788814 -825.135074
621.772204 1349.364994 -825.673411
621.926427 1349.940560 -826.211201
622.080484 1350.515511 -826.748445
622.234406 1351.089956 -827.285137
622.388173 1351.663821 -827.821282
622.541771 1352.237056 -828.356887
622.695207 1352.809687 -828.891951
622.848483 1353.381723 -829.426474
623.001620 1353.953238 -829.960451
623.154601 1354.524170 -830.493889
623.307417 1355.094487 -831.026792
623.460068 1355.664190 -831.559160
623.612588 1356.233402 -832.090985
623.764945 1356.802006 -832.622277
623.902582 1357.315675 -833.158012
624.028314 1357.784913 -833.697315
624.120717 1358.129763 -834.247671
624.200819 1358.428710 -834.801973
624.261823 1358.656378 -835.362681
624.307254 1358.825929 -835.928673
624.339963 1358.948000 -836.499037
624.355010 1359.004158 -837.075616
624.360470 1359.024536 -837.655626
624.345327 1358.968020 -838.243102
624.322887 1358.884272 -838.833347
624.273399 1358.699581 -839.433613
624.215376 1358.483035 -840.037279
624.126342 1358.150756 -840.652694
624.011699 1357.722903 -841.278049
623.871115 1357.198236 -841.913632
623.706754 1356.584833 -842.558794
623.542167 1355.970586 -843.204796
623.377380 1355.355592 -843.851631
623.212366 1354.739754 -844.499309
623.047155 1354.123175 -845.147823
622.881713 1353.505738 -845.797187
622.716075 1352.887570 -846.447388
622.550212 1352.268559 -847.098441
622.384149 1351.648802 -847.750337
622.217857 1351.028194 -848.403088
622.051338 1350.406736 -849.056698
621.884589 1349.784421 -849.711167
621.717646 1349.161382 -850.366485
621.550472 1348.537479 -851.022667
621.383102 1347.912847 -851.679702
621.215469 1347.287231 -852.337618
621.047643 1346.660895 -852.996389
620.879584 1346.033693 -853.656033
620.711329 1345.405756 -854.316537
620.542849 1344.776978 -854.977914
620.374107 1344.147225 -855.640182
620.205168 1343.516736 -856.303316
620.035996 1342.885378 -856.967332
619.866631 1342.253299 -857.632216
619.697005 1341.620246 -858.297998
619.527178 1340.986445 -858.964655
619.357097 1340.351691 -859.632212
619.186814 1339.716189 -860.300647
619.016303 1339.079833 -860.969974
618.845531 1338.442503 -861.640210
618.674563 1337.804441 -862.311327
618.503366 1337.165526 -862.983343
618.331939 1336.525750 -863.656260
618.160255 1335.885018 -864.330091
617.988367 1335.243523 -865.004816
617.816255 1334.601191 -865.680444
617.643880 1333.957880 -866.356996
617.471312 1333.313845 -867.034442
617.298477 1332.668818 -867.712816
617.125418 1332.022953 -868.392103
616.952128 1331.376224 -869.072307
616.758035 1330.651861 -869.762935
616.487468 1329.642092 -870.489964
616.559990 1325.458375 -804.900127
617.009966 1327.144772 -805.392056
617.265523 1328.102534 -805.928293
617.453071 1328.805417 -806.479784
617.615929 1329.415765 -807.036491
617.774977 1330.011836 -807.593481
617.933895 1330.607421 -808.149873
618.092615 1331.202264 -808.705685
618.251175 1331.796504 -809.260910
618.409570 1332.390130 -809.815549
618.567775 1332.983040 -810.369611
618.725842 1333.575435 -810.923083
618.883719 1334.167119 -811.475981
