X Y Z
-1058.413950 -1224.938353 -781.718920
-1058.019150 -1222.264773 -782.362790
-1057.825949 -1220.956418 -782.970112
-1057.678445 -1219.957523 -783.568538
-1057.570560 -1219.226928 -784.159545
-1057.485335 -1218.649783 -784.746212
-1057.403282 -1218.094122 -785.331752
-1057.345076 -1217.699953 -785.913137
-1057.286923 -1217.306144 -786.494069
-1057.228826 -1216.912710 -787.074549
-1057.189621 -1216.647210 -787.651997
-1057.151605 -1216.389771 -788.228983
-1057.113625 -1216.132572 -788.805671
-1057.083108 -1215.925907 -789.381126
-1057.062431 -1215.785881 -789.955141
-1057.046532 -1215.678219 -790.528425
-1057.030634 -1215.570558 -791.101580
-1057.026541 -1215.542839 -791.673295
-1057.028274 -1215.554573 -792.244345
-1057.029986 -1215.566168 -792.815399
-1057.031699 -1215.577764 -793.386457
-1057.047488 -1215.684692 -793.956163
-1057.066397 -1215.812745 -794.525688
-1057.085307 -1215.940799 -795.095345
-1057.106037 -1216.081183 -795.664979
-1057.143096 -1216.332149 -796.233428
-1057.180194 -1216.583372 -796.802141
-1057.217309 -1216.834714 -797.371121
-1057.268377 -1217.180550 -797.939387
-1057.326346 -1217.573112 -798.507565
-1057.384335 -1217.965812 -799.076166
-1057.459394 -1218.474115 -799.644178
-1057.543576 -1219.044190 -800.212235
-1057.632713 -1219.647824 -800.780653
-1057.753522 -1220.465945 -801.348201
-1057.883938 -1221.349117 -801.916214
-1057.178751 -1224.201655 -781.165915
-1056.941964 -1222.586433 -781.783554
-1056.762529 -1221.362433 -782.389567
-1056.640804 -1220.532096 -782.984536
-1056.519261 -1219.703007 -783.578551
-1056.433722 -1219.119505 -784.165868
-1056.350008 -1218.548457 -784.752247
-1056.273150 -1218.024177 -785.336937
-1056.215382 -1217.630119 -785.918192
-1056.157672 -1217.236456 -786.498993
-1056.102356 -1216.859121 -787.079011
-1056.064615 -1216.601678 -787.656178
-1056.026892 -1216.344355 -788.233048
-1055.989187 -1216.087151 -788.809622
-1055.961843 -1215.900627 -789.384589
-1055.940872 -1215.757575 -789.958556
-1055.919916 -1215.614625 -790.532354
-1055.898960 -1215.471675 -791.105984
-1055.891212 -1215.418826 -791.677970
-1055.885360 -1215.378908 -792.249682
