X Y Z
722.765543 848.653207 1294.832071
723.192802 850.251106 1294.111998
723.431120 851.142386 1293.449684
723.615245 851.830993 1292.804345
723.784924 852.465572 1292.164044
723.954379 853.099314 1291.524571
724.123615 853.732238 1290.885922
724.292645 854.364388 1290.248093
724.461440 854.995663 1289.611089
724.630027 855.626157 1288.974901
724.798402 856.255863 1288.339528
724.966563 856.884764 1287.704969
725.134500 857.512828 1287.071226
725.302221 858.140087 1286.438293
725.469728 858.766541 1285.806170
725.637026 859.392215 1285.174852
725.804112 860.017099 1284.544338
725.970983 860.641178 1283.914629
726.137642 861.264460 1283.285720
726.304091 861.886960 1282.657611
726.470329 862.508671 1282.030298
726.636351 863.129576 1281.403783
726.802165 863.749699 1280.778060
726.967765 864.369024 1280.153131
727.133169 864.987616 1279.528988
727.298343 865.605346 1278.905638
727.463322 866.222349 1278.283072
727.628107 866.838627 1277.661286
727.792662 867.454041 1277.040288
727.957022 868.068730 1276.420068
728.121167 868.682612 1275.800629
728.285102 869.295711 1275.181968
728.448843 869.908083 1274.564080
728.612369 870.519649 1273.946967
728.775702 871.130495 1273.330623
728.938836 871.740600 1272.715047
729.101744 872.349855 1272.100245
729.264471 872.958434 1271.486204
729.426988 873.566227 1270.872929
729.589290 874.173221 1270.260420
729.751412 874.779538 1269.648666
729.913324 875.385070 1269.037674
730.075022 875.989802 1268.427441
730.236541 876.593862 1267.817960
730.397850 877.197138 1267.209234
730.558962 877.799679 1266.601260
730.713907 878.379157 1265.995250
730.847650 878.879337 1265.394191
730.946727 879.249874 1264.800629
731.031235 879.565925 1264.210387
731.087751 879.777288 1263.625988
731.132565 879.944888 1263.044115
731.159687 880.046321 1262.465836
731.172943 880.095897 1261.890317
731.172942 880.095893 1261.317357
731.157518 880.038209 1260.747272
731.130836 879.938422 1260.179205
731.085678 879.769536 1259.614386
731.031020 879.565119 1259.051099
730.950793 879.265081 1258.492112
730.860901 878.928896 1257.934498
730.737144 878.466060 1257.382355
730.600205 877.953924 1256.831958
730.453371 877.404783 1256.282672
730.306394 876.855105 1255.732821
730.159267 876.304865 1255.182404
730.011978 875.754022 1254.631423
729.864546 875.202643 1254.079871
729.716963 874.650702 1253.527751
729.569231 874.098200 1252.975059
729.421339 873.545103 1252.421797
729.273286 872.991404 1251.867964
729.125099 872.437199 1251.313554
728.976748 871.882386 1250.758570
728.828236 871.326968 1250.203010
728.679576 870.770994 1249.646872
728.530769 870.214474 1249.090155
728.381798 869.657343 1248.532858
728.232667 869.099609 1247.974980
728.083387 868.541318 1247.416519
727.933961 867.982484 1246.857473
727.784355 867.422975 1246.297845
727.634615 866.862966 1245.737628
727.484700 866.302300 1245.176825
727.334640 865.741092 1244.615433
727.184415 865.179269 1244.053450
727.034041 864.616888 1243.490876
726.883502 864.053889 1242.927710
726.732803 863.490293 1242.363950
726.581943 862.926095 1241.799595
726.430930 862.361323 1241.234643
726.279760 861.795967 1240.669093
726.128422 861.229980 1240.102945
725.976923 860.663391 1239.536197
725.825275 860.096247 1238.968846
725.673452 859.528445 1238.400893
725.521479 858.960086 1237.832336
725.369342 858.391108 1237.263173
725.217029 857.821477 1236.693405
725.064566 857.251284 1236.123027
724.911940 856.680478 1235.552041
724.759152 856.109070 1234.980443
724.606200 855.537049 1234.408234
724.453083 854.964410 1233.835411
724.299792 854.391117 1233.261975
724.146350 853.817265 1232.687922
723.992729 853.242738 1232.113252
723.838959 852.667655 1231.537963
723.685012 852.091915 1230.962055
723.530902 851.515560 1230.385525
723.350908 850.842402 1229.810151
723.114122 849.956853 1229.237840
722.734385 848.536680 1228.673831
723.353641 848.645443 1294.820887
723.779694 850.242183 1294.101003
724.017353 851.132867 1293.438824
724.201043 851.821291 1292.793584
724.370352 852.455817 1292.153371
724.539429 853.089474 1291.513988
724.708298 853.722350 1290.875427
724.876939 854.354375 1290.237691
725.045363 854.985588 1289.600775
725.213580 855.616020 1288.964675
