X Y Z
918.099648 -1350.082041 -63.382677
918.099648 -1351.225114 -63.382677
918.099648 -1352.368180 -63.382677
918.099648 -1353.511240 -63.382677
918.099648 -1354.654297 -63.382677
918.099648 -1355.797354 -63.382677
920.499614 -1350.093192 -60.982718
920.499614 -1351.233478 -60.982714
920.499614 -1352.373755 -60.982714
920.499614 -1353.514027 -60.982714
920.499614 -1354.654297 -60.982714
920.499614 -1355.794566 -60.982714
921.695215 -1350.098740 -59.787123
921.695215 -1351.237638 -59.787119
921.695215 -1352.376529 -59.787119
921.695215 -1353.515414 -59.787119
921.695215 -1354.654297 -59.787119
921.695215 -1355.793180 -59.787119
924.860996 -1306.703973 -61.876650
924.931837 -1307.891368 -60.883508
924.996804 -1309.072919 -59.972721
925.061652 -1310.252312 -59.063599
925.126381 -1311.429557 -58.156130
925.138393 -1312.575045 -57.987740
925.074265 -1313.678361 -58.886760
925.010033 -1314.783478 -59.787257
924.945696 -1315.890404 -60.689223
924.892657 -1317.004872 -61.432794
924.817717 -1318.110204 -62.483400
924.287673 -1346.606888 -69.914269
924.311980 -1347.758771 -69.573504
924.311932 -1348.908046 -69.574164
925.264650 -1350.115272 -56.217694
925.264650 -1351.250038 -56.217694
925.264650 -1352.384795 -56.217690
925.264651 -1353.519547 -56.217686
925.264651 -1354.654297 -56.217686
925.264651 -1355.789046 -56.217686
919.301096 -1350.087626 -62.181233
919.301096 -1351.229303 -62.181233
919.301096 -1352.370972 -62.181233
919.301096 -1353.512636 -62.181233
919.301096 -1354.654297 -62.181233
919.301096 -1355.795958 -62.181233
925.807305 -1296.287698 -64.160452
925.945524 -1297.541179 -62.193695
926.036190 -1298.754246 -60.903578
926.111391 -1299.952906 -59.833517
926.175312 -1301.140920 -58.923966
926.239117 -1302.326747 -58.016076
926.302803 -1303.510394 -57.109868
926.361069 -1304.688266 -56.280785
926.415710 -1305.861810 -55.503284
926.463882 -1307.029353 -54.817825
926.498386 -1308.186638 -54.326864
926.531531 -1309.341908 -53.855222
926.564644 -1310.496026 -53.384055
926.597724 -1311.648998 -52.913348
926.592091 -1312.778724 -52.993501
926.559260 -1313.893406 -53.460661
926.526403 -1315.008992 -53.928200
926.495342 -1316.126445 -54.370172
926.462978 -1317.244103 -54.830681
926.411993 -1318.353473 -55.556167
926.349134 -1319.458649 -56.450602
926.286173 -1320.565639 -57.346494
926.223108 -1321.674447 -58.243872
926.165428 -1322.787455 -59.064618
926.119026 -1323.906873 -59.724881
926.071130 -1325.027052 -60.406407
925.988308 -1326.135161 -61.584899
925.902377 -1327.244610 -62.807645
925.465692 -1346.614265 -69.021362
925.484928 -1347.764658 -68.747643
925.484304 -1348.912907 -68.756515
926.448716 -1350.120747 -55.033629
926.448716 -1351.254143 -55.033629
926.448716 -1352.387532 -55.033625
926.448716 -1353.520916 -55.033622
926.448716 -1354.654297 -55.033622
926.448716 -1355.787678 -55.033622
925.267025 -1356.957542 -71.848243
925.256747 -1358.109647 -71.994490
925.256747 -1359.261442 -71.994490
925.256747 -1360.413249 -71.994489
925.256747 -1361.565069 -71.994490
925.256747 -1362.716905 -71.994490
925.261391 -1363.868187 -71.928419
925.261391 -1365.019992 -71.928420
925.261391 -1366.171821 -71.928420
925.261391 -1367.323678 -71.928420
925.261391 -1368.475564 -71.928420
925.256747 -1369.628414 -71.994490
925.256747 -1370.780439 -71.994489
925.208218 -1371.943739 -72.685022
922.887913 -1350.104269 -58.594423
922.887913 -1351.241785 -58.594419
922.887913 -1352.379294 -58.594420
922.887913 -1353.516797 -58.594419
922.887913 -1354.654297 -58.594419
922.887913 -1355.791797 -58.594419
929.966957 -1291.320557 -51.750266
930.066486 -1292.542771 -50.267433
930.098311 -1293.702470 -49.793297
930.129473 -1294.860425 -49.329027
930.160360 -1296.016999 -48.868861
930.186319 -1297.168367 -48.482121
930.208579 -1298.315769 -48.150475
930.230822 -1299.462303 -47.819085
930.253049 -1300.607974 -47.487939
930.275259 -1301.752785 -47.157045
930.297453 -1302.896740 -46.826399
930.319629 -1304.039842 -46.496000
930.341790 -1305.182096 -46.165842
930.363934 -1306.323504 -45.835929
930.386062 -1307.464071 -45.506263
930.408173 -1308.603799 -45.176838
930.430268 -1309.742693 -44.847651
930.452347 -1310.880756 -44.518709
930.474411 -1312.017992 -44.190003
930.457865 -1313.131319 -44.436506
930.437324 -1314.242759 -44.742541
930.416771 -1315.354763 -45.048735
930.396209 -1316.467334 -45.355080
930.375636 -1317.580476 -45.661582
930.355053 -1318.694191 -45.968239
930.334459 -1319.808482 -46.275058
930.312346 -1320.922621 -46.604510
930.289574 -1322.037087 -46.943772
930.266790 -1323.152208 -47.283230
930.243991 -1324.267986 -47.622890
930.221179 -1325.384425 -47.962753
930.198354 -1326.501527 -48.302816
930.174583 -1327.618935 -48.656962
930.146632 -1328.735494 -49.073389
930.115548 -1329.851782 -49.536491
930.086219 -1330.969613 -49.973448
930.049226 -1332.085860 -50.524581
929.927569 -1333.177254 -52.337091
929.529789 -1334.192213 -58.263374
928.872706 -1346.623353 -68.052881
928.887245 -1347.772075 -67.836279
928.887025 -1348.919119 -67.839554
929.983856 -1350.137061 -51.498495
929.983856 -1351.266379 -51.498495
929.983856 -1352.395690 -51.498495
929.983856 -1353.524995 -51.498491
929.983857 -1354.654297 -51.498487
929.983857 -1355.783599 -51.498484
928.733950 -1356.953296 -70.120125
928.728684 -1358.103058 -70.198584
928.728684 -1359.252657 -70.198585
928.728684 -1360.402267 -70.198584
928.728684 -1361.551891 -70.198584
928.728684 -1362.701531 -70.198585
928.730550 -1363.850949 -70.170785
928.730550 -1365.000599 -70.170785
928.730550 -1366.150273 -70.170785
928.730550 -1367.299974 -70.170785
928.730550 -1368.449705 -70.170785
928.728684 -1369.599860 -70.198584
928.728684 -1370.749689 -70.198584
928.707164 -1371.904771 -70.519204
928.628177 -1373.075447 -71.695976
928.533101 -1291.014400 -56.710893
928.732477 -1292.328207 -53.786340
928.769171 -1293.495576 -53.248099
928.801035 -1294.657553 -52.780703
928.832866 -1295.818346 -52.313783
928.864665 -1296.977957 -51.847341
928.896432 -1298.136393 -51.381369
928.928167 -1299.293657 -50.915865
928.959869 -1300.449753 -50.450841
928.991540 -1301.604688 -49.986270
929.023179 -1302.758464 -49.522176
929.054786 -1303.911086 -49.058536
929.086362 -1305.062559 -48.595370
929.117441 -1306.212568 -48.139491
929.141029 -1307.356464 -47.793483
929.163588 -1308.498825 -47.462581
929.186130 -1309.640348 -47.131913
