X Y Z
115.000000 100.000000 3086.000000
114.999110 100.283024 3087.000000
114.996440 100.566038 3087.000000
114.991990 100.849029 3087.000000
114.985760 101.131986 3089.000000
114.977751 101.414899 3086.000000
114.967962 101.697755 3086.000000
114.956395 101.980545 3084.000000
114.943049 102.263256 3088.000000
114.927926 102.545877 3088.000000
114.911025 102.828398 3090.000000
114.892348 103.110807 3089.000000
114.871895 103.393093 3090.000000
114.849666 103.675245 3085.000000
114.825664 103.957251 3082.000000
114.799889 104.239101 3082.000000
114.772341 104.520783 3088.000000
114.743022 104.802286 3087.000000
114.711934 105.083599 3087.000000
114.679076 105.364711 3084.000000
114.644452 105.645611 3085.000000
114.608061 105.926288 3085.000000
114.569906 106.206730 3087.000000
114.529987 106.486927 3087.000000
114.488308 106.766867 3088.000000
114.444868 107.046539 3089.000000
114.399670 107.325933 3092.000000
114.352716 107.605037 3092.000000
114.304007 107.883840 3089.000000
114.253546 108.162331 3094.000000
114.201334 108.440499 3094.000000
114.147374 108.718334 3090.000000
114.091668 108.995823 3088.000000
114.034217 109.272957 3088.000000
113.975024 109.549724 3089.000000
113.914092 109.826113 3087.000000
113.851423 110.102113 3087.000000
113.787019 110.377714 3089.000000
113.720883 110.652904 3089.000000
113.653018 110.927673 3089.000000
113.583425 111.202010 3085.000000
113.512109 111.475903 3082.000000
113.439072 111.749343 3082.000000
113.364316 112.022318 3082.000000
113.287844 112.294817 3082.000000
113.209661 112.566830 3082.000000
113.129768 112.838345 3086.000000
113.048169 113.109353 3092.000000
112.964867 113.379843 3092.000000
112.879866 113.649803 3096.000000
112.793168 113.919223 3095.000000
112.704778 114.188092 3095.000000
112.614698 114.456400 3092.000000
112.522933 114.724137 3090.000000
112.429485 114.991291 3090.000000
112.334359 115.257852 3091.000000
112.237559 115.523809 3091.000000
112.139087 115.789152 3091.000000
112.038949 116.053871 3084.000000
111.937148 116.317955 3085.000000
111.833688 116.581393 3085.000000
111.728573 116.844175 3098.000000
111.621807 117.106291 3099.000000
111.513395 117.367730 3100.000000
111.403341 117.628482 3094.000000
111.291648 117.888537 3095.000000
111.178323 118.147885 3095.000000
111.063369 118.406514 3104.000000
110.946790 118.664415 3112.000000
110.828591 118.921578 3113.000000
110.708778 119.177993 3141.000000
110.587354 119.433648 3155.000000
110.464325 119.688535 3157.000000
110.339695 119.942644 1137.000000
110.213469 120.195963 1130.000000
110.085652 120.448484 1130.000000
109.956250 120.700195 1141.000000
109.825267 120.951088 1152.000000
109.692709 121.201152 1152.000000
109.558581 121.450377 1143.000000
109.422888 121.698754 1147.000000
109.285635 121.946272 1147.000000
109.146828 122.192923 1147.000000
109.006473 122.438695 1152.000000
108.864575 122.683580 1152.000000
108.721140 122.927568 1141.000000
108.576172 123.170648 1150.000000
108.429679 123.412812 1150.000000
108.281666 123.654050 1145.000000
108.132138 123.894352 1156.000000
107.981102 124.133709 1156.000000
107.828563 124.372111 1147.000000
107.674528 124.609549 1161.000000
107.519003 124.846014 1165.000000
107.361994 125.081496 -579.000000
107.203506 125.315986 -1367.000000
107.043547 125.549474 -1366.000000
106.882123 125.781951 -1342.000000
106.719239 126.013409 -1351.000000
106.554904 126.243838 -1351.000000
106.389122 126.473228 -1342.000000
106.221900 126.701572 -1339.000000
106.053246 126.928859 -1340.000000
105.883166 127.155081 -1345.000000
105.711666 127.380228 -1344.000000
105.538754 127.604293 -1343.000000
105.364435 127.827266 -1339.000000
105.188718 128.049138 -1337.000000
105.011609 128.269900 -1337.000000
104.833115 128.489544 -1337.000000
104.653243 128.708061 -1333.000000
104.472000 128.925442 -1333.000000
104.289393 129.141680 -1343.000000
104.105431 129.356764 -1340.000000
103.920119 129.570687 -1340.000000
103.733465 129.783441 -1344.000000
103.545477 129.995016 -1340.000000
103.356162 130.205405 -1340.000000
103.165527 130.414599 -1357.000000
102.973580 130.622590 -1363.000000
102.780330 130.829369 -1363.000000
102.585782 131.034929 -1348.000000
102.389945 131.239261 -1351.000000
102.192827 131.442358 -1349.000000
101.994436 131.644211 -1325.000000
101.794779 131.844812 -1315.000000
101.593864 132.044153 -1314.000000
101.391700 132.242227 nan
101.188294 132.439025 nan
100.983654 132.634540 nan
100.777788 132.828764 nan
100.570705 133.021690 nan
100.362413 133.213309 nan
100.152919 133.403614 1140.000000
99.942233 133.592598 1138.000000
99.730363 133.780254 1138.000000
99.517316 133.966573 1142.000000
99.303102 134.151548 1129.000000
99.087728 134.335173 1129.000000
98.871204 134.517439 1153.000000
98.653538 134.698340 1161.000000
98.434738 134.877868 1161.000000
98.214814 135.056016 1152.000000
97.993773 135.232778 1154.000000
97.771625 135.408146 1155.000000
97.548379 135.582114 1146.000000
97.324043 135.754674 1138.000000
97.098626 135.925819 1138.000000
96.872137 136.095544 1151.000000
96.644585 136.263840 1146.000000
96.415979 136.430702 1146.000000
96.186328 136.596123 1154.000000
95.955641 136.760097 1159.000000
95.723927 136.922616 1160.000000
95.491196 137.083675 1204.000000
95.257457 137.243266 1224.000000
95.022718 137.401385 1225.000000
