X Y Z
142.000000 100.000000 -393.000000
141.998576 100.452839 -482.000000
141.994304 100.905660 -534.000000
141.987184 101.358446 -533.000000
141.977216 101.811178 -536.000000
141.964401 102.263838 -542.000000
141.948740 102.716408 -532.000000
141.930232 103.168871 -535.000000
141.908879 103.621209 -535.000000
141.884681 104.073404 -535.000000
141.857640 104.525437 -542.000000
141.827756 104.977291 -527.000000
141.795031 105.428949 -539.000000
141.759466 105.880391 -535.000000
141.721063 106.331601 -534.000000
141.679822 106.782561 -541.000000
141.635746 107.233252 -531.000000
141.588836 107.683658 -534.000000
141.539094 108.133759 -530.000000
141.486522 108.583538 -533.000000
141.431123 109.032978 -537.000000
141.372898 109.482061 -530.000000
141.311849 109.930768 -532.000000
141.247980 110.379083 -536.000000
141.181292 110.826987 -531.000000
141.111789 111.274463 -540.000000
141.039472 111.721493 -538.000000
140.964346 112.168059 -536.000000
140.886412 112.614144 -537.000000
140.805674 113.059730 -533.000000
140.722135 113.504799 -536.000000
140.635799 113.949334 -539.000000
140.546668 114.393317 -541.000000
140.454747 114.836731 -540.000000
140.360039 115.279558 -533.000000
140.262548 115.721781 -528.000000
140.162277 116.163381 -498.000000
140.059231 116.604343 -441.000000
139.953413 117.044647 -366.000000
139.844828 117.484277 -316.000000
139.733481 117.923216 -253.000000
139.619375 118.361446 -3210.000000
139.502515 118.798949 -3242.000000
139.382905 119.235708 -3356.000000
139.260551 119.671707 -3363.000000
139.135457 120.106928 -3345.000000
139.007629 120.541353 -3326.000000
138.877070 120.974965 -3310.000000
138.743787 121.407748 -3309.000000
138.607785 121.839684 -3305.000000
138.469069 122.270756 -3299.000000
138.327644 122.700948 -3295.000000
138.183517 123.130241 -3298.000000
138.036692 123.558619 -3297.000000
137.887176 123.986065 -3294.000000
137.734975 124.412563 -3295.000000
137.580094 124.838094 -3295.000000
137.422540 125.262644 -3314.000000
137.262318 125.686194 -3313.000000
137.099436 126.108727 -3318.000000
136.933900 126.530228 -3316.000000
136.765716 126.950680 -3346.000000
136.594891 127.370065 -3350.000000
136.421432 127.788368 -3311.000000
136.245345 128.205572 -3280.000000
136.066638 128.621660 -3198.000000
135.885317 129.036615 nan
135.701390 129.450422 nan
135.514864 129.863064 nan
135.325746 130.274525 nan
135.134045 130.684788 nan
134.939767 131.093837 nan
134.742919 131.501657 nan
134.543511 131.908230 nan
134.341550 132.313541 nan
134.137044 132.717574 nan
133.930000 133.120312 nan
133.720428 133.521741 -517.000000
133.508335 133.921843 -525.000000
133.293729 134.320604 -522.000000
133.076620 134.718006 -530.000000
132.857016 135.114036 -537.000000
132.634926 135.508676 -534.000000
132.410357 135.901912 -527.000000
132.183320 136.293728 -539.000000
131.953823 136.684108 -527.000000
131.721876 137.073037 -527.000000
131.487486 137.460499 -534.000000
131.250665 137.846480 -536.000000
131.011421 138.230963 -531.000000
130.769763 138.613934 -528.000000
130.525701 138.995378 -528.000000
130.279245 139.375279 -528.000000
130.030405 139.753623 -533.000000
129.779190 140.130393 -529.000000
129.525610 140.505577 -541.000000
129.269675 140.879158 -527.000000
129.011396 141.251122 -543.000000
128.750783 141.621455 -542.000000
128.487846 141.990141 -535.000000
128.222595 142.357165 -530.000000
127.955041 142.722515 -526.000000
127.685194 143.086174 -531.000000
127.413065 143.448129 -541.000000
127.138666 143.808366 -533.000000
126.862006 144.166869 -534.000000
126.583096 144.523625 -532.000000
126.301949 144.878620 -537.000000
126.018574 145.231840 -527.000000
125.732984 145.583270 -535.000000
125.445188 145.932898 -536.000000
125.155200 146.280708 -540.000000
124.863030 146.626687 -535.000000
124.568689 146.970823 -530.000000
124.272190 147.313100 -529.000000
123.973544 147.653505 -529.000000
123.672763 147.992026 -538.000000
123.369859 148.328648 -536.000000
123.064843 148.663358 -530.000000
122.757729 148.996143 -545.000000
122.448527 149.326991 -541.000000
122.137251 149.655886 -531.000000
121.823912 149.982818 -544.000000
121.508524 150.307772 -535.000000
121.191098 150.630737 -541.000000
120.871647 150.951698 -538.000000
120.550183 151.270645 -538.000000
120.226720 151.587562 -528.000000
119.901270 151.902440 -537.000000
119.573846 152.215264 -532.000000
119.244461 152.526023 -557.000000
118.913128 152.834703 -532.000000
118.579860 153.141294 -529.000000
118.244671 153.445783 -544.000000
117.907573 153.748158 -540.000000
117.568580 154.048406 -537.000000
117.227705 154.346516 -523.000000
116.884963 154.642477 -542.000000
116.540365 154.936276 -536.000000
116.193926 155.227902 -527.000000
115.845661 155.517343 -547.000000
115.495581 155.804588 -538.000000
115.143702 156.089626 -510.000000
114.790037 156.372445 -533.000000
114.434601 156.653034 -538.000000
114.077406 156.931382 -538.000000
113.718468 157.207478 -538.000000
113.357801 157.481311 -539.000000
112.995419 157.752870 -538.000000
112.631335 158.022144 -541.000000
112.265566 158.289124 -526.000000
111.898124 158.553797 -528.000000
111.529025 158.816155 -531.000000
111.158284 159.076185 -532.000000
110.785914 159.333879 -542.000000
110.411931 159.589226 -540.000000
110.036349 159.842216 -544.000000
109.659184 160.092838 -539.000000
109.280449 160.341083 -539.000000
108.900161 160.586941 -535.000000
108.518334 160.830403 -528.000000
108.134984 161.071458 -531.000000
107.750124 161.310098 -537.000000
107.363772 161.546312 -528.000000
106.975942 161.780092 -530.000000
106.586648 162.011428 -538.000000
106.195908 162.240310 -531.000000
105.803736 162.466731 -535.000000
105.410147 162.690681 -535.000000
105.015158 162.912151 -542.000000
104.618784 163.131132 -539.000000
104.221040 163.347616 -536.000000
103.821943 163.561594 -545.000000
103.421507 163.773057 -533.000000
103.019750 163.981998 -539.000000
102.616686 164.188408 -531.000000
102.212332 164.392279 -530.000000
101.806704 164.593603 -540.000000
101.399818 164.792372 -537.000000
100.991690 164.988577 -545.000000
100.582335 165.182212 -529.000000
100.171771 165.373268 -535.000000
99.760014 165.561739 -536.000000
99.347079 165.747616 -540.000000
98.932983 165.930892 -534.000000
98.517743 166.111560 -531.000000
98.101375 166.289613 -538.000000
97.683895 166.465043 -528.000000
97.265320 166.637845 -531.000000
96.845666 166.808010 -529.000000
96.424951 166.975533 -545.000000
96.003190 167.140406 -539.000000
95.580401 167.302623 -539.000000
95.156599 167.462178 -536.000000
94.731803 167.619065 -519.000000
94.306028 167.773276 -530.000000
93.879292 167.924807 -532.000000
93.451611 168.073651 -534.000000
93.023003 168.219802 -536.000000
92.593483 168.363254 -539.000000
92.163070 168.504002 -543.000000
91.731781 168.642040 -543.000000
91.299631 168.777363 -529.000000
90.866639 168.909966 -499.000000
90.432822 169.039842 -436.000000
89.998196 169.166987 -369.000000
89.562780 169.291397 -335.000000
89.126589 169.413065 -3213.000000
88.689642 169.531987 -3278.000000
88.251956 169.648159 -3338.000000
87.813547 169.761576 -3342.000000
87.374434 169.872234 -3342.000000
86.934634 169.980127 -3333.000000
86.494163 170.085252 -3317.000000
86.053041 170.187605 -3314.000000
85.611283 170.287181 -3312.000000
85.168907 170.383977 -3303.000000
84.725932 170.477989 -3299.000000
84.282374 170.569213 -3300.000000
83.838251 170.657645 -3301.000000
83.393581 170.743282 -3311.000000
82.948381 170.826121 -3312.000000
82.502669 170.906158 -3315.000000
82.056462 170.983390 -3317.000000
81.609778 171.057815 -3325.000000
81.162635 171.129428 -3339.000000
80.715051 171.198228 -3338.000000
80.267042 171.264212 -3338.000000
79.818628 171.327376 -3286.000000
79.369825 171.387719 -3203.000000
78.920651 171.445238 -3135.000000
78.471124 171.499930 -3085.000000
78.021263 171.551795 nan
77.571084 171.600829 nan
77.120606 171.647030 -279.000000
76.669846 171.690398 -252.000000
76.218822 171.730930 -264.000000
75.767552 171.768624 -336.000000
75.316054 171.803479 -416.000000
74.864345 171.835494 -480.000000
74.412445 171.864667 -528.000000
73.960369 171.890997 -535.000000
73.508137 171.914484 -533.000000
73.055767 171.935126 -532.000000
72.603275 171.952922 -537.000000
72.150680 171.967872 -540.000000
71.698001 171.979975 -533.000000
71.245254 171.989231 -519.000000
70.792458 171.995639 -521.000000
70.339630 171.999199 -523.000000
69.886790 171.999911 -527.000000
69.433953 171.997775 -535.000000
68.981139 171.992791 -536.000000
68.528365 171.984959 -535.000000
68.075650 171.974279 -532.000000
67.623011 171.960753 -532.000000
67.170465 171.944379 -530.000000
66.718032 171.925160 -523.000000
66.265728 171.903096 -526.000000
65.813572 171.878187 -534.000000
65.361582 171.850435 -532.000000
64.909775 171.819841 -526.000000
64.458170 171.786406 -525.000000
64.006784 171.750131 -522.000000
63.555635 171.711018 -528.000000
63.104740 171.669069 -527.000000
62.654119 171.624284 -525.000000
62.203788 171.576666 -532.000000
61.753766 171.526216 -530.000000
61.304069 171.472937 -528.000000
