X Y Z
115.000000 100.000000 2585.000000
114.999110 100.283024 2585.000000
114.996440 100.566038 2585.000000
114.991990 100.849029 2585.000000
114.985760 101.131986 2590.000000
114.977751 101.414899 2588.000000
114.967962 101.697755 2588.000000
114.956395 101.980545 2591.000000
114.943049 102.263256 2593.000000
114.927926 102.545877 2592.000000
114.911025 102.828398 2585.000000
114.892348 103.110807 2584.000000
114.871895 103.393093 2585.000000
114.849666 103.675245 2579.000000
114.825664 103.957251 2579.000000
114.799889 104.239101 2579.000000
114.772341 104.520783 2588.000000
114.743022 104.802286 2591.000000
114.711934 105.083599 2591.000000
114.679076 105.364711 2585.000000
114.644452 105.645611 2586.000000
114.608061 105.926288 2586.000000
114.569906 106.206730 2586.000000
114.529987 106.486927 2587.000000
114.488308 106.766867 2587.000000
114.444868 107.046539 2592.000000
114.399670 107.325933 2589.000000
114.352716 107.605037 2588.000000
114.304007 107.883840 2588.000000
114.253546 108.162331 2589.000000
114.201334 108.440499 2589.000000
114.147374 108.718334 2584.000000
114.091668 108.995823 2580.000000
114.034217 109.272957 2580.000000
113.975024 109.549724 2581.000000
113.914092 109.826113 2581.000000
113.851423 110.102113 2581.000000
113.787019 110.377714 2582.000000
113.720883 110.652904 2586.000000
113.653018 110.927673 2587.000000
113.583425 111.202010 2587.000000
113.512109 111.475903 2588.000000
113.439072 111.749343 2588.000000
113.364316 112.022318 2589.000000
113.287844 112.294817 2588.000000
113.209661 112.566830 2589.000000
113.129768 112.838345 2587.000000
113.048169 113.109353 2587.000000
112.964867 113.379843 2587.000000
112.879866 113.649803 2585.000000
112.793168 113.919223 2584.000000
112.704778 114.188092 2584.000000
112.614698 114.456400 2591.000000
112.522933 114.724137 2588.000000
112.429485 114.991291 2588.000000
112.334359 115.257852 2587.000000
112.237559 115.523809 2586.000000
112.139087 115.789152 2586.000000
112.038949 116.053871 2589.000000
111.937148 116.317955 2590.000000
111.833688 116.581393 2590.000000
111.728573 116.844175 2591.000000
111.621807 117.106291 2590.000000
111.513395 117.367730 2590.000000
111.403341 117.628482 2596.000000
111.291648 117.888537 2593.000000
111.178323 118.147885 2593.000000
111.063369 118.406514 2600.000000
110.946790 118.664415 2602.000000
110.828591 118.921578 2602.000000
110.708778 119.177993 1681.000000
110.587354 119.433648 651.000000
110.464325 119.688535 651.000000
110.339695 119.942644 636.000000
110.213469 120.195963 637.000000
110.085652 120.448484 637.000000
109.956250 120.700195 646.000000
109.825267 120.951088 650.000000
109.692709 121.201152 650.000000
109.558581 121.450377 671.000000
109.422888 121.698754 662.000000
109.285635 121.946272 660.000000
109.146828 122.192923 657.000000
109.006473 122.438695 661.000000
108.864575 122.683580 661.000000
108.721140 122.927568 653.000000
108.576172 123.170648 659.000000
108.429679 123.412812 660.000000
108.281666 123.654050 655.000000
108.132138 123.894352 657.000000
107.981102 124.133709 657.000000
107.828563 124.372111 664.000000
107.674528 124.609549 671.000000
107.519003 124.846014 670.000000
107.361994 125.081496 -1863.000000
107.203506 125.315986 -1858.000000
107.043547 125.549474 -1857.000000
106.882123 125.781951 -1846.000000
106.719239 126.013409 -1851.000000
106.554904 126.243838 -1852.000000
106.389122 126.473228 -1840.000000
106.221900 126.701572 -1841.000000
106.053246 126.928859 -1841.000000
105.883166 127.155081 -1844.000000
105.711666 127.380228 -1844.000000
105.538754 127.604293 -1844.000000
105.364435 127.827266 -1841.000000
105.188718 128.049138 -1843.000000
105.011609 128.269900 -1843.000000
104.833115 128.489544 -1837.000000
104.653243 128.708061 -1840.000000
104.472000 128.925442 -1840.000000
104.289393 129.141680 -1841.000000
104.105431 129.356764 -1841.000000
103.920119 129.570687 -1842.000000
103.733465 129.783441 -1842.000000
103.545477 129.995016 -1839.000000
103.356162 130.205405 -1839.000000
103.165527 130.414599 -1861.000000
102.973580 130.622590 -1864.000000
102.780330 130.829369 -1864.000000
102.585782 131.034929 -1830.000000
102.389945 131.239261 -1832.000000
102.192827 131.442358 -1830.000000
101.994436 131.644211 -1811.000000
101.794779 131.844812 -1791.000000
101.593864 132.044153 -1790.000000
100.570705 133.021690 650.000000
100.362413 133.213309 651.000000
100.152919 133.403614 638.000000
99.942233 133.592598 640.000000
99.730363 133.780254 640.000000
99.517316 133.966573 640.000000
99.303102 134.151548 635.000000
99.087728 134.335173 638.000000
98.871204 134.517439 656.000000
98.653538 134.698340 655.000000
98.434738 134.877868 655.000000
98.214814 135.056016 653.000000
97.993773 135.232778 659.000000
97.771625 135.408146 660.000000
97.548379 135.582114 645.000000
97.324043 135.754674 642.000000
97.098626 135.925819 642.000000
96.872137 136.095544 657.000000
96.644585 136.263840 654.000000
96.415979 136.430702 654.000000
96.186328 136.596123 665.000000
95.955641 136.760097 670.000000
95.723927 136.922616 672.000000
94.073959 138.019002 2593.000000
93.834365 138.169661 2594.000000
93.593828 138.318811 2594.000000
93.352357 138.466445 2598.000000
93.109963 138.612557 2594.000000
92.866655 138.757142 2594.000000
92.622443 138.900194 2604.000000
92.377335 139.041707 2603.000000
92.131342 139.181676 2603.000000
91.884474 139.320094 2598.000000
91.636740 139.456957 2599.000000
91.388150 139.592260 2599.000000
91.138714 139.725996 2597.000000
90.888442 139.858161 2595.000000
90.637344 139.988749 2595.000000
90.385429 140.117755 2598.000000
90.132708 140.245175 2596.000000
89.879190 140.371002 2595.000000
89.624886 140.495232 2594.000000
89.369806 140.617861 2594.000000
89.113960 140.738882 2594.000000
88.857357 140.858293 2596.000000
88.600009 140.976087 2594.000000
88.341924 141.092260 2594.000000
88.083115 141.206807 2595.000000
87.823589 141.319725 2595.000000
87.563359 141.431008 2595.000000
87.302434 141.540652 2589.000000
87.040825 141.648653 2588.000000
86.778542 141.755006 2588.000000
86.515594 141.859708 2594.000000
86.251994 141.962754 2594.000000
85.987750 142.064140 2594.000000
85.722875 142.163861 2594.000000
85.457377 142.261915 2594.000000
85.191268 142.358298 2594.000000
84.924557 142.453004 2592.000000
84.657257 142.546032 2594.000000
84.389377 142.637376 2594.000000
84.120927 142.727034 2594.000000
83.851919 142.815001 2593.000000
83.582363 142.901275 2593.000000
83.312270 142.985852 2590.000000
83.041650 143.068729 2592.000000
82.770514 143.149901 2592.000000
82.498873 143.229367 2592.000000
82.226737 143.307123 2595.000000
81.954118 143.383166 2595.000000
81.681026 143.457492 2592.000000
81.407472 143.530100 2593.000000
81.133467 143.600985 2593.000000
80.859021 143.670146 2597.000000
80.584146 143.737579 2595.000000
80.308852 143.803283 2595.000000
80.033150 143.867253 2591.000000
79.757052 143.929488 2591.000000
79.480567 143.989986 2591.000000
79.203708 144.048743 2592.000000
78.926484 144.105758 2592.000000
78.648907 144.161028 2592.000000
78.370988 144.214551 2588.000000
78.092738 144.266326 2588.000000
77.814168 144.316349 2588.000000
77.535289 144.364619 2589.000000
77.256111 144.411134 2590.000000
76.976647 144.455893 2590.000000
76.696907 144.498893 2592.000000
76.416901 144.540132 2593.000000
76.136642 144.579610 2593.000000
75.856140 144.617324 2591.000000
75.575407 144.653274 2589.000000
75.294453 144.687457 2589.000000
75.013289 144.719872 2585.000000
74.731928 144.750518 2585.000000
74.450379 144.779394 2585.000000
74.168653 144.806499 2587.000000
73.886764 144.831831 2587.000000
73.604720 144.855390 2587.000000
73.322534 144.877174 2590.000000
73.040216 144.897184 2590.000000
72.757778 144.915417 2590.000000
72.475231 144.931873 680.000000
72.192586 144.946552 649.000000
71.909854 144.959453 648.000000
71.627047 144.970576 623.000000
71.344175 144.979920 619.000000
71.061250 144.987484 618.000000
70.778284 144.993269 625.000000
70.495286 144.997274 626.000000
70.212269 144.999499 626.000000
69.929243 144.999944 625.000000
69.646221 144.998609 625.000000
69.363212 144.995494 625.000000
69.080228 144.990599 625.000000
68.797281 144.983925 627.000000
68.514382 144.975470 627.000000
68.231541 144.965237 648.000000
67.948770 144.953225 647.000000
67.666080 144.939435 647.000000
67.383483 144.923867 622.000000
67.100989 144.906522 618.000000
66.818610 144.887401 620.000000
66.536356 144.866504 -1860.000000
66.254240 144.843832 -1865.000000
65.972272 144.819386 -1863.000000
