X Y Z
-10.000000 35.000000 nan
-8.400000 35.000000 nan
-6.800000 35.000000 nan
-5.200000 35.000000 nan
-3.600000 35.000000 nan
-2.000000 35.000000 nan
-0.400000 35.000000 nan
1.200000 35.000000 nan
2.800000 35.000000 nan
4.400000 35.000000 nan
6.000000 35.000000 nan
7.600000 35.000000 nan
9.200000 35.000000 nan
10.800000 35.000000 nan
12.400000 35.000000 4992.000000
14.000000 35.000000 4926.000000
15.600000 35.000000 4929.000000
17.200000 35.000000 4943.000000
18.800000 35.000000 4944.000000
20.400000 35.000000 4945.000000
22.000000 35.000000 4940.000000
23.600000 35.000000 4939.000000
25.200000 35.000000 4947.000000
26.800000 35.000000 4950.000000
28.400000 35.000000 4958.000000
30.000000 35.000000 4959.000000
31.600000 35.000000 4957.000000
33.200000 35.000000 4953.000000
34.800000 35.000000 4969.000000
36.400000 35.000000 4964.000000
38.000000 35.000000 4965.000000
39.600000 35.000000 4967.000000
41.200000 35.000000 4980.000000
42.800000 35.000000 4980.000000
44.400000 35.000000 4978.000000
46.000000 35.000000 4984.000000
47.600000 35.000000 4985.000000
49.200000 35.000000 4980.000000
50.800000 35.000000 4973.000000
52.400000 35.000000 4987.000000
54.000000 35.000000 4992.000000
55.600000 35.000000 4977.000000
57.200000 35.000000 4965.000000
58.800000 35.000000 4962.000000
60.400000 35.000000 4939.000000
62.000000 35.000000 4942.000000
63.600000 35.000000 4948.000000
65.200000 35.000000 4939.000000
66.800000 35.000000 4934.000000
68.400000 35.000000 4942.000000
70.000000 35.000000 4938.000000
71.600000 35.000000 4959.000000
73.200000 35.000000 4935.000000
74.800000 35.000000 4950.000000
76.400000 35.000000 4942.000000
78.000000 35.000000 4943.000000
79.600000 35.000000 4943.000000
81.200000 35.000000 4967.000000
82.800000 35.000000 4957.000000
84.400000 35.000000 4979.000000
86.000000 35.000000 4985.000000
87.600000 35.000000 4985.000000
89.200000 35.000000 4983.000000
90.800000 35.000000 4972.000000
92.400000 35.000000 4983.000000
94.000000 35.000000 4986.000000
95.600000 35.000000 4996.000000
97.200000 35.000000 4990.000000
98.800000 35.000000 4989.000000
100.400000 35.000000 4979.000000
102.000000 35.000000 4982.000000
103.600000 35.000000 4980.000000
105.200000 35.000000 4973.000000
106.800000 35.000000 4971.000000
108.400000 35.000000 4965.000000
110.000000 35.000000 4962.000000
111.600000 35.000000 4965.000000
113.200000 35.000000 4962.000000
114.800000 35.000000 4961.000000
116.400000 35.000000 4967.000000
118.000000 35.000000 4955.000000
119.600000 35.000000 4949.000000
121.200000 35.000000 4946.000000
122.800000 35.000000 4941.000000
124.400000 35.000000 4950.000000
126.000000 35.000000 4958.000000
127.600000 35.000000 4957.000000
129.200000 35.000000 5021.000000
130.800000 35.000000 nan
132.400000 35.000000 nan
134.000000 35.000000 nan
135.600000 35.000000 nan
137.200000 35.000000 nan
138.800000 35.000000 nan
140.400000 35.000000 nan
142.000000 35.000000 nan
143.600000 35.000000 nan
145.200000 35.000000 nan
146.800000 35.000000 nan
148.400000 35.000000 nan
-10.000000 36.600000 nan
-8.400000 36.600000 nan
-6.800000 36.600000 nan
-5.200000 36.600000 nan
-3.600000 36.600000 nan
-2.000000 36.600000 nan
-0.400000 36.600000 nan
1.200000 36.600000 nan
2.800000 36.600000 nan
4.400000 36.600000 nan
6.000000 36.600000 nan
7.600000 36.600000 nan
9.200000 36.600000 nan
10.800000 36.600000 nan
12.400000 36.600000 4933.000000
14.000000 36.600000 4929.000000
15.600000 36.600000 4926.000000
17.200000 36.600000 4934.000000
18.800000 36.600000 4933.000000
20.400000 36.600000 4937.000000
22.000000 36.600000 4942.000000
23.600000 36.600000 4945.000000
25.200000 36.600000 4958.000000
26.800000 36.600000 4968.000000
28.400000 36.600000 4965.000000
30.000000 36.600000 4959.000000
31.600000 36.600000 4964.000000
33.200000 36.600000 4967.000000
34.800000 36.600000 4964.000000
36.400000 36.600000 4964.000000
38.000000 36.600000 4959.000000
39.600000 36.600000 4970.000000
41.200000 36.600000 4979.000000
42.800000 36.600000 4974.000000
44.400000 36.600000 4969.000000
46.000000 36.600000 4976.000000
47.600000 36.600000 4981.000000
49.200000 36.600000 4977.000000
50.800000 36.600000 4976.000000
52.400000 36.600000 4976.000000
54.000000 36.600000 4969.000000
55.600000 36.600000 4964.000000
57.200000 36.600000 4963.000000
58.800000 36.600000 4965.000000
60.400000 36.600000 4950.000000
62.000000 36.600000 nan
63.600000 36.600000 4915.000000
65.200000 36.600000 4910.000000
66.800000 36.600000 4888.000000
68.400000 36.600000 4910.000000
70.000000 36.600000 4910.000000
71.600000 36.600000 4891.000000
73.200000 36.600000 4906.000000
74.800000 36.600000 4908.000000
76.400000 36.600000 4915.000000
78.000000 36.600000 4895.000000
79.600000 36.600000 4915.000000
81.200000 36.600000 4928.000000
82.800000 36.600000 4938.000000
84.400000 36.600000 4939.000000
86.000000 36.600000 4946.000000
87.600000 36.600000 4952.000000
89.200000 36.600000 4978.000000
90.800000 36.600000 4977.000000
92.400000 36.600000 4988.000000
94.000000 36.600000 4995.000000
95.600000 36.600000 4989.000000
97.200000 36.600000 4977.000000
98.800000 36.600000 4977.000000
100.400000 36.600000 4980.000000
102.000000 36.600000 4982.000000
103.600000 36.600000 4986.000000
105.200000 36.600000 4972.000000
106.800000 36.600000 4977.000000
108.400000 36.600000 4980.000000
110.000000 36.600000 4970.000000
111.600000 36.600000 4982.000000
113.200000 36.600000 4968.000000
114.800000 36.600000 4968.000000
116.400000 36.600000 4974.000000
118.000000 36.600000 4974.000000
119.600000 36.600000 4956.000000
121.200000 36.600000 4957.000000
122.800000 36.600000 4957.000000
124.400000 36.600000 4945.000000
126.000000 36.600000 4946.000000
127.600000 36.600000 4955.000000
129.200000 36.600000 4958.000000
130.800000 36.600000 4975.000000
132.400000 36.600000 5056.000000
134.000000 36.600000 5074.000000
135.600000 36.600000 nan
137.200000 36.600000 nan
138.800000 36.600000 nan
140.400000 36.600000 nan
142.000000 36.600000 nan
143.600000 36.600000 nan
145.200000 36.600000 nan
146.800000 36.600000 nan
148.400000 36.600000 nan
-10.000000 38.200000 nan
-8.400000 38.200000 nan
-6.800000 38.200000 nan
-5.200000 38.200000 nan
-3.600000 38.200000 nan
-2.000000 38.200000 nan
-0.400000 38.200000 nan
1.200000 38.200000 nan
2.800000 38.200000 nan
4.400000 38.200000 nan
6.000000 38.200000 nan
7.600000 38.200000 nan
9.200000 38.200000 nan
10.800000 38.200000 nan
12.400000 38.200000 4934.000000
14.000000 38.200000 4936.000000
15.600000 38.200000 4938.000000
17.200000 38.200000 4944.000000
18.800000 38.200000 4946.000000
20.400000 38.200000 4947.000000
22.000000 38.200000 4942.000000
23.600000 38.200000 4958.000000
25.200000 38.200000 4953.000000
26.800000 38.200000 4947.000000
28.400000 38.200000 4964.000000
30.000000 38.200000 4976.000000
31.600000 38.200000 4968.000000
33.200000 38.200000 4965.000000
34.800000 38.200000 4965.000000
36.400000 38.200000 4975.000000
38.000000 38.200000 4978.000000
39.600000 38.200000 4973.000000
41.200000 38.200000 4977.000000
42.800000 38.200000 4986.000000
44.400000 38.200000 4986.000000
46.000000 38.200000 4980.000000
47.600000 38.200000 4973.000000
49.200000 38.200000 4963.000000
50.800000 38.200000 4960.000000
52.400000 38.200000 4950.000000
54.000000 38.200000 4925.000000
55.600000 38.200000 4916.000000
57.200000 38.200000 4886.000000
58.800000 38.200000 4882.000000
60.400000 38.200000 4877.000000
62.000000 38.200000 4882.000000
63.600000 38.200000 4828.000000
65.200000 38.200000 4799.000000
66.800000 38.200000 4756.000000
68.400000 38.200000 4744.000000
70.000000 38.200000 4754.000000
71.600000 38.200000 4729.000000
73.200000 38.200000 4750.000000
74.800000 38.200000 4758.000000
76.400000 38.200000 4750.000000
78.000000 38.200000 4800.000000
79.600000 38.200000 4817.000000
81.200000 38.200000 4823.000000
82.800000 38.200000 4823.000000
84.400000 38.200000 4855.000000
86.000000 38.200000 4855.000000
87.600000 38.200000 4874.000000
89.200000 38.200000 4905.000000
90.800000 38.200000 4947.000000
92.400000 38.200000 4957.000000
94.000000 38.200000 4972.000000
95.600000 38.200000 4976.000000
97.200000 38.200000 4989.000000
98.800000 38.200000 4988.000000
100.400000 38.200000 4994.000000
102.000000 38.200000 4988.000000
103.600000 38.200000 4996.000000
105.200000 38.200000 4991.000000
106.800000 38.200000 4981.000000
108.400000 38.200000 4986.000000
110.000000 38.200000 4984.000000
111.600000 38.200000 4989.000000
113.200000 38.200000 4983.000000
114.800000 38.200000 4988.000000
116.400000 38.200000 4975.000000
118.000000 38.200000 4974.000000
119.600000 38.200000 4979.000000
121.200000 38.200000 4965.000000
122.800000 38.200000 4961.000000
124.400000 38.200000 4963.000000
126.000000 38.200000 4960.000000
127.600000 38.200000 4949.000000
129.200000 38.200000 4960.000000
130.800000 38.200000 4962.000000
132.400000 38.200000 4952.000000
134.000000 38.200000 4948.000000
