X Y Z
-524.603882 371.041779 -33.489716
-524.582581 369.363617 -33.460976
-524.561340 367.685364 -33.432232
-524.540039 366.006958 -33.403488
-524.518738 364.328369 -33.374737
-522.684998 434.979523 -34.656212
-522.663635 433.279907 -34.627098
-521.903381 372.755341 -33.590343
-521.882385 371.082703 -33.561691
-521.861328 369.409973 -33.533039
-521.840332 367.737152 -33.504387
-521.819336 366.064209 -33.475731
-521.798279 364.391052 -33.447071
-521.777283 362.717682 -33.418404
-520.013000 438.206726 -34.782520
-519.991882 436.509521 -34.753445
-519.970825 434.813873 -34.724392
-519.949707 433.119751 -34.695370
-519.928650 431.427124 -34.666370
-519.907654 429.735931 -34.637398
-519.199158 372.790344 -33.661770
-519.178406 371.123047 -33.633205
-519.157654 369.455719 -33.604637
-519.136902 367.788269 -33.576069
-519.116150 366.120697 -33.547501
-519.095398 364.452911 -33.518929
-519.074646 362.784943 -33.490349
-517.336548 439.725769 -34.879128
-517.315674 438.032379 -34.850109
-517.294861 436.340607 -34.821121
-517.273987 434.650391 -34.792160
-517.253174 432.961670 -34.763222
-517.232422 431.274475 -34.734310
-517.211609 429.588684 -34.705421
-517.377747 427.934113 -34.936466
-537.303650 377.375549 -62.646778
-537.024292 375.596100 -62.258343
-537.002319 373.811340 -62.227760
-516.702332 372.817444 -33.997181
-516.491699 371.162872 -33.704254
-516.471252 369.500854 -33.675770
-516.450745 367.838715 -33.647293
-516.430298 366.176453 -33.618805
-516.409790 364.513977 -33.590321
-517.352478 362.779022 -34.901268
-514.734253 439.564240 -35.055988
-514.635498 437.860321 -34.917290
-514.614868 436.173920 -34.888386
-514.594360 434.489044 -34.859512
-514.573792 432.805695 -34.830662
-514.553284 431.123840 -34.801834
-514.532776 429.443390 -34.773033
-515.879395 427.983734 -36.664337
-534.810669 429.223633 -63.252560
-534.788696 427.423370 -63.221706
-535.003235 425.658081 -63.522987
-500.285248 408.062286 -14.762933
-500.265930 406.481445 -14.735839
-500.246674 404.901398 -14.708759
-500.227386 403.322113 -14.681692
-500.208130 401.743561 -14.654637
-500.188873 400.165680 -14.627594
-500.169617 398.588440 -14.600561
-500.150391 397.011780 -14.573540
-500.131134 395.435699 -14.546527
-500.111908 393.860138 -14.519525
-500.092712 392.285065 -14.492530
-500.073486 390.710419 -14.465543
-500.054291 389.136200 -14.438562
-534.417236 379.176697 -62.700031
-534.178284 377.400635 -62.364372
-534.156555 375.621429 -62.333878
-534.134827 373.842285 -62.303387
-516.703247 372.746613 -37.821384
-515.247803 371.137604 -35.777248
-514.552185 369.506866 -34.800354
-514.374207 367.854492 -34.550365
-514.663574 366.174225 -34.956791
-515.564331 364.447571 -36.221855
-517.579041 362.625397 -39.051411
-512.235229 437.742737 -35.357227
-511.951813 436.009399 -34.955250
-511.931519 434.329834 -34.926460
-511.911224 432.651764 -34.897694
-511.997620 430.993713 -35.020218
-513.006531 429.490448 -36.451340
-515.260376 428.177063 -39.648243
-531.952515 429.080963 -63.324913
-531.930786 427.286346 -63.294151
-531.909119 425.493073 -63.263409
-531.961487 423.711212 -63.337616
-497.870239 414.301971 -14.981487
-497.819000 412.718719 -14.908807
-497.799927 411.140198 -14.881748
-497.780853 409.562622 -14.854705
-497.761810 407.985901 -14.827676
-497.797211 406.414795 -14.877869
-497.907501 404.850006 -15.034321
-497.978149 403.281342 -15.134541
-498.079376 401.714478 -15.278117
-498.172882 400.146301 -15.410730
-498.132812 398.569702 -15.353907
-498.069183 396.992706 -15.263680
-498.005646 395.416840 -15.173517
-497.906219 393.840637 -15.032514
-497.739990 392.263641 -14.796717
-497.568878 390.688721 -14.554007
-497.533813 389.118988 -14.504262
-497.514832 387.550049 -14.477367
-497.495880 385.981415 -14.450479
-497.476929 384.413086 -14.423594
-531.549133 380.966156 -62.752743
-531.349609 379.193848 -62.469749
-531.328186 377.420105 -62.439342
-531.306763 375.646423 -62.408939
-531.285278 373.872833 -62.378536
-516.801514 372.670776 -41.834248
-515.340210 371.050781 -39.761490
-514.665283 369.407623 -38.804153
-514.475342 367.744324 -38.534702
-514.819458 366.048859 -39.022785
-515.728516 364.309235 -40.312275
-517.809753 362.468964 -43.264328
-531.163269 359.677155 -62.205448
-532.399048 357.790985 -63.958321
-512.733398 438.203644 -39.932743
-511.496429 436.271118 -38.160702
-511.087311 434.510315 -37.574600
-511.193146 432.849121 -37.726204
-511.750793 431.266876 -38.525116
-512.813721 429.764221 -40.047874
-514.638367 428.373444 -42.661808
-529.112122 428.940155 -63.396832
-529.090698 427.151123 -63.366158
-529.069336 425.363403 -63.335510
-529.047913 423.576965 -63.304882
-495.367096 417.355316 -15.053960
-495.348236 415.778748 -15.026929
-495.329376 414.203186 -14.999917
-495.311432 412.628723 -14.974174
-495.534210 411.081024 -15.293326
-495.781433 409.533722 -15.647530
-496.211975 408.001434 -16.264324
-496.745636 406.473602 -17.028811
-497.061646 404.921814 -17.481537
-497.378326 403.366699 -17.935226
-497.695709 401.808258 -18.389893
-497.995117 400.245209 -18.818821
-497.843567 398.652649 -18.601715
-497.692230 397.062378 -18.384916
-497.541107 395.474274 -18.168415
-497.390198 393.888306 -17.952213
-496.936157 392.294250 -17.301777
-496.273956 390.700226 -16.353104
-495.677277 389.115875 -15.498290
-495.417358 387.544128 -15.125939
-495.130035 385.975433 -14.714319
-494.972839 384.410675 -14.489123
-494.954132 382.847443 -14.462321
-494.935425 381.284424 -14.435524
-494.963257 379.720856 -14.475419
-528.495789 377.439301 -62.513847
-528.474609 375.671112 -62.483532
-528.453430 373.902985 -62.453220
-516.900879 372.593628 -45.903118
-515.433777 370.962494 -43.801308
-514.796997 369.305786 -42.889088
-514.577820 367.632294 -42.575123
-514.977905 365.921234 -43.148289
-515.895508 364.168457 -44.462765
-518.044678 362.309662 -47.541653
-528.284119 359.755188 -62.210655
-528.262939 357.985718 -62.180317
-528.265320 356.213623 -62.183681
-529.135620 354.353088 -63.430496
-526.577393 443.147858 -63.885284
-513.552002 438.736420 -45.038242
-511.782013 436.681885 -42.477219
-511.229828 434.880432 -41.678226
-511.221313 433.186279 -41.665913
-511.672180 431.574402 -42.318260
-512.617859 430.042145 -43.686577
-514.256165 428.612701 -46.057117
-526.289246 428.801208 -63.468327
-526.268127 427.017670 -63.437744
-492.947632 420.403961 -15.224910
-492.891998 418.824707 -15.144426
-492.873352 417.251923 -15.117455
-492.878540 415.683197 -15.124970
-493.270233 414.161713 -15.691690
-493.793945 412.651184 -16.449501
-494.587952 411.164093 -17.598375
-495.386597 409.668304 -18.753946
-496.189911 408.163727 -19.916302
-496.800079 406.632568 -20.799175
-497.118347 405.070160 -21.259720
-497.437317 403.504395 -21.721251
-497.756989 401.935242 -22.183783
-498.077362 400.362610 -22.647329
-497.961182 398.760895 -22.479237
-497.808685 397.159088 -22.258595
-497.656403 395.559509 -22.038260
-497.504333 393.962097 -21.818228
-497.091064 392.357941 -21.220232
-496.423615 390.752075 -20.254450
-495.759644 389.154694 -19.293766
-495.099182 387.565643 -18.338116
-494.176971 385.982452 -17.003714
-493.079102 384.410126 -15.415140
-492.687622 382.849152 -14.848694
-492.447174 381.291595 -14.500806
-492.428711 379.733521 -14.474089
-492.410248 378.175598 -14.447373
-525.659851 375.695465 -62.557667
-525.638977 373.932770 -62.527439
-517.015381 372.514587 -50.049564
-515.528442 370.872650 -47.898060
-514.930542 369.202179 -47.032932
-514.684509 367.518127 -46.676956
-515.138916 365.791382 -47.334404
-516.065308 364.025116 -48.674862
-518.356506 362.141815 -51.990108
-525.471802 359.828186 -62.285572
-525.450928 358.064117 -62.255322
-525.429993 356.299652 -62.225063
-525.409119 354.534790 -62.194801
-525.406555 352.767487 -62.191143
-526.363342 350.889954 -63.575588
-524.165649 446.633301 -64.536293
-523.672180 444.734772 -63.815033
-523.651123 442.942596 -63.784294
-514.868530 439.378418 -50.948593
-512.221924 437.129669 -47.080654
-511.468018 435.274872 -45.978809
-511.249695 433.529175 -45.659760
-511.661133 431.899139 -46.261070
-512.418762 430.324341 -47.368340
-513.933838 428.866089 -49.582623
-517.092712 427.650665 -54.199268
-490.450043 421.857269 -15.261313
-490.431610 420.287018 -15.234383
-490.413208 418.717896 -15.207471
-490.700928 417.190796 -15.627953
-491.301971 415.700836 -16.506409
-492.669983 414.297058 -18.505720
-493.755554 412.844543 -20.092262
-494.554749 411.348083 -21.260262
-495.358612 409.842865 -22.435122
-496.167236 408.328735 -23.616928
-496.855164 406.794281 -24.622318
-497.175751 405.221069 -25.090864
-497.364929 403.634216 -25.367346
-497.346130 402.030640 -25.339842
-497.327301 400.427765 -25.312351
-497.308502 398.825531 -25.284870
-497.289703 397.223907 -25.257401
-497.270935 395.622864 -25.229940
-497.252136 394.022339 -25.202490
-497.233368 392.422272 -25.175049
-496.575531 390.804840 -24.213617
-495.906281 389.195526 -23.235527
-495.240570 387.594666 -22.262600
-494.348145 386.000061 -20.958357
-493.035309 384.415314 -19.039637
-491.735931 382.846802 -17.140606
-490.589142 381.292969 -15.464579
-490.047058 379.743927 -14.672362
-489.937622 378.192108 -14.512409
-489.919403 376.638977 -14.485771
-522.841614 373.962128 -62.601204
-517.162842 372.432922 -54.301746
-515.624268 370.781281 -52.053127
-515.065979 369.096741 -51.237160
-514.801941 367.401428 -50.851288
-515.302368 365.659180 -51.582664
-516.249634 363.878387 -52.967125
-518.833496 361.958405 -56.743374
-522.676575 359.900238 -62.360023
-522.655945 358.141479 -62.329861
-522.635315 356.382355 -62.299690
-522.614685 354.622833 -62.269512
-522.593994 352.862823 -62.239326
-522.573364 351.102356 -62.209133
-522.608521 349.334534 -62.260532
-522.026123 450.177307 -65.575386
-520.923706 448.130280 -63.947964
-520.901794 446.339630 -63.915592
-520.880981 444.551056 -63.884914
-520.860229 442.764282 -63.854263
-520.839478 440.979248 -63.823643
-512.833557 437.618713 -52.004997
-511.718536 435.678253 -50.358952
-511.377136 433.896179 -49.855007
-511.667175 432.232422 -50.283154
-512.284058 430.622528 -51.193787
-513.698364 429.138367 -53.281654
-488.003937 423.309113 -15.350715
-487.985748 421.742401 -15.323839
-487.983765 420.179291 -15.320909
-488.559601 418.698425 -16.171003
-489.780701 417.298004 -17.973629
-491.142212 415.901062 -19.983543
-492.517944 414.489594 -22.014414
-493.716309 413.041077 -23.783487
-494.520752 411.535156 -24.971050
-494.907806 409.976776 -25.542418
-494.889191 408.374908 -25.514940
-495.301361 406.812897 -26.123415
-495.511871 405.229309 -26.434168
-495.722656 403.643616 -26.745329
-495.933716 402.055817 -27.056908
-496.145081 400.465820 -27.368916
-496.115356 398.859314 -27.325026
-496.001465 397.249084 -27.156927
-495.887726 395.640594 -26.989012
-495.774109 394.033844 -26.821278
-495.499207 392.423248 -26.415480
-495.041260 390.811127 -25.739450
-494.666443 389.206726 -25.186127
-494.647919 387.612701 -25.158783
-494.521973 386.018005 -24.972847
-493.198334 384.421234 -23.018847
-491.888367 382.840942 -21.085047
-490.591858 381.276855 -19.171091
-488.471619 379.741760 -16.041107
-487.672821 378.204193 -14.861904
-487.461884 376.659943 -14.550489
-487.443878 375.111542 -14.523929
-487.640869 373.554413 -14.814730
-515.721313 370.688324 -56.267956
-515.203308 368.989410 -55.503288
-514.921143 367.282654 -55.086731
-515.468445 365.524597 -55.894665
-516.500488 363.724426 -57.418285
-519.764221 361.736542 -62.236244
-519.898193 359.971313 -62.434021
-519.877808 358.217834 -62.403942
-519.857422 356.463989 -62.373856
-519.837036 354.709717 -62.343765
-519.816650 352.954987 -62.313663
-519.796265 351.199768 -62.283554
-519.781372 349.443329 -62.261597
-520.452332 347.598267 -63.252125
-518.460938 451.580109 -64.482841
-518.168152 449.724976 -64.046280
-518.147583 447.938049 -64.015617
-518.127075 446.153015 -63.984993
-518.106567 444.369781 -63.954399
-518.086060 442.588348 -63.923836
-518.065552 440.808624 -63.893299
-513.575378 438.141632 -57.197628
-511.973267 436.089172 -54.808556
-511.564758 434.280609 -54.199402
-511.672974 432.571381 -54.360752
-512.225891 430.939178 -55.185257
-485.572113 424.754333 -15.439626
-485.554108 423.191101 -15.412806
-485.609192 421.640350 -15.494931
-486.129120 420.158722 -16.270233
-488.148010 418.883881 -19.280752
-489.610657 417.509064 -21.461859
-490.979828 416.104492 -23.503534
-492.363373 414.685150 -25.566641
-492.427216 413.095398 -25.661821
-492.793640 411.538879 -26.208261
